Discipline Name,Discipline Type
Educational science and Pedagogy,Social Sciences
Philosophy,Social Sciences
Swiss history,Social Sciences
Ancient history and Classical studies,Social Sciences
Economics,Social Sciences
"Religious studies, Theology",Social Sciences
General history (without pre-and early history),Social Sciences
Psychology,Social Sciences
Legal sciences,Social Sciences
Sociology,Social Sciences
Political science,Social Sciences
Romance languages and literature,Social Sciences
Ethnology,Social Sciences
Archaeology,Social Sciences
Visual arts and Art history,Social Sciences
Prehistory,Social Sciences
Theatre and Cinema,Social Sciences
German and English languages and literature,Social Sciences
Ecclesiastical history,Social Sciences
Other languages and literature,Social Sciences
Musicology,Social Sciences
Science of management,Social Sciences
Social geography and ecology,Natural Sciences
Organic Chemistry,Natural Sciences
Physical Chemistry,Natural Sciences
Theoretical Physics,Natural Sciences
Palaeontology,Natural Sciences
Technical Physics,Natural Sciences
Oceanography,Natural Sciences
Mineralogy,Natural Sciences
"Astronomy, Astrophysics and Space Sciences",Natural Sciences
Geology,Natural Sciences
Inorganic Chemistry,Natural Sciences
Condensed Matter Physics,Natural Sciences
Mathematics,Natural Sciences
"Hydrology, Limnology, Glaciology",Natural Sciences
"Climatology. Atmospherical Chemistry, Aeronomy",Natural Sciences
Electrical Engineering,Natural Sciences
Nuclear Physics,Natural Sciences
Geochemistry,Natural Sciences
Other disciplines of Physics,Natural Sciences
Fluid Dynamics,Natural Sciences
Particle Physics,Natural Sciences
Chemical Engineering,Natural Sciences
Meteorology,Natural Sciences
Plasma Physics,Natural Sciences
Geophysics,Natural Sciences
Geochronology,Natural Sciences
Civil Engineering,Natural Sciences
Material Sciences,Natural Sciences
Agricultural Engineering,Natural Sciences
Geomorphology,Natural Sciences
Forest Engineering,Natural Sciences
Other disciplines of Engineering Sciences,Natural Sciences
Mechanical Engineering,Natural Sciences
Information Technology,Natural Sciences
Pedology,Natural Sciences
Microelectronics. Optoelectronics,Natural Sciences
Other disciplines of Environmental Sciences,Natural Sciences
Other disciplines of Earth Sciences,Natural Sciences
Zoology,Natural Sciences
Ecology,Natural Sciences
"Cellular Biology, Cytology",Medicine
Veterinary Medicine,Medicine
"Immunology, Immunopathology",Medicine
Structural Research,Medicine
Cardiovascular Research,Medicine
Genetics,Medicine
Neurophysiology and Brain Research,Medicine
Clinical Cancer Research,Medicine
Clinical Immunology and Immunopathology,Medicine
Biology and Medicine,Medicine
Molecular Biology,Medicine
Biochemistry,Medicine
Clinical Cardiovascular Research,Medicine
"Pharmacology, Pharmacy",Medicine
Botany,Medicine
Endocrinology,Medicine
"Embryology, Developmental Biology",Medicine
Otorhinolaryngology,Medicine
Clinical Pathophysiology,Medicine
Physiology : other topics,Medicine
Pathophysiology,Medicine
Surgery,Medicine
Clinical Endocrinology,Medicine
Paediatrics,Medicine
Dentistry,Medicine
Environmental Research,Medicine
Clinical Pharmacology,Medicine
Internal Medicine,Medicine
Ethology,Medicine
Experimental Microbiology,Medicine
Ophthalmology,Medicine
"Neurology, Psychiatry",Medicine
Tropical Medicine,Medicine
Experimental Cancer Research,Medicine
Agricultural and Forestry Sciences,Medicine
"Anthropology, Primatology",Medicine
Medical Microbiology,Medicine
Animal Breeding,Medicine
"Mental Disorders, Psychosomatic Diseases",Medicine
Oral Preventive Medicine,Medicine
Environmental Toxicology,Medicine
Public Health and Health Services,Medicine
Biomedical Engineering,Medicine
Biophysics,Medicine
Human Ecology,Medicine
Cardiovascular Diseases,Medicine
Addictive Diseases,Medicine
Congenital Disorders,Medicine
Radiobiology,Medicine
Paleontology (biol.),Medicine
"Occupational Medicine, Ergonomy",Medicine
Gynaecology,Medicine
Sport Medicine,Medicine
Clinical Nutritional Research,Medicine
Infectious Diseases,Medicine
Diseases of Bones and Joints,Medicine
Social Paediatrics,Medicine
non-classifiable,Medicine
Cancer,Medicine
Respiratory Diseases,Medicine
Metabolic Disorders,Medicine
Medical Statistics,Medicine
Rehabilitation,Medicine
Group Medicine,Medicine
Dietetics,Medicine
Health Education,Medicine
Geriatrics,Medicine
Medico-Social Problems of the Elderly,Medicine
Dermatology,Medicine
Methods of Epidemiology and Preventive Medicine,Medicine
Medico-Social Problems of Youth,Medicine
Accidents,Medicine
Humanities and Social Sciences,Social Sciences
Engineering Sciences,Natural Sciences
Preventive Medicine (Epidemiology/Early Diagnosis/Prevention),Medicine
Basic Biological Research,Natural Sciences
Social Medicine,Medicine
Chemistry,Natural Sciences
General Biology,Natural Sciences
"Mathematics, Natural- and Engineering Sciences",Natural Sciences
Physics,Natural Sciences
"Nutritional Research, Vitaminology",Medicine
Environmental Sciences,Natural Sciences
Architecture and Social urban science,Social Sciences
Experimental Medicine,Medicine
"Linguistics and literature, philosophy",Social Sciences
Clinical Medicine,Medicine
Earth Sciences,Natural Sciences
Health,Medicine
Communication sciences,Social Sciences
Social work,Social Sciences
Arts,Social Sciences
"Music, Theatre",Social Sciences
Applied psychology,Social Sciences
Applied linguistics,Social Sciences
Interdisciplinary,Social Sciences
