"StichtagDatJahr","xkoord","ykoord","GebOrtSort","GebOrtLang","GebLandSort","GebLandLang","AnzBestWir"
2017,679300,235700,1,"Aeugst am Albis",8100,"Schweiz",8
2017,676800,236800,2,"Affoltern am Albis",8100,"Schweiz",1171
2017,677800,241000,3,"Bonstetten",8100,"Schweiz",5
2017,682900,233100,4,"Hausen am Albis",8100,"Schweiz",16
2017,676400,239000,5,"Hedingen",8100,"Schweiz",6
2017,682400,231300,6,"Kappel am Albis",8100,"Schweiz",4
2017,677500,230900,7,"Knonau",8100,"Schweiz",5
2017,674800,232000,8,"Maschwanden",8100,"Schweiz",6
2017,677600,233000,9,"Mettmenstetten",8100,"Schweiz",9
2017,675100,235300,10,"Obfelden",8100,"Schweiz",11
2017,673000,237200,11,"Ottenbach",8100,"Schweiz",15
2017,680100,232800,12,"Rifferswil",8100,"Schweiz",3
2017,679500,242100,13,"Stallikon",8100,"Schweiz",5
2017,678200,243700,14,"Wettswil am Albis",8100,"Schweiz",2
2017,694300,271000,21,"Adlikon",8100,"Schweiz",5
2017,691300,278800,22,"Benken (ZH)",8100,"Schweiz",2
2017,687200,269400,23,"Berg am Irchel",8100,"Schweiz",7
2017,689100,267000,24,"Buch am Irchel",8100,"Schweiz",2
2017,688600,280000,25,"Dachsen",8100,"Schweiz",7
2017,691000,269800,26,"Dorf",8100,"Schweiz",2
2017,690400,283000,27,"Feuerthalen",8100,"Schweiz",12
2017,688000,270100,28,"Flaach",8100,"Schweiz",7
2017,689400,282000,29,"Flurlingen",8100,"Schweiz",5
2017,693300,272200,30,"Andelfingen",8100,"Schweiz",8
2017,693600,268700,31,"Henggart",8100,"Schweiz",5
2017,693600,272800,33,"Kleinandelfingen",8100,"Schweiz",9
2017,689800,280600,34,"Laufen-Uhwiesen",8100,"Schweiz",4
2017,690900,275700,35,"Marthalen",8100,"Schweiz",18
2017,702400,276500,36,"Oberstammheim",8100,"Schweiz",9
2017,696800,274200,37,"Ossingen",8100,"Schweiz",3
2017,687700,277700,38,"Rheinau",8100,"Schweiz",12
2017,694300,277100,40,"Trüllikon",8100,"Schweiz",3
2017,696800,276200,41,"Truttikon",8100,"Schweiz",2
2017,701600,277400,42,"Unterstammheim",8100,"Schweiz",5
2017,683600,262000,51,"Bachenbülach",8100,"Schweiz",5
2017,689800,255500,52,"Bassersdorf",8100,"Schweiz",23
2017,683000,263700,53,"Bülach",8100,"Schweiz",2551
2017,689000,253400,54,"Dietlikon",8100,"Schweiz",7
2017,681600,269900,55,"Eglisau",8100,"Schweiz",27
2017,687100,262000,56,"Embrach",8100,"Schweiz",32
2017,686300,265100,57,"Freienstein-Teufen",8100,"Schweiz",7
2017,680000,268000,58,"Glattfelden",8100,"Schweiz",16
2017,681200,264100,59,"Hochfelden",8100,"Schweiz",4
2017,680600,262400,60,"Höri",8100,"Schweiz",6
2017,679200,272200,61,"Hüntwangen",8100,"Schweiz",10
2017,686300,256300,62,"Kloten",8100,"Schweiz",25
2017,687200,260500,63,"Lufingen",8100,"Schweiz",4
2017,691300,255800,64,"Nürensdorf",8100,"Schweiz",3
2017,688900,260300,65,"Oberembrach",8100,"Schweiz",1
2017,685900,254100,66,"Opfikon",8100,"Schweiz",31
2017,682600,274100,67,"Rafz",8100,"Schweiz",16
2017,685700,264800,68,"Rorbas",8100,"Schweiz",12
2017,687200,252200,69,"Wallisellen",8100,"Schweiz",39
2017,677800,271600,70,"Wasterkingen",8100,"Schweiz",5
2017,680400,273300,71,"Wil (ZH)",8100,"Schweiz",6
2017,684200,260800,72,"Winkel",8100,"Schweiz",3
2017,675400,264300,81,"Bachs",8100,"Schweiz",7
2017,672600,258200,82,"Boppelsen",8100,"Schweiz",2
2017,675400,256800,83,"Buchs (ZH)",8100,"Schweiz",6
2017,675400,254800,84,"Dällikon",8100,"Schweiz",2
2017,672900,255400,85,"Dänikon",8100,"Schweiz",3
2017,676500,259600,86,"Dielsdorf",8100,"Schweiz",1027
2017,671500,255400,87,"Hüttikon",8100,"Schweiz",2
2017,678000,263000,88,"Neerach",8100,"Schweiz",5
2017,680300,260600,89,"Niederglatt",8100,"Schweiz",10
2017,678900,259500,90,"Niederhasli",8100,"Schweiz",6
2017,670700,262000,91,"Niederweningen",8100,"Schweiz",9
2017,681500,259000,92,"Oberglatt",8100,"Schweiz",19
2017,672900,261700,93,"Oberweningen",8100,"Schweiz",3
2017,671500,257200,94,"Otelfingen",8100,"Schweiz",4
2017,675400,259600,95,"Regensberg",8100,"Schweiz",1
2017,677500,253800,96,"Regensdorf",8100,"Schweiz",22
2017,682400,256200,97,"Rümlang",8100,"Schweiz",21
2017,672100,261200,98,"Schleinikon",8100,"Schweiz",4
2017,673700,261500,99,"Schöfflisdorf",8100,"Schweiz",3
2017,677500,264700,100,"Stadel",8100,"Schweiz",9
2017,676600,261500,101,"Steinmaur",8100,"Schweiz",10
2017,675200,267800,102,"Weiach",8100,"Schweiz",7
2017,707200,243800,111,"Bäretswil",8100,"Schweiz",71
2017,704400,236300,112,"Bubikon",8100,"Schweiz",7
2017,706200,237200,113,"Dürnten",8100,"Schweiz",19
2017,712100,243400,114,"Fischenthal",8100,"Schweiz",16
2017,699600,240400,115,"Gossau (ZH)",8100,"Schweiz",18
2017,700200,237900,116,"Grüningen",8100,"Schweiz",8
2017,706400,239800,117,"Hinwil",8100,"Schweiz",26
2017,707000,235300,118,"Rüti (ZH)",8100,"Schweiz",459
2017,700800,244300,119,"Seegräben",8100,"Schweiz",4
2017,711700,237200,120,"Wald (ZH)",8100,"Schweiz",389
2017,702700,242100,121,"Wetzikon (ZH)",8100,"Schweiz",1562
2017,682200,240700,131,"Adliswil",8100,"Schweiz",553
2017,692700,225600,134,"Hütten",8100,"Schweiz",7
2017,683400,241300,135,"Kilchberg (ZH)",8100,"Schweiz",3343
2017,683400,238100,136,"Langnau am Albis",8100,"Schweiz",13
2017,686300,236800,137,"Oberrieden",8100,"Schweiz",12
2017,696000,229300,138,"Richterswil",8100,"Schweiz",2427
2017,684400,240400,139,"Rüschlikon",8100,"Schweiz",12
2017,691400,227600,140,"Schönenberg (ZH)",8100,"Schweiz",8
2017,685500,238300,141,"Thalwil",8100,"Schweiz",868
2017,693400,231600,142,"Wädenswil",8100,"Schweiz",371
2017,687200,239800,151,"Erlenbach (ZH)",8100,"Schweiz",7
2017,688700,237700,152,"Herrliberg",8100,"Schweiz",71
2017,700500,234300,153,"Hombrechtikon",8100,"Schweiz",25
2017,686600,241300,154,"Küsnacht (ZH)",8100,"Schweiz",45
2017,695200,234400,155,"Männedorf",8100,"Schweiz",1755
2017,691300,236100,156,"Meilen",8100,"Schweiz",40
2017,697000,236300,157,"Oetwil am See",8100,"Schweiz",5
2017,697000,233000,158,"Stäfa",8100,"Schweiz",70
2017,693800,235400,159,"Uetikon am See",8100,"Schweiz",17
2017,689700,242900,160,"Zumikon",8100,"Schweiz",7
2017,685800,243800,161,"Zollikon",8100,"Schweiz",7285
2017,699200,249400,172,"Fehraltorf",8100,"Schweiz",5
2017,704800,246900,173,"Hittnau",8100,"Schweiz",13
2017,693000,255300,176,"Lindau",8100,"Schweiz",12
2017,701700,246900,177,"Pfäffikon",8100,"Schweiz",265
2017,701000,250200,178,"Russikon",8100,"Schweiz",2
2017,700000,254300,180,"Weisslingen",8100,"Schweiz",14
2017,706200,253100,181,"Wila",8100,"Schweiz",6
2017,704000,253800,182,"Wildberg",8100,"Schweiz",4
2017,689300,250400,191,"Dübendorf",8100,"Schweiz",104
2017,694700,239600,192,"Egg",8100,"Schweiz",21
2017,690700,247300,193,"Fällanden",8100,"Schweiz",11
2017,693600,246800,194,"Greifensee",8100,"Schweiz",3
2017,693000,244000,195,"Maur",8100,"Schweiz",39
2017,697000,240700,196,"Mönchaltorf",8100,"Schweiz",12
2017,692200,248800,197,"Schwerzenbach",8100,"Schweiz",5
2017,696700,245000,198,"Uster",8100,"Schweiz",3509
2017,694800,249500,199,"Volketswil",8100,"Schweiz",11
2017,691100,251800,200,"Wangen-Brüttisellen",8100,"Schweiz",11
2017,701000,270000,211,"Altikon",8100,"Schweiz",3
2017,693100,258700,213,"Brütten",8100,"Schweiz",1
2017,696600,268600,214,"Dägerlen",8100,"Schweiz",1
2017,689300,264300,215,"Dättlikon",8100,"Schweiz",4
2017,700000,268000,216,"Dinhard",8100,"Schweiz",4
2017,702700,262500,219,"Elsau",8100,"Schweiz",6
2017,709200,264400,220,"Hagenbuch",8100,"Schweiz",7
2017,695500,266900,221,"Hettlingen",8100,"Schweiz",7
2017,692500,264900,223,"Neftenbach",8100,"Schweiz",6
2017,690500,263400,224,"Pfungen",8100,"Schweiz",5
2017,702200,267700,225,"Rickenbach (ZH)",8100,"Schweiz",4
2017,704700,258400,226,"Schlatt (ZH)",8100,"Schweiz",5
2017,697400,265800,227,"Seuzach",8100,"Schweiz",10
2017,706100,255000,228,"Turbenthal",8100,"Schweiz",8
2017,697200,261700,230,"Winterthur",8100,"Schweiz",5271
2017,700800,257000,231,"Zell (ZH)",8100,"Schweiz",9
2017,675500,243300,241,"Aesch (ZH)",8100,"Schweiz",2
2017,675500,245400,242,"Birmensdorf (ZH)",8100,"Schweiz",17
2017,672500,251000,243,"Dietikon",8100,"Schweiz",128
2017,673400,252600,244,"Geroldswil",8100,"Schweiz",10
2017,677300,251400,245,"Oberengstringen",8100,"Schweiz",62
2017,672200,253500,246,"Oetwil an der Limmat",8100,"Schweiz",3
2017,676200,250000,247,"Schlieren",8100,"Schweiz",4039
2017,676600,247200,248,"Uitikon",8100,"Schweiz",9
2017,676300,251600,249,"Unterengstringen",8100,"Schweiz",6
2017,674400,248400,250,"Urdorf",8100,"Schweiz",35
2017,675200,252600,251,"Weiningen (ZH)",8100,"Schweiz",6
2017,683100,247100,261,"Zürich",8100,"Schweiz",124583
2017,,,294,"Elgg",8100,"Schweiz",14
2017,,,295,"Horgen",8100,"Schweiz",1345
2017,694200,253700,296,"Illnau-Effretikon",8100,"Schweiz",34
2017,708700,247300,297,"Bauma",8100,"Schweiz",131
2017,701700,264300,298,"Wiesendangen",8100,"Schweiz",16
2017,587800,210500,301,"Aarberg",8100,"Schweiz",130
2017,594100,212800,303,"Grossaffoltern",8100,"Schweiz",4
2017,584600,207700,304,"Kallnach",8100,"Schweiz",5
2017,587000,212100,305,"Kappelen",8100,"Schweiz",2
2017,590000,213700,306,"Lyss",8100,"Schweiz",10
2017,594300,206500,307,"Meikirch",8100,"Schweiz",1
2017,587400,207800,309,"Radelfingen",8100,"Schweiz",3
2017,597900,212500,310,"Rapperswil (BE)",8100,"Schweiz",3
2017,595400,209700,311,"Schüpfen",8100,"Schweiz",2
2017,590400,209400,312,"Seedorf (BE)",8100,"Schweiz",5
2017,625100,232200,321,"Aarwangen",8100,"Schweiz",9
2017,630100,220500,322,"Auswil",8100,"Schweiz",1
2017,622500,231800,323,"Bannwil",8100,"Schweiz",2
2017,629500,226100,325,"Busswil bei Melchnau",8100,"Schweiz",1
2017,632900,221800,326,"Gondiswil",8100,"Schweiz",2
2017,626400,229100,329,"Langenthal",8100,"Schweiz",440
2017,626700,226700,331,"Lotzwil",8100,"Schweiz",10
2017,627300,223900,332,"Madiswil",8100,"Schweiz",11
2017,631300,225800,333,"Melchnau",8100,"Schweiz",7
2017,628900,227700,334,"Obersteckholz",8100,"Schweiz",3
2017,629000,232200,337,"Roggwil (BE)",8100,"Schweiz",9
2017,628600,220600,338,"Rohrbach",8100,"Schweiz",5
2017,627200,217300,339,"Rohrbachgraben",8100,"Schweiz",1
2017,625500,224900,340,"Rütschelen",8100,"Schweiz",4
2017,623200,229300,342,"Thunstetten",8100,"Schweiz",5
2017,625300,220700,344,"Ursenbach",8100,"Schweiz",1
2017,628700,234300,345,"Wynau",8100,"Schweiz",10
2017,600100,199700,351,"Bern",8100,"Schweiz",5558
2017,604300,202600,352,"Bolligen",8100,"Schweiz",24
2017,600000,203100,353,"Bremgarten bei Bern",8100,"Schweiz",6
