,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,MT-SYSTEMS SA,2018,Abdichter/in EFZ,Agno (TI)
1,1,SILVANO POZZI SA,2018,Abdichtungspraktiker/in EBA,Balerna (TI)
2,4,Alpiq InTec Schweiz AG,2019,Agrarpraktiker/in EBA,Bern (BE)
3,1,Alpiq InTec Schweiz AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Chur (GR)
4,1,Willi Haustechnik AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Chur (GR)
5,1,Stadelmann + Levin AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Dagmersellen (LU)
6,1,Klimavent SA,2018,Anlagen- und Apparatebauer/in EFZ,Forel (Lavaux) (VD)
7,1,Seven-Air Gebr. Meyer AG,2018,Anlagenführer/in EFZ,Hitzkirch (LU)
8,1,KK-Kühltechnik AG,2018,Architekturmodellbauer/in EFZ,Merenschwand (AG)
9,2,Kälte AG Basel,2018,Assistent/in Gesundheit und Soziales EBA,Münchenstein (BL)
10,2,Schindler AG,2018,Augenoptiker/in EFZ,Münchenstein (BL)
11,1,CTA AG,2019,Automatiker/in EFZ,Münsingen (BE)
12,1,swiss frigo AG,2018,Automatikmonteur/in EFZ,Oberbuchsiten (SO)
13,2,PAVA Paul von Arx AG,2018,Automobil-Assistent/in EBA,Oensingen (SO)
14,2,Carrier Kältetechnik Schweiz AG,2018,Automobil-Fachmann/-frau EFZ,Pratteln (BL)
15,1,Brasser Kälte AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Rhäzüns (GR)
16,1,Climat Gestion SA,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,St-Pierre-de-Clages (VS (fr))
17,1,F. Zaugg AG,2019,Automobil-Mechatroniker/in EFZ,Thun (BE)
18,1,Baumgartner-Kühlanlagen AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Uster (ZH)
19,1,Kälte-Stern AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Visp (VS (de))
20,1,Novoglace AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Visp (VS (de))
21,1,HSK AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Waldkirch (SG)
22,1,Doufas Kältetechnik Schweiz AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Winkel (ZH)
23,1,Viessmann (Schweiz) AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Worb (BE)
24,1,Viessmann (Schweiz) AG,2019,Baumaschinenmechaniker/in EFZ,Worb (BE)
25,1,Grischa Kälte AG,2019,Baupraktiker/in EBA,Zizers (GR)
26,1,Alpiq InTec Schweiz AG,2019,Bauwerktrenner/in EFZ,Chur (GR)
27,1,Kälte 3000 AG,2019,Bekleidungsgestalter/in EFZ,Landquart (GR)
28,1,Kälte AG Basel,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Münchenstein (BL)
29,1,Schindler AG,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Münchenstein (BL)
30,1,Kälte-Stern AG,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Visp (VS (de))
31,1,Grischa Kälte AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Zizers (GR)
32,1,Wanner Kaminfeger AG,2018,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Andelfingen (ZH)
33,1,Hidber Stefan,2019,Bekleidungsnäher/in EBA,Appenzell (AI)
34,1,L,2018,Betonwerker/in EFZ,Coppet (VD)
35,1,H.P. Suter & P. Suter,2018,Boden-Parkettleger/in EFZ,Einsiedeln (SZ)
36,1,Kaminfeger Grätzer GmbH,2018,Boden-Parkettleger/in (Parkett) EFZ,Einsiedeln (SZ)
37,1,Kaminfeger Elmer GmbH,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Elm (GL)
38,1,Bruno Breschan,2018,Bootbauer/in EFZ,Elsau (ZH)
39,1,Ludwig Oesch,2018,Bootfachwart/in EFZ,Embrach (ZH)
40,1,Jenni Erwin,2018,Buchhändler/in EFZ,Ennetbürgen (NW)
41,1,Grau Kaminfeger,2018,Büchsenmacher/in EFZ,Entlebuch (LU)
42,1,Rolf von Siebenthal Kaminfeger GmbH,2019,Bühnentänzer/in EFZ,Feutersoey (BE)
43,1,Sandro Salvi,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Freimettigen (BE)
44,1,Devaud Nicolas,2018,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Gland (VD)
45,1,Real Johannes,2018,Büroassistent/in EBA,Gränichen (AG)
46,1,Ciofalo Kaminfegermeister,2018,Carrosserielackierer/in EFZ,Herisau (AR)
47,1,Jürg Giger,2018,Carrosseriespengler/in EFZ,Hinwil (ZH)
48,1,Rüssli AG,2018,Chemie- und Pharmapraktiker/in EBA,Horw (LU)
49,1,Kaufmann Hans,2018,Chemie- und Pharmatechnologe/-login EFZ,Kerns (OW)
50,1,Peter Wüst,2018,Coiffeur/-euse EBA,Kriessern (SG)
51,1,Bischof & Rohner AG,2018,Coiffeur/-euse EFZ,Meilen (ZH)
52,1,Roman Grünenfelder,2018,Dachdecker/in EFZ,Mels (SG)
53,1,Kaminfeger-Toggenburg GmbH,2018,Dachdeckerpraktiker/in EBA,Mosnang (SG)
54,1,Fritz Joost,2019,Dekorationsnäher/in EBA,Oberdiessbach (BE)
55,1,Dominique Vogel Kaminfegergeschäft,2018,Dentalassistent/in EFZ,Oberwil BL (BL)
56,1,Modoux Philippe,2018,Detailhandelsassistent/in EBA,Oron-la-Ville (VD)
57,1,Keller + Bombana GmbH,2018,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Reichenburg (SZ)
58,1,Andri Kaminfeger GmbH,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Samedan (GR)
59,1,Erwin Ruh,2018,Detailhandelsassistent/in (Consumer-Electronics) EBA,Schaffhausen (SH)
60,1,Hug Feuerungstechnik GmbH,2018,Detailhandelsassistent/in (Do-it-yourself) EBA,Stein am Rhein (SH)
61,1,Kaminfegergeschäft Buchsifeger GmbH,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Urtenen-Schönbühl (BE)
62,1,Ursin Derungs,2019,Detailhandelsassistent/in (Elektrofach) EBA,Vella (GR)
63,1,De Joffrey Daniel,2018,Detailhandelsassistent/in (Farben) EBA,Veytaux-Chillon (VD)
64,3,Roland Loretan,2018,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Visp (VS (de))
65,1,AMAG Zug,2019,Detailhandelsassistent/in (Flower) EBA,Cham (ZG)
66,1,Holzwerkstoffe Gfeller AG,2019,Detailhandelsassistent/in (Garden) EBA,Landquart (GR)
67,1,Mino SA,2018,Detailhandelsassistent/in (Haushalt) EBA,Romanel-sur-Lausanne (VD)
68,1,Sägerei Trachsel AG,2019,Detailhandelsassistent/in (Kiosk) EBA,Rüti b. Riggisberg (BE)
69,1,Näpflin Gebäudehülle AG,2019,Detailhandelsassistent/in (Landi) EBA,Schattdorf (UR)
70,1,Nicol. Hartmann & Cie. AG,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,St. Moritz (GR)
71,1,Pomatti AG,2019,Detailhandelsassistent/in (Möbel) EBA,St. Moritz (GR)
72,1,"Staatssekretariat für Bildung, Forschung",2019,Detailhandelsassistent/in (Musikinstrumente) EBA,Bern (BE)
