,ABB LTD,ADECCO,ALCON,AMS,CLARIANT,CS GROUP,GEBERIT,GIVAUDAN,JULIUS BAER,KUEHNE+NAGEL INT,LAFARGEHOLCIM,LOGITECH,LONZA,NESTLE,NOVARTIS,PARTNERS GROUP,RICHEMONT,ROCHE,SCHINDLER,SGS,SIKA,SONOVA,SWATCH GROUP,SWISS LIFE HOLDING,SWISS RE,SWISSCOM,TEMENOS,UBS GROUP,VIFOR,ZURICH INSURANCE
2014-10-13,19.65,60.400002,,,15.54,23.689698999999997,289.799988,1461.0,39.5,117.300003,60.0476,,99.853996,68.199997,74.122597,236.100006,76.050003,264.100006,123.0,1873.0,51.849998,143.899994,436.10000599999995,211.899994,73.650002,531.5,32.0,15.3,74.449997,279.0
2014-10-14,19.76,60.700001,,,15.58,23.689698999999997,294.399994,1478.0,39.77,118.400002,61.333302,,99.020401,67.949997,73.813202,236.30000299999998,75.900002,264.5,123.800003,1885.0,52.716702000000005,138.399994,435.299988,211.100006,73.050003,530.0,32.5,15.33,75.0,277.600006
2014-10-15,19.16,58.849998,,,15.16,22.817498999999998,288.0,1458.0,37.459998999999996,115.900002,59.4762,,95.407799,66.949997,71.779999,229.30000299999998,75.199997,258.899994,120.5,1854.0,51.799999,134.600006,429.5,205.699997,72.050003,515.5,32.200001,14.73,73.900002,270.399994
2014-10-16,19.26,59.5,,,15.06,22.292299,288.0,1466.0,37.509997999999996,117.099998,58.618999,,95.129898,64.949997,70.7192,231.399994,75.349998,260.5,124.300003,1855.0,51.783297999999995,133.699997,431.5,200.5,71.050003,507.5,31.65,14.5,72.849998,265.899994
2014-10-17,19.4,60.950001,,,15.38,22.7519,297.200012,1494.0,39.119999,117.5,60.809502,,98.186699,66.25,72.664001,239.69999700000002,77.300003,267.700012,127.0,1891.0,53.333302,138.399994,438.5,208.5,71.699997,515.5,32.5,15.05,75.849998,271.899994
2014-10-20,19.389999,60.75,,,15.29,22.9207,300.5,1488.0,38.810001,118.099998,60.809502,,99.020401,66.800003,73.194397,239.69999700000002,77.050003,268.600006,127.800003,1887.0,52.650002,138.199997,438.200012,208.800003,71.550003,519.0,32.299999,15.09,75.400002,272.5
2014-10-21,19.76,62.049999,,,15.5,23.258301,306.5,1524.0,39.25,118.699997,62.142899,,99.205597,67.25,73.857399,242.80000299999998,79.25,274.700012,128.300003,1924.0,53.766701,139.0,449.0,209.699997,72.300003,524.5,33.299999,15.43,78.199997,275.5
2014-10-22,20.25,62.049999,,,15.74,23.4928,309.0,1531.0,39.639998999999996,121.599998,62.4286,,101.429001,67.949997,74.829803,246.899994,79.550003,278.299988,130.699997,1931.0,54.75,141.699997,451.5,212.100006,73.900002,531.5,31.799999,15.62,79.050003,278.5
2014-10-23,20.459999,62.299999,,,15.93,23.042601,311.700012,1540.0,40.16,121.400002,62.5238,,101.057999,68.0,75.492798,248.0,79.400002,279.399994,132.600006,2026.0,55.1833,142.800003,452.10000599999995,214.5,74.900002,535.0,32.0,15.65,80.099998,281.0
2014-10-24,20.309998999999998,62.049999,,,15.8,23.061398999999998,308.899994,1540.0,40.150002,121.0,62.333302,,100.317001,67.949997,75.8022,247.5,78.849998,278.0,131.5,2001.0,54.0667,143.100006,449.5,214.19999700000002,74.699997,537.5,32.049999,15.58,79.75,282.100006
2014-10-27,20.16,61.549999,,,15.71,22.8081,309.5,1546.0,40.119999,120.699997,62.0,,101.335999,68.349998,75.758003,246.100006,79.199997,276.5,131.5,2017.0,53.799999,143.399994,449.39999400000005,212.0,74.699997,540.0,31.9,15.43,79.349998,282.899994
2014-10-28,20.49,62.950001,,,15.87,23.0051,311.299988,1557.0,41.18,121.599998,63.285702,,103.189003,68.900002,77.128197,246.600006,78.900002,278.100006,132.399994,2038.0,55.349998,145.600006,446.299988,215.899994,75.650002,553.5,32.400002,16.32,80.050003,285.100006
