date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.258785,0.264416,0.254671,0.258431,"13,758,321","155,368,540"
"Oct 11, 2019",0.272250,0.279782,0.258891,0.259014,"20,107,004","155,719,063"
"Oct 10, 2019",0.256028,0.276187,0.248982,0.272265,"36,560,148","163,685,075"
"Oct 09, 2019",0.260453,0.279660,0.249235,0.255992,"40,802,410","153,901,912"
"Oct 08, 2019",0.221171,0.261207,0.221166,0.260835,"26,670,610","156,744,682"
"Oct 07, 2019",0.213972,0.227071,0.211214,0.221041,"14,036,665","132,831,195"
"Oct 06, 2019",0.220965,0.222679,0.212048,0.213963,"11,120,018","128,577,354"
"Oct 05, 2019",0.220709,0.225043,0.215099,0.221005,"11,900,295","132,809,596"
"Oct 04, 2019",0.212220,0.228077,0.207868,0.220890,"15,435,350","132,740,351"
"Oct 03, 2019",0.208237,0.214299,0.203028,0.212270,"11,615,416","127,560,232"
"Oct 02, 2019",0.212395,0.220234,0.204007,0.208159,"23,453,377","125,089,952"
"Oct 01, 2019",0.204516,0.222668,0.201463,0.212319,"16,382,086","127,589,643"
"Sep 30, 2019",0.202932,0.209419,0.191728,0.204413,"26,005,769","122,812,002"
"Sep 29, 2019",0.211986,0.213907,0.199101,0.203116,"14,814,277","122,032,646"
"Sep 28, 2019",0.215583,0.220975,0.211383,0.211983,"86,337,729","127,359,939"
"Sep 27, 2019",0.220029,0.225618,0.212363,0.215705,"24,362,698","129,596,278"
"Sep 26, 2019",0.212522,0.235153,0.209178,0.220079,"33,724,342","132,224,122"
"Sep 25, 2019",0.191848,0.212639,0.190429,0.212402,"23,000,991","127,611,766"
"Sep 24, 2019",0.209914,0.232788,0.185307,0.192698,"23,121,203","115,773,754"
"Sep 23, 2019",0.237644,0.238456,0.209120,0.209769,"15,656,099","126,029,614"
"Sep 22, 2019",0.246064,0.257757,0.232392,0.238362,"21,577,848","143,208,728"
"Sep 21, 2019",0.233584,0.254728,0.224601,0.246262,"24,774,448","147,954,685"
"Sep 20, 2019",0.226809,0.259734,0.213366,0.233634,"47,224,253","140,367,917"
