close,date,high,low,marketcap,open,volume
0.429238,"Oct 14, 2018",0.487826,0.426196,"104,937,364",0.447266,"7,326,170"
0.448424,"Oct 13, 2018",0.479761,0.372617,"87,423,197",0.372617,"9,187,830"
0.372549,"Oct 12, 2018",0.397000,0.363922,"87,693,579",0.373769,"1,889,440"
0.376927,"Oct 11, 2018",0.444524,0.374323,"99,698,055",0.443507,"2,725,420"
0.441728,"Oct 10, 2018",0.446755,0.428710,"100,387,874",0.446575,"1,362,330"
0.448563,"Oct 09, 2018",0.453373,0.435685,"100,623,820",0.447625,"1,374,390"
0.446295,"Oct 08, 2018",0.447220,0.426331,"98,049,404",0.436173,"2,300,260"
0.435007,"Oct 07, 2018",0.446234,0.429786,"99,675,318",0.443406,"1,357,790"
0.441701,"Oct 06, 2018",0.454063,0.431507,"100,923,974",0.448960,"1,819,650"
0.446812,"Oct 05, 2018",0.453673,0.416828,"94,746,046",0.421478,"3,131,440"
0.422195,"Oct 04, 2018",0.430912,0.410585,"92,404,522",0.411061,"1,849,630"
0.410113,"Oct 03, 2018",0.424647,0.394750,"95,360,000",0.424209,"2,506,850"
0.423568,"Oct 02, 2018",0.444059,0.411295,"94,606,417",0.420857,"4,067,510"
0.422602,"Oct 01, 2018",0.436675,0.412783,"93,269,423",0.414909,"2,456,140"
0.416852,"Sep 30, 2018",0.425732,0.408513,"94,378,249",0.419842,"1,413,870"
0.419475,"Sep 29, 2018",0.422044,0.403445,"94,159,647",0.418869,"2,104,850"
0.420120,"Sep 28, 2018",0.436146,0.413560,"96,030,082",0.427190,"1,163,590"
0.427399,"Sep 27, 2018",0.432615,0.401761,"92,662,108",0.412207,"1,037,810"
0.411663,"Sep 26, 2018",0.421033,0.393743,"93,030,897",0.413848,"1,645,480"
0.413524,"Sep 25, 2018",0.434124,0.397520,"97,580,164",0.434085,"1,850,110"
0.439992,"Sep 24, 2018",0.497398,0.437822,"103,387,280",0.462292,"2,314,010"
0.461561,"Sep 23, 2018",0.473925,0.452177,"101,436,185",0.453568,"918,077"
0.453247,"Sep 22, 2018",0.487603,0.438006,"107,327,839",0.479912,"1,316,060"
0.478113,"Sep 21, 2018",0.479776,0.452288,"103,473,378",0.462677,"2,038,810"
0.462788,"Sep 20, 2018",0.463460,0.421506,"96,407,310",0.431082,"2,022,400"
0.430477,"Sep 19, 2018",0.439142,0.393055,"91,606,658",0.409616,"1,745,000"
0.411753,"Sep 18, 2018",0.422208,0.396960,"89,349,633",0.399523,"1,722,960"
0.399340,"Sep 17, 2018",0.460049,0.391490,"100,999,800",0.451617,"1,749,150"
0.451935,"Sep 16, 2018",0.459831,0.427100,"96,853,944",0.446719,"1,732,090"
0.446407,"Sep 15, 2018",0.466895,0.435429,"95,514,451",0.440541,"1,470,700"
0.441841,"Sep 14, 2018",0.449018,0.405890,"94,865,834",0.437549,"2,055,710"
0.436464,"Sep 13, 2018",0.461387,0.412495,"89,581,574",0.413177,"2,343,260"
0.414354,"Sep 12, 2018",0.415091,0.365372,"85,362,523",0.393717,"1,336,660"
0.393985,"Sep 11, 2018",0.432935,0.383715,"92,916,453",0.428558,"1,176,760"
0.428359,"Sep 10, 2018",0.441235,0.417575,"89,620,119",0.432975,"655,509"
0.432509,"Sep 09, 2018",0.453806,0.410166,"87,324,655",0.421885,"1,158,130"
