date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.056122,0.057210,0.054925,0.055423,"2,581,593","55,367,372"
"Oct 11, 2019",0.056756,0.057758,0.054851,0.056134,"2,422,711","56,077,719"
"Oct 10, 2019",0.058443,0.058855,0.055626,0.056778,"3,099,642","56,721,337"
"Oct 09, 2019",0.059018,0.060047,0.056654,0.058183,"2,672,286","58,125,282"
"Oct 08, 2019",0.056530,0.059545,0.056003,0.059018,"3,465,693","58,958,902"
"Oct 07, 2019",0.055989,0.058050,0.054183,0.056578,"2,934,968","56,521,587"
"Oct 06, 2019",0.057765,0.058808,0.054631,0.056161,"1,908,512","56,104,595"
"Oct 05, 2019",0.057902,0.060458,0.056701,0.057774,"1,877,060","57,716,672"
"Oct 04, 2019",0.056779,0.058328,0.053817,0.057993,"1,333,883","57,935,262"
"Oct 03, 2019",0.054758,0.059170,0.054758,0.056916,"2,330,729","56,859,102"
"Oct 02, 2019",0.052662,0.055425,0.051723,0.054861,"1,172,328","54,806,400"
"Oct 01, 2019",0.052191,0.054241,0.051698,0.053018,"959,436","52,965,085"
"Sep 30, 2019",0.051582,0.053591,0.050680,0.052048,"1,083,512","51,996,132"
"Sep 29, 2019",0.054476,0.055310,0.050602,0.051631,"904,547","51,579,808"
"Sep 28, 2019",0.052811,0.056193,0.052572,0.054713,"833,243","54,658,699"
"Sep 27, 2019",0.051314,0.053506,0.050180,0.052837,"1,098,123","52,784,131"
"Sep 26, 2019",0.053006,0.054576,0.048439,0.051272,"900,091","51,220,550"
"Sep 25, 2019",0.052390,0.053780,0.049911,0.053006,"1,537,456","52,953,357"
"Sep 24, 2019",0.060837,0.062193,0.052297,0.052297,"1,569,556","52,244,292"
"Sep 23, 2019",0.065407,0.068874,0.059459,0.060801,"1,847,629","60,739,719"
"Sep 22, 2019",0.061968,0.068683,0.060315,0.065575,"1,706,682","65,509,856"
"Sep 21, 2019",0.063692,0.064725,0.060899,0.061968,"1,241,907","61,905,971"
"Sep 20, 2019",0.060535,0.064894,0.059150,0.063500,"2,105,594","63,436,408"
"Sep 19, 2019",0.061791,0.061791,0.056818,0.060523,"1,086,927","60,462,886"
"Sep 18, 2019",0.059956,0.067263,0.059081,0.061784,"2,841,016","61,722,070"
"Sep 17, 2019",0.060114,0.060425,0.057235,0.060035,"1,145,819","59,975,072"
"Sep 16, 2019",0.058171,0.060723,0.057906,0.060113,"1,124,885","60,052,902"
"Sep 15, 2019",0.056641,0.058280,0.056054,0.058103,"722,144","58,044,616"
"Sep 14, 2019",0.056983,0.057105,0.055719,0.056799,"656,801","56,742,167"
"Sep 13, 2019",0.056480,0.057062,0.055160,0.057006,"637,478","56,948,592"
"Sep 12, 2019",0.056196,0.057088,0.055278,0.056482,"648,078","56,425,847"
"Sep 11, 2019",0.059623,0.060677,0.055837,0.056129,"1,119,269","56,073,333"
"Sep 10, 2019",0.059869,0.063123,0.058750,0.059629,"2,039,537","59,568,867"
"Sep 09, 2019",0.056499,0.067997,0.056453,0.059757,"5,023,004","59,696,913"
"Sep 08, 2019",0.056196,0.057930,0.055300,0.056500,"544,164","56,443,905"
"Sep 07, 2019",0.054337,0.057090,0.053650,0.056223,"777,758","56,166,528"
"Sep 06, 2019",0.056204,0.058067,0.053764,0.054340,"622,367","54,286,034"
"Sep 05, 2019",0.056755,0.058103,0.056011,0.056204,"605,961","56,147,277"
"Sep 04, 2019",0.056289,0.059459,0.055626,0.056735,"884,802","56,678,360"
