close,date,high,low,marketcap,open,volume
0.697774,"Oct 14, 2018",0.718039,0.696407,"74,363,977",0.703618,"377,656"
0.704697,"Oct 13, 2018",0.709687,0.676925,"71,531,085",0.676925,"421,951"
0.676935,"Oct 12, 2018",0.698837,0.660192,"69,849,297",0.661022,"360,220"
0.669608,"Oct 11, 2018",0.765482,0.665103,"80,172,545",0.758780,"769,311"
0.764618,"Oct 10, 2018",0.785923,0.726526,"79,044,530",0.748145,"1,397,990"
0.750964,"Oct 09, 2018",0.768451,0.726124,"77,294,269",0.731620,"797,961"
0.729514,"Oct 08, 2018",0.740913,0.720903,"77,499,671",0.733712,"548,975"
0.730561,"Oct 07, 2018",0.736325,0.693669,"74,242,014",0.703013,"516,995"
0.698596,"Oct 06, 2018",0.702075,0.686122,"73,798,928",0.698960,"257,895"
0.699095,"Oct 05, 2018",0.704401,0.687257,"74,076,818",0.701736,"233,097"
0.699487,"Oct 04, 2018",0.710384,0.689900,"73,183,532",0.693407,"261,598"
0.693976,"Oct 03, 2018",0.718682,0.681893,"75,463,393",0.715142,"239,540"
0.715635,"Oct 02, 2018",0.751013,0.708081,"76,056,620",0.720909,"527,122"
0.723538,"Oct 01, 2018",0.729021,0.703870,"75,069,464",0.711698,"276,687"
0.713016,"Sep 30, 2018",0.779034,0.698282,"75,901,167",0.719729,"1,098,460"
0.721113,"Sep 29, 2018",0.727608,0.698327,"75,395,105",0.715077,"316,344"
0.716394,"Sep 28, 2018",0.745387,0.696811,"78,036,389",0.740279,"239,308"
0.736520,"Sep 27, 2018",0.742179,0.692801,"73,414,059",0.696573,"743,610"
0.695635,"Sep 26, 2018",0.705461,0.660668,"72,271,617",0.685873,"458,011"
0.684960,"Sep 25, 2018",0.721054,0.666366,"75,595,356",0.717508,"419,225"
0.718473,"Sep 24, 2018",0.748785,0.706819,"77,238,919",0.733159,"380,109"
0.733304,"Sep 23, 2018",0.784172,0.704954,"75,137,439",0.713357,"715,417"
0.713736,"Sep 22, 2018",0.746235,0.689008,"77,657,686",0.737435,"284,528"
0.737857,"Sep 21, 2018",0.784969,0.701446,"74,168,552",0.704446,"776,102"
0.703629,"Sep 20, 2018",0.704724,0.666784,"70,434,096",0.669114,"212,983"
0.665393,"Sep 19, 2018",0.681613,0.639777,"71,449,590",0.678900,"417,607"
0.681064,"Sep 18, 2018",0.686682,0.649402,"69,211,960",0.657773,"220,431"
0.659741,"Sep 17, 2018",0.744652,0.650571,"76,326,606",0.725538,"456,217"
0.727121,"Sep 16, 2018",0.785259,0.663968,"71,117,373",0.676159,"753,058"
0.675059,"Sep 15, 2018",0.691793,0.649706,"68,538,173",0.651770,"237,538"
0.652807,"Sep 14, 2018",0.703909,0.631373,"67,699,216",0.643925,"701,478"
0.645493,"Sep 13, 2018",0.653511,0.589494,"61,963,951",0.589494,"319,794"
