close,date,high,low,marketcap,open,volume
12.05,"Oct 14, 2018",12.46,12.05,"136,107,827",12.37,"1,343,420"
12.46,"Oct 13, 2018",13.30,11.79,"129,658,434",11.79,"3,820,300"
11.79,"Oct 12, 2018",12.10,11.20,"127,212,362",11.56,"2,121,750"
11.71,"Oct 11, 2018",13.28,11.71,"145,952,003",13.27,"2,316,060"
13.29,"Oct 10, 2018",13.52,12.91,"144,388,774",13.13,"2,505,790"
13.16,"Oct 09, 2018",13.19,12.83,"144,964,100",13.18,"1,841,010"
13.16,"Oct 08, 2018",13.27,12.74,"140,898,738",12.81,"1,561,390"
12.76,"Oct 07, 2018",12.81,12.48,"139,161,630",12.65,"1,867,270"
12.61,"Oct 06, 2018",13.05,12.51,"140,498,214",12.77,"2,753,660"
12.74,"Oct 05, 2018",13.12,12.54,"142,126,127",12.92,"2,780,060"
12.90,"Oct 04, 2018",13.16,12.83,"141,790,434",12.89,"1,522,490"
12.90,"Oct 03, 2018",13.24,12.68,"145,586,832",13.24,"1,526,180"
13.24,"Oct 02, 2018",13.75,13.23,"145,718,864",13.25,"2,414,400"
13.27,"Oct 01, 2018",13.81,13.17,"147,477,373",13.41,"2,143,750"
13.42,"Sep 30, 2018",14.24,13.30,"148,797,802",13.53,"2,737,270"
13.51,"Sep 29, 2018",14.09,12.92,"145,186,360",13.20,"2,810,850"
13.21,"Sep 28, 2018",13.60,13.01,"147,954,572",13.45,"2,324,190"
13.45,"Sep 27, 2018",13.56,12.80,"141,363,044",12.85,"2,936,250"
12.83,"Sep 26, 2018",13.11,12.65,"143,976,333",13.09,"3,499,230"
13.05,"Sep 25, 2018",14.60,12.59,"145,385,878",13.22,"8,715,590"
13.23,"Sep 24, 2018",13.63,13.03,"148,910,553",13.54,"2,372,200"
13.52,"Sep 23, 2018",13.93,13.45,"149,419,506",13.58,"2,534,470"
13.57,"Sep 22, 2018",14.28,13.23,"156,716,231",14.25,"2,940,850"
14.28,"Sep 21, 2018",14.35,12.95,"144,925,694",13.18,"5,523,920"
13.16,"Sep 20, 2018",13.17,12.34,"137,108,540",12.46,"2,871,980"
12.46,"Sep 19, 2018",12.59,12.07,"136,976,644",12.45,"3,169,380"
12.63,"Sep 18, 2018",12.95,12.15,"135,354,605",12.30,"2,888,360"
12.31,"Sep 17, 2018",13.73,12.08,"148,574,388",13.51,"2,900,700"
13.50,"Sep 16, 2018",13.59,13.06,"146,532,470",13.32,"2,711,220"
13.30,"Sep 15, 2018",14.20,13.14,"148,680,047",13.52,"3,059,960"
13.53,"Sep 14, 2018",14.35,13.48,"153,640,105",13.97,"3,113,790"
14.01,"Sep 13, 2018",14.40,13.22,"145,965,127",13.27,"3,512,250"
13.26,"Sep 12, 2018",14.00,12.67,"153,806,326",13.98,"5,147,750"
13.97,"Sep 11, 2018",15.12,13.77,"155,882,338",14.17,"4,538,460"
14.13,"Sep 10, 2018",14.88,13.94,"160,190,102",14.56,"2,370,610"
14.56,"Sep 09, 2018",15.22,13.72,"155,919,222",14.17,"2,119,450"
14.25,"Sep 08, 2018",15.78,14.00,"171,100,482",15.55,"3,937,830"
15.55,"Sep 07, 2018",16.69,15.54,"181,485,649",16.50,"5,314,900"
16.53,"Sep 06, 2018",17.20,15.91,"189,205,631",17.20,"6,730,980"
17.21,"Sep 05, 2018",20.82,17.21,"227,843,727",20.71,"9,782,130"
20.71,"Sep 04, 2018",20.86,20.44,"226,479,973",20.59,"19,533,100"
20.54,"Sep 03, 2018",20.84,20.00,"222,192,560",20.20,"5,369,750"
20.21,"Sep 02, 2018",20.85,20.12,"224,115,370",20.37,"5,954,680"
20.32,"Sep 01, 2018",20.83,19.63,"215,983,932",19.63,"4,158,190"
19.67,"Aug 31, 2018",20.28,19.53,"220,493,448",20.04,"5,209,030"
20.03,"Aug 30, 2018",20.85,19.22,"228,170,231",20.74,"10,134,700"
20.77,"Aug 29, 2018",21.35,20.22,"231,713,579",21.06,"3,621,450"
21.01,"Aug 28, 2018",21.13,19.95,"219,496,439",19.95,"3,303,450"
19.96,"Aug 27, 2018",19.96,19.10,"212,904,743",19.36,"3,424,380"
19.39,"Aug 26, 2018",19.47,18.85,"211,163,481",19.20,"3,194,220"
19.14,"Aug 25, 2018",19.37,18.63,"209,411,686",19.04,"4,931,800"
19.03,"Aug 24, 2018",19.48,18.25,"210,245,464",19.11,"5,364,400"
19.10,"Aug 23, 2018",19.10,18.41,"204,479,029",18.59,"3,176,740"
18.58,"Aug 22, 2018",19.87,18.22,"212,528,830",19.32,"3,726,960"
19.33,"Aug 21, 2018",19.36,17.64,"195,349,260",17.76,"3,661,380"
17.76,"Aug 20, 2018",18.97,17.61,"205,355,356",18.67,"3,811,830"
18.67,"Aug 19, 2018",19.22,17.71,"199,318,289",18.12,"10,111,800"
18.15,"Aug 18, 2018",20.05,17.42,"215,803,350",19.62,"7,050,280"
19.51,"Aug 17, 2018",19.59,16.78,"186,873,423",16.99,"9,262,880"
16.97,"Aug 16, 2018",17.76,16.05,"182,192,451",16.56,"7,598,550"
16.57,"Aug 15, 2018",17.72,16.44,"180,793,198",16.44,"11,714,600"
16.35,"Aug 14, 2018",19.13,15.16,"210,436,558",19.13,"25,632,900"
19.13,"Aug 13, 2018",21.84,19.13,"231,280,912",21.03,"61,363,300"
20.98,"Aug 12, 2018",21.76,20.51,"228,656,315",20.79,"3,977,690"
20.86,"Aug 11, 2018",23.09,19.48,"253,386,467",23.04,"4,991,570"
23.06,"Aug 10, 2018",25.87,22.70,"282,978,067",25.73,"5,297,180"
25.72,"Aug 09, 2018",26.68,22.44,"247,498,825",22.50,"8,747,550"
22.51,"Aug 08, 2018",26.85,22.51,"295,329,296",26.85,"6,044,940"
26.82,"Aug 07, 2018",28.43,26.71,"306,882,519",27.90,"4,668,950"
28.00,"Aug 06, 2018",28.93,27.69,"315,932,308",28.72,"5,592,500"
28.64,"Aug 05, 2018",29.22,27.89,"309,434,628",28.13,"3,708,010"
28.14,"Aug 04, 2018",29.64,27.99,"325,160,372",29.56,"5,006,460"
29.56,"Aug 03, 2018",30.39,27.98,"322,467,146",29.32,"7,416,200"
29.35,"Aug 02, 2018",30.81,29.35,"332,969,208",30.27,"10,780,500"
30.30,"Aug 01, 2018",31.08,28.36,"332,731,453",30.25,"10,811,800"
30.12,"Jul 31, 2018",31.29,29.60,"344,222,195",31.29,"9,819,490"
31.37,"Jul 30, 2018",31.95,30.04,"334,967,590",30.45,"16,003,700"
30.52,"Jul 29, 2018",31.56,30.06,"331,264,992",30.11,"30,949,800"
30.04,"Jul 28, 2018",30.59,29.93,"335,632,000",30.51,"8,273,690"
30.52,"Jul 27, 2018",31.06,29.37,"329,116,704",29.92,"24,591,700"
30.01,"Jul 26, 2018",31.34,29.70,"331,457,504",30.13,"7,979,120"
29.96,"Jul 25, 2018",31.07,28.98,"332,934,784",30.27,"14,896,400"
30.54,"Jul 24, 2018",32.29,29.14,"353,785,312",32.16,"29,952,500"
32.12,"Jul 23, 2018",38.40,32.00,"395,407,072",35.95,"28,326,000"
35.42,"Jul 22, 2018",42.39,29.39,"327,512,896",29.77,"57,818,900"
29.78,"Jul 21, 2018",29.95,28.09,"311,580,512",28.33,"1,951,460"
28.40,"Jul 20, 2018",30.55,28.21,"336,096,192",30.55,"3,127,440"
30.45,"Jul 19, 2018",31.33,29.85,"344,124,000",31.28,"4,218,620"
31.31,"Jul 18, 2018",32.79,30.74,"347,955,296",31.63,"6,631,890"
31.59,"Jul 17, 2018",32.18,29.88,"331,595,008",30.15,"4,549,960"
30.11,"Jul 16, 2018",30.46,28.58,"315,864,992",28.72,"2,647,300"
28.63,"Jul 15, 2018",29.01,27.80,"313,328,384",28.48,"3,537,720"
28.50,"Jul 14, 2018",28.63,27.68,"309,307,904",28.12,"2,083,570"
28.13,"Jul 13, 2018",30.81,27.76,"333,824,704",30.35,"9,152,230"
30.24,"Jul 12, 2018",32.03,29.90,"352,312,416",32.03,"3,290,510"
32.04,"Jul 11, 2018",32.10,30.27,"340,219,008",30.93,"3,034,290"
30.94,"Jul 10, 2018",34.37,30.94,"378,052,416",34.37,"2,929,920"
