close,date,high,low,marketcap,open,volume
0.020347,"Oct 14, 2018",0.021356,0.019946,"74,739,438",0.021133,"580,078"
0.021105,"Oct 13, 2018",0.021865,0.020655,"72,470,508",0.020933,"430,925"
0.020980,"Oct 12, 2018",0.021382,0.020589,"71,478,764",0.020647,"468,526"
0.020693,"Oct 11, 2018",0.023842,0.020524,"82,501,950",0.023833,"669,398"
0.023897,"Oct 10, 2018",0.025474,0.023611,"84,829,063",0.024507,"683,857"
0.024586,"Oct 09, 2018",0.026171,0.024281,"89,371,348",0.025820,"972,024"
0.025767,"Oct 08, 2018",0.027434,0.025760,"91,587,482",0.026460,"573,516"
0.026312,"Oct 07, 2018",0.027506,0.025757,"90,083,711",0.026026,"821,359"
0.025964,"Oct 06, 2018",0.027654,0.025399,"92,041,168",0.026591,"699,029"
0.026679,"Oct 05, 2018",0.028130,0.023701,"90,514,613",0.026150,"841,417"
0.026205,"Oct 04, 2018",0.027394,0.020812,"77,362,243",0.022350,"838,793"
0.022466,"Oct 03, 2018",0.022720,0.018829,"71,597,384",0.020685,"697,272"
0.020647,"Oct 02, 2018",0.021795,0.020460,"72,981,249",0.021085,"705,694"
0.021160,"Oct 01, 2018",0.021908,0.020653,"73,182,403",0.021143,"516,471"
0.021151,"Sep 30, 2018",0.022688,0.020638,"75,730,983",0.021885,"515,097"
0.021923,"Sep 29, 2018",0.023232,0.021481,"80,392,159",0.023232,"532,351"
0.023227,"Sep 28, 2018",0.024465,0.022987,"84,585,489",0.024445,"584,038"
0.024296,"Sep 27, 2018",0.025052,0.023765,"85,052,096",0.024580,"647,778"
0.024724,"Sep 26, 2018",0.026328,0.023557,"86,394,254",0.024963,"770,835"
0.024937,"Sep 25, 2018",0.027866,0.022166,"96,481,319",0.027866,"796,990"
0.027885,"Sep 24, 2018",0.028605,0.021408,"77,610,115",0.022413,"921,759"
0.022295,"Sep 23, 2018",0.027215,0.022046,"84,071,713",0.024279,"731,967"
0.024222,"Sep 22, 2018",0.028397,0.024196,"97,454,098",0.028144,"717,209"
0.028267,"Sep 21, 2018",0.033145,0.025148,"105,854,893",0.030571,"1,153,020"
0.031326,"Sep 20, 2018",0.038218,0.019431,"69,151,580",0.019971,"1,334,890"
0.019957,"Sep 19, 2018",0.023178,0.019401,"78,074,347",0.022548,"1,327,440"
0.022553,"Sep 18, 2018",0.030926,0.021345,"93,731,349",0.027070,"630,884"
0.027150,"Sep 17, 2018",0.044181,0.026413,"110,418,580",0.031901,"856,929"
0.031283,"Sep 16, 2018",0.037777,0.020709,"83,635,682",0.024164,"841,682"
0.024335,"Sep 15, 2018",0.025380,0.017840,"70,655,724",0.020415,"764,937"
0.020855,"Sep 14, 2018",0.023293,0.017908,"66,190,241",0.019125,"695,876"
0.019080,"Sep 13, 2018",0.021344,0.013762,"48,715,821",0.014078,"696,376"
0.014020,"Sep 12, 2018",0.015485,0.008619,"37,243,146",0.010763,"410,845"
0.010780,"Sep 11, 2018",0.012891,0.010552,"44,091,779",0.012743,"292,580"
0.012776,"Sep 10, 2018",0.013953,0.012605,"47,216,999",0.013646,"269,299"
0.013569,"Sep 09, 2018",0.015092,0.013391,"52,220,337",0.015092,"272,296"
0.015235,"Sep 08, 2018",0.016989,0.014865,"57,008,861",0.016476,"313,066"
0.016494,"Sep 07, 2018",0.017449,0.015661,"59,315,624",0.017143,"426,537"
0.016808,"Sep 06, 2018",0.018300,0.016455,"63,091,361",0.018234,"328,121"
0.018159,"Sep 05, 2018",0.021955,0.018159,"75,371,389",0.021782,"576,289"
0.021875,"Sep 04, 2018",0.022869,0.021435,"75,602,037",0.021848,"665,842"
0.021684,"Sep 03, 2018",0.022871,0.021133,"78,956,090",0.022818,"791,968"
0.022843,"Sep 02, 2018",0.022943,0.021719,"75,863,383",0.021925,"859,998"
0.021952,"Sep 01, 2018",0.022749,0.021433,"77,560,994",0.022416,"741,804"
0.022640,"Aug 31, 2018",0.023039,0.020225,"71,116,100",0.020553,"1,106,180"
0.020705,"Aug 30, 2018",0.021086,0.019102,"67,552,949",0.019524,"1,040,550"
0.019655,"Aug 29, 2018",0.020762,0.019185,"70,962,646",0.020511,"482,878"
0.020512,"Aug 28, 2018",0.021090,0.018853,"66,652,587",0.019266,"157,655"
0.019277,"Aug 27, 2018",0.019641,0.017315,"61,673,351",0.017828,"160,947"
0.017675,"Aug 26, 2018",0.017725,0.016810,"60,440,836",0.017472,"134,664"
0.017487,"Aug 25, 2018",0.018216,0.017398,"62,316,142",0.018014,"155,537"
0.018041,"Aug 24, 2018",0.019138,0.017292,"65,815,817",0.019027,"162,247"
0.018888,"Aug 23, 2018",0.019261,0.018095,"62,592,798",0.018095,"171,381"
0.018142,"Aug 22, 2018",0.021831,0.017683,"63,078,822",0.018237,"183,906"
0.018004,"Aug 21, 2018",0.018701,0.016923,"62,319,536",0.018018,"108,739"
0.018009,"Aug 20, 2018",0.021509,0.017751,"72,551,062",0.020985,"121,186"
0.020954,"Aug 19, 2018",0.021579,0.019522,"74,606,185",0.021579,"87,956"
0.021407,"Aug 18, 2018",0.023633,0.020604,"80,248,351",0.023211,"106,236"
0.023114,"Aug 17, 2018",0.023185,0.020916,"72,725,581",0.021035,"214,474"
0.020927,"Aug 16, 2018",0.022386,0.019294,"73,079,151",0.021137,"1,154,270"
0.021150,"Aug 15, 2018",0.026279,0.017588,"61,060,038",0.017661,"1,230,410"
0.017617,"Aug 14, 2018",0.029460,0.015613,"101,854,180",0.029460,"1,324,530"
0.028997,"Aug 13, 2018",0.035233,0.028764,"101,510,482",0.029361,"1,245,860"
0.029155,"Aug 12, 2018",0.033356,0.028900,"111,361,564",0.032210,"687,853"
0.032899,"Aug 11, 2018",0.045139,0.032899,"156,062,099",0.045139,"723,310"
0.045446,"Aug 10, 2018",0.046216,0.041536,"149,822,089",0.043335,"1,222,300"
0.042934,"Aug 09, 2018",0.046572,0.040270,"139,226,761",0.040270,"2,330,730"
0.040135,"Aug 08, 2018",0.047810,0.039679,"112,919,658",0.043431,"2,178,990"
0.043058,"Aug 07, 2018",0.047035,0.041248,"107,244,106",0.041248,"2,208,170"
0.041154,"Aug 06, 2018",0.043038,0.039391,"102,859,500",0.039561,"2,055,110"
0.039527,"Aug 05, 2018",0.040360,0.038398,"100,297,618",0.038576,"2,188,780"
0.038539,"Aug 04, 2018",0.041933,0.038341,"106,919,613",0.041123,"2,049,180"
0.040601,"Aug 03, 2018",0.042576,0.038445,"105,395,918",0.040537,"1,877,150"
0.041469,"Aug 02, 2018",0.042676,0.037227,"108,157,434",0.041599,"1,609,960"
0.041616,"Aug 01, 2018",0.042418,0.037576,-,0.040286,"1,388,910"
0.042137,"Jul 31, 2018",0.043418,0.038382,-,0.040796,"1,708,880"
0.041092,"Jul 30, 2018",0.045913,0.039713,-,0.044143,"2,197,120"
0.043958,"Jul 29, 2018",0.047429,0.037742,-,0.039244,"1,970,530"
0.038791,"Jul 28, 2018",0.046231,0.035890,-,0.038467,"1,730,220"
0.037749,"Jul 27, 2018",0.046809,0.037313,-,0.038237,"1,861,770"
0.038510,"Jul 26, 2018",0.041093,0.033542,-,0.033542,"1,781,020"
0.033658,"Jul 25, 2018",0.036972,0.033386,-,0.034549,"1,840,730"
0.034613,"Jul 24, 2018",0.048325,0.033663,-,0.042401,"2,201,440"
