close,date,high,low,marketcap,open,volume
1.27,"Oct 14, 2018",1.30,1.27,"75,089,875",1.30,"2,244,690"
1.30,"Oct 13, 2018",1.31,1.29,"74,547,535",1.29,"1,875,420"
1.29,"Oct 12, 2018",1.31,1.26,"73,375,661",1.27,"2,896,250"
1.27,"Oct 11, 2018",1.49,1.27,"85,954,877",1.49,"2,923,460"
1.49,"Oct 10, 2018",1.49,1.47,"86,353,933",1.49,"2,222,800"
1.50,"Oct 09, 2018",1.51,1.48,"86,934,637",1.51,"1,719,720"
1.50,"Oct 08, 2018",1.51,1.47,"85,273,760",1.48,"1,821,100"
1.47,"Oct 07, 2018",1.49,1.46,"85,425,831",1.48,"1,113,610"
1.48,"Oct 06, 2018",1.49,1.47,"86,280,784",1.49,"1,161,170"
1.49,"Oct 05, 2018",1.50,1.46,"84,959,033",1.47,"2,923,420"
1.47,"Oct 04, 2018",1.49,1.45,"84,240,965",1.46,"1,801,060"
1.46,"Oct 03, 2018",1.49,1.43,"85,672,992",1.48,"2,020,610"
1.49,"Oct 02, 2018",1.52,1.47,"86,378,561",1.50,"2,405,470"
1.50,"Oct 01, 2018",1.53,1.48,"86,827,891",1.51,"1,599,810"
1.51,"Sep 30, 2018",1.53,1.49,"86,922,074",1.51,"1,693,560"
1.51,"Sep 29, 2018",1.52,1.42,"84,277,469",1.46,"2,261,760"
1.46,"Sep 28, 2018",1.51,1.44,"85,831,890",1.49,"2,290,830"
1.49,"Sep 27, 2018",1.50,1.39,"82,002,253",1.42,"2,618,570"
1.42,"Sep 26, 2018",1.45,1.37,"81,773,543",1.42,"2,528,510"
1.41,"Sep 25, 2018",1.47,1.36,"78,480,453",1.47,"3,777,050"
1.47,"Sep 24, 2018",1.58,1.46,"84,275,151",1.57,"2,177,180"
1.57,"Sep 23, 2018",1.95,1.49,"83,022,463",1.55,"3,083,620"
1.59,"Sep 22, 2018",2.00,1.49,"83,684,232",1.56,"3,558,670"
1.56,"Sep 21, 2018",1.57,1.43,"77,382,805",1.44,"3,332,760"
