close,date,high,low,marketcap,open,volume
0.172347,"Oct 14, 2018",0.177813,0.171352,"177,163,348",0.177163,"3,858,440"
0.176788,"Oct 13, 2018",0.182871,0.174056,"179,318,935",0.179319,"3,711,450"
0.178842,"Oct 12, 2018",0.189153,0.157955,"162,059,382",0.162059,"11,341,600"
0.163987,"Oct 11, 2018",0.183611,0.155979,"180,154,115",0.180154,"8,890,810"
0.180738,"Oct 10, 2018",0.182635,0.172994,"179,558,769",0.179559,"5,397,420"
0.180125,"Oct 09, 2018",0.180650,0.176534,"178,345,069",0.178345,"2,740,720"
0.177897,"Oct 08, 2018",0.179294,0.174037,"176,204,428",0.176204,"2,678,130"
0.175539,"Oct 07, 2018",0.176486,0.170849,"174,162,820",0.174163,"2,542,700"
0.173689,"Oct 06, 2018",0.183911,0.170953,"180,914,670",0.180915,"3,027,690"
0.180872,"Oct 05, 2018",0.183375,0.171327,"171,584,323",0.171584,"5,578,560"
0.171474,"Oct 04, 2018",0.173776,0.165303,"165,865,615",0.165866,"2,957,670"
0.165743,"Oct 03, 2018",0.170549,0.163475,"170,549,050",0.170549,"2,113,960"
0.170755,"Oct 02, 2018",0.176940,0.170178,"171,163,261",0.171163,"3,019,370"
0.171407,"Oct 01, 2018",0.174089,0.168184,"170,990,556",0.170991,"2,416,960"
0.171174,"Sep 30, 2018",0.174285,0.167388,"168,343,201",0.168343,"1,763,310"
0.168362,"Sep 29, 2018",0.170781,0.162081,"169,089,004",0.169089,"2,049,280"
0.169157,"Sep 28, 2018",0.177301,0.164497,"174,616,024",0.174616,"3,452,890"
0.174372,"Sep 27, 2018",0.175715,0.160669,"164,467,156",0.164467,"3,360,290"
0.164532,"Sep 26, 2018",0.168264,0.157820,"164,825,499",0.164825,"3,206,750"
0.163104,"Sep 25, 2018",0.164537,0.151394,"164,537,057",0.164537,"5,401,860"
0.164372,"Sep 24, 2018",0.176360,0.163422,"175,256,878",0.175257,"2,792,720"
0.174988,"Sep 23, 2018",0.179143,0.172351,"175,962,940",0.175963,"2,298,730"
0.175627,"Sep 22, 2018",0.183656,0.165882,"180,708,289",0.180708,"4,532,980"
0.180503,"Sep 21, 2018",0.180865,0.161181,"163,997,993",0.163998,"5,374,870"
0.164783,"Sep 20, 2018",0.167792,0.150568,"150,567,666",0.150568,"4,286,500"
0.149901,"Sep 19, 2018",0.150627,0.140244,"147,459,373",0.147459,"1,884,250"
0.147439,"Sep 18, 2018",0.151955,0.141268,"144,024,149",0.144024,"3,221,640"
0.143804,"Sep 17, 2018",0.165751,0.140387,"157,094,732",0.157095,"3,843,190"
0.156902,"Sep 16, 2018",0.164126,0.154734,"164,125,890",0.164126,"3,174,010"
0.163966,"Sep 15, 2018",0.164887,0.153273,"154,594,094",0.154594,"2,846,890"
0.155595,"Sep 14, 2018",0.168578,0.150915,"165,731,803",0.165732,"4,123,730"
0.165979,"Sep 13, 2018",0.167417,0.146653,"147,171,736",0.147172,"4,702,990"
0.147355,"Sep 12, 2018",0.150436,0.131877,"148,945,346",0.148945,"4,552,830"
0.148573,"Sep 11, 2018",0.158099,0.143506,"151,438,579",0.151439,"3,994,940"
0.150842,"Sep 10, 2018",0.158095,0.147656,"156,667,486",0.156667,"3,404,930"
0.156566,"Sep 09, 2018",0.166779,0.151866,"159,052,253",0.159052,"3,509,260"
0.159016,"Sep 08, 2018",0.177427,0.155901,"173,469,469",0.173469,"4,532,720"
0.173267,"Sep 07, 2018",0.184636,0.173012,"183,302,492",0.183302,"4,042,110"
0.183680,"Sep 06, 2018",0.184939,0.170549,"182,295,680",0.182296,"4,713,820"
0.182782,"Sep 05, 2018",0.238454,0.182782,"230,912,536",0.230913,"5,709,710"
0.230995,"Sep 04, 2018",0.234189,0.226451,"228,115,186",0.228115,"3,362,240"
0.227876,"Sep 03, 2018",0.233489,0.226267,"232,020,378",0.232020,"3,231,210"
0.231729,"Sep 02, 2018",0.235492,0.224479,"227,836,639",0.227837,"3,265,550"
0.227620,"Sep 01, 2018",0.233571,0.218351,"218,483,776",0.218484,"3,547,030"
