close,date,high,low,marketcap,open,volume
9.50,"Oct 14, 2018",9.64,9.47,"1,121,155,809",9.55,"22,974,000"
9.54,"Oct 13, 2018",9.63,9.48,"1,114,778,825",9.49,"24,253,100"
9.53,"Oct 12, 2018",9.66,9.24,"1,089,960,156",9.28,"26,099,400"
9.30,"Oct 11, 2018",10.31,9.25,"1,210,800,386",10.31,"26,084,400"
10.33,"Oct 10, 2018",10.40,10.21,"1,216,594,507",10.36,"26,141,100"
10.38,"Oct 09, 2018",10.57,10.23,"1,237,371,561",10.54,"27,881,100"
10.51,"Oct 08, 2018",10.63,10.46,"1,236,922,318",10.53,"31,932,700"
10.52,"Oct 07, 2018",10.53,10.30,"1,221,312,395",10.40,"32,205,000"
10.37,"Oct 06, 2018",10.75,10.30,"1,250,195,417",10.65,"30,941,000"
10.64,"Oct 05, 2018",10.72,10.24,"1,203,940,895",10.25,"40,756,200"
10.26,"Oct 04, 2018",10.39,10.22,"1,208,096,865",10.29,"32,534,900"
10.27,"Oct 03, 2018",10.44,10.06,"1,213,024,870",10.33,"38,371,900"
10.36,"Oct 02, 2018",10.61,9.88,"1,166,933,312",9.94,"41,386,000"
9.94,"Oct 01, 2018",10.05,9.88,"1,175,577,005",10.01,"25,138,500"
10.02,"Sep 30, 2018",10.04,9.85,"1,174,837,340",10.00,"26,954,000"
10.00,"Sep 29, 2018",10.03,9.76,"1,119,562,858",9.96,"26,072,400"
9.97,"Sep 28, 2018",10.23,9.89,"1,129,262,199",10.04,"25,097,900"
10.03,"Sep 27, 2018",10.08,9.67,"1,094,775,437",9.74,"26,966,900"
9.74,"Sep 26, 2018",9.90,9.59,"1,099,809,229",9.78,"18,370,400"
9.78,"Sep 25, 2018",10.03,9.51,"1,128,281,970",10.03,"19,256,100"
10.04,"Sep 24, 2018",10.32,9.94,"1,157,200,806",10.29,"19,223,700"
10.28,"Sep 23, 2018",10.37,10.16,"1,155,118,102",10.27,"22,673,000"
10.24,"Sep 22, 2018",10.53,9.97,"1,171,618,134",10.42,"21,731,800"
10.41,"Sep 21, 2018",10.44,9.96,"960,890,089",10.06,"35,228,200"
10.07,"Sep 20, 2018",10.10,9.60,"920,139,394",9.63,"27,983,700"
9.62,"Sep 19, 2018",9.78,9.31,"912,785,872",9.56,"22,684,800"
9.54,"Sep 18, 2018",9.64,9.28,"896,917,186",9.39,"23,016,100"
9.41,"Sep 17, 2018",10.01,9.32,"950,323,536",9.95,"22,370,800"
9.94,"Sep 16, 2018",10.13,9.78,"966,242,411",10.12,"20,623,100"
10.11,"Sep 15, 2018",10.20,9.90,"946,017,176",9.90,"27,281,100"
9.93,"Sep 14, 2018",10.09,9.55,"920,436,887",9.64,"26,124,800"
9.60,"Sep 13, 2018",9.69,9.22,"881,060,160",9.22,"24,817,100"
9.21,"Sep 12, 2018",9.48,9.04,"896,437,336",9.39,"21,323,500"
9.37,"Sep 11, 2018",9.61,9.23,"909,469,728",9.52,"18,572,100"
9.52,"Sep 10, 2018",9.71,9.37,"914,628,761",9.58,"12,427,900"
9.51,"Sep 09, 2018",9.73,9.27,"912,022,738",9.55,"13,947,300"
9.52,"Sep 08, 2018",10.19,9.41,"958,255,100",10.03,"15,053,100"
10.04,"Sep 07, 2018",10.27,9.87,"980,416,225",10.26,"16,640,400"
10.28,"Sep 06, 2018",10.30,9.62,"960,235,532",10.05,"23,466,000"
10.09,"Sep 05, 2018",11.54,10.09,"1,089,780,203",11.41,"29,308,300"
11.36,"Sep 04, 2018",11.42,11.26,"1,080,285,753",11.31,"18,878,700"
11.26,"Sep 03, 2018",11.41,11.11,"1,083,679,140",11.35,"18,644,300"
11.30,"Sep 02, 2018",11.46,11.14,"1,092,034,445",11.43,"21,757,400"
11.38,"Sep 01, 2018",11.54,11.03,"1,053,181,473",11.03,"29,776,300"
11.01,"Aug 31, 2018",11.02,10.60,"1,027,737,998",10.76,"22,638,200"
10.76,"Aug 30, 2018",11.19,10.38,"1,066,800,016",11.17,"23,247,800"
11.17,"Aug 29, 2018",11.47,10.91,"1,095,622,759",11.47,"33,530,600"
11.49,"Aug 28, 2018",11.50,10.84,"1,065,989,881",11.16,"43,860,800"
11.21,"Aug 27, 2018",11.34,10.13,"976,047,197",10.22,"44,953,500"
10.19,"Aug 26, 2018",10.27,9.81,"966,035,368",10.11,"22,551,200"
10.14,"Aug 25, 2018",10.25,9.98,"973,587,552",10.19,"19,561,400"
10.23,"Aug 24, 2018",10.23,9.56,"932,538,179",9.76,"22,814,900"
9.72,"Aug 23, 2018",9.72,9.40,"907,268,591",9.50,"17,327,500"
9.54,"Aug 22, 2018",10.20,9.26,"929,904,101",9.74,"23,929,500"
9.71,"Aug 21, 2018",9.85,9.42,"924,593,316",9.68,"13,228,100"
9.70,"Aug 20, 2018",10.20,9.64,"968,663,617",10.14,"17,617,700"
10.16,"Aug 19, 2018",10.30,9.75,"947,620,322",9.92,"21,218,500"
9.91,"Aug 18, 2018",10.97,9.54,"1,030,093,438",10.78,"27,803,700"
10.87,"Aug 17, 2018",10.87,9.72,"934,331,972",9.78,"37,502,400"
9.80,"Aug 16, 2018",9.98,9.39,"910,283,872",9.53,"24,709,700"
9.46,"Aug 15, 2018",10.59,9.40,"898,578,173",9.41,"42,994,900"
9.42,"Aug 14, 2018",10.30,8.66,"984,209,670",10.30,"39,515,200"
10.23,"Aug 13, 2018",11.95,10.18,"1,124,296,392",11.77,"34,827,100"
11.74,"Aug 12, 2018",11.86,11.50,"1,116,316,004",11.69,"23,290,300"
11.74,"Aug 11, 2018",12.16,11.37,"1,156,716,831",12.11,"29,253,100"
12.13,"Aug 10, 2018",12.82,11.81,"1,219,512,788",12.77,"37,026,400"
12.86,"Aug 09, 2018",12.87,12.10,"1,161,589,120",12.16,"41,389,000"
12.14,"Aug 08, 2018",13.14,11.98,"1,253,974,051",13.13,"44,898,500"
13.15,"Aug 07, 2018",13.91,13.13,"1,304,555,493",13.66,"45,119,500"
13.70,"Aug 06, 2018",13.98,13.50,"1,307,338,226",13.69,"46,799,600"
13.62,"Aug 05, 2018",13.90,13.29,"1,323,679,385",13.86,"43,000,300"
13.84,"Aug 04, 2018",14.46,13.57,"1,347,937,352",14.11,"60,865,200"
14.13,"Aug 03, 2018",14.21,13.64,"1,345,579,816",14.09,"70,449,300"
14.18,"Aug 02, 2018",14.18,13.41,"1,301,912,488",13.63,"50,481,200"
13.57,"Aug 01, 2018",14.06,13.23,"1,315,172,782",13.77,"53,833,700"
13.78,"Jul 31, 2018",14.06,13.04,"1,261,822,999",13.21,"66,537,000"
13.22,"Jul 30, 2018",13.95,13.07,"1,332,179,975",13.95,"35,991,600"
14.02,"Jul 29, 2018",14.70,13.66,"1,394,301,312",14.60,"56,547,100"
14.60,"Jul 28, 2018",14.87,13.72,"1,339,620,480",14.03,"75,159,904"
13.92,"Jul 27, 2018",14.03,13.06,"1,279,151,488",13.39,"66,040,700"
13.40,"Jul 26, 2018",13.55,12.91,"1,234,165,120",12.92,"61,881,400"
12.94,"Jul 25, 2018",13.47,12.08,"1,154,459,904",12.09,"72,083,200"
12.15,"Jul 24, 2018",12.25,11.65,"1,148,270,592",12.02,"46,762,700"
12.02,"Jul 23, 2018",12.34,11.91,"1,159,216,384",12.14,"28,137,700"
12.12,"Jul 22, 2018",12.27,11.96,"1,164,183,040",12.19,"20,692,400"
12.19,"Jul 21, 2018",12.46,11.90,"1,153,285,120",12.07,"28,726,700"
12.07,"Jul 20, 2018",12.97,11.89,"1,233,878,528",12.92,"40,466,000"
12.92,"Jul 19, 2018",13.35,12.77,"1,224,957,696",12.83,"49,364,800"
12.86,"Jul 18, 2018",13.86,12.72,"1,566,915,840",13.74,"75,446,304"
13.71,"Jul 17, 2018",13.89,12.87,"1,523,352,064",13.36,"74,443,200"
13.24,"Jul 16, 2018",13.39,12.20,"1,403,836,928",12.31,"47,198,600"
12.29,"Jul 15, 2018",12.40,12.02,"1,378,565,248",12.09,"26,346,900"
12.10,"Jul 14, 2018",12.27,11.97,"1,390,505,472",12.19,"21,534,200"
12.18,"Jul 13, 2018",12.43,12.04,"1,379,158,400",12.09,"29,709,900"
12.07,"Jul 12, 2018",12.77,11.90,"1,447,400,704",12.69,"26,008,100"
12.70,"Jul 11, 2018",12.89,12.25,"1,462,568,064",12.82,"38,867,700"
12.76,"Jul 10, 2018",13.66,12.67,"1,552,603,776",13.61,"36,507,100"
13.66,"Jul 09, 2018",14.09,13.63,"1,600,957,184",14.04,"36,874,000"
13.99,"Jul 08, 2018",14.42,13.93,"1,641,955,072",14.40,"60,275,400"
14.40,"Jul 07, 2018",14.40,13.43,"1,544,221,696",13.54,"79,974,896"
13.53,"Jul 06, 2018",13.99,13.28,"1,593,852,416",13.98,"33,466,000"
13.85,"Jul 05, 2018",14.14,13.65,"1,601,094,144",14.04,"41,185,300"
14.01,"Jul 04, 2018",14.33,13.91,"1,622,374,272",14.23,"37,043,700"
14.17,"Jul 03, 2018",14.78,14.08,"1,660,828,928",14.56,"60,657,300"
14.57,"Jul 02, 2018",14.82,14.06,"1,641,932,288",14.40,"55,614,000"
14.40,"Jul 01, 2018",14.69,14.14,"1,673,692,800",14.68,"38,434,400"
14.66,"Jun 30, 2018",15.18,14.29,"1,659,198,080",14.55,"59,676,900"
14.51,"Jun 29, 2018",14.65,13.78,"1,616,455,424",14.17,"52,784,600"
14.12,"Jun 28, 2018",14.75,13.86,"1,600,102,016",14.03,"67,290,496"
14.05,"Jun 27, 2018",14.31,13.89,"1,604,239,488",14.07,"44,136,600"
14.12,"Jun 26, 2018",14.99,13.87,"1,702,966,016",14.93,"37,503,400"
14.92,"Jun 25, 2018",15.07,13.83,"1,648,700,032",14.46,"60,358,000"
14.45,"Jun 24, 2018",15.59,13.54,"1,775,725,440",15.57,"96,256,304"
15.55,"Jun 23, 2018",16.06,15.36,"1,779,232,384",15.60,"70,431,104"
15.59,"Jun 22, 2018",17.24,15.26,"1,946,846,208",17.07,"113,751,000"
17.05,"Jun 21, 2018",17.27,15.92,"1,832,899,968",16.07,"122,980,000"
16.06,"Jun 20, 2018",16.86,15.74,"1,911,424,256",16.76,"65,190,300"
16.70,"Jun 19, 2018",16.94,16.21,"1,913,625,600",16.78,"80,738,096"
16.88,"Jun 18, 2018",17.19,16.22,"1,895,562,496",16.62,"106,776,000"
16.58,"Jun 17, 2018",17.23,15.76,"1,799,459,328",15.78,"107,346,000"
15.81,"Jun 16, 2018",15.98,14.94,"1,703,353,728",14.94,"81,354,704"
15.05,"Jun 15, 2018",15.65,14.69,"1,697,163,648",14.88,"79,159,296"
14.90,"Jun 14, 2018",15.03,14.14,"1,669,593,984",14.64,"80,329,504"
14.59,"Jun 13, 2018",15.72,14.03,"1,744,478,464",15.30,"97,415,904"
15.23,"Jun 12, 2018",16.16,14.99,"1,770,455,040",15.52,"116,016,000"
15.38,"Jun 11, 2018",15.38,13.79,"1,612,034,688",14.14,"83,039,696"
14.18,"Jun 10, 2018",15.93,13.59,"1,816,514,048",15.93,"79,288,200"
15.96,"Jun 09, 2018",16.89,15.96,"1,860,232,576",16.31,"85,299,904"
16.27,"Jun 08, 2018",16.63,15.83,"1,864,514,176",16.35,"94,394,600"
16.26,"Jun 07, 2018",17.44,16.18,"1,969,089,408",17.27,"131,031,000"
17.25,"Jun 06, 2018",17.36,15.35,"1,778,931,840",15.60,"157,806,000"
15.60,"Jun 05, 2018",15.67,14.21,"1,625,536,640",14.25,"101,474,000"
14.26,"Jun 04, 2018",14.68,13.67,"1,673,629,824",14.68,"58,219,100"
14.57,"Jun 03, 2018",14.95,14.33,"1,674,348,416",14.68,"82,182,304"
14.68,"Jun 02, 2018",14.85,14.01,"1,632,979,328",14.32,"87,983,000"
14.24,"Jun 01, 2018",14.41,13.79,"1,625,287,040",14.25,"80,342,200"
14.19,"May 31, 2018",14.22,12.41,"1,432,563,584",12.56,"93,931,696"
12.57,"May 30, 2018",12.80,12.27,"1,437,882,496",12.61,"43,146,300"
12.57,"May 29, 2018",12.68,11.77,"1,363,415,168",11.96,"48,807,700"
11.89,"May 28, 2018",12.75,11.70,"1,436,871,552",12.60,"33,398,400"
12.61,"May 27, 2018",12.79,12.33,"1,458,098,688",12.79,"36,691,600"
12.76,"May 26, 2018",13.20,12.70,"1,478,316,032",12.96,"43,258,400"
13.01,"May 25, 2018",13.37,12.64,"1,486,252,800",13.03,"49,173,800"
13.00,"May 24, 2018",13.19,12.20,"1,438,059,136",12.61,"54,410,900"
12.63,"May 23, 2018",13.93,12.33,"1,579,806,080",13.85,"68,215,200"
13.93,"May 22, 2018",14.84,13.75,"1,661,682,432",14.57,"86,545,104"
14.72,"May 21, 2018",14.79,13.82,"1,610,878,848",14.13,"97,367,296"
14.12,"May 20, 2018",14.37,13.69,"1,636,510,336",14.35,"95,390,200"
14.25,"May 19, 2018",15.62,13.99,"1,725,971,072",15.13,"138,320,992"
15.14,"May 18, 2018",16.22,12.05,"1,409,708,928",12.36,"243,260,992"
12.47,"May 17, 2018",12.97,12.27,"1,404,491,008",12.32,"54,251,500"
