date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.027864,0.028256,0.027371,0.027508,"1,694,132","75,518,677"
"Oct 11, 2019",0.028154,0.028513,0.027308,0.027854,"3,298,098","76,467,692"
"Oct 10, 2019",0.028940,0.029072,0.027957,0.028197,"2,191,699","77,405,663"
"Oct 09, 2019",0.028901,0.029647,0.028743,0.028933,"2,554,629","79,422,016"
"Oct 08, 2019",0.028775,0.029465,0.028171,0.028903,"1,791,107","79,335,071"
"Oct 07, 2019",0.027934,0.029383,0.027812,0.028823,"2,548,196","79,114,128"
"Oct 06, 2019",0.028865,0.028999,0.027773,0.028000,"2,547,023","76,849,900"
"Oct 05, 2019",0.029156,0.029299,0.028586,0.028913,"2,270,781","79,354,654"
"Oct 04, 2019",0.027752,0.029792,0.027310,0.029138,"2,945,249","79,965,972"
"Oct 03, 2019",0.028482,0.028665,0.027370,0.027751,"1,807,602","76,158,304"
"Oct 02, 2019",0.028360,0.028563,0.027646,0.028490,"2,144,413","78,182,606"
"Oct 01, 2019",0.029267,0.029735,0.027898,0.028346,"2,309,217","77,784,321"
"Sep 30, 2019",0.028472,0.029781,0.028098,0.029259,"2,526,578","80,283,978"
"Sep 29, 2019",0.028491,0.029295,0.028099,0.028419,"1,752,930","77,976,816"
"Sep 28, 2019",0.029455,0.029799,0.028237,0.028484,"2,259,822","78,152,516"
"Sep 27, 2019",0.025792,0.029808,0.025669,0.029518,"3,252,897","80,985,180"
"Sep 26, 2019",0.026216,0.027921,0.024849,0.025835,"2,094,488","70,878,815"
"Sep 25, 2019",0.025006,0.026741,0.024980,0.026188,"1,608,757","71,846,410"
"Sep 24, 2019",0.032676,0.033023,0.022975,0.025017,"4,133,503","68,627,611"
"Sep 23, 2019",0.033528,0.034263,0.032613,0.032671,"2,043,302","89,582,762"
"Sep 22, 2019",0.033853,0.034169,0.033282,0.033605,"2,434,444","92,141,879"
"Sep 21, 2019",0.033903,0.034391,0.033609,0.033665,"2,292,467","92,305,987"
"Sep 20, 2019",0.034511,0.034927,0.033575,0.033915,"2,237,701","92,992,504"
"Sep 19, 2019",0.035477,0.035607,0.033501,0.034514,"2,436,142","94,636,017"
"Sep 18, 2019",0.034654,0.036701,0.034246,0.035478,"2,750,390","97,278,460"
"Sep 17, 2019",0.033550,0.034954,0.033045,0.034677,"2,386,447","95,081,183"
"Sep 16, 2019",0.033627,0.034238,0.033073,0.033552,"2,153,625","91,996,248"
"Sep 15, 2019",0.033976,0.034332,0.033504,0.033627,"1,814,182","92,203,792"
"Sep 14, 2019",0.033630,0.034212,0.033149,0.034064,"1,910,719","93,400,722"
