close,date,high,low,marketcap,open,volume
439.23,"Oct 14, 2018",451.92,438.60,"7,798,843,114",448.19,"242,400,000"
448.41,"Oct 13, 2018",450.22,442.66,"7,710,874,038",443.18,"245,372,000"
443.23,"Oct 12, 2018",451.93,429.39,"7,486,942,145",430.35,"289,722,000"
433.04,"Oct 11, 2018",511.77,431.85,"8,902,530,546",511.77,"487,652,000"
512.92,"Oct 10, 2018",517.22,507.83,"8,986,527,367",516.66,"369,806,000"
517.79,"Oct 09, 2018",528.55,513.12,"9,163,870,870",526.90,"372,000,000"
528.98,"Oct 08, 2018",530.92,517.33,"9,020,448,273",518.71,"397,869,000"
517.47,"Oct 07, 2018",519.39,506.65,"8,861,594,133",509.63,"382,426,000"
508.62,"Oct 06, 2018",521.68,502.54,"9,039,616,499",519.92,"391,070,000"
520.63,"Oct 05, 2018",522.51,510.63,"8,933,985,193",513.90,"384,914,000"
513.03,"Oct 04, 2018",529.94,510.59,"8,983,237,142",516.79,"466,791,000"
514.52,"Oct 03, 2018",531.64,508.73,"9,240,410,255",531.64,"512,420,000"
533.26,"Oct 02, 2018",547.49,527.92,"9,231,065,200",531.15,"536,291,000"
530.91,"Oct 01, 2018",539.95,522.32,"9,238,550,523",531.64,"450,906,000"
529.92,"Sep 30, 2018",545.55,520.61,"9,323,209,424",536.56,"477,471,000"
536.91,"Sep 29, 2018",553.48,514.26,"9,364,438,473",538.99,"581,112,000"
539.86,"Sep 28, 2018",572.58,533.44,"9,874,901,675",568.43,"673,844,000"
564.41,"Sep 27, 2018",585.36,514.77,"8,941,667,409",514.77,"1,083,230,000"
515.93,"Sep 26, 2018",542.53,434.35,"7,725,476,580",444.80,"856,458,000"
445.23,"Sep 25, 2018",462.35,428.91,"8,025,310,803",462.11,"414,548,000"
463.09,"Sep 24, 2018",490.76,459.59,"8,472,619,458",487.92,"385,322,000"
488.65,"Sep 23, 2018",504.14,478.07,"8,468,153,906",487.71,"384,226,000"
487.83,"Sep 22, 2018",505.29,468.33,"8,686,713,419",500.35,"412,279,000"
499.04,"Sep 21, 2018",506.44,449.38,"7,942,219,616",457.52,"597,228,000"
455.74,"Sep 20, 2018",462.06,424.66,"7,460,387,454",429.81,"369,099,000"
429.23,"Sep 19, 2018",438.71,414.28,"7,518,391,883",433.19,"337,321,000"
435.68,"Sep 18, 2018",443.76,414.54,"7,263,602,348",418.56,"332,161,000"
420.45,"Sep 17, 2018",460.49,413.04,"7,815,108,054",450.38,"365,115,000"
449.16,"Sep 16, 2018",450.20,431.44,"7,781,822,124",448.51,"277,244,000"
450.68,"Sep 15, 2018",458.81,446.41,"7,764,870,043",447.58,"276,833,000"
449.50,"Sep 14, 2018",472.75,443.87,"8,103,237,397",467.13,"314,701,000"
464.44,"Sep 13, 2018",472.58,433.54,"7,519,771,234",433.54,"393,614,000"
432.85,"Sep 12, 2018",440.93,414.46,"7,639,882,228",440.51,"319,094,000"
440.83,"Sep 11, 2018",476.13,433.16,"8,121,918,852",468.35,"355,090,000"
465.59,"Sep 10, 2018",486.98,463.81,"8,396,238,188",484.22,"300,172,000"
481.19,"Sep 09, 2018",493.95,466.30,"8,229,069,155",474.63,"286,768,000"
475.29,"Sep 08, 2018",508.96,468.80,"8,699,690,632",501.82,"311,599,000"
501.57,"Sep 07, 2018",526.00,496.14,"8,992,394,230",518.77,"368,854,000"
519.16,"Sep 06, 2018",530.25,495.06,"9,185,601,246",529.95,"441,732,000"
530.51,"Sep 05, 2018",631.76,530.23,"10,852,523,688",626.20,"520,184,000"
625.07,"Sep 04, 2018",643.44,622.72,"10,870,995,485",627.32,"386,332,000"
626.36,"Sep 03, 2018",650.69,622.23,"11,233,853,088",648.33,"397,157,000"
645.88,"Sep 02, 2018",653.69,601.94,"10,673,018,727",616.03,"570,200,000"
615.31,"Sep 01, 2018",628.08,542.26,"9,423,372,872",543.96,"490,619,000"
543.08,"Aug 31, 2018",546.76,535.60,"9,329,874,732",538.62,"307,222,000"
540.02,"Aug 30, 2018",556.52,527.92,"9,596,489,137",554.07,"337,841,000"
554.37,"Aug 29, 2018",567.25,548.47,"9,774,498,918",564.41,"299,414,000"
565.31,"Aug 28, 2018",570.98,541.24,"9,438,756,438",545.08,"429,636,000"
546.36,"Aug 27, 2018",546.36,520.09,"9,055,787,194",523.02,"305,426,000"
522.88,"Aug 26, 2018",536.49,516.58,"9,288,151,341",536.49,"257,257,000"
537.24,"Aug 25, 2018",542.03,529.73,"9,261,256,059",534.99,"272,027,000"
535.40,"Aug 24, 2018",537.54,522.85,"9,200,802,410",531.55,"304,350,000"
530.77,"Aug 23, 2018",532.00,515.90,"8,984,694,819",519.12,"282,362,000"
519.95,"Aug 22, 2018",570.61,512.11,"9,261,198,941",535.15,"319,315,000"
536.57,"Aug 21, 2018",540.02,514.06,"8,895,268,484",514.06,"304,026,000"
515.66,"Aug 20, 2018",575.63,513.12,"9,864,131,134",570.11,"374,592,000"
569.93,"Aug 19, 2018",579.60,544.97,"9,600,525,027",554.93,"383,846,000"
554.92,"Aug 18, 2018",606.92,541.05,"10,338,847,631",597.67,"413,731,000"
597.01,"Aug 17, 2018",597.01,516.22,"8,934,808,892",516.56,"463,256,000"
517.35,"Aug 16, 2018",538.27,506.84,"8,869,938,910",512.87,"402,136,000"
513.67,"Aug 15, 2018",540.49,508.14,"8,875,620,328",513.25,"378,019,000"
509.31,"Aug 14, 2018",534.98,481.43,"9,250,602,092",534.98,"420,396,000"
535.98,"Aug 13, 2018",591.86,529.04,"9,872,700,474",571.02,"379,411,000"
570.96,"Aug 12, 2018",580.80,561.09,"9,757,981,734",564.44,"324,257,000"
566.77,"Aug 11, 2018",582.59,548.48,"9,885,729,249",571.89,"341,530,000"
572.44,"Aug 10, 2018",612.66,564.95,"10,549,398,295",610.35,"345,223,000"
610.78,"Aug 09, 2018",619.54,581.33,"10,205,638,002",590.52,"355,208,000"
585.45,"Aug 08, 2018",660.05,575.64,"11,406,131,540",660.05,"450,595,000"
659.38,"Aug 07, 2018",712.34,653.78,"11,967,912,061",692.63,"378,007,000"
692.63,"Aug 06, 2018",718.65,684.44,"12,284,172,513",711.01,"316,406,000"
709.22,"Aug 05, 2018",715.52,687.86,"12,024,688,233",696.07,"313,362,000"
695.74,"Aug 04, 2018",735.04,691.58,"12,493,293,765",723.27,"327,670,000"
724.71,"Aug 03, 2018",732.80,704.59,"12,656,535,287",732.80,"361,851,000"
734.76,"Aug 02, 2018",773.73,726.92,"13,257,608,480",767.67,"387,197,000"
769.35,"Aug 01, 2018",779.95,740.32,"13,468,236,361",779.95,"499,193,000"
777.15,"Jul 31, 2018",816.73,766.34,"14,101,953,800",816.73,"420,759,000"
816.08,"Jul 30, 2018",829.87,790.12,"14,304,408,204",828.55,"568,282,000"
828.98,"Jul 29, 2018",835.62,813.79,"14,172,835,840",821.01,"565,436,032"
818.83,"Jul 28, 2018",826.43,803.73,"14,179,516,416",821.49,"525,351,008"
819.39,"Jul 27, 2018",829.42,785.59,"13,882,286,080",804.35,"589,747,968"
806.18,"Jul 26, 2018",855.97,795.74,"14,336,219,136",830.74,"597,276,992"
831.46,"Jul 25, 2018",870.66,822.51,"14,894,816,256",863.20,"692,334,016"
869.47,"Jul 24, 2018",871.47,778.65,"13,554,297,856",785.60,"905,811,968"
784.39,"Jul 23, 2018",828.39,783.52,"13,623,557,120",789.69,"608,630,016"
788.67,"Jul 22, 2018",820.10,781.30,"13,601,174,528",788.47,"529,767,008"
789.49,"Jul 21, 2018",797.06,750.72,"13,244,620,800",767.88,"513,512,992"
767.66,"Jul 20, 2018",823.40,765.18,"14,200,651,776",823.40,"612,099,008"
824.89,"Jul 19, 2018",840.43,808.73,"14,286,016,512",828.43,"684,182,976"
829.94,"Jul 18, 2018",880.98,814.59,"14,652,491,776",849.77,"720,550,976"
