date,open,high,low,close,volume,marketcap
"Oct 12, 2019",8315.66,8415.24,8313.34,8336.56,"14,532,641,605","149,965,767,624"
"Oct 11, 2019",8585.26,8721.78,8316.18,8321.76,"19,604,381,101","149,685,618,275"
"Oct 10, 2019",8585.28,8625.27,8471.93,8586.47,"17,618,660,671","154,430,515,160"
"Oct 09, 2019",8229.84,8627.71,8169.30,8595.74,"19,384,942,333","154,579,656,110"
"Oct 08, 2019",8246.85,8332.72,8185.76,8228.78,"15,592,264,032","147,966,069,982"
"Oct 07, 2019",7989.12,8308.45,7905.77,8245.62,"18,009,742,607","148,252,589,805"
"Oct 06, 2019",8149.88,8161.41,7958.85,7988.16,"13,160,830,305","143,607,672,862"
"Oct 05, 2019",8210.15,8215.53,8071.12,8151.50,"12,200,497,197","146,529,229,668"
"Oct 04, 2019",8259.49,8260.06,8151.24,8205.94,"13,139,456,229","147,491,804,056"
"Oct 03, 2019",8390.77,8414.23,8146.44,8259.99,"13,668,823,409","148,448,162,840"
"Oct 02, 2019",8344.21,8393.04,8227.70,8393.04,"13,125,712,443","150,823,797,662"
"Oct 01, 2019",8299.72,8497.69,8232.68,8343.28,"15,305,343,413","149,913,972,768"
"Sep 30, 2019",8104.23,8314.23,7830.76,8293.87,"17,115,474,183","149,011,567,415"
"Sep 29, 2019",8246.04,8261.71,7990.50,8104.19,"13,034,629,109","145,590,374,681"
"Sep 28, 2019",8251.27,8285.62,8125.43,8245.92,"14,141,152,736","148,122,503,616"
"Sep 27, 2019",8113.10,8271.52,7965.92,8251.85,"16,408,941,156","148,212,635,834"
"Sep 26, 2019",8487.67,8515.69,7895.63,8118.97,"19,258,205,289","145,812,492,488"
"Sep 25, 2019",8603.43,8744.83,8325.40,8486.99,"21,744,728,353","152,404,005,091"
"Sep 24, 2019",9729.32,9804.32,8370.80,8620.57,"25,002,886,689","154,785,821,876"
"Sep 23, 2019",10067.96,10074.24,9727.14,9729.32,"15,144,925,408","174,674,558,023"
"Sep 22, 2019",10024.12,10074.44,9922.53,10070.39,"13,199,651,698","180,784,051,699"
