date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.000413,0.000448,0.000413,0.000445,"5,713","81,844,534"
"Oct 11, 2019",0.000429,0.000497,0.000410,0.000413,"10,520","76,020,183"
"Oct 10, 2019",0.000425,0.000482,0.000419,0.000429,"8,288","78,884,652"
"Oct 09, 2019",0.000417,0.000472,0.000406,0.000425,"6,515","78,272,709"
"Oct 08, 2019",0.000446,0.000455,0.000412,0.000417,"7,294","76,812,578"
"Oct 07, 2019",0.000406,0.000450,0.000399,0.000446,"4,663","82,118,385"
"Oct 06, 2019",0.000452,0.000453,0.000402,0.000407,"3,540","74,881,372"
"Oct 05, 2019",0.000433,0.000461,0.000398,0.000452,"5,097","83,255,959"
"Oct 04, 2019",0.000415,0.000453,0.000406,0.000433,"4,906","79,675,037"
"Oct 03, 2019",0.000418,0.000488,0.000404,0.000415,"6,900","76,463,919"
"Oct 02, 2019",0.000411,0.000481,0.000407,0.000418,"14,743","76,980,568"
"Oct 01, 2019",0.000428,0.000470,0.000405,0.000411,"16,507","75,644,601"
"Sep 30, 2019",0.000433,0.000440,0.000393,0.000428,"5,077","78,809,754"
"Sep 29, 2019",0.000449,0.000459,0.000396,0.000433,"4,379","79,782,924"
"Sep 28, 2019",0.000414,0.000449,0.000404,0.000449,"4,125","82,654,742"
"Sep 27, 2019",0.000407,0.000457,0.000401,0.000414,"10,516","76,194,948"
"Sep 26, 2019",0.000422,0.000481,0.000369,0.000407,"18,143","74,925,008"
"Sep 25, 2019",0.000381,0.000483,0.000376,0.000422,"9,077","77,672,743"
"Sep 24, 2019",0.000517,0.000542,0.000381,0.000381,"30,067","70,196,322"
"Sep 23, 2019",0.000492,0.000546,0.000477,0.000517,"24,089","95,085,097"
"Sep 22, 2019",0.000538,0.000553,0.000457,0.000492,"11,756","90,636,195"
"Sep 21, 2019",0.000564,0.000564,0.000483,0.000538,"10,122","98,941,089"
"Sep 20, 2019",0.000512,0.000587,0.000498,0.000564,"17,333","103,786,044"
"Sep 19, 2019",0.000598,0.000599,0.000489,0.000512,"27,390","94,208,593"
"Sep 18, 2019",0.000422,0.000604,0.000418,0.000598,"148,465","110,045,020"
"Sep 17, 2019",0.000459,0.000509,0.000414,0.000422,"26,938","77,665,064"
"Sep 16, 2019",0.000450,0.000503,0.000431,0.000458,"19,995","84,386,459"
"Sep 15, 2019",0.000448,0.000489,0.000439,0.000450,"6,833","82,858,506"
"Sep 14, 2019",0.000456,0.000492,0.000437,0.000448,"8,929","82,373,238"
"Sep 13, 2019",0.000436,0.000497,0.000426,0.000456,"26,702","83,984,556"
"Sep 12, 2019",0.000440,0.000484,0.000427,0.000436,"12,668","80,223,198"
"Sep 11, 2019",0.000488,0.000497,0.000409,0.000441,"64,711","81,214,963"
"Sep 10, 2019",0.000494,0.000496,0.000427,0.000488,"6,339","89,797,086"
"Sep 09, 2019",0.000507,0.000507,0.000439,0.000494,"11,092","90,907,694"
"Sep 08, 2019",0.000474,0.000514,0.000446,0.000507,"14,967","93,235,049"
"Sep 07, 2019",0.000493,0.000499,0.000445,0.000473,"20,422","87,149,115"
"Sep 06, 2019",0.000516,0.000534,0.000441,0.000493,"8,967","90,714,776"
"Sep 05, 2019",0.000511,0.000518,0.000482,0.000516,"23,164","95,068,914"
"Sep 04, 2019",0.000529,0.000536,0.000479,0.000511,"16,802","94,001,296"
"Sep 03, 2019",0.000600,0.000600,0.000472,0.000529,"122,839","97,434,990"
"Sep 02, 2019",0.000569,0.000603,0.000529,0.000599,"19,089","110,315,122"
"Sep 01, 2019",0.000567,0.000574,0.000547,0.000569,"12,183","104,716,175"
"Aug 31, 2019",0.000540,0.000576,0.000530,0.000567,"16,364","104,336,762"
"Aug 30, 2019",0.000567,0.000578,0.000539,0.000572,"17,472","105,262,544"
"Aug 29, 2019",0.000578,0.000584,0.000510,0.000567,"34,288","104,301,639"
"Aug 28, 2019",0.000580,0.000614,0.000512,0.000578,"25,576","106,354,798"
"Aug 27, 2019",0.000558,0.000624,0.000523,0.000580,"19,181","106,679,224"
"Aug 26, 2019",0.000568,0.000625,0.000529,0.000558,"20,480","102,701,086"
"Aug 25, 2019",0.000562,0.000612,0.000526,0.000567,"18,865","104,355,533"
"Aug 24, 2019",0.000619,0.000620,0.000547,0.000562,"22,544","103,381,070"
"Aug 23, 2019",0.000578,0.000629,0.000554,0.000619,"16,397","113,929,515"
"Aug 22, 2019",0.000595,0.000627,0.000536,0.000578,"35,896","106,344,652"
"Aug 21, 2019",0.000595,0.000663,0.000532,0.000595,"38,970","109,518,634"
"Aug 20, 2019",0.000615,0.000655,0.000556,0.000595,"15,117","109,574,516"
"Aug 19, 2019",0.000620,0.000646,0.000525,0.000615,"23,606","113,134,807"
"Aug 18, 2019",0.000565,0.000628,0.000528,0.000620,"30,754","114,128,767"
"Aug 17, 2019",0.000605,0.000623,0.000541,0.000561,"22,008","103,182,674"
"Aug 16, 2019",0.000616,0.000631,0.000518,0.000605,"16,357","111,396,245"
"Aug 15, 2019",0.000565,0.000620,0.000528,0.000616,"29,114","113,297,002"
"Aug 14, 2019",0.000652,0.000652,0.000545,0.000564,"23,620","103,812,601"
"Aug 13, 2019",0.000641,0.000682,0.000610,0.000652,"14,803","120,085,258"
"Aug 12, 2019",0.000646,0.000689,0.000631,0.000641,"16,941","117,994,329"
"Aug 11, 2019",0.000581,0.000673,0.000580,0.000646,"11,669","118,976,605"
"Aug 10, 2019",0.000615,0.000697,0.000577,0.000581,"32,780","107,001,563"
"Aug 09, 2019",0.000687,0.000702,0.000613,0.000615,"51,184","113,165,353"
"Aug 08, 2019",0.000596,0.000699,0.000483,0.000687,"97,011","126,509,995"
"Aug 07, 2019",0.000571,0.000603,0.000483,0.000573,"61,431","105,469,706"
"Aug 06, 2019",0.000654,0.000686,0.000564,0.000571,"50,057","105,164,674"
"Aug 05, 2019",0.000563,0.000688,0.000563,0.000605,"33,200","111,344,185"
"Aug 04, 2019",0.000641,0.000648,0.000540,0.000563,"25,250","103,643,256"
"Aug 03, 2019",0.000627,0.000650,0.000537,0.000641,"42,173","117,952,391"
"Aug 02, 2019",0.000715,0.000718,0.000550,0.000627,"104,606","115,485,551"
"Aug 01, 2019",0.000685,0.000716,0.000604,0.000715,"21,335","131,517,554"
"Jul 31, 2019",0.000592,0.000685,0.000592,0.000685,"18,057","126,119,663"
"Jul 30, 2019",0.000663,0.000674,0.000584,0.000592,"32,822","108,981,105"
"Jul 29, 2019",0.000647,0.000668,0.000627,0.000663,"18,799","122,081,920"
"Jul 28, 2019",0.000604,0.000667,0.000584,0.000647,"21,159","119,026,460"
"Jul 27, 2019",0.000689,0.000745,0.000599,0.000604,"36,341","111,245,294"
