date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.057226,0.058834,0.057116,0.058025,"6,263,125","58,170,114"
"Oct 11, 2019",0.059822,0.060462,0.056534,0.057235,"6,495,916","57,378,180"
"Oct 10, 2019",0.060389,0.061562,0.058231,0.059848,"8,181,915","59,997,352"
"Oct 09, 2019",0.058317,0.062315,0.057305,0.060411,"6,753,148","60,562,163"
"Oct 08, 2019",0.057711,0.060184,0.056886,0.058317,"7,570,476","58,462,958"
"Oct 07, 2019",0.056277,0.058503,0.055661,0.057712,"6,264,968","57,856,483"
"Oct 06, 2019",0.056250,0.057742,0.055883,0.056376,"3,970,751","56,517,302"
"Oct 05, 2019",0.057139,0.058317,0.055823,0.056331,"5,206,878","56,471,328"
"Oct 04, 2019",0.056817,0.058418,0.056191,0.057218,"6,396,628","57,360,865"
"Oct 03, 2019",0.057573,0.058035,0.055452,0.056912,"5,336,541","57,053,891"
"Oct 02, 2019",0.057458,0.057951,0.056879,0.057539,"6,347,848","57,682,549"
"Oct 01, 2019",0.059568,0.060264,0.056624,0.057458,"6,646,117","57,601,569"
"Sep 30, 2019",0.056890,0.067667,0.054103,0.059445,"7,975,954","59,593,864"
"Sep 29, 2019",0.058537,0.058537,0.054422,0.056823,"6,703,411","56,965,043"
"Sep 28, 2019",0.057561,0.060640,0.057092,0.058478,"6,420,098","58,624,412"
"Sep 27, 2019",0.055022,0.059143,0.052795,0.057650,"10,833,032","57,793,773"
"Sep 26, 2019",0.057627,0.059079,0.051990,0.055156,"7,737,142","55,293,390"
"Sep 25, 2019",0.055534,0.060866,0.053293,0.057627,"11,452,475","57,770,720"
"Sep 24, 2019",0.077585,0.078123,0.040662,0.055555,"12,647,715","55,694,055"
"Sep 23, 2019",0.080633,0.081261,0.077347,0.077605,"7,669,483","77,799,357"
"Sep 22, 2019",0.081816,0.082385,0.080121,0.080637,"7,316,698","80,838,477"
"Sep 21, 2019",0.083320,0.085020,0.080475,0.082078,"9,376,328","82,282,836"
"Sep 20, 2019",0.085533,0.086390,0.081243,0.083143,"9,243,880","83,350,444"
"Sep 19, 2019",0.086128,0.086128,0.079373,0.085317,"9,267,614","85,530,487"
"Sep 18, 2019",0.080510,0.087603,0.080077,0.086108,"8,962,714","86,323,450"
"Sep 17, 2019",0.078064,0.082852,0.077635,0.080481,"7,437,706","80,682,390"
"Sep 16, 2019",0.079006,0.079695,0.077519,0.078067,"6,387,382","78,261,776"
"Sep 15, 2019",0.079458,0.080037,0.078592,0.079076,"6,254,758","79,273,930"
"Sep 14, 2019",0.076989,0.079564,0.076099,0.079458,"7,021,169","79,656,833"
