date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.110728,0.114553,0.102539,0.103945,"441,245","84,253,537"
"Oct 11, 2019",0.122361,0.124738,0.110054,0.110486,"472,913","89,554,949"
"Oct 10, 2019",0.121017,0.137915,0.114512,0.122552,"476,184","99,335,249"
"Oct 09, 2019",0.097435,0.130871,0.087802,0.120992,"1,417,553","98,035,271"
"Oct 08, 2019",0.078933,0.101643,0.077248,0.097435,"161,120","78,947,579"
"Oct 07, 2019",0.089378,0.099399,0.071563,0.078461,"245,371","63,574,322"
"Oct 06, 2019",0.085322,0.104261,0.076398,0.089495,"142,316","72,514,662"
"Oct 05, 2019",0.084792,0.085722,0.073864,0.085332,"125,348","69,141,108"
"Oct 04, 2019",0.065006,0.104958,0.053420,0.084792,"191,923","68,684,529"
"Oct 03, 2019",0.034968,0.068401,0.029114,0.063848,"138,906","51,718,791"
"Oct 02, 2019",0.024343,0.041457,0.022304,0.035043,"96,326","28,375,735"
"Oct 01, 2019",0.021076,0.027852,0.020842,0.024343,"1,391,986","19,711,131"
"Sep 30, 2019",0.018153,0.021214,0.018062,0.021073,"4,692","17,063,647"
"Sep 29, 2019",0.016609,0.020073,0.016098,0.018156,989,"14,701,806"
"Sep 28, 2019",0.017477,0.018506,0.015722,0.016838,980,"13,634,247"
"Sep 27, 2019",0.016722,0.020568,0.016480,0.017473,"1,657","14,148,472"
"Sep 26, 2019",0.016965,0.017614,0.015931,0.016725,114,"13,542,929"
"Sep 25, 2019",0.017142,0.017653,0.016694,0.016965,81,"13,737,279"
"Sep 24, 2019",0.016541,0.023102,0.015979,0.017138,"2,028","13,877,646"
"Sep 23, 2019",0.019900,0.021243,0.016538,0.016538,"2,082","13,391,500"
"Sep 22, 2019",0.020324,0.020344,0.019031,0.019896,948,"16,110,621"
"Sep 21, 2019",0.021756,0.023131,0.020102,0.020328,501,"16,460,440"
"Sep 20, 2019",0.022418,0.022526,0.019631,0.021761,"12,576","17,620,565"
"Sep 19, 2019",0.021306,0.022484,0.020556,0.022418,27,"18,152,639"
"Sep 18, 2019",0.020587,0.021386,0.019819,0.021291,11,"17,240,505"
