date,open,high,low,close,volume,marketcap
"Oct 12, 2019",2.78,2.78,2.57,2.61,"120,045,685","912,493,135"
"Oct 11, 2019",2.64,2.81,2.59,2.77,"200,123,734","970,326,221"
"Oct 10, 2019",2.81,2.81,2.50,2.64,"249,559,325","922,420,687"
"Oct 09, 2019",2.58,2.94,2.52,2.80,"329,507,431","981,348,417"
"Oct 08, 2019",2.40,2.63,2.28,2.58,"224,096,110","902,338,849"
"Oct 07, 2019",2.19,2.49,2.13,2.40,"202,190,935","840,650,623"
"Oct 06, 2019",1.97,2.27,1.96,2.19,"126,356,581","765,835,879"
"Oct 05, 2019",1.98,1.98,1.92,1.97,"96,574,706","688,101,396"
"Oct 04, 2019",1.95,2.00,1.91,1.98,"77,454,029","692,586,222"
"Oct 03, 2019",2.02,2.03,1.90,1.95,"101,098,441","682,863,179"
"Oct 02, 2019",1.84,2.02,1.83,2.02,"102,294,409","705,830,998"
"Oct 01, 2019",1.76,1.90,1.76,1.84,"91,602,849","643,757,763"
"Sep 30, 2019",1.72,1.77,1.65,1.76,"84,068,855","617,227,495"
"Sep 29, 2019",1.69,1.75,1.67,1.72,"85,120,108","601,027,004"
"Sep 28, 2019",1.67,1.71,1.66,1.69,"71,435,514","590,578,652"
"Sep 27, 2019",1.66,1.68,1.58,1.67,"90,213,617","584,556,447"
"Sep 26, 2019",1.76,1.76,1.56,1.66,"112,008,341","580,641,588"
"Sep 25, 2019",1.74,1.93,1.65,1.76,"161,634,833","616,065,986"
"Sep 24, 2019",1.81,2.06,1.59,1.74,"218,580,528","607,533,240"
"Sep 23, 2019",1.82,1.89,1.79,1.81,"76,114,156","632,571,593"
"Sep 22, 2019",1.89,1.89,1.78,1.82,"63,224,058","637,490,132"
"Sep 21, 2019",1.83,1.89,1.80,1.89,"76,844,379","661,291,923"
"Sep 20, 2019",1.88,1.88,1.77,1.83,"75,449,475","639,712,666"
"Sep 19, 2019",1.81,1.91,1.75,1.88,"133,273,165","656,554,430"
"Sep 18, 2019",1.63,1.85,1.63,1.81,"112,613,412","633,437,288"
"Sep 17, 2019",1.58,1.66,1.56,1.63,"74,897,534","570,303,195"
"Sep 16, 2019",1.62,1.64,1.55,1.58,"62,082,506","553,502,262"
"Sep 15, 2019",1.57,1.65,1.57,1.62,"64,455,918","566,133,842"
"Sep 14, 2019",1.58,1.64,1.54,1.57,"82,000,174","547,786,749"
"Sep 13, 2019",1.71,1.71,1.53,1.58,"95,116,689","553,326,582"
"Sep 12, 2019",1.74,1.75,1.68,1.71,"61,903,495","597,673,768"
"Sep 11, 2019",1.80,1.83,1.72,1.73,"67,247,430","607,189,371"
"Sep 10, 2019",1.79,1.83,1.79,1.80,"66,969,746","630,745,598"
"Sep 09, 2019",1.83,1.87,1.77,1.80,"96,518,480","628,912,446"
"Sep 08, 2019",1.78,1.90,1.78,1.83,"88,855,921","640,837,508"
"Sep 07, 2019",1.73,1.81,1.72,1.78,"71,006,363","621,936,130"
"Sep 06, 2019",1.80,1.82,1.71,1.73,"72,212,080","606,023,566"
"Sep 05, 2019",1.78,1.86,1.77,1.80,"69,409,152","629,259,272"
"Sep 04, 2019",1.85,1.86,1.75,1.79,"70,884,788","624,835,582"
"Sep 03, 2019",1.83,1.93,1.82,1.85,"80,326,910","649,140,668"
"Sep 02, 2019",1.77,1.89,1.74,1.83,"63,004,422","641,721,122"
"Sep 01, 2019",1.79,1.80,1.73,1.78,"43,571,942","621,326,044"
"Aug 31, 2019",1.80,1.85,1.75,1.79,"51,356,763","626,580,727"
"Aug 30, 2019",1.78,1.89,1.75,1.81,"57,285,240","632,233,170"
"Aug 29, 2019",1.90,1.90,1.75,1.78,"83,335,306","624,201,412"
"Aug 28, 2019",2.11,2.11,1.89,1.90,"59,193,724","665,135,295"
"Aug 27, 2019",2.08,2.16,2.03,2.11,"62,275,881","737,513,471"
"Aug 26, 2019",2.09,2.16,2.06,2.08,"54,292,215","726,896,842"
"Aug 25, 2019",2.18,2.19,2.04,2.09,"59,471,445","729,777,073"
"Aug 24, 2019",2.25,2.26,2.17,2.19,"50,546,812","764,817,282"
