date,open,high,low,close,volume,marketcap
"Oct 12, 2019",2.84,2.87,2.80,2.84,"130,032,625","541,481,340"
"Oct 11, 2019",2.91,2.92,2.75,2.84,"147,536,935","540,687,492"
"Oct 10, 2019",2.91,3.00,2.74,2.90,"170,166,340","553,772,569"
"Oct 09, 2019",2.91,3.02,2.84,2.91,"133,198,475","555,297,981"
"Oct 08, 2019",2.91,3.06,2.84,2.91,"143,729,013","555,690,359"
"Oct 07, 2019",2.67,2.95,2.59,2.91,"116,735,139","554,766,043"
"Oct 06, 2019",2.75,2.77,2.61,2.67,"99,964,727","508,541,850"
"Oct 05, 2019",2.59,2.77,2.56,2.75,"105,799,482","523,752,708"
"Oct 04, 2019",2.58,2.62,2.50,2.59,"93,827,667","493,133,634"
"Oct 03, 2019",2.61,2.66,2.52,2.58,"112,791,728","492,272,917"
"Oct 02, 2019",2.55,2.62,2.44,2.60,"116,200,106","496,552,363"
"Oct 01, 2019",2.65,2.65,2.49,2.55,"118,931,113","486,332,754"
"Sep 30, 2019",2.21,2.65,2.19,2.63,"136,780,367","501,571,355"
"Sep 29, 2019",2.28,2.29,2.12,2.21,"106,690,215","420,753,478"
"Sep 28, 2019",2.29,2.31,2.21,2.28,"96,812,584","435,186,653"
"Sep 27, 2019",2.22,2.29,2.17,2.29,"113,206,441","436,934,670"
"Sep 26, 2019",2.30,2.35,2.09,2.22,"140,448,613","423,708,570"
"Sep 25, 2019",2.23,2.42,2.16,2.30,"177,658,028","439,268,852"
"Sep 24, 2019",2.58,2.66,2.09,2.24,"188,249,041","427,485,956"
"Sep 23, 2019",2.92,2.92,2.58,2.58,"129,682,436","491,987,769"
"Sep 22, 2019",3.07,3.08,2.81,2.91,"140,188,584","555,000,113"
"Sep 21, 2019",3.18,3.29,3.04,3.07,"146,995,495","586,276,849"
"Sep 20, 2019",3.14,3.26,3.08,3.18,"148,024,573","607,338,024"
"Sep 19, 2019",3.31,3.31,2.94,3.13,"184,157,575","596,904,964"
"Sep 18, 2019",3.31,3.40,3.26,3.31,"163,496,342","631,189,165"
"Sep 17, 2019",3.33,3.44,3.22,3.32,"177,431,367","633,548,174"
"Sep 16, 2019",3.44,3.56,3.18,3.32,"180,803,360","632,979,343"
"Sep 15, 2019",3.11,3.54,3.10,3.45,"189,272,974","657,552,909"
"Sep 14, 2019",3.17,3.24,3.00,3.11,"173,629,172","592,230,157"
"Sep 13, 2019",3.08,3.30,3.01,3.17,"199,583,060","605,163,896"
"Sep 12, 2019",2.58,3.20,2.51,3.08,"192,961,557","587,383,710"
"Sep 11, 2019",2.60,2.70,2.42,2.57,"144,069,231","490,934,316"
"Sep 10, 2019",2.74,2.93,2.54,2.59,"189,092,871","494,703,405"
