date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.034686,0.035223,0.034443,0.034591,"8,342,162","372,285,616"
"Oct 11, 2019",0.036479,0.036523,0.034694,0.034694,"11,665,623","363,886,576"
"Oct 10, 2019",0.035844,0.036576,0.035315,0.036476,"10,847,272","382,580,067"
"Oct 09, 2019",0.035201,0.036246,0.034789,0.035851,"9,790,570","376,029,478"
"Oct 08, 2019",0.035667,0.035812,0.034576,0.035201,"7,909,625","369,211,207"
"Oct 07, 2019",0.034468,0.036051,0.034091,0.035677,"7,485,614","374,200,148"
"Oct 06, 2019",0.035134,0.035835,0.034151,0.034439,"5,660,668","361,219,108"
"Oct 05, 2019",0.036476,0.036476,0.035031,0.035152,"4,977,612","368,693,257"
"Oct 04, 2019",0.035823,0.036605,0.035480,0.036476,"4,791,464","382,583,352"
"Oct 03, 2019",0.035506,0.036055,0.035101,0.035867,"5,636,750","376,189,371"
"Oct 02, 2019",0.034773,0.035944,0.033455,0.035505,"6,888,513","372,395,566"
"Oct 01, 2019",0.035723,0.037231,0.034204,0.034773,"5,619,516","363,763,996"
"Sep 30, 2019",0.035164,0.035875,0.034155,0.035677,"6,861,000","372,246,099"
"Sep 29, 2019",0.034922,0.035710,0.034688,0.035164,"4,548,467","365,927,233"
"Sep 28, 2019",0.035200,0.035348,0.034563,0.034889,"4,418,624","362,117,431"
"Sep 27, 2019",0.034271,0.035301,0.033583,0.035176,"6,162,918","364,126,688"
"Sep 26, 2019",0.034550,0.036052,0.034014,0.034364,"7,108,154","354,776,071"
"Sep 25, 2019",0.036001,0.036417,0.033253,0.034587,"4,861,544","356,137,797"
"Sep 24, 2019",0.038411,0.039173,0.035264,0.036121,"7,492,762","370,939,595"
"Sep 23, 2019",0.039602,0.039621,0.037553,0.037602,"8,007,445","385,116,326"
"Sep 22, 2019",0.038562,0.039796,0.038120,0.039590,"4,517,261","404,395,730"
"Sep 21, 2019",0.039368,0.039470,0.038356,0.038578,"8,669,072","393,006,328"
"Sep 20, 2019",0.039429,0.040394,0.039083,0.039397,"10,215,951","400,267,786"
"Sep 19, 2019",0.038979,0.039828,0.038360,0.039435,"13,750,241","392,995,592"
"Sep 18, 2019",0.038183,0.039676,0.037628,0.038965,"12,337,385","387,250,203"
"Sep 17, 2019",0.039049,0.039508,0.037871,0.038442,"9,980,445","381,001,861"
"Sep 16, 2019",0.039050,0.039843,0.038210,0.039033,"8,837,159","385,781,274"
"Sep 15, 2019",0.039531,0.040136,0.038674,0.039106,"8,568,184","385,436,889"
"Sep 14, 2019",0.039170,0.040053,0.038972,0.039744,"8,028,787","390,639,131"
"Sep 13, 2019",0.040318,0.040726,0.038806,0.039194,"7,714,046","384,150,438"
"Sep 12, 2019",0.037795,0.040836,0.037590,0.040394,"9,786,379","394,811,405"
"Sep 11, 2019",0.038104,0.038595,0.037491,0.037795,"6,310,216","368,372,476"
"Sep 10, 2019",0.039225,0.039682,0.037866,0.038104,"6,945,045","370,343,383"
"Sep 09, 2019",0.039464,0.040040,0.038615,0.039099,"10,549,835","378,940,013"
"Sep 08, 2019",0.041209,0.041728,0.039381,0.039464,"9,985,808","381,391,990"
"Sep 07, 2019",0.041946,0.042169,0.039889,0.041209,"4,152,779","385,843,656"
"Sep 06, 2019",0.041676,0.044019,0.039558,0.041329,"9,711,220","386,965,276"
"Sep 05, 2019",0.037864,0.042430,0.036887,0.041676,"9,760,316","390,213,944"
"Sep 04, 2019",0.038380,0.039491,0.036642,0.037884,"6,180,114","354,708,121"
"Sep 03, 2019",0.041079,0.041593,0.035944,0.038349,"9,222,248","359,062,901"
"Sep 02, 2019",0.039051,0.042183,0.038559,0.041009,"8,470,873","383,965,852"
"Sep 01, 2019",0.039028,0.040762,0.038533,0.039092,"5,838,885","366,017,093"
"Aug 31, 2019",0.038643,0.039666,0.038643,0.039057,"6,413,635","365,692,418"
"Aug 30, 2019",0.040010,0.040815,0.038456,0.038672,"8,735,579","362,088,820"
"Aug 29, 2019",0.040880,0.041225,0.039073,0.040010,"8,025,617","374,613,083"
"Aug 28, 2019",0.040860,0.041842,0.039226,0.041027,"10,657,082","384,140,887"
"Aug 27, 2019",0.042407,0.042471,0.040646,0.040772,"6,329,495","380,631,464"
"Aug 26, 2019",0.042203,0.043472,0.042012,0.042282,"8,159,375","393,567,488"
"Aug 25, 2019",0.042971,0.043262,0.041969,0.042203,"7,468,923","391,682,402"
"Aug 24, 2019",0.043165,0.043465,0.042393,0.042971,"9,786,227","397,626,560"
"Aug 23, 2019",0.043667,0.043907,0.042798,0.043108,"8,379,722","397,711,008"
"Aug 22, 2019",0.043124,0.044200,0.042134,0.043667,"5,103,137","401,680,788"
"Aug 21, 2019",0.044569,0.044975,0.042227,0.043204,"10,646,614","396,234,585"
"Aug 20, 2019",0.045755,0.046392,0.043491,0.044677,"11,499,897","408,519,596"
"Aug 19, 2019",0.045728,0.046410,0.044353,0.045755,"12,484,700","417,118,651"
"Aug 18, 2019",0.044602,0.046593,0.043795,0.045806,"12,872,434","416,333,294"
"Aug 17, 2019",0.043771,0.048012,0.043456,0.044330,"14,165,836","401,699,939"
"Aug 16, 2019",0.046753,0.047511,0.043302,0.043924,"11,123,853","396,822,268"
"Aug 15, 2019",0.046750,0.048159,0.043367,0.046755,"12,455,915","421,119,322"
"Aug 14, 2019",0.047132,0.048244,0.045807,0.046750,"23,392,073","419,793,136"
"Aug 13, 2019",0.047307,0.048667,0.046817,0.047043,"11,363,082","421,129,152"
"Aug 12, 2019",0.049412,0.049671,0.047176,0.047210,"10,840,298","421,333,777"
"Aug 11, 2019",0.051373,0.052163,0.049142,0.049260,"14,742,349","430,072,828"
"Aug 10, 2019",0.051381,0.055638,0.050352,0.051322,"18,436,648","446,669,220"
"Aug 09, 2019",0.047173,0.056348,0.046921,0.051381,"18,628,301","445,767,522"
"Aug 08, 2019",0.046493,0.048727,0.044772,0.047401,"11,934,499","409,939,080"
"Aug 07, 2019",0.051866,0.052829,0.046493,0.046493,"12,544,926","400,815,382"
"Aug 06, 2019",0.055257,0.056396,0.050829,0.051774,"7,152,752","444,923,256"
"Aug 05, 2019",0.056525,0.060102,0.053580,0.055367,"6,763,461","474,286,615"
"Aug 04, 2019",0.056213,0.056901,0.054820,0.056515,"4,208,621","482,568,146"
"Aug 03, 2019",0.055628,0.056708,0.055268,0.056164,"3,259,490","473,414,946"
"Aug 02, 2019",0.057144,0.057886,0.054901,0.055683,"3,666,066","469,363,003"
"Aug 01, 2019",0.058667,0.060260,0.055307,0.057259,"4,366,239","482,649,943"
"Jul 31, 2019",0.059150,0.060287,0.057507,0.058630,"3,753,737","494,201,349"
"Jul 30, 2019",0.054632,0.067657,0.054395,0.059328,"7,927,824","498,466,135"
"Jul 29, 2019",0.056229,0.057441,0.054015,0.054537,"3,370,431","456,714,650"
"Jul 28, 2019",0.056746,0.058163,0.054688,0.056184,"5,042,148","468,969,507"
"Jul 27, 2019",0.061141,0.063120,0.056341,0.056746,"5,958,571","472,103,533"
"Jul 26, 2019",0.061098,0.061958,0.057308,0.061141,"5,435,371","506,991,930"
"Jul 25, 2019",0.062464,0.067785,0.059821,0.061186,"5,272,506","505,693,251"
"Jul 24, 2019",0.070734,0.076869,0.062377,0.062407,"15,822,292","514,072,127"
"Jul 23, 2019",0.065542,0.077326,0.065542,0.070734,"13,005,600","580,728,276"
"Jul 22, 2019",0.054571,0.065692,0.054252,0.065191,"8,237,280","533,430,991"
"Jul 21, 2019",0.056030,0.056777,0.053268,0.054599,"3,423,091","445,268,528"
