close,date,high,low,marketcap,open,volume
1.99,"Oct 14, 2018",2.12,1.98,"114,918,948",2.07,"7,006,490"
2.06,"Oct 13, 2018",2.10,1.97,"113,332,926",2.04,"7,409,100"
2.04,"Oct 12, 2018",2.10,1.95,"111,394,072",2.01,"7,342,810"
2.02,"Oct 11, 2018",2.18,1.96,"116,130,141",2.09,"7,249,340"
2.18,"Oct 10, 2018",2.21,2.05,"116,554,364",2.10,"7,909,680"
2.12,"Oct 09, 2018",2.22,2.08,"120,614,173",2.17,"7,796,720"
2.15,"Oct 08, 2018",2.23,2.07,"119,844,636",2.16,"7,691,280"
2.18,"Oct 07, 2018",2.20,2.04,"118,847,777",2.14,"7,660,360"
2.16,"Oct 06, 2018",2.21,2.06,"115,207,004",2.08,"6,416,910"
2.13,"Oct 05, 2018",2.20,2.06,"117,223,189",2.11,"4,932,590"
2.11,"Oct 04, 2018",2.20,2.06,"117,002,404",2.11,"5,219,640"
2.12,"Oct 03, 2018",2.19,2.02,"116,308,448",2.10,"6,347,390"
2.09,"Oct 02, 2018",2.20,2.05,"121,338,085",2.19,"7,471,460"
2.12,"Oct 01, 2018",2.28,2.06,"118,576,756",2.14,"7,819,000"
2.14,"Sep 30, 2018",2.20,2.00,"114,004,830",2.05,"7,302,050"
2.06,"Sep 29, 2018",2.15,1.98,"116,080,479",2.09,"6,023,180"
2.05,"Sep 28, 2018",2.18,2.01,"116,894,159",2.11,"5,963,470"
2.14,"Sep 27, 2018",2.17,1.96,"111,837,830",2.02,"6,230,440"
2.00,"Sep 26, 2018",2.12,1.94,"112,590,612",2.03,"5,817,030"
1.99,"Sep 25, 2018",2.10,1.95,"111,008,632",2.00,"5,815,820"
2.08,"Sep 24, 2018",2.16,2.00,"118,686,407",2.14,"6,121,640"
2.11,"Sep 23, 2018",2.23,2.03,"121,483,231",2.19,"6,293,310"
2.11,"Sep 22, 2018",2.24,2.08,"116,895,823",2.11,"4,971,080"
2.13,"Sep 21, 2018",2.18,1.98,"112,483,019",2.03,"5,665,230"
2.01,"Sep 20, 2018",2.10,1.94,"114,215,590",2.06,"4,400,710"
1.99,"Sep 19, 2018",2.07,1.92,"113,136,760",2.04,"4,328,440"
2.01,"Sep 18, 2018",2.06,1.90,"108,510,510",1.96,"4,324,760"
1.96,"Sep 17, 2018",2.11,1.89,"114,438,194",2.06,"4,281,340"
2.03,"Sep 16, 2018",2.16,1.96,"118,226,965",2.13,"4,427,870"
2.10,"Sep 15, 2018",2.18,2.04,"115,671,554",2.09,"4,489,360"
2.08,"Sep 14, 2018",2.18,2.03,"117,573,835",2.12,"4,548,250"
2.08,"Sep 13, 2018",2.17,1.99,"111,984,865",2.02,"4,487,250"
2.02,"Sep 12, 2018",2.10,1.96,"113,304,526",2.04,"4,326,880"
2.02,"Sep 11, 2018",2.14,1.96,"112,007,738",2.02,"4,259,750"
2.04,"Sep 10, 2018",2.11,1.96,"91,165,012",2.01,"3,870,930"
2.00,"Sep 09, 2018",2.13,1.94,"88,459,977",1.95,"3,385,740"
2.02,"Sep 08, 2018",2.16,1.93,"93,579,287",2.06,"3,392,430"
2.09,"Sep 07, 2018",2.18,2.01,"97,658,807",2.15,"3,467,130"
