close,date,high,low,marketcap,open,volume
0.115191,"Oct 14, 2018",0.119664,0.115081,"91,092,803",0.119138,"17,816,600"
0.119156,"Oct 13, 2018",0.120626,0.114894,"87,926,707",0.114997,"18,729,200"
0.114909,"Oct 12, 2018",0.117981,0.107544,"83,035,302",0.108600,"20,317,300"
0.108976,"Oct 11, 2018",0.127885,0.108792,"97,749,451",0.127844,"19,878,600"
0.127990,"Oct 10, 2018",0.131968,0.127181,"100,234,706",0.131095,"23,028,200"
0.131204,"Oct 09, 2018",0.146716,0.126539,"104,534,518",0.142417,"51,047,200"
0.140765,"Oct 08, 2018",0.143575,0.117690,"82,892,326",0.117690,"60,135,300"
0.117301,"Oct 07, 2018",0.120378,0.111287,"79,735,101",0.113208,"14,771,200"
0.112684,"Oct 06, 2018",0.117237,0.109762,"82,064,394",0.116525,"13,296,500"
0.117163,"Oct 05, 2018",0.122145,0.112603,"80,724,728",0.114622,"36,605,900"
0.114985,"Oct 04, 2018",0.114985,0.100064,"71,051,221",0.100895,"16,905,100"
0.100999,"Oct 03, 2018",0.103760,0.099697,"73,069,342",0.103760,"6,022,610"
0.104635,"Oct 02, 2018",0.105613,0.101017,"72,383,944",0.103254,"10,597,500"
0.103345,"Oct 01, 2018",0.105156,0.100273,"73,164,893",0.104844,"12,921,300"
0.105258,"Sep 30, 2018",0.110815,0.098121,"69,334,876",0.099427,"34,750,800"
0.098833,"Sep 29, 2018",0.105446,0.090201,"65,379,793",0.093755,"46,927,800"
0.093516,"Sep 28, 2018",0.094815,0.090218,"64,457,281",0.092432,"6,847,440"
0.092585,"Sep 27, 2018",0.094305,0.088342,"62,920,496",0.090229,"4,374,600"
0.089080,"Sep 26, 2018",0.093421,0.089080,"63,903,402",0.091638,"5,433,540"
0.090504,"Sep 25, 2018",0.091428,0.086378,"62,712,776",0.089931,"5,476,500"
0.090329,"Sep 24, 2018",0.094438,0.087751,"65,065,890",0.093305,"4,992,290"
0.093061,"Sep 23, 2018",0.095602,0.090289,"65,230,347",0.093541,"5,156,190"
0.094413,"Sep 22, 2018",0.096405,0.088507,"66,735,610",0.095700,"6,516,070"
0.095719,"Sep 21, 2018",0.096187,0.090223,"64,551,613",0.092716,"12,781,700"
0.092572,"Sep 20, 2018",0.095869,0.089110,"66,081,069",0.095049,"13,410,800"
0.094473,"Sep 19, 2018",0.094988,0.081929,"57,221,048",0.082305,"13,109,800"
0.081762,"Sep 18, 2018",0.090936,0.079839,"60,732,664",0.087356,"17,219,700"
0.087618,"Sep 17, 2018",0.091576,0.076351,"55,809,009",0.080274,"13,403,900"
0.080545,"Sep 16, 2018",0.081947,0.079045,"56,918,397",0.081869,"3,030,410"
0.081623,"Sep 15, 2018",0.082758,0.078249,"56,228,653",0.080877,"4,222,020"
0.081013,"Sep 14, 2018",0.083640,0.076285,"56,985,741",0.081966,"5,131,040"
0.081783,"Sep 13, 2018",0.086671,0.078020,"54,414,665",0.078268,"4,244,030"
0.078471,"Sep 12, 2018",0.082089,0.073629,"55,830,666",0.080305,"4,689,910"
0.080322,"Sep 11, 2018",0.086901,0.078474,"58,388,202",0.083984,"3,594,270"
0.083405,"Sep 10, 2018",0.088076,0.082074,"60,115,675",0.086470,"2,577,530"
0.086231,"Sep 09, 2018",0.089574,0.082616,"59,217,355",0.085178,"4,257,620"
0.085498,"Sep 08, 2018",0.091571,0.084930,"62,636,512",0.090102,"4,235,030"
0.089715,"Sep 07, 2018",0.094096,0.085875,"63,965,977",0.092014,"6,546,300"
0.091686,"Sep 06, 2018",0.091686,0.081017,"60,884,762",0.087582,"7,606,480"
0.087023,"Sep 05, 2018",0.110071,0.087023,"74,626,403",0.107349,"9,191,600"
0.107496,"Sep 04, 2018",0.109598,0.103275,"72,125,773",0.103752,"9,777,950"
0.103453,"Sep 03, 2018",0.106171,0.100089,"71,591,197",0.102983,"5,690,960"
0.102971,"Sep 02, 2018",0.106506,0.100785,"72,079,645",0.103686,"6,413,600"
0.103697,"Sep 01, 2018",0.105857,0.097567,"68,614,580",0.098701,"6,273,150"
0.098841,"Aug 31, 2018",0.099840,0.096294,"68,522,946",0.098570,"3,976,330"
0.098482,"Aug 30, 2018",0.102878,0.094187,"70,464,823",0.101363,"4,826,600"
0.101506,"Aug 29, 2018",0.106938,0.098419,"74,017,990",0.106474,"5,482,200"
0.105952,"Aug 28, 2018",0.109071,0.100576,"71,677,621",0.103108,"8,789,210"
0.103017,"Aug 27, 2018",0.103055,0.095321,"68,468,954",0.098520,"7,503,350"
0.098451,"Aug 26, 2018",0.104326,0.095346,"72,160,638",0.103842,"5,925,360"
0.104067,"Aug 25, 2018",0.116683,0.102512,"78,422,732",0.112853,"9,640,490"
0.112714,"Aug 24, 2018",0.120249,0.094140,"65,441,646",0.094173,"64,570,600"
0.094029,"Aug 23, 2018",0.096747,0.080638,"56,975,534",0.081990,"14,473,200"
0.081780,"Aug 22, 2018",0.087147,0.078829,"55,837,283",0.080352,"11,157,100"
0.080282,"Aug 21, 2018",0.081712,0.074586,"51,890,911",0.074673,"4,355,820"
0.074904,"Aug 20, 2018",0.087713,0.074904,"58,397,486",0.084036,"4,675,080"
0.083972,"Aug 19, 2018",0.084906,0.077141,"56,599,151",0.081448,"6,010,770"
0.081361,"Aug 18, 2018",0.099276,0.077373,"66,504,989",0.095703,"8,373,530"
0.095778,"Aug 17, 2018",0.095778,0.075273,"52,881,924",0.076099,"14,091,900"
0.076063,"Aug 16, 2018",0.079306,0.073691,"51,692,551",0.074391,"12,968,900"
0.074512,"Aug 15, 2018",0.079183,0.073716,"51,223,548",0.073716,"12,190,500"
0.073282,"Aug 14, 2018",0.078901,0.067360,"54,994,213",0.078558,"6,835,920"
0.078608,"Aug 13, 2018",0.093630,0.078608,"59,034,763",0.084330,"8,928,080"
0.084267,"Aug 12, 2018",0.088028,0.083044,"58,644,311",0.083772,"7,336,690"
0.084474,"Aug 11, 2018",0.093426,0.081644,"63,961,906",0.091368,"8,926,710"
0.090757,"Aug 10, 2018",0.095151,0.088513,"65,893,179",0.094127,"9,061,560"
0.095114,"Aug 09, 2018",0.096909,0.085406,"60,196,263",0.085958,"9,449,720"
0.085518,"Aug 08, 2018",0.102751,0.084636,"71,051,863",0.101750,"8,871,700"
0.102100,"Aug 07, 2018",0.111739,0.101131,"75,047,299",0.107472,"7,021,690"
0.107750,"Aug 06, 2018",0.112020,0.105119,"78,223,689",0.112020,"6,199,360"
0.111864,"Aug 05, 2018",0.111864,0.103389,"74,452,283",0.106620,"7,232,970"
0.106159,"Aug 04, 2018",0.115173,0.101657,"77,665,915",0.111222,"7,097,290"
0.110487,"Aug 03, 2018",0.116218,0.102055,"77,970,119",0.111657,"8,757,440"
0.110876,"Aug 02, 2018",0.123965,0.109709,"85,342,179",0.122302,"9,059,340"
0.122575,"Aug 01, 2018",0.127593,0.120538,"88,375,828",0.126650,"7,126,370"
0.127062,"Jul 31, 2018",0.137230,0.122430,"95,093,959",0.136277,"10,909,600"
0.136873,"Jul 30, 2018",0.146261,0.133259,"99,628,530",0.143392,"8,846,060"
0.143926,"Jul 29, 2018",0.145337,0.142247,"99,747,344",0.143563,"9,155,900"
0.143947,"Jul 28, 2018",0.147531,0.142086,"101,983,200",0.146781,"6,577,510"
0.146261,"Jul 27, 2018",0.150210,0.137451,"99,449,272",0.143134,"10,272,300"
0.143657,"Jul 26, 2018",0.154778,0.142092,"106,892,560",0.154291,"8,237,880"
0.154012,"Jul 25, 2018",0.160106,0.147379,"103,372,456",0.149210,"10,499,500"
0.150218,"Jul 24, 2018",0.155151,0.136976,"99,009,896",0.142913,"13,276,700"
