date,open,high,low,close,volume,marketcap
"Oct 12, 2019",1.00,1.01,0.997014,0.999531,"18,504,340","84,568,691"
"Oct 11, 2019",0.999566,1.01,0.996220,1.00,"21,402,987","84,797,249"
"Oct 10, 2019",1.00,1.01,0.994693,0.999448,"20,669,919","85,397,082"
"Oct 09, 2019",1.01,1.02,0.999102,1.00,"7,830,489","84,705,275"
"Oct 08, 2019",1.00,1.01,0.994935,1.01,"3,039,876","82,685,436"
"Oct 07, 2019",1.02,1.02,0.998456,1.00,"18,777,143","81,761,273"
"Oct 06, 2019",1.00,1.02,0.996638,1.02,"19,884,155","82,847,199"
"Oct 05, 2019",1.01,1.01,0.994722,1.00,"17,750,673","81,433,608"
"Oct 04, 2019",1.01,1.02,0.995765,1.01,"20,792,086","82,156,558"
"Oct 03, 2019",1.01,1.01,0.985442,1.01,"17,043,846","81,437,297"
"Oct 02, 2019",1.01,1.01,0.997530,1.01,"18,795,312","81,353,875"
"Oct 01, 2019",1.01,1.02,0.988825,1.01,"18,352,016","80,843,234"
"Sep 30, 2019",1.01,1.03,0.995115,1.01,"20,589,326","81,158,841"
"Sep 29, 2019",1.01,1.02,0.999033,1.01,"18,139,980","80,040,722"
"Sep 28, 2019",1.00,1.01,0.997923,1.01,"17,262,843","80,213,148"
"Sep 27, 2019",1.01,1.02,0.996486,1.00,"19,369,210","79,869,842"
"Sep 26, 2019",1.01,1.03,0.972937,1.01,"22,787,537","80,414,172"
"Sep 25, 2019",0.994242,1.02,0.992889,1.01,"22,057,239","81,084,428"
"Sep 24, 2019",1.01,1.02,0.933859,0.993214,"26,883,824","80,044,479"
"Sep 23, 2019",1.01,1.01,0.997566,1.01,"23,431,693","86,875,170"
"Sep 22, 2019",1.00,1.01,0.997076,1.01,"21,751,900","87,047,539"
"Sep 21, 2019",1.00,1.01,0.996784,1.00,"21,029,342","86,728,464"
"Sep 20, 2019",1.00,1.01,0.994085,1.00,"22,113,526","86,688,492"
"Sep 19, 2019",1.00,1.03,0.985835,1.00,"23,015,535","85,989,253"
"Sep 18, 2019",0.997083,1.01,0.996107,1.00,"23,715,004","86,031,480"
"Sep 17, 2019",0.997575,1.02,0.995566,0.997980,"23,894,770","85,155,636"
"Sep 16, 2019",1.01,1.02,0.989228,0.997461,"24,159,930","83,785,179"
"Sep 15, 2019",1.00,1.01,0.993614,1.01,"24,373,594","84,199,187"
"Sep 14, 2019",1.01,1.02,0.995546,1.00,"24,316,947","79,512,961"
"Sep 13, 2019",1.01,1.01,0.994788,1.01,"24,965,711","79,731,200"
"Sep 12, 2019",1.01,1.01,0.996564,1.01,"24,341,903","79,612,121"
"Sep 11, 2019",0.993602,1.02,0.983227,1.01,"5,180,442","79,711,463"
"Sep 10, 2019",1.00,1.01,0.987226,0.993543,"25,790,547","78,287,106"
"Sep 09, 2019",1.00,1.02,0.993097,1.00,"24,424,442","78,759,956"
"Sep 08, 2019",0.999555,1.01,0.990272,1.00,"24,569,174","78,207,595"
"Sep 07, 2019",1.01,1.02,0.994747,0.999629,"22,316,490","77,687,402"
"Sep 06, 2019",1.01,1.01,0.975613,1.01,"26,234,769","77,774,494"
"Sep 05, 2019",0.996810,1.01,0.994656,1.01,"22,880,201","77,635,719"
"Sep 04, 2019",1.00,1.01,0.994089,0.996891,"18,733,753","77,084,134"
"Sep 03, 2019",1.00,1.02,0.994644,1.00,"19,748,050","77,311,532"
"Sep 02, 2019",0.999431,1.02,0.995765,1.00,"18,676,486","76,738,527"
"Sep 01, 2019",1.00,1.01,0.997945,0.999254,"18,280,259","76,541,850"
"Aug 31, 2019",1.00,1.02,0.996673,1.00,"19,912,733","77,201,627"
"Aug 30, 2019",1.00,1.01,0.998960,1.00,"18,975,490","77,028,482"
"Aug 29, 2019",1.01,1.02,1.00,1.00,"18,406,443","77,282,692"
"Aug 28, 2019",1.01,1.01,0.975766,1.01,"18,429,779","78,276,719"
"Aug 27, 2019",1.01,1.01,0.997910,1.01,"16,365,254","79,359,775"
"Aug 26, 2019",1.00,1.01,0.996902,1.01,"20,170,293","78,892,890"
"Aug 25, 2019",1.01,1.01,0.991664,1.00,"14,214,898","78,545,470"
"Aug 24, 2019",1.01,1.01,0.979578,1.01,"13,875,598","79,221,229"
"Aug 23, 2019",0.998201,1.01,0.996839,1.01,"15,252,568","78,860,531"
"Aug 22, 2019",1.00,1.02,0.987497,0.998201,"17,264,170","78,375,123"
"Aug 21, 2019",0.998357,1.01,0.982383,1.00,"20,299,873","78,782,353"
"Aug 20, 2019",1.01,1.01,0.992119,0.998357,"15,734,231","78,409,929"
"Aug 19, 2019",1.00,1.01,0.997840,1.01,"19,435,734","79,223,528"
"Aug 18, 2019",1.00,1.01,0.996616,1.00,"16,511,876","78,379,852"
"Aug 17, 2019",1.00,1.01,0.987898,1.00,"15,666,191","78,538,736"
"Aug 16, 2019",0.999224,1.01,0.993320,1.00,"30,831,720","78,673,330"
"Aug 15, 2019",1.01,1.02,0.998510,0.998883,"27,033,181","78,304,841"
"Aug 14, 2019",1.00,1.02,0.964334,1.01,"25,670,954","78,963,032"
"Aug 13, 2019",0.998130,1.01,0.990720,1.00,"9,056,642","79,017,530"
"Aug 12, 2019",1.00,1.00,0.994748,0.997676,"9,270,128","78,330,634"
"Aug 11, 2019",0.999119,1.00,0.996443,1.00,"7,657,754","78,541,398"
"Aug 10, 2019",0.998319,1.01,0.988640,0.998890,"9,293,015","78,215,909"
"Aug 09, 2019",1.00,1.13,0.995997,0.998319,"14,257,595","77,104,708"
"Aug 08, 2019",1.00,1.00,0.994579,1.00,"8,711,574","77,186,011"
"Aug 07, 2019",1.01,1.02,0.988293,1.00,"9,257,949","77,087,790"
"Aug 06, 2019",1.00,1.03,0.976470,1.01,"16,099,177","76,418,141"
"Aug 05, 2019",0.999900,1.02,0.999488,1.00,"11,550,109","77,271,496"
"Aug 04, 2019",1.00,1.01,0.996960,1.00,"8,136,471","77,187,275"
"Aug 03, 2019",1.01,1.01,0.998672,1.00,"6,051,249","77,213,380"
"Aug 02, 2019",1.01,1.05,0.996385,1.01,"9,318,076","77,569,550"
"Aug 01, 2019",1.01,1.02,0.996484,1.01,"11,718,252","77,966,406"
"Jul 31, 2019",1.01,1.02,1.00,1.01,"13,820,475","78,370,385"
"Jul 30, 2019",1.01,1.01,0.993179,1.00,"12,604,408","77,608,564"
"Jul 29, 2019",1.00,1.01,0.990922,1.01,"13,314,713","77,411,632"
"Jul 28, 2019",1.01,1.01,0.982577,1.00,"16,675,203","77,089,585"
"Jul 27, 2019",1.01,1.02,0.967810,1.01,"17,292,503","76,991,319"
"Jul 26, 2019",0.995722,1.01,0.985690,1.01,"30,777,486","76,690,123"
"Jul 25, 2019",1.01,1.01,0.993750,0.995886,"27,175,837","77,811,989"
"Jul 24, 2019",0.994595,1.01,0.986633,1.01,"21,157,696","79,543,230"
"Jul 23, 2019",0.998012,1.01,0.990893,0.994595,"10,451,617","78,599,229"
"Jul 22, 2019",1.00,1.01,0.972405,0.998220,"19,763,543","80,026,459"
"Jul 21, 2019",0.985439,1.01,0.985439,1.00,"29,882,616","82,445,471"
"Jul 20, 2019",1.00,1.01,0.984212,0.986406,"25,041,329","81,080,253"
"Jul 19, 2019",1.00,1.03,0.969270,1.00,"15,098,129","82,622,926"
"Jul 18, 2019",0.985487,1.04,0.978990,1.00,"44,934,840","84,910,785"
"Jul 17, 2019",0.977953,1.01,0.958349,0.984612,"50,933,950","84,069,621"
"Jul 16, 2019",1.03,1.04,0.898021,0.980616,"32,110,568","83,932,607"
"Jul 15, 2019",0.954122,1.05,0.929839,1.04,"50,512,498","88,478,097"
"Jul 14, 2019",0.994755,0.999461,0.941520,0.955374,"25,563,148","84,325,907"
"Jul 13, 2019",0.940833,1.00,0.914250,0.994050,"22,610,008","90,123,601"
"Jul 12, 2019",0.977516,1.01,0.912365,0.942901,"20,633,318","85,725,217"
"Jul 11, 2019",0.985315,1.02,0.938197,0.977895,"30,144,710","89,725,617"
"Jul 10, 2019",0.995550,1.02,0.954289,0.985808,"21,580,448","90,074,240"
"Jul 09, 2019",1.02,1.07,0.979907,0.995257,"23,936,397","90,940,175"
"Jul 08, 2019",1.02,1.04,0.987901,1.02,"22,653,171","92,150,852"
