date,open,high,low,close,volume,marketcap
"Oct 12, 2019",70.48,72.61,70.43,71.11,"221,773,195","646,550,853"
"Oct 11, 2019",72.80,73.29,70.44,70.50,"220,205,963","640,890,170"
"Oct 10, 2019",74.02,74.49,70.94,72.80,"255,488,611","661,640,315"
"Oct 09, 2019",71.33,74.60,70.81,74.12,"232,323,935","673,548,176"
"Oct 08, 2019",71.39,73.54,70.94,71.38,"231,621,906","648,483,667"
"Oct 07, 2019",70.55,72.20,69.12,71.47,"227,315,535","649,174,515"
"Oct 06, 2019",70.53,72.11,69.76,70.54,"213,763,280","640,641,899"
"Oct 05, 2019",70.06,70.77,68.96,70.59,"190,166,360","640,993,974"
"Oct 04, 2019",70.05,71.18,69.20,70.12,"197,176,401","636,603,527"
"Oct 03, 2019",70.94,71.28,68.93,70.04,"224,161,131","635,744,751"
"Oct 02, 2019",70.55,70.87,69.65,70.86,"164,619,887","643,049,844"
"Oct 01, 2019",71.06,72.70,69.87,70.51,"214,628,256","639,794,753"
"Sep 30, 2019",69.41,71.96,67.55,71.09,"218,298,028","644,490,956"
"Sep 29, 2019",71.84,71.84,68.05,69.44,"187,343,276","629,405,017"
"Sep 28, 2019",71.95,72.36,70.92,71.85,"212,554,942","651,170,189"
"Sep 27, 2019",69.23,72.20,67.85,71.97,"242,836,100","652,131,225"
"Sep 26, 2019",73.12,73.63,67.15,69.19,"209,364,896","626,812,674"
"Sep 25, 2019",72.72,76.17,70.01,73.09,"281,828,717","662,008,601"
"Sep 24, 2019",87.40,88.50,70.88,72.90,"261,957,987","660,151,235"
"Sep 23, 2019",91.73,91.76,87.39,87.39,"230,898,224","791,261,135"
"Sep 22, 2019",93.44,94.18,91.41,91.76,"213,969,220","830,609,846"
"Sep 21, 2019",96.98,97.03,93.52,93.71,"204,689,152","848,112,966"
"Sep 20, 2019",100.55,100.55,96.01,97.00,"247,488,316","877,732,900"
"Sep 19, 2019",98.07,104.28,91.37,100.48,"371,945,615","909,045,731"
"Sep 18, 2019",94.86,98.16,94.59,98.08,"299,130,439","887,194,385"
"Sep 17, 2019",92.70,97.04,91.22,94.94,"263,625,773","858,659,761"
"Sep 16, 2019",89.19,93.48,88.58,92.73,"236,260,884","838,506,407"
"Sep 15, 2019",91.57,91.68,89.19,89.19,"218,503,109","806,313,555"
"Sep 14, 2019",93.28,94.60,90.74,91.52,"253,643,873","827,271,734"
"Sep 13, 2019",85.28,94.27,85.11,93.27,"235,816,614","842,847,025"
"Sep 12, 2019",82.80,90.79,81.99,85.29,"238,978,713","770,648,577"
"Sep 11, 2019",83.85,85.34,82.34,82.80,"173,750,574","747,991,225"
"Sep 10, 2019",87.11,87.78,82.98,83.83,"164,513,699","757,159,326"
"Sep 09, 2019",87.80,89.02,85.93,87.13,"184,918,831","786,844,141"
"Sep 08, 2019",84.28,87.86,84.13,87.75,"170,509,823","792,223,214"
"Sep 07, 2019",80.37,84.45,80.29,84.25,"186,581,412","760,557,889"
"Sep 06, 2019",80.58,83.13,78.57,80.35,"212,197,139","725,219,112"
"Sep 05, 2019",81.23,82.11,80.40,80.57,"180,982,478","726,989,061"
"Sep 04, 2019",82.94,82.98,80.43,81.21,"181,916,602","732,705,323"
"Sep 03, 2019",81.64,83.96,80.36,82.95,"192,725,799","748,237,440"
"Sep 02, 2019",79.98,83.23,79.93,81.61,"195,249,831","735,948,934"
"Sep 01, 2019",80.21,81.04,78.80,80.07,"149,634,077","721,956,273"
"Aug 31, 2019",80.55,81.01,78.79,80.19,"206,431,548","722,882,315"
"Aug 30, 2019",80.25,82.07,79.47,80.58,"157,841,920","725,837,019"
"Aug 29, 2019",84.94,84.97,78.99,80.25,"157,127,218","722,744,004"
"Aug 28, 2019",90.73,91.14,84.76,84.96,"160,998,762","764,997,750"
"Aug 27, 2019",92.35,92.74,90.20,90.70,"125,590,276","816,566,032"
"Aug 26, 2019",91.40,93.58,91.19,92.78,"153,344,606","835,128,601"
"Aug 25, 2019",92.35,92.99,90.90,91.43,"148,936,751","822,765,308"
"Aug 24, 2019",93.71,93.96,90.34,92.38,"145,816,130","831,218,616"
"Aug 23, 2019",91.25,95.23,90.32,93.73,"225,009,605","843,219,319"
"Aug 22, 2019",89.86,92.40,87.97,91.24,"245,507,277","820,594,475"
"Aug 21, 2019",93.96,93.96,87.28,90.23,"175,275,582","811,348,926"
"Aug 20, 2019",98.13,98.19,93.35,93.94,"152,098,244","844,604,955"
"Aug 19, 2019",95.13,98.11,94.27,98.11,"138,241,467","881,946,323"
"Aug 18, 2019",92.75,96.63,91.76,95.11,"130,360,202","854,767,039"
"Aug 17, 2019",94.23,94.40,91.31,92.74,"126,384,743","833,294,378"
"Aug 16, 2019",95.22,95.54,92.07,94.24,"153,973,787","846,627,669"
"Aug 15, 2019",95.62,96.92,92.35,95.18,"203,677,926","854,959,202"
"Aug 14, 2019",101.44,102.31,95.52,95.52,"193,825,014","857,808,290"
"Aug 13, 2019",104.51,106.73,101.08,101.44,"203,406,782","910,823,491"
"Aug 12, 2019",106.91,106.91,102.83,104.96,"164,675,849","942,219,501"
"Aug 11, 2019",99.43,108.71,99.29,106.92,"224,599,771","959,670,387"
"Aug 10, 2019",103.53,104.51,98.00,99.41,"209,200,269","892,091,552"
"Aug 09, 2019",105.39,105.53,102.96,103.57,"200,936,269","929,193,681"
"Aug 08, 2019",107.62,107.85,103.77,105.33,"211,407,418","944,886,676"
"Aug 07, 2019",106.94,110.06,106.33,107.68,"187,404,291","965,726,788"
"Aug 06, 2019",111.81,112.35,104.28,106.91,"171,131,524","958,653,277"
"Aug 05, 2019",107.23,113.59,107.14,111.21,"170,830,744","997,065,751"
"Aug 04, 2019",107.43,108.30,104.35,107.20,"150,889,264","960,930,852"
"Aug 03, 2019",105.53,109.03,105.52,107.36,"145,024,306","962,104,024"
"Aug 02, 2019",107.79,109.51,105.20,105.52,"219,195,431","945,485,901"
"Aug 01, 2019",109.28,109.36,105.44,107.79,"163,095,470","965,605,793"
"Jul 31, 2019",105.45,109.20,105.28,109.20,"169,370,085","977,419,290"
"Jul 30, 2019",105.99,107.84,104.20,105.52,"162,697,638","944,320,202"
"Jul 29, 2019",108.36,109.18,105.04,105.98,"329,780,599","948,316,015"
"Jul 28, 2019",110.52,112.07,103.75,108.39,"318,393,082","969,657,236"
"Jul 27, 2019",115.40,117.18,108.97,110.51,"311,051,445","988,407,523"
"Jul 26, 2019",115.46,115.71,112.53,115.43,"282,012,230","1,032,203,835"
"Jul 25, 2019",110.07,116.21,109.59,115.48,"259,603,578","1,032,519,323"
"Jul 24, 2019",109.64,111.24,107.19,110.03,"226,086,425","983,593,678"
"Jul 23, 2019",114.74,114.95,109.23,109.65,"186,342,849","979,996,937"
"Jul 22, 2019",119.08,119.26,112.94,114.72,"175,141,025","1,025,103,381"
"Jul 21, 2019",117.27,119.30,116.19,119.04,"165,889,734","1,063,550,859"
"Jul 20, 2019",112.75,120.79,112.75,117.32,"163,620,065","1,047,959,939"
"Jul 19, 2019",111.43,113.84,107.66,112.75,"174,440,117","1,006,920,110"
"Jul 18, 2019",103.44,112.80,100.92,111.39,"227,066,432","994,550,336"
"Jul 17, 2019",101.87,107.87,97.12,103.39,"221,765,645","922,996,529"
"Jul 16, 2019",123.14,125.14,101.73,102.13,"246,413,641","911,570,565"
"Jul 15, 2019",124.14,126.54,118.92,123.12,"262,140,694","1,098,667,751"
"Jul 14, 2019",140.52,141.20,123.84,124.18,"238,515,648","1,107,983,488"
"Jul 13, 2019",143.72,144.47,137.25,140.50,"261,580,245","1,253,325,260"
"Jul 12, 2019",143.18,148.28,141.94,143.70,"222,825,505","1,281,647,554"
"Jul 11, 2019",150.86,150.87,137.03,142.99,"279,769,967","1,275,008,078"
