close,date,high,low,marketcap,open,volume
0.067691,"Oct 14, 2018",0.070339,0.067545,"71,668,865",0.068247,"2,973,910"
0.068088,"Oct 13, 2018",0.069330,0.067697,"71,655,117",0.068234,"2,596,350"
0.068279,"Oct 12, 2018",0.072404,0.066442,"70,810,084",0.067429,"3,894,070"
0.067697,"Oct 11, 2018",0.074873,0.064842,"78,507,379",0.074759,"5,664,040"
0.074893,"Oct 10, 2018",0.075966,0.071905,"79,220,591",0.075438,"2,800,500"
0.075528,"Oct 09, 2018",0.077731,0.074087,"79,864,113",0.076051,"2,984,570"
0.075956,"Oct 08, 2018",0.077331,0.074899,"79,992,077",0.076173,"2,790,230"
0.076086,"Oct 07, 2018",0.077091,0.074341,"80,068,261",0.076245,"2,866,200"
0.076144,"Oct 06, 2018",0.082558,0.075732,"83,201,166",0.079228,"3,238,450"
0.079180,"Oct 05, 2018",0.084523,0.076782,"80,703,810",0.076850,"6,377,030"
0.076833,"Oct 04, 2018",0.077175,0.073343,"77,136,273",0.073453,"3,304,300"
0.073689,"Oct 03, 2018",0.074242,0.071853,"77,492,374",0.073792,"2,738,520"
0.073931,"Oct 02, 2018",0.075303,0.073931,"78,626,479",0.074872,"2,349,260"
0.074937,"Oct 01, 2018",0.076261,0.073616,"79,293,395",0.075507,"2,514,400"
0.075636,"Sep 30, 2018",0.076845,0.074570,"78,744,718",0.074985,"2,637,310"
0.075113,"Sep 29, 2018",0.078032,0.073119,"81,944,097",0.078032,"2,951,660"
0.078076,"Sep 28, 2018",0.079218,0.075693,"81,507,485",0.077616,"3,376,100"
0.077454,"Sep 27, 2018",0.078052,0.071620,"75,928,418",0.072303,"3,169,990"
0.072255,"Sep 26, 2018",0.077252,0.070162,"76,015,078",0.072386,"3,403,170"
0.071993,"Sep 25, 2018",0.076661,0.069685,"80,505,076",0.076661,"3,415,660"
0.076776,"Sep 24, 2018",0.079003,0.074718,"82,855,322",0.078899,"2,777,520"
0.078792,"Sep 23, 2018",0.080195,0.076125,"80,984,361",0.077118,"3,819,710"
0.076980,"Sep 22, 2018",0.079925,0.074564,"83,475,896",0.079490,"3,515,220"
0.079386,"Sep 21, 2018",0.082524,0.075202,"84,308,246",0.080283,"5,192,240"
0.080423,"Sep 20, 2018",0.081213,0.071681,"76,444,022",0.072794,"5,817,390"
0.072783,"Sep 19, 2018",0.073765,0.066819,"72,671,977",0.069202,"4,442,840"
0.069208,"Sep 18, 2018",0.070326,0.064378,"68,281,612",0.065021,"4,094,490"
0.065252,"Sep 17, 2018",0.074034,0.064458,"74,777,421",0.071207,"4,161,970"
0.070973,"Sep 16, 2018",0.072423,0.068284,"75,796,807",0.072178,"3,575,670"
0.072204,"Sep 15, 2018",0.074054,0.065407,"69,034,594",0.065738,"4,021,270"
0.065917,"Sep 14, 2018",0.070972,0.063511,"69,961,084",0.066621,"4,262,990"
0.067084,"Sep 13, 2018",0.070412,0.060870,"64,348,170",0.061276,"5,931,720"
0.061024,"Sep 12, 2018",0.061024,0.051700,"61,086,080",0.058169,"3,393,780"
0.058169,"Sep 11, 2018",0.061810,0.056011,"64,611,981",0.061527,"2,949,200"
0.061425,"Sep 10, 2018",0.064536,0.060577,"67,523,450",0.064299,"3,543,240"
0.064126,"Sep 09, 2018",0.064997,0.054884,"59,901,072",0.057041,"3,317,690"
0.057074,"Sep 08, 2018",0.065983,0.056702,"64,880,714",0.061783,"2,737,360"
0.061765,"Sep 07, 2018",0.064758,0.059465,"66,510,886",0.063335,"2,764,750"
0.063351,"Sep 06, 2018",0.063604,0.058855,"66,793,229",0.063604,"3,279,760"
0.064133,"Sep 05, 2018",0.078549,0.064133,"82,083,617",0.078164,"4,399,520"
0.078332,"Sep 04, 2018",0.080223,0.076894,"81,080,285",0.077209,"3,783,670"
0.077316,"Sep 03, 2018",0.078432,0.076606,"82,273,463",0.078345,"3,605,510"
