close,date,high,low,marketcap,open,volume
37.39,"Oct 14, 2018",38.60,37.18,"327,052,697",37.87,"249,550"
38.13,"Oct 13, 2018",38.28,35.97,"312,659,222",36.23,"512,276"
36.25,"Oct 12, 2018",38.40,36.01,"316,543,978",36.71,"2,092,390"
36.82,"Oct 11, 2018",41.35,36.49,"356,335,800",41.35,"10,183,500"
41.42,"Oct 10, 2018",41.99,39.95,"352,857,354",40.97,"1,643,250"
41.10,"Oct 09, 2018",45.87,40.26,"380,298,455",44.19,"5,053,600"
44.12,"Oct 08, 2018",44.51,40.04,"345,172,417",40.13,"1,697,510"
40.05,"Oct 07, 2018",41.20,39.69,"351,035,465",40.84,"240,057"
40.72,"Oct 06, 2018",42.19,40.35,"360,967,144",42.02,"648,012"
42.00,"Oct 05, 2018",42.37,40.96,"354,461,690",41.29,"1,195,760"
41.18,"Oct 04, 2018",41.34,38.34,"330,385,641",38.51,"1,886,200"
38.64,"Oct 03, 2018",39.05,37.78,"333,659,600",38.92,"710,528"
38.86,"Oct 02, 2018",39.07,38.17,"329,903,493",38.51,"1,325,290"
38.62,"Oct 01, 2018",39.84,38.19,"335,519,055",39.19,"732,532"
39.23,"Sep 30, 2018",39.90,38.25,"334,464,882",39.09,"2,769,030"
39.07,"Sep 29, 2018",39.21,37.96,"331,303,777",38.75,"3,437,790"
38.80,"Sep 28, 2018",39.63,38.41,"330,617,505",38.70,"1,183,200"
38.69,"Sep 27, 2018",38.97,36.87,"316,765,225",37.10,"1,016,760"
37.04,"Sep 26, 2018",37.37,35.95,"314,875,026",36.91,"985,738"
36.95,"Sep 25, 2018",37.80,36.12,"322,278,115",37.80,"738,268"
37.85,"Sep 24, 2018",39.18,37.45,"331,705,329",38.93,"736,025"
38.82,"Sep 23, 2018",38.92,37.60,"323,970,135",38.05,"816,181"
37.91,"Sep 22, 2018",38.85,36.67,"327,817,982",38.53,"732,990"
38.41,"Sep 21, 2018",38.62,36.32,"312,668,752",36.77,"1,349,850"
36.75,"Sep 20, 2018",37.21,35.89,"309,012,640",36.36,"648,159"
36.35,"Sep 19, 2018",36.84,35.51,"308,337,178",36.31,"834,800"
36.29,"Sep 18, 2018",37.32,35.46,"308,373,946",36.34,"756,664"
36.29,"Sep 17, 2018",38.00,36.24,"321,647,121",37.93,"982,002"
37.94,"Sep 16, 2018",38.58,37.34,"327,002,303",38.58,"338,406"
38.63,"Sep 15, 2018",38.87,37.14,"323,070,933",38.15,"631,838"
38.38,"Sep 14, 2018",41.09,36.57,"314,872,998",37.20,"14,013,400"
37.22,"Sep 13, 2018",37.43,34.66,"294,076,239",34.77,"1,281,160"
34.75,"Sep 12, 2018",35.93,34.16,"303,179,879",35.87,"732,954"
35.83,"Sep 11, 2018",37.76,34.36,"308,068,281",36.48,"846,255"
36.48,"Sep 10, 2018",37.73,35.55,"314,755,657",37.29,"526,136"
37.14,"Sep 09, 2018",38.34,35.32,"297,937,762",35.32,"775,473"
35.33,"Sep 08, 2018",39.49,34.99,"322,287,774",38.24,"849,435"
38.23,"Sep 07, 2018",40.74,36.38,"315,263,128",37.43,"8,871,780"
37.43,"Sep 06, 2018",37.83,34.97,"318,249,080",37.81,"1,373,210"
37.24,"Sep 05, 2018",43.64,37.24,"362,516,715",43.10,"2,332,860"
43.12,"Sep 04, 2018",43.71,42.54,"361,027,387",42.95,"2,667,040"
42.77,"Sep 03, 2018",44.55,42.74,"373,384,179",44.45,"1,480,470"
44.30,"Sep 02, 2018",44.86,42.41,"375,480,425",44.73,"1,862,140"
44.70,"Sep 01, 2018",45.23,42.53,"358,348,451",42.72,"2,698,010"
42.75,"Aug 31, 2018",42.80,41.59,"355,770,761",42.44,"952,497"
42.39,"Aug 30, 2018",43.84,39.82,"349,082,768",41.67,"3,479,080"
41.62,"Aug 29, 2018",44.01,40.54,"345,238,038",41.24,"1,513,560"
41.21,"Aug 28, 2018",41.87,40.10,"338,025,432",40.41,"1,754,090"
40.29,"Aug 27, 2018",40.29,37.66,"319,635,443",38.24,"3,056,870"
38.33,"Aug 26, 2018",39.92,37.22,"333,266,002",39.90,"6,506,580"
39.98,"Aug 25, 2018",41.01,38.64,"339,938,305",40.72,"7,292,340"
40.81,"Aug 24, 2018",41.07,35.13,"311,450,355",37.34,"7,721,500"
37.28,"Aug 23, 2018",37.38,36.31,"304,169,221",36.49,"7,707,900"
36.42,"Aug 22, 2018",39.67,36.04,"315,593,074",37.89,"1,777,910"
37.89,"Aug 21, 2018",38.30,36.57,"306,487,416",36.82,"2,759,490"
36.95,"Aug 20, 2018",40.85,36.74,"334,969,347",40.27,"1,778,690"
40.22,"Aug 19, 2018",40.75,38.34,"327,171,807",39.36,"973,823"
39.27,"Aug 18, 2018",43.37,37.68,"351,383,545",42.30,"1,655,690"
42.43,"Aug 17, 2018",42.56,37.73,"313,133,852",37.73,"1,534,870"
37.89,"Aug 16, 2018",38.69,36.77,"308,580,934",37.20,"1,090,910"
37.39,"Aug 15, 2018",40.78,36.67,"328,012,413",39.57,"1,760,550"
39.71,"Aug 14, 2018",39.71,32.59,"319,478,173",38.57,"2,528,370"
38.61,"Aug 13, 2018",41.61,38.61,"341,130,069",41.22,"1,313,600"
41.26,"Aug 12, 2018",42.92,41.08,"353,408,625",42.73,"975,567"
42.82,"Aug 11, 2018",43.81,41.33,"350,821,445",42.44,"1,358,100"
42.47,"Aug 10, 2018",47.24,42.07,"390,145,168",47.24,"1,171,430"
47.27,"Aug 09, 2018",47.80,42.69,"365,182,715",44.80,"1,780,160"
45.23,"Aug 08, 2018",47.44,42.36,"386,664,878",47.44,"1,963,460"
47.35,"Aug 07, 2018",50.95,47.21,"404,810,784",49.66,"1,509,520"
49.74,"Aug 06, 2018",51.51,48.62,"406,662,208",49.89,"1,358,750"
49.84,"Aug 05, 2018",51.45,49.61,"410,779,561",50.40,"1,397,620"
50.33,"Aug 04, 2018",55.62,50.05,"450,916,411",55.32,"1,919,250"
55.04,"Aug 03, 2018",56.13,51.35,"437,007,195",53.61,"2,401,740"
53.59,"Aug 02, 2018",59.36,53.59,"466,423,267",57.22,"2,191,790"
57.27,"Aug 01, 2018",57.32,54.25,"458,737,638",56.28,"2,479,770"
56.37,"Jul 31, 2018",60.02,55.91,"489,206,097",60.02,"2,583,760"
60.17,"Jul 30, 2018",63.88,58.55,"517,271,784",63.46,"2,828,940"
