close,date,high,low,marketcap,open,volume
0.000232,"Oct 14, 2018",0.000239,0.000226,"73,596,877",0.000226,"16,071"
0.000226,"Oct 13, 2018",0.000242,0.000218,"73,537,544",0.000226,"25,910"
0.000226,"Oct 12, 2018",0.000240,0.000225,"76,235,331",0.000234,"18,479"
0.000235,"Oct 11, 2018",0.000261,0.000227,"81,453,900",0.000250,"61,625"
0.000254,"Oct 10, 2018",0.000286,0.000241,"90,681,121",0.000279,"93,165"
0.000280,"Oct 09, 2018",0.000284,0.000236,"82,480,113",0.000254,"59,466"
0.000254,"Oct 08, 2018",0.000257,0.000241,"82,825,664",0.000255,"118,021"
0.000254,"Oct 07, 2018",0.000256,0.000228,"82,960,669",0.000255,"114,531"
0.000254,"Oct 06, 2018",0.000264,0.000234,"85,244,911",0.000262,"144,348"
0.000262,"Oct 05, 2018",0.000262,0.000242,"79,318,704",0.000244,"255,796"
0.000244,"Oct 04, 2018",0.000266,0.000244,"83,027,286",0.000255,"262,190"
0.000254,"Oct 03, 2018",0.000277,0.000253,"84,736,310",0.000261,"73,087"
0.000261,"Oct 02, 2018",0.000278,0.000245,"79,873,747",0.000246,"88,990"
0.000246,"Oct 01, 2018",0.000258,0.000240,"79,517,537",0.000244,"24,184"
0.000245,"Sep 30, 2018",0.000258,0.000232,"82,373,363",0.000253,"48,264"
0.000250,"Sep 29, 2018",0.000258,0.000244,"82,835,376",0.000255,"81,558"
0.000255,"Sep 28, 2018",0.000282,0.000246,"87,432,673",0.000269,"108,086"
0.000274,"Sep 27, 2018",0.000299,0.000259,"92,644,431",0.000285,"134,610"
0.000285,"Sep 26, 2018",0.000292,0.000269,"92,706,391",0.000285,"99,817"
0.000285,"Sep 25, 2018",0.000287,0.000267,"88,501,215",0.000272,"89,502"
0.000281,"Sep 24, 2018",0.000296,0.000270,"88,167,230",0.000271,"68,008"
0.000271,"Sep 23, 2018",0.000310,0.000267,"90,226,727",0.000277,"52,774"
0.000277,"Sep 22, 2018",0.000291,0.000258,"88,755,975",0.000273,"101,362"
0.000273,"Sep 21, 2018",0.000283,0.000255,"86,653,656",0.000266,"95,128"
0.000270,"Sep 20, 2018",0.000270,0.000241,"85,416,479",0.000263,"125,826"
0.000270,"Sep 19, 2018",0.000274,0.000243,"84,594,311",0.000260,"86,177"
0.000260,"Sep 18, 2018",0.000260,0.000220,"78,423,869",0.000241,"126,510"
0.000241,"Sep 17, 2018",0.000291,0.000227,"93,099,165",0.000286,"113,856"
0.000286,"Sep 16, 2018",0.000286,0.000267,"90,379,593",0.000278,"26,515"
0.000277,"Sep 15, 2018",0.000294,0.000261,"87,445,205",0.000269,"37,937"
0.000270,"Sep 14, 2018",0.000301,0.000247,"82,202,022",0.000253,"101,708"
0.000253,"Sep 13, 2018",0.000275,0.000235,"86,382,635",0.000266,"171,038"
0.000268,"Sep 12, 2018",0.000313,0.000238,"86,435,291",0.000266,"219,644"
0.000266,"Sep 11, 2018",0.000286,0.000254,"89,729,305",0.000276,"31,766"
0.000274,"Sep 10, 2018",0.000281,0.000253,"82,531,718",0.000254,"34,626"
0.000254,"Sep 09, 2018",0.000267,0.000249,"83,213,280",0.000256,"33,663"
0.000256,"Sep 08, 2018",0.000302,0.000249,"96,796,649",0.000298,"81,598"
0.000296,"Sep 07, 2018",0.000324,0.000286,"97,380,376",0.000299,"31,529"
0.000300,"Sep 06, 2018",0.000316,0.000268,"98,957,018",0.000304,"100,065"
0.000305,"Sep 05, 2018",0.000358,0.000305,"115,215,557",0.000354,"65,639"
0.000354,"Sep 04, 2018",0.000362,0.000334,"115,046,156",0.000354,"40,044"
0.000354,"Sep 03, 2018",0.000376,0.000338,"121,839,165",0.000375,"73,396"
0.000374,"Sep 02, 2018",0.000379,0.000361,"119,027,997",0.000366,"35,442"
0.000366,"Sep 01, 2018",0.000395,0.000341,"111,450,936",0.000343,"69,150"
0.000355,"Aug 31, 2018",0.000366,0.000313,"118,516,301",0.000364,"121,188"
0.000364,"Aug 30, 2018",0.000382,0.000327,"123,645,531",0.000380,"142,201"
0.000377,"Aug 29, 2018",0.000404,0.000377,"131,402,841",0.000404,"85,417"
0.000404,"Aug 28, 2018",0.000410,0.000383,"131,387,999",0.000404,"170,122"
0.000404,"Aug 27, 2018",0.000404,0.000383,"126,616,881",0.000389,"82,586"
0.000389,"Aug 26, 2018",0.000406,0.000351,"127,934,172",0.000393,"233,154"
0.000394,"Aug 25, 2018",0.000480,0.000376,"134,269,192",0.000413,"472,804"
0.000417,"Aug 24, 2018",0.000431,0.000339,"112,065,066",0.000345,"274,330"
0.000344,"Aug 23, 2018",0.000366,0.000343,"111,588,921",0.000343,"86,970"
0.000343,"Aug 22, 2018",0.000381,0.000340,"117,591,054",0.000362,"64,076"
0.000362,"Aug 21, 2018",0.000365,0.000339,"110,584,687",0.000340,"40,992"
0.000341,"Aug 20, 2018",0.000379,0.000341,"121,240,956",0.000373,"129,885"
0.000373,"Aug 19, 2018",0.000381,0.000351,"117,727,781",0.000362,"76,094"
0.000359,"Aug 18, 2018",0.000391,0.000348,"127,188,607",0.000391,"103,563"
0.000390,"Aug 17, 2018",0.000406,0.000358,"120,827,358",0.000372,"133,657"
0.000367,"Aug 16, 2018",0.000405,0.000334,"113,255,493",0.000348,"187,347"
0.000348,"Aug 15, 2018",0.000363,0.000300,"103,106,443",0.000317,"109,976"
0.000316,"Aug 14, 2018",0.000366,0.000299,"112,020,162",0.000344,"302,132"
0.000346,"Aug 13, 2018",0.000408,0.000335,"112,152,791",0.000345,"211,146"
0.000344,"Aug 12, 2018",0.000374,0.000336,"110,226,565",0.000339,"112,310"
0.000340,"Aug 11, 2018",0.000365,0.000320,"106,942,244",0.000329,"108,615"
0.000329,"Aug 10, 2018",0.000365,0.000323,"109,104,449",0.000335,"142,950"
0.000336,"Aug 09, 2018",0.000348,0.000304,"100,983,774",0.000311,"95,816"
0.000310,"Aug 08, 2018",0.000328,0.000303,"104,718,267",0.000322,"48,384"
0.000322,"Aug 07, 2018",0.000352,0.000318,"104,236,065",0.000321,"71,041"
0.000321,"Aug 06, 2018",0.000350,0.000315,"113,571,986",0.000349,"67,821"
0.000341,"Aug 05, 2018",0.000367,0.000332,"116,190,733",0.000357,"105,491"
0.000357,"Aug 04, 2018",0.000407,0.000326,"106,068,243",0.000326,"158,573"
0.000326,"Aug 03, 2018",0.000345,0.000319,"108,509,184",0.000334,"24,600"
0.000334,"Aug 02, 2018",0.000369,0.000328,"110,434,689",0.000340,"52,386"
0.000339,"Aug 01, 2018",0.000360,0.000319,"111,710,409",0.000343,"46,299"
0.000344,"Jul 31, 2018",0.000363,0.000321,"117,159,255",0.000360,"21,427"
0.000360,"Jul 30, 2018",0.000371,0.000335,"120,796,965",0.000371,"35,430"
0.000371,"Jul 29, 2018",0.000379,0.000348,"117,723,256",0.000362,"33,634"
0.000361,"Jul 28, 2018",0.000372,0.000352,"120,222,296",0.000370,"27,105"
0.000369,"Jul 27, 2018",0.000383,0.000351,"122,219,832",0.000376,"80,231"
0.000375,"Jul 26, 2018",0.000398,0.000373,"124,556,264",0.000383,"56,787"
0.000383,"Jul 25, 2018",0.000394,0.000365,"125,878,960",0.000387,"49,868"
0.000389,"Jul 24, 2018",0.000397,0.000341,"113,263,744",0.000348,"82,205"
0.000348,"Jul 23, 2018",0.000394,0.000341,"120,417,104",0.000370,"130,607"
0.000373,"Jul 22, 2018",0.000388,0.000364,"120,853,560",0.000372,"23,702"
0.000372,"Jul 21, 2018",0.000388,0.000360,"122,764,592",0.000377,"16,912"
0.000378,"Jul 20, 2018",0.000391,0.000363,"124,412,184",0.000383,"39,513"
0.000382,"Jul 19, 2018",0.000407,0.000375,"126,896,920",0.000390,"40,353"
0.000391,"Jul 18, 2018",0.000425,0.000387,"129,530,288",0.000398,"125,493"
0.000398,"Jul 17, 2018",0.000408,0.000351,"116,438,280",0.000358,"69,510"
0.000358,"Jul 16, 2018",0.000373,0.000338,"109,952,288",0.000338,"55,945"
0.000337,"Jul 15, 2018",0.000358,0.000330,"110,692,504",0.000340,"41,986"
0.000339,"Jul 14, 2018",0.000353,0.000323,"111,594,032",0.000343,"20,521"
0.000343,"Jul 13, 2018",0.000355,0.000325,"108,472,840",0.000334,"26,972"
0.000333,"Jul 12, 2018",0.000355,0.000308,"112,587,920",0.000346,"49,460"
0.000349,"Jul 11, 2018",0.000360,0.000339,"115,356,904",0.000355,"35,681"
0.000354,"Jul 10, 2018",0.000376,0.000348,"120,906,576",0.000372,"34,407"
0.000373,"Jul 09, 2018",0.000401,0.000362,"129,916,000",0.000399,"41,589"
0.000401,"Jul 08, 2018",0.000410,0.000377,"132,498,944",0.000407,"45,408"
0.000387,"Jul 07, 2018",0.000421,0.000387,"132,580,584",0.000408,"25,537"
0.000409,"Jul 06, 2018",0.000421,0.000390,"131,304,392",0.000404,"33,185"
0.000403,"Jul 05, 2018",0.000437,0.000380,"130,155,368",0.000400,"56,964"
0.000400,"Jul 04, 2018",0.000418,0.000381,"133,128,592",0.000409,"43,868"
0.000409,"Jul 03, 2018",0.000424,0.000382,"126,899,528",0.000390,"56,356"
0.000391,"Jul 02, 2018",0.000416,0.000360,"121,431,160",0.000373,"50,591"
0.000373,"Jul 01, 2018",0.000396,0.000365,"120,944,624",0.000372,"34,995"
0.000372,"Jun 30, 2018",0.000391,0.000355,"115,459,680",0.000355,"42,898"
0.000355,"Jun 29, 2018",0.000361,0.000319,"113,372,048",0.000349,"60,496"
0.000348,"Jun 28, 2018",0.000372,0.000311,"108,670,328",0.000334,"100,340"
0.000334,"Jun 27, 2018",0.000385,0.000331,"122,053,928",0.000375,"47,860"
0.000376,"Jun 26, 2018",0.000408,0.000358,"123,807,368",0.000381,"36,643"
0.000381,"Jun 25, 2018",0.000417,0.000351,"118,646,496",0.000365,"68,326"
0.000365,"Jun 24, 2018",0.000389,0.000349,"125,370,280",0.000385,"104,134"
0.000386,"Jun 23, 2018",0.000398,0.000368,"120,694,976",0.000371,"26,395"
0.000371,"Jun 22, 2018",0.000439,0.000365,"140,376,080",0.000432,"80,038"
0.000432,"Jun 21, 2018",0.000457,0.000426,"146,912,272",0.000452,"50,589"
0.000452,"Jun 20, 2018",0.000459,0.000430,"145,310,704",0.000447,"56,912"
0.000447,"Jun 19, 2018",0.000500,0.000440,"149,654,736",0.000460,"140,262"
0.000458,"Jun 18, 2018",0.000464,0.000403,"131,176,424",0.000403,"79,525"
0.000406,"Jun 17, 2018",0.000434,0.000404,"137,834,656",0.000424,"38,238"
0.000423,"Jun 16, 2018",0.000440,0.000413,"137,952,880",0.000424,"38,983"
0.000425,"Jun 15, 2018",0.000461,0.000420,"148,810,976",0.000458,"34,758"
0.000459,"Jun 14, 2018",0.000470,0.000402,"134,375,712",0.000413,"131,153"
0.000410,"Jun 13, 2018",0.000461,0.000403,"147,583,824",0.000454,"162,143"
0.000453,"Jun 12, 2018",0.000499,0.000446,"157,146,224",0.000483,"73,947"
0.000482,"Jun 11, 2018",0.000499,0.000466,"156,619,040",0.000482,"90,997"
0.000481,"Jun 10, 2018",0.000574,0.000452,"181,834,672",0.000559,"87,926"
0.000558,"Jun 09, 2018",0.000597,0.000558,"186,084,576",0.000572,"76,807"
0.000571,"Jun 08, 2018",0.000633,0.000568,"198,582,320",0.000611,"90,121"
0.000610,"Jun 07, 2018",0.000647,0.000591,"199,062,896",0.000612,"100,893"
0.000612,"Jun 06, 2018",0.000637,0.000596,"204,473,328",0.000629,"116,913"
0.000630,"Jun 05, 2018",0.000639,0.000591,"201,628,512",0.000620,"136,431"
0.000620,"Jun 04, 2018",0.000678,0.000619,"217,897,040",0.000670,"127,789"
0.000675,"Jun 03, 2018",0.000690,0.000651,"214,922,304",0.000661,"111,795"
0.000662,"Jun 02, 2018",0.000710,0.000638,"210,917,600",0.000649,"129,641"
0.000649,"Jun 01, 2018",0.000666,0.000621,"213,213,568",0.000656,"104,222"
0.000655,"May 31, 2018",0.000673,0.000617,"203,510,512",0.000626,"186,430"
0.000634,"May 30, 2018",0.000684,0.000615,"213,183,584",0.000655,"63,746"
0.000655,"May 29, 2018",0.000684,0.000586,"194,944,624",0.000599,"201,846"
0.000605,"May 28, 2018",0.000736,0.000587,"196,569,232",0.000604,"494,761"
0.000608,"May 27, 2018",0.000651,0.000592,"211,555,712",0.000650,"161,142"
0.000646,"May 26, 2018",0.000698,0.000640,"226,370,528",0.000696,"132,045"
0.000694,"May 25, 2018",0.000719,0.000670,"222,375,008",0.000684,"129,618"
0.000685,"May 24, 2018",0.000699,0.000621,"213,200,832",0.000656,"188,250"
0.000656,"May 23, 2018",0.000754,0.000643,"240,627,792",0.000740,"230,345"
0.000741,"May 22, 2018",0.000801,0.000729,"254,957,632",0.000784,"180,723"
0.000784,"May 21, 2018",0.000845,0.000779,"274,363,264",0.000844,"209,927"
0.000839,"May 20, 2018",0.000866,0.000813,"272,512,192",0.000838,"176,404"
