close,date,high,low,marketcap,open,volume
0.132749,"Oct 14, 2018",0.160608,0.117471,"99,385,765",0.141980,"2,086,560"
0.140135,"Oct 13, 2018",0.146810,0.095241,"67,387,959",0.096269,"2,298,070"
0.095408,"Oct 12, 2018",0.103234,0.074317,"54,946,612",0.078495,"1,086,040"
0.078538,"Oct 11, 2018",0.091825,0.074391,"63,232,432",0.090332,"673,552"
0.091905,"Oct 10, 2018",0.092878,0.080561,"56,392,385",0.080561,"989,505"
0.080671,"Oct 09, 2018",0.081235,0.073231,"53,028,823",0.075756,"707,820"
0.075887,"Oct 08, 2018",0.081408,0.071513,"55,508,770",0.079298,"577,778"
0.079040,"Oct 07, 2018",0.087864,0.073181,"60,776,810",0.086824,"770,505"
0.086774,"Oct 06, 2018",0.090790,0.063882,"55,899,508",0.079856,"1,134,540"
0.081649,"Oct 05, 2018",0.085030,0.053460,"38,155,214",0.054507,"898,610"
0.053942,"Oct 04, 2018",0.057627,0.042113,"29,612,697",0.042304,"746,529"
0.041177,"Oct 03, 2018",0.048321,0.034468,"24,273,451",0.034676,"597,915"
0.034662,"Oct 02, 2018",0.035555,0.034203,"24,281,704",0.034688,"405,240"
0.034727,"Oct 01, 2018",0.035508,0.033686,"24,720,870",0.035315,"399,098"
0.035328,"Sep 30, 2018",0.036333,0.034065,"25,066,352",0.035809,"407,016"
0.035851,"Sep 29, 2018",0.036371,0.032639,"23,216,906",0.033167,"416,735"
0.034425,"Sep 28, 2018",0.035709,0.032475,"24,782,474",0.035403,"421,592"
0.034534,"Sep 27, 2018",0.035308,0.031958,"23,447,471",0.033496,"383,929"
0.033506,"Sep 26, 2018",0.034151,0.030542,"22,404,505",0.032006,"382,445"
0.031957,"Sep 25, 2018",0.034123,0.030594,"23,885,883",0.034123,"416,513"
0.034114,"Sep 24, 2018",0.036174,0.032738,"25,130,126",0.035900,"376,770"
0.035559,"Sep 23, 2018",0.036460,0.033870,"25,280,892",0.036116,"404,972"
0.036094,"Sep 22, 2018",0.037346,0.033961,"25,262,965",0.036090,"433,784"
0.035788,"Sep 21, 2018",0.037218,0.031703,"22,676,848",0.032396,"466,900"
0.032402,"Sep 20, 2018",0.032666,0.030496,"21,755,561",0.031079,"422,020"
0.031109,"Sep 19, 2018",0.031989,0.029782,"21,345,400",0.030493,"291,064"
0.030798,"Sep 18, 2018",0.031663,0.028895,"20,509,411",0.029299,"304,531"
0.029542,"Sep 17, 2018",0.034249,0.028113,"22,412,575",0.032018,"420,330"
0.032260,"Sep 16, 2018",0.034125,0.026094,"23,887,456",0.034125,"369,086"
0.034108,"Sep 15, 2018",0.034498,0.027735,"20,432,364",0.029189,"337,337"
0.029234,"Sep 14, 2018",0.032409,0.025211,"21,903,839",0.031291,"349,860"
0.031400,"Sep 13, 2018",0.033630,0.025823,"21,249,734",0.030357,"383,319"
0.030266,"Sep 12, 2018",0.032487,0.028304,"21,259,090",0.030370,"322,329"
0.029998,"Sep 11, 2018",0.037503,0.028091,"25,279,505",0.036114,"376,900"
0.035881,"Sep 10, 2018",0.038301,0.032479,"24,602,136",0.035146,"386,440"
0.035091,"Sep 09, 2018",0.039320,0.030348,"26,040,814",0.037201,"394,298"
0.037263,"Sep 08, 2018",0.045796,0.031753,"25,771,151",0.036816,"646,203"
0.036875,"Sep 07, 2018",0.036941,0.025687,"18,172,489",0.025961,"397,218"
0.025923,"Sep 06, 2018",0.027638,0.021662,"16,198,176",0.023140,"234,060"
0.023124,"Sep 05, 2018",0.045569,0.022906,"17,757,439",0.025368,"284,476"
0.024637,"Sep 04, 2018",0.025502,0.020185,"14,484,417",0.020692,"200,360"
0.021249,"Sep 03, 2018",0.021376,0.018562,"13,543,847",0.019348,"148,550"
0.019338,"Sep 02, 2018",0.019721,0.018321,"13,414,868",0.019164,"135,957"
0.019162,"Sep 01, 2018",0.019717,0.018197,"13,164,512",0.018806,"118,298"
0.018582,"Aug 31, 2018",0.019163,0.015265,"12,151,210",0.017359,"153,494"
0.017463,"Aug 30, 2018",0.018537,0.015943,"12,952,556",0.018504,"125,479"
