close,date,high,low,marketcap,open,volume
0.005158,"Oct 14, 2018",0.005222,0.005145,"603,005,372",0.005174,"7,930,760"
0.005182,"Oct 13, 2018",0.005272,0.005163,"611,167,838",0.005245,"8,095,130"
0.005247,"Oct 12, 2018",0.005283,0.004957,"580,520,403",0.004982,"9,635,600"
0.005000,"Oct 11, 2018",0.005547,0.004901,"646,278,101",0.005547,"18,770,800"
0.005552,"Oct 10, 2018",0.005648,0.005531,"655,629,475",0.005628,"10,274,400"
0.005635,"Oct 09, 2018",0.005639,0.005574,"651,522,409",0.005594,"8,996,090"
0.005578,"Oct 08, 2018",0.005652,0.005549,"649,059,208",0.005573,"12,177,400"
0.005562,"Oct 07, 2018",0.005575,0.005512,"647,340,998",0.005559,"7,755,690"
0.005545,"Oct 06, 2018",0.005770,0.005483,"662,045,360",0.005686,"13,055,500"
0.005669,"Oct 05, 2018",0.005744,0.005625,"657,406,185",0.005647,"12,566,200"
0.005645,"Oct 04, 2018",0.005767,0.005576,"664,878,697",0.005712,"14,529,600"
0.005704,"Oct 03, 2018",0.005826,0.005655,"676,635,401",0.005813,"15,933,900"
0.005824,"Oct 02, 2018",0.005964,0.005789,"689,807,865",0.005927,"15,357,200"
0.005942,"Oct 01, 2018",0.006024,0.005881,"686,678,942",0.005901,"20,096,400"
0.005906,"Sep 30, 2018",0.005910,0.005828,"682,649,298",0.005867,"13,396,600"
0.005865,"Sep 29, 2018",0.005898,0.005765,"678,473,341",0.005832,"15,626,800"
0.005831,"Sep 28, 2018",0.005965,0.005783,"682,127,221",0.005864,"14,461,600"
0.005879,"Sep 27, 2018",0.005910,0.005693,"663,138,534",0.005702,"15,096,200"
0.005695,"Sep 26, 2018",0.005753,0.005662,"661,967,501",0.005692,"11,673,600"
0.005686,"Sep 25, 2018",0.005794,0.005587,"660,500,845",0.005680,"17,598,700"
0.005677,"Sep 24, 2018",0.006067,0.005659,"686,476,405",0.005904,"17,243,600"
0.005901,"Sep 23, 2018",0.005907,0.005736,"670,195,181",0.005765,"12,445,100"
0.005758,"Sep 22, 2018",0.005817,0.005604,"660,513,655",0.005682,"14,917,600"
0.005684,"Sep 21, 2018",0.005961,0.005553,"661,922,456",0.005695,"22,345,300"
0.005695,"Sep 20, 2018",0.005900,0.005605,"651,418,921",0.005605,"25,354,400"
0.005609,"Sep 19, 2018",0.006031,0.005360,"695,339,643",0.005984,"38,645,300"
0.005981,"Sep 18, 2018",0.006280,0.005789,"723,884,225",0.006231,"39,689,500"
0.006243,"Sep 17, 2018",0.006547,0.006156,"759,753,036",0.006540,"26,385,900"
0.006531,"Sep 16, 2018",0.006531,0.006141,"719,090,348",0.006191,"21,598,600"
0.006165,"Sep 15, 2018",0.006267,0.006134,"718,592,131",0.006187,"16,956,400"
0.006180,"Sep 14, 2018",0.006658,0.006095,"761,621,743",0.006558,"41,910,000"
0.006554,"Sep 13, 2018",0.006609,0.006410,"751,053,731",0.006468,"45,785,700"
0.006455,"Sep 12, 2018",0.006457,0.006193,"734,389,830",0.006325,"59,824,100"
0.006329,"Sep 11, 2018",0.006931,0.005953,"804,635,603",0.006931,"89,882,900"
0.006892,"Sep 10, 2018",0.006933,0.005840,"677,828,035",0.005840,"76,891,600"
0.005829,"Sep 09, 2018",0.005843,0.005702,"662,695,904",0.005710,"32,572,000"
0.005692,"Sep 08, 2018",0.005858,0.005298,"614,771,699",0.005298,"48,248,300"
