close,date,high,low,marketcap,open,volume
0.002967,"Oct 14, 2018",0.003011,0.002761,"63,942,552",0.002856,"451,804"
0.002856,"Oct 13, 2018",0.003005,0.002640,"62,796,866",0.002807,"501,652"
0.002809,"Oct 12, 2018",0.003076,0.002611,"68,256,100",0.003054,"506,989"
0.003049,"Oct 11, 2018",0.003255,0.002716,"72,691,758",0.003255,"466,905"
0.003262,"Oct 10, 2018",0.003493,0.002900,"76,996,782",0.003454,"553,528"
0.003463,"Oct 09, 2018",0.003613,0.002683,"79,511,953",0.003577,"688,947"
0.003575,"Oct 08, 2018",0.003669,0.002839,"80,944,236",0.003660,"577,606"
0.003647,"Oct 07, 2018",0.003702,0.003375,"81,486,790",0.003697,"587,427"
0.003337,"Oct 06, 2018",0.003781,0.003285,"81,855,173",0.003716,"586,748"
0.003718,"Oct 05, 2018",0.003771,0.003485,"81,034,621",0.003679,"476,868"
0.003659,"Oct 04, 2018",0.003860,0.003565,"82,873,636",0.003764,"584,733"
0.003752,"Oct 03, 2018",0.003909,0.003613,"86,049,813",0.003909,"642,623"
0.003908,"Oct 02, 2018",0.004069,0.003727,"85,084,851",0.003867,"637,615"
0.003875,"Oct 01, 2018",0.004056,0.003746,"87,244,108",0.003967,"657,340"
0.003973,"Sep 30, 2018",0.004001,0.003796,"86,614,369",0.003939,"632,170"
0.003941,"Sep 29, 2018",0.003990,0.003794,"87,317,645",0.003971,"590,756"
0.003976,"Sep 28, 2018",0.004161,0.003748,"83,881,623",0.003817,"588,058"
0.003815,"Sep 27, 2018",0.003845,0.003519,"82,766,691",0.003769,"591,767"
0.003767,"Sep 26, 2018",0.003914,0.003644,"81,325,129",0.003707,"565,065"
0.003706,"Sep 25, 2018",0.003818,0.003466,"83,677,621",0.003818,"627,880"
0.003820,"Sep 24, 2018",0.003944,0.003635,"85,944,602",0.003930,"636,861"
0.003920,"Sep 23, 2018",0.004027,0.003628,"86,274,118",0.003962,"510,463"
0.003966,"Sep 22, 2018",0.004378,0.003538,"93,667,107",0.004318,"452,712"
0.004261,"Sep 21, 2018",0.004441,0.003926,"93,362,312",0.004306,"145,901"
0.004306,"Sep 20, 2018",0.004377,0.003653,"85,364,826",0.003938,"164,719"
0.003937,"Sep 19, 2018",0.003981,0.003688,"82,410,514",0.003802,"94,027"
0.003803,"Sep 18, 2018",0.003965,0.003556,"81,511,987",0.003761,"489,020"
0.003759,"Sep 17, 2018",0.004154,0.003480,"83,811,918",0.003868,"280,735"
0.003834,"Sep 16, 2018",0.004346,0.003691,"91,642,375",0.004230,"554,241"
0.004223,"Sep 15, 2018",0.004530,0.004009,"90,356,369",0.004171,"610,570"
0.004179,"Sep 14, 2018",0.004732,0.003786,"83,354,872",0.003848,"614,354"
0.003858,"Sep 13, 2018",0.003877,0.003365,"72,862,244",0.003365,"566,666"
0.003360,"Sep 12, 2018",0.003630,0.003019,"78,291,437",0.003618,"346,238"
0.003619,"Sep 11, 2018",0.004170,0.003347,"89,761,204",0.004151,"466,854"
0.004144,"Sep 10, 2018",0.004422,0.003037,"73,685,600",0.003411,"533,716"
0.003409,"Sep 09, 2018",0.003498,0.003017,"74,025,607",0.003433,"454,983"
0.003443,"Sep 08, 2018",0.003506,0.003120,"73,176,400",0.003407,"380,798"
0.003404,"Sep 07, 2018",0.003841,0.003282,"82,240,776",0.003841,"454,554"
0.003840,"Sep 06, 2018",0.003889,0.003408,"82,483,540",0.003853,"470,586"
0.003850,"Sep 05, 2018",0.004411,0.003813,"81,621,224",0.003813,"535,675"
0.003811,"Sep 04, 2018",0.004097,0.003442,"78,974,393",0.003690,"383,672"
0.003665,"Sep 03, 2018",0.003665,0.002868,"71,899,010",0.003361,"415,068"
0.003359,"Sep 02, 2018",0.003385,0.002684,"59,295,210",0.002773,"524,515"
0.002772,"Sep 01, 2018",0.002983,0.002505,"55,231,296",0.002584,"242,423"
0.002585,"Aug 31, 2018",0.011307,0.002375,"54,032,874",0.002529,"400,335"
0.002501,"Aug 30, 2018",0.002934,0.002117,"52,478,801",0.002457,"262,682"
0.002424,"Aug 29, 2018",0.002667,0.002275,"54,723,980",0.002563,"672,127"
0.002563,"Aug 28, 2018",0.002715,0.001637,"57,250,940",0.002685,"674,381"
0.002680,"Aug 27, 2018",0.002716,0.002436,"54,522,834",0.002560,"346,801"
0.002543,"Aug 26, 2018",0.002702,0.002480,"57,272,238",0.002695,"318,630"
0.002693,"Aug 25, 2018",0.002757,0.002489,"55,101,677",0.002601,"342,907"
0.002605,"Aug 24, 2018",0.002732,0.002344,"57,436,353",0.002732,"376,993"
0.002728,"Aug 23, 2018",0.002761,0.002224,"56,235,580",0.002692,"108,089"
0.002689,"Aug 22, 2018",0.002999,0.001734,"57,803,351",0.002768,"390,003"
0.002769,"Aug 21, 2018",0.002936,0.002474,"59,790,100",0.002864,"465,065"
0.002875,"Aug 20, 2018",0.003199,0.002861,"65,936,078",0.003159,"461,277"
0.003162,"Aug 19, 2018",0.003241,0.002805,"62,971,471",0.003018,"414,990"
0.003016,"Aug 18, 2018",0.003448,0.002634,"68,867,166",0.003302,"348,880"
0.003290,"Aug 17, 2018",0.003486,0.002743,"62,785,783",0.003011,"333,387"
0.003009,"Aug 16, 2018",0.003272,0.002822,"68,216,876",0.003272,"281,931"
0.003270,"Aug 15, 2018",0.003777,0.002630,"54,812,847",0.002630,"378,559"
0.002620,"Aug 14, 2018",0.003011,0.002108,"60,097,717",0.002885,"258,469"
