date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.142416,0.154207,0.139431,0.152734,"8,372,275","129,823,780"
"Oct 11, 2019",0.149035,0.152267,0.142015,0.142319,"7,824,138","120,971,173"
"Oct 10, 2019",0.154888,0.154888,0.146392,0.148867,"7,751,655","126,536,913"
"Oct 09, 2019",0.159630,0.159877,0.144651,0.154812,"8,131,684","131,590,125"
"Oct 08, 2019",0.159836,0.161404,0.156119,0.159630,"7,898,572","135,685,825"
"Oct 07, 2019",0.160667,0.161172,0.157609,0.159898,"8,207,971","135,913,580"
"Oct 06, 2019",0.162335,0.164111,0.159151,0.160736,"8,497,327","136,625,175"
"Oct 05, 2019",0.163808,0.163926,0.160595,0.162364,"7,607,201","138,009,747"
"Oct 04, 2019",0.159035,0.165992,0.151660,0.163808,"8,709,990","139,237,138"
"Oct 03, 2019",0.162371,0.164797,0.157363,0.159063,"7,243,459","135,203,964"
"Oct 02, 2019",0.161479,0.166359,0.160147,0.162195,"7,983,296","137,866,098"
"Oct 01, 2019",0.162289,0.165358,0.159921,0.161479,"7,281,000","121,108,903"
"Sep 30, 2019",0.158170,0.164506,0.152164,0.162270,"8,600,206","121,702,680"
"Sep 29, 2019",0.160355,0.161741,0.156248,0.158182,"8,024,437","118,636,506"
"Sep 28, 2019",0.158950,0.165949,0.156034,0.160603,"8,828,783","120,452,400"
"Sep 27, 2019",0.158225,0.160431,0.154410,0.158949,"9,114,274","119,211,847"
"Sep 26, 2019",0.158571,0.160887,0.151266,0.158255,"9,853,471","118,691,068"
"Sep 25, 2019",0.161653,0.161716,0.154266,0.158591,"9,042,280","118,943,247"
"Sep 24, 2019",0.169053,0.173739,0.156783,0.161849,"9,626,256","121,386,692"
"Sep 23, 2019",0.175727,0.175798,0.168831,0.169068,"10,366,275","126,800,833"
"Sep 22, 2019",0.170870,0.175760,0.168937,0.175750,"8,420,512","131,812,300"
"Sep 21, 2019",0.169214,0.174310,0.167149,0.170868,"10,011,631","128,151,234"
"Sep 20, 2019",0.166467,0.172752,0.164132,0.169148,"10,460,064","126,860,886"
"Sep 19, 2019",0.168893,0.170974,0.166076,0.166667,"10,343,321","125,000,417"
"Sep 18, 2019",0.170122,0.171771,0.168716,0.168827,"9,687,247","126,620,591"
"Sep 17, 2019",0.170116,0.174342,0.167669,0.170055,"9,518,166","127,541,159"
"Sep 16, 2019",0.166126,0.172591,0.165959,0.170001,"8,923,262","127,500,617"
"Sep 15, 2019",0.165364,0.170467,0.164108,0.166098,"8,914,750","124,573,321"
"Sep 14, 2019",0.169535,0.169688,0.163260,0.165364,"8,870,679","124,022,799"
"Sep 13, 2019",0.167588,0.171937,0.164967,0.169554,"8,633,808","127,165,502"
"Sep 12, 2019",0.163079,0.170190,0.161391,0.167466,"8,480,679","125,599,516"
"Sep 11, 2019",0.168195,0.170228,0.158990,0.162983,"8,293,455","122,236,959"
"Sep 10, 2019",0.151963,0.169245,0.150400,0.168195,"11,154,944","126,146,295"
"Sep 09, 2019",0.147524,0.155525,0.146174,0.151904,"8,818,611","113,927,961"
"Sep 08, 2019",0.151962,0.151962,0.145721,0.147524,"6,751,297","110,642,671"
"Sep 07, 2019",0.150209,0.153375,0.148516,0.151586,"8,338,340","113,689,177"
"Sep 06, 2019",0.154896,0.155084,0.149816,0.150379,"8,545,405","112,784,065"
"Sep 05, 2019",0.150924,0.157814,0.145477,0.154896,"9,617,673","116,172,216"
"Sep 04, 2019",0.154043,0.154052,0.148774,0.150940,"8,518,445","113,205,086"
"Sep 03, 2019",0.150142,0.157298,0.147666,0.154030,"9,010,005","115,522,279"
"Sep 02, 2019",0.142872,0.151406,0.140389,0.150062,"8,826,177","112,546,141"
"Sep 01, 2019",0.139319,0.144404,0.135839,0.142910,"8,489,407","107,182,442"
"Aug 31, 2019",0.134925,0.142074,0.134393,0.139305,"9,085,966","104,478,836"
"Aug 30, 2019",0.133281,0.137150,0.132125,0.134984,"9,556,350","101,238,370"
"Aug 29, 2019",0.133674,0.137679,0.132924,0.133281,"9,707,419","99,960,565"
"Aug 28, 2019",0.139104,0.141715,0.133604,0.133662,"9,871,167","86,880,449"
"Aug 27, 2019",0.138405,0.140886,0.135799,0.139311,"9,594,395","90,552,017"
"Aug 26, 2019",0.130603,0.142121,0.127229,0.138360,"8,792,066","89,934,163"
"Aug 25, 2019",0.140424,0.140806,0.130386,0.130602,"8,746,542","84,891,482"
"Aug 24, 2019",0.143413,0.143551,0.136703,0.140424,"9,100,628","91,275,894"
"Aug 23, 2019",0.146417,0.146904,0.138921,0.143542,"8,979,823","93,302,105"
"Aug 22, 2019",0.148378,0.148955,0.143871,0.146417,"9,171,591","95,171,016"
"Aug 21, 2019",0.151624,0.152826,0.144724,0.148388,"7,973,545","96,452,463"
"Aug 20, 2019",0.145218,0.155582,0.145059,0.151624,"5,031,805","98,555,608"
"Aug 19, 2019",0.153398,0.157624,0.145007,0.145218,"4,468,612","94,391,837"
"Aug 18, 2019",0.154718,0.162889,0.152182,0.153319,"6,098,789","99,657,538"
"Aug 17, 2019",0.149889,0.160892,0.144909,0.154912,"6,393,399","100,692,605"
"Aug 16, 2019",0.149760,0.152791,0.139229,0.149972,"5,828,965","97,481,623"
"Aug 15, 2019",0.150231,0.154868,0.143010,0.149743,"6,029,227","97,332,650"
"Aug 14, 2019",0.153369,0.164049,0.148488,0.150231,"6,931,282","97,649,987"
"Aug 13, 2019",0.150856,0.158468,0.145351,0.153122,"6,156,882","133,629,921"
"Aug 12, 2019",0.150824,0.159209,0.142894,0.150858,"7,400,851","131,654,205"
"Aug 11, 2019",0.143644,0.151809,0.137321,0.150719,"5,262,727","131,533,263"
"Aug 10, 2019",0.141555,0.147654,0.129977,0.143556,"5,775,630","125,281,679"
"Aug 09, 2019",0.146964,0.154870,0.136866,0.141555,"6,034,650","123,535,497"
"Aug 08, 2019",0.142070,0.150367,0.140168,0.146977,"5,533,509","128,267,615"
"Aug 07, 2019",0.135848,0.142295,0.135041,0.142070,"5,186,255","123,985,043"
"Aug 06, 2019",0.139822,0.144763,0.132886,0.135762,"4,982,065","118,479,944"
"Aug 05, 2019",0.128907,0.140223,0.128283,0.139941,"5,635,535","122,127,146"
"Aug 04, 2019",0.122462,0.129704,0.119203,0.128782,"4,447,872","112,388,766"
"Aug 03, 2019",0.121003,0.124002,0.117770,0.122466,"4,239,910","106,876,855"
"Aug 02, 2019",0.125121,0.125519,0.119629,0.120993,"4,404,740","105,591,298"
"Aug 01, 2019",0.125301,0.126192,0.120234,0.125129,"4,447,756","109,200,840"
"Jul 31, 2019",0.119431,0.127092,0.118883,0.125178,"4,009,688","109,243,562"
"Jul 30, 2019",0.122725,0.123320,0.117960,0.119688,"4,376,834","104,451,930"
"Jul 29, 2019",0.119745,0.124123,0.113090,0.122718,"3,960,542","107,096,923"
"Jul 28, 2019",0.118569,0.120409,0.115460,0.120059,"1,836,605","104,776,203"
"Jul 27, 2019",0.121902,0.127452,0.117752,0.118656,"2,791,810","103,551,259"
"Jul 26, 2019",0.122892,0.124416,0.120622,0.121902,"3,891,281","106,384,150"
"Jul 25, 2019",0.123774,0.129257,0.120991,0.122892,"3,703,270","107,248,383"
"Jul 24, 2019",0.119235,0.123961,0.115205,0.123402,"3,288,326","107,693,631"
"Jul 23, 2019",0.122878,0.122897,0.117994,0.119235,"3,085,824","104,057,197"
"Jul 22, 2019",0.125426,0.127683,0.120677,0.122842,"2,857,477","107,204,455"
"Jul 21, 2019",0.129268,0.129554,0.121675,0.125470,"2,121,594","109,498,424"
"Jul 20, 2019",0.120553,0.132204,0.119138,0.129268,"2,595,789","112,813,161"
"Jul 19, 2019",0.120721,0.124391,0.117615,0.120404,"2,173,028","105,076,882"
"Jul 18, 2019",0.107973,0.123897,0.105163,0.120721,"2,468,092","105,354,149"
"Jul 17, 2019",0.101991,0.112871,0.096870,0.108167,"2,338,778","94,398,026"
"Jul 16, 2019",0.114892,0.124336,0.099682,0.102141,"2,219,072","89,138,994"
"Jul 15, 2019",0.102942,0.116361,0.096004,0.115136,"2,492,649","100,479,337"
"Jul 14, 2019",0.119320,0.119666,0.101895,0.103013,"2,487,376","89,899,496"
"Jul 13, 2019",0.119238,0.121729,0.114422,0.119317,"2,162,586","104,128,771"
"Jul 12, 2019",0.118519,0.121262,0.110340,0.119217,"2,377,495","104,041,532"
"Jul 11, 2019",0.123160,0.124564,0.113086,0.118412,"3,005,883","85,574,483"
"Jul 10, 2019",0.122292,0.128692,0.113608,0.123218,"3,232,149","88,935,021"
"Jul 09, 2019",0.127820,0.128668,0.120228,0.122239,"2,641,779","88,105,509"
"Jul 08, 2019",0.123896,0.130119,0.123064,0.127964,"2,512,346","92,054,479"
"Jul 07, 2019",0.120978,0.125285,0.117532,0.123899,"2,593,603","89,012,240"
"Jul 06, 2019",0.125111,0.127889,0.120321,0.120800,"2,583,977","86,648,680"
"Jul 05, 2019",0.125031,0.129348,0.123672,0.125156,"2,253,364","89,593,481"
"Jul 04, 2019",0.131561,0.132389,0.123169,0.125031,"2,544,506","89,346,277"
"Jul 03, 2019",0.127011,0.133390,0.126544,0.131357,"3,256,289","93,760,506"
"Jul 02, 2019",0.128839,0.130092,0.117021,0.127114,"2,766,572","90,555,935"
"Jul 01, 2019",0.122174,0.131682,0.121707,0.128850,"2,909,303","91,654,553"
"Jun 30, 2019",0.130788,0.133414,0.122174,0.122174,"3,369,777","86,753,449"
"Jun 29, 2019",0.126358,0.131215,0.123827,0.130507,"3,072,854","92,460,113"
"Jun 28, 2019",0.115221,0.130502,0.111345,0.126224,"3,512,503","89,280,010"
"Jun 27, 2019",0.125638,0.125890,0.109179,0.115221,"3,405,485","81,414,926"
"Jun 26, 2019",0.132118,0.139495,0.119979,0.125638,"4,640,900","88,671,017"
"Jun 25, 2019",0.119168,0.134552,0.115705,0.132118,"4,882,452","92,928,449"
"Jun 24, 2019",0.097792,0.120923,0.096122,0.119199,"3,005,594","83,585,578"
"Jun 23, 2019",0.092482,0.102987,0.092230,0.097792,"2,841,008","68,516,710"
"Jun 22, 2019",0.091741,0.101177,0.088518,0.092761,"2,997,273","64,874,014"
"Jun 21, 2019",0.078867,0.092107,0.077157,0.091741,"2,632,546","63,976,356"
"Jun 20, 2019",0.071637,0.079294,0.070048,0.079294,"1,794,064","55,167,704"
"Jun 19, 2019",0.068745,0.073548,0.068367,0.071629,"1,480,891","49,776,501"
"Jun 18, 2019",0.071591,0.074143,0.068293,0.068767,"1,539,301","47,658,075"
"Jun 17, 2019",0.069144,0.072147,0.067255,0.071609,"402,149","49,494,284"
"Jun 16, 2019",0.067809,0.069967,0.065912,0.069135,"652,485","47,714,687"
"Jun 15, 2019",0.066480,0.068169,0.065398,0.067809,"790,547","46,740,338"
"Jun 14, 2019",0.063418,0.067667,0.063140,0.066545,"972,723","45,828,440"
"Jun 13, 2019",0.062624,0.067693,0.060253,0.063393,"1,336,599","43,613,733"
"Jun 12, 2019",0.057464,0.064408,0.057464,0.062582,"1,209,006","42,961,742"
"Jun 11, 2019",0.058276,0.058624,0.054792,0.057428,"593,945","39,321,966"
"Jun 10, 2019",0.057385,0.058229,0.054178,0.058229,"747,515","39,804,494"
"Jun 09, 2019",0.055589,0.064255,0.053927,0.057485,"1,212,207","39,201,648"
"Jun 08, 2019",0.057791,0.058103,0.053513,0.055589,"530,448","37,832,151"
"Jun 07, 2019",0.059734,0.062968,0.053822,0.057756,"674,182","39,255,890"
"Jun 06, 2019",0.045685,0.062227,0.045299,0.059661,"1,197,741","40,413,026"
"Jun 05, 2019",0.044657,0.046284,0.043952,0.045694,"531,058","30,817,089"
"Jun 04, 2019",0.046015,0.047434,0.043580,0.044657,"428,004","30,093,270"
"Jun 03, 2019",0.051920,0.052526,0.045726,0.046170,"596,093","31,082,662"
"Jun 02, 2019",0.052863,0.053528,0.050982,0.051902,"308,130","34,920,674"
"Jun 01, 2019",0.053609,0.054380,0.051779,0.052863,"419,248","35,512,029"
"May 31, 2019",0.052843,0.054538,0.049972,0.053612,"513,946","35,971,117"
