close,date,high,low,marketcap,open,volume
5.17,"Oct 14, 2018",5.28,5.16,"4,758,648,105",5.25,"372,903,000"
5.25,"Oct 13, 2018",5.28,5.18,"4,692,527,256",5.18,"362,609,000"
5.18,"Oct 12, 2018",5.24,5.03,"4,567,337,076",5.04,"525,307,000"
5.08,"Oct 11, 2018",5.88,5.07,"5,324,615,715",5.88,"758,737,000"
5.88,"Oct 10, 2018",5.90,5.81,"5,341,903,994",5.89,"533,169,000"
5.91,"Oct 09, 2018",5.94,5.84,"5,368,459,762",5.92,"538,883,000"
5.91,"Oct 08, 2018",5.99,5.72,"5,226,386,210",5.77,"627,571,000"
5.76,"Oct 07, 2018",5.79,5.66,"5,193,475,087",5.73,"525,930,000"
5.73,"Oct 06, 2018",5.82,5.70,"5,269,277,407",5.81,"486,075,000"
5.81,"Oct 05, 2018",5.83,5.69,"5,247,946,540",5.79,"554,553,000"
5.78,"Oct 04, 2018",5.85,5.61,"5,098,014,680",5.63,"613,679,000"
5.62,"Oct 03, 2018",5.64,5.49,"5,083,643,720",5.61,"595,740,000"
5.65,"Oct 02, 2018",5.76,5.58,"5,202,480,272",5.74,"564,671,000"
5.74,"Oct 01, 2018",5.80,5.57,"5,197,660,279",5.74,"695,608,000"
5.72,"Sep 30, 2018",5.88,5.45,"5,218,259,116",5.76,"828,008,000"
5.76,"Sep 29, 2018",5.81,5.52,"5,223,640,880",5.76,"678,214,000"
5.77,"Sep 28, 2018",6.02,5.71,"5,281,617,350",5.83,"840,105,000"
5.82,"Sep 27, 2018",5.88,5.41,"5,034,478,408",5.56,"753,645,000"
5.55,"Sep 26, 2018",5.73,5.27,"4,885,373,647",5.39,"683,187,000"
5.38,"Sep 25, 2018",5.68,5.08,"5,144,871,546",5.68,"891,486,000"
5.68,"Sep 24, 2018",6.03,5.63,"5,456,365,649",6.02,"654,906,000"
6.02,"Sep 23, 2018",6.10,5.84,"5,389,824,335",5.95,"686,260,000"
5.93,"Sep 22, 2018",6.22,5.81,"5,599,361,368",6.18,"669,024,000"
6.14,"Sep 21, 2018",6.15,5.65,"5,213,812,052",5.75,"1,088,760,000"
5.74,"Sep 20, 2018",5.77,5.20,"4,755,513,857",5.25,"703,866,000"
5.23,"Sep 19, 2018",5.29,4.97,"4,587,329,633",5.06,"622,045,000"
5.10,"Sep 18, 2018",5.25,4.81,"4,407,188,335",4.86,"658,606,000"
4.89,"Sep 17, 2018",5.46,4.76,"4,919,293,798",5.43,"696,413,000"
5.42,"Sep 16, 2018",5.46,5.25,"4,876,470,445",5.38,"477,706,000"
5.40,"Sep 15, 2018",5.48,5.25,"4,758,862,010",5.25,"508,734,000"
5.27,"Sep 14, 2018",5.52,5.18,"4,913,151,483",5.42,"606,576,000"
5.39,"Sep 13, 2018",5.51,4.95,"4,491,479,443",4.96,"718,438,000"
4.94,"Sep 12, 2018",5.00,4.80,"4,530,438,245",5.00,"707,279,000"
4.98,"Sep 11, 2018",5.08,4.79,"4,595,419,564",5.07,"582,087,000"
5.04,"Sep 10, 2018",5.09,4.94,"4,526,488,996",4.99,"536,130,000"
4.97,"Sep 09, 2018",5.18,4.71,"4,316,328,398",4.76,"621,964,000"
4.76,"Sep 08, 2018",5.19,4.69,"4,620,424,412",5.10,"531,005,000"
5.09,"Sep 07, 2018",5.33,5.00,"4,735,262,885",5.23,"651,853,000"
5.24,"Sep 06, 2018",5.24,4.97,"4,719,735,542",5.21,"844,070,000"
5.22,"Sep 05, 2018",6.57,5.22,"5,871,207,852",6.48,"1,009,270,000"
6.48,"Sep 04, 2018",6.60,6.36,"5,850,403,321",6.46,"765,275,000"
6.47,"Sep 03, 2018",6.68,6.39,"6,014,082,143",6.64,"720,704,000"
6.60,"Sep 02, 2018",6.67,6.35,"6,027,128,620",6.65,"903,575,000"
6.64,"Sep 01, 2018",6.73,6.44,"5,833,687,616",6.44,"746,530,000"
6.43,"Aug 31, 2018",6.46,5.96,"5,492,194,955",6.06,"899,621,000"
6.08,"Aug 30, 2018",6.24,5.80,"5,548,644,273",6.12,"744,458,000"
6.12,"Aug 29, 2018",6.44,5.80,"5,349,333,628",5.90,"955,876,000"
5.90,"Aug 28, 2018",5.95,5.30,"4,847,583,329",5.35,"622,686,000"
5.36,"Aug 27, 2018",5.36,4.93,"4,487,532,788",4.95,"552,155,000"
4.95,"Aug 26, 2018",5.05,4.87,"4,570,171,426",5.04,"361,901,000"
