close,date,high,low,marketcap,open,volume
0.021846,"Oct 14, 2018",0.022196,0.021441,"175,108,602",0.021595,"672,381"
0.021735,"Oct 13, 2018",0.022191,0.021204,"173,424,866",0.021407,"992,835"
0.021487,"Oct 12, 2018",0.022037,0.020967,"173,166,703",0.021394,"1,210,850"
0.021527,"Oct 11, 2018",0.024971,0.021267,"201,929,148",0.024971,"2,018,720"
0.025055,"Oct 10, 2018",0.025143,0.023380,"201,582,708",0.024950,"2,026,270"
0.025056,"Oct 09, 2018",0.025056,0.022254,"180,388,072",0.022346,"2,195,950"
0.022467,"Oct 08, 2018",0.023187,0.021427,"185,017,295",0.022942,"1,640,280"
0.022881,"Oct 07, 2018",0.024079,0.020360,"164,346,262",0.020396,"2,608,070"
0.020391,"Oct 06, 2018",0.020896,0.019847,"162,436,996",0.020178,"883,750"
0.020140,"Oct 05, 2018",0.020147,0.019584,"159,357,510",0.019813,"654,649"
0.019673,"Oct 04, 2018",0.020140,0.019332,"155,963,075",0.019410,"854,129"
0.019447,"Oct 03, 2018",0.019966,0.018772,"160,287,488",0.019966,"928,875"
0.019913,"Oct 02, 2018",0.020637,0.019679,"158,325,514",0.019739,"1,233,900"
0.019728,"Oct 01, 2018",0.020618,0.018913,"163,513,186",0.020404,"1,843,320"
0.020445,"Sep 30, 2018",0.022135,0.020001,"173,675,269",0.021692,"1,953,640"
0.021683,"Sep 29, 2018",0.021981,0.017779,"163,713,043",0.020467,"4,746,440"
0.020411,"Sep 28, 2018",0.027458,0.019886,"202,023,809",0.025279,"9,232,460"
0.026760,"Sep 27, 2018",0.026760,0.015895,"127,124,392",0.015922,"9,791,630"
0.015920,"Sep 26, 2018",0.016024,0.012823,"102,283,664",0.012823,"3,072,680"
0.012802,"Sep 25, 2018",0.012834,0.011227,"93,995,766",0.011796,"1,265,360"
0.011938,"Sep 24, 2018",0.014090,0.009982,"111,719,167",0.014034,"2,499,100"
0.014041,"Sep 23, 2018",0.016818,0.011623,"92,727,801",0.011659,"5,112,860"
0.011560,"Sep 22, 2018",0.012099,0.008447,"70,779,142",0.008907,"2,421,310"
0.008949,"Sep 21, 2018",0.009000,0.006812,"54,074,129",0.006812,"953,243"
0.006831,"Sep 20, 2018",0.008616,0.005900,"48,336,030",0.006095,"1,298,290"
0.005928,"Sep 19, 2018",0.005992,0.005203,"42,671,727",0.005386,"317,585"
0.005386,"Sep 18, 2018",0.005414,0.005108,"40,680,786",0.005140,"178,370"
0.005172,"Sep 17, 2018",0.005674,0.005120,"43,418,357",0.005491,"190,140"
0.005513,"Sep 16, 2018",0.005577,0.005405,"43,892,343",0.005557,"182,170"
0.005545,"Sep 15, 2018",0.005628,0.005482,"43,610,131",0.005526,"146,541"
0.005539,"Sep 14, 2018",0.005660,0.005403,"44,102,173",0.005594,"224,962"
0.005586,"Sep 13, 2018",0.005595,0.005262,"41,451,673",0.005262,"214,978"
0.005231,"Sep 12, 2018",0.005275,0.005053,"40,633,081",0.005164,"209,066"
0.005172,"Sep 11, 2018",0.005341,0.005091,"41,853,355",0.005323,"211,773"
0.005294,"Sep 10, 2018",0.005348,0.005144,"41,540,281",0.005289,"205,183"
0.005266,"Sep 09, 2018",0.005464,0.005244,"41,800,301",0.005327,"176,082"
0.005314,"Sep 08, 2018",0.005590,0.005231,"41,120,430",0.005246,"264,994"
0.005267,"Sep 07, 2018",0.005301,0.005012,"40,901,239",0.005223,"287,794"
0.005246,"Sep 06, 2018",0.005377,0.004855,"41,800,566",0.005343,"294,534"
0.005357,"Sep 05, 2018",0.006141,0.005288,"47,753,156",0.006110,"260,555"
0.006108,"Sep 04, 2018",0.006237,0.006023,"47,903,880",0.006135,"293,995"
0.006164,"Sep 03, 2018",0.006456,0.006010,"50,287,140",0.006447,"263,783"
0.006423,"Sep 02, 2018",0.006536,0.006240,"49,365,634",0.006335,"276,542"
0.006289,"Sep 01, 2018",0.006318,0.005814,"45,920,214",0.005899,"283,799"
0.005934,"Aug 31, 2018",0.005981,0.005751,"46,514,196",0.005981,"272,291"
0.005952,"Aug 30, 2018",0.006154,0.005745,"47,657,720",0.006134,"240,871"
0.006081,"Aug 29, 2018",0.006261,0.006058,"48,594,941",0.006261,"240,011"
0.006268,"Aug 28, 2018",0.006282,0.005866,"46,940,109",0.006054,"405,078"
0.006061,"Aug 27, 2018",0.006105,0.005818,"46,345,890",0.005983,"274,021"
0.006000,"Aug 26, 2018",0.006081,0.005821,"46,301,933",0.005984,"229,282"
0.005987,"Aug 25, 2018",0.006061,0.005772,"46,447,479",0.006009,"271,108"
0.006018,"Aug 24, 2018",0.006074,0.005805,"46,907,472",0.006074,"302,913"
0.006096,"Aug 23, 2018",0.006266,0.005304,"47,710,891",0.006185,"541,817"
0.006130,"Aug 22, 2018",0.006895,0.006054,"50,457,753",0.006547,"351,351"
0.006548,"Aug 21, 2018",0.006628,0.006359,"50,848,077",0.006605,"467,264"
0.006599,"Aug 20, 2018",0.007099,0.006576,"54,083,909",0.007033,"329,485"
0.007023,"Aug 19, 2018",0.007061,0.006819,"53,337,986",0.006943,"238,258"
0.006934,"Aug 18, 2018",0.007433,0.006830,"56,711,672",0.007389,"342,430"
0.007377,"Aug 17, 2018",0.007387,0.006932,"53,611,685",0.006993,"432,701"
0.006971,"Aug 16, 2018",0.007066,0.006807,"52,484,998",0.006853,"395,504"
0.006895,"Aug 15, 2018",0.007437,0.006626,"51,000,259",0.006666,"447,856"
0.006655,"Aug 14, 2018",0.007392,0.006476,"56,470,921",0.007388,"560,914"
0.007392,"Aug 13, 2018",0.007801,0.007359,"58,904,483",0.007715,"411,821"
0.007711,"Aug 12, 2018",0.008053,0.007675,"58,993,258",0.007735,"359,900"
0.007797,"Aug 11, 2018",0.008128,0.007304,"59,609,632",0.007824,"348,032"
0.007851,"Aug 10, 2018",0.008384,0.007588,"63,626,809",0.008360,"402,379"
0.008423,"Aug 09, 2018",0.008433,0.007340,"55,902,032",0.007352,"554,126"
0.007349,"Aug 08, 2018",0.008038,0.007225,"61,051,836",0.008038,"543,370"
0.008033,"Aug 07, 2018",0.008993,0.007994,"67,540,844",0.008902,"563,711"
0.008904,"Aug 06, 2018",0.009411,0.008803,"70,491,818",0.009301,"437,813"
0.009331,"Aug 05, 2018",0.009562,0.009117,"71,499,832",0.009444,"439,728"
0.009466,"Aug 04, 2018",0.010471,0.009256,"77,922,201",0.010303,"527,316"
0.010337,"Aug 03, 2018",0.010941,0.009949,"82,667,523",0.010941,"727,497"
0.010940,"Aug 02, 2018",0.011296,0.010625,"84,736,651",0.011227,"489,149"
0.011207,"Aug 01, 2018",0.011376,0.010526,"81,946,739",0.010869,"551,838"
0.010865,"Jul 31, 2018",0.011547,0.010623,"86,969,953",0.011547,"443,648"
0.011563,"Jul 30, 2018",0.011595,0.011073,"86,657,004",0.011518,"611,126"
0.011479,"Jul 29, 2018",0.012218,0.011230,"91,092,280",0.012120,"653,105"
0.012090,"Jul 28, 2018",0.012399,0.011887,"92,598,104",0.012335,"452,933"
0.012393,"Jul 27, 2018",0.012613,0.011856,"91,749,512",0.012235,"509,876"
0.012237,"Jul 26, 2018",0.013389,0.012125,"99,272,528",0.013252,"668,963"
0.013250,"Jul 25, 2018",0.014239,0.012475,"97,834,296",0.013074,"1,197,400"
0.013335,"Jul 24, 2018",0.013526,0.012426,"99,619,160",0.013329,"1,039,780"
0.013507,"Jul 23, 2018",0.013881,0.011406,"85,370,904",0.011434,"1,426,070"
0.011443,"Jul 22, 2018",0.011958,0.011361,"88,262,008",0.011835,"408,814"
0.011811,"Jul 21, 2018",0.011883,0.011230,"84,770,464",0.011379,"369,224"
0.011461,"Jul 20, 2018",0.012122,0.011278,"90,214,016",0.012122,"461,627"
0.012087,"Jul 19, 2018",0.012254,0.011877,"90,690,680",0.012201,"468,389"
0.012209,"Jul 18, 2018",0.012615,0.012049,"91,985,656",0.012387,"666,242"
0.012390,"Jul 17, 2018",0.012543,0.011339,"86,501,360",0.011662,"547,471"
0.011688,"Jul 16, 2018",0.011688,0.010932,"82,947,536",0.011196,"588,012"
0.011186,"Jul 15, 2018",0.011255,0.010785,"79,815,744",0.010785,"422,054"
0.010788,"Jul 14, 2018",0.010923,0.010621,"80,046,160",0.010828,"319,532"
0.010842,"Jul 13, 2018",0.010996,0.010706,"80,176,256",0.010858,"400,822"
0.010839,"Jul 12, 2018",0.011370,0.010631,"83,237,816",0.011285,"468,055"
0.011283,"Jul 11, 2018",0.011552,0.010583,"82,542,680",0.011204,"572,526"
0.011192,"Jul 10, 2018",0.012506,0.010692,"91,374,088",0.012416,"724,010"
0.012483,"Jul 09, 2018",0.012821,0.012248,"94,042,096",0.012795,"604,050"
0.012789,"Jul 08, 2018",0.013726,0.012783,"100,422,856",0.013678,"455,927"
0.013722,"Jul 07, 2018",0.013814,0.012772,"99,697,376",0.013593,"604,579"
0.013630,"Jul 06, 2018",0.013999,0.011693,"93,328,328",0.012742,"1,181,880"
0.012726,"Jul 05, 2018",0.015574,0.012389,"103,940,048",0.014219,"1,241,440"
0.014212,"Jul 04, 2018",0.015930,0.011898,"89,337,024",0.012229,"1,718,270"
0.012210,"Jul 03, 2018",0.012550,0.011785,"90,382,552",0.012379,"736,463"
0.012437,"Jul 02, 2018",0.012631,0.010287,"76,857,456",0.010528,"748,383"
0.010576,"Jul 01, 2018",0.010695,0.010259,"76,609,288",0.010500,"420,492"
0.010488,"Jun 30, 2018",0.010534,0.009757,"71,940,168",0.009869,"572,769"
0.009865,"Jun 29, 2018",0.010039,0.008890,"66,872,244",0.009182,"553,326"
0.009215,"Jun 28, 2018",0.009938,0.009060,"67,304,696",0.009247,"620,350"
0.009252,"Jun 27, 2018",0.009704,0.009035,"70,403,816",0.009684,"581,872"
0.009716,"Jun 26, 2018",0.010249,0.009577,"71,760,280",0.009877,"479,150"
0.009862,"Jun 25, 2018",0.010173,0.009769,"72,469,040",0.009981,"461,852"
0.010096,"Jun 24, 2018",0.010422,0.008749,"75,393,576",0.010395,"737,254"
0.010407,"Jun 23, 2018",0.010519,0.010186,"74,301,912",0.010256,"486,942"
0.010187,"Jun 22, 2018",0.012187,0.009957,"87,663,056",0.012115,"896,065"
0.012177,"Jun 21, 2018",0.012616,0.012038,"89,536,928",0.012386,"480,085"
0.012466,"Jun 20, 2018",0.012893,0.011256,"88,758,576",0.012292,"816,768"
0.012251,"Jun 19, 2018",0.013649,0.012104,"97,271,352",0.013486,"597,414"
0.013492,"Jun 18, 2018",0.013624,0.012734,"95,021,928",0.013186,"413,875"
0.013230,"Jun 17, 2018",0.013812,0.013218,"97,926,320",0.013605,"325,173"
0.013581,"Jun 16, 2018",0.013899,0.013162,"94,971,208",0.013210,"415,616"
0.013248,"Jun 15, 2018",0.014542,0.013207,"104,163,440",0.014506,"486,760"
0.014513,"Jun 14, 2018",0.014698,0.013040,"94,001,424",0.013106,"602,844"
0.013111,"Jun 13, 2018",0.014737,0.012337,"105,571,568",0.014737,"691,073"
0.014767,"Jun 12, 2018",0.015992,0.014304,"113,950,312",0.015926,"858,707"
0.015894,"Jun 11, 2018",0.016636,0.015658,"114,248,776",0.015986,"547,451"
0.015899,"Jun 10, 2018",0.019137,0.015204,"136,599,360",0.019137,"710,624"
0.019073,"Jun 09, 2018",0.019902,0.019065,"141,345,936",0.019827,"471,259"
0.019831,"Jun 08, 2018",0.020929,0.019689,"147,373,456",0.020689,"380,891"
0.020586,"Jun 07, 2018",0.021517,0.020410,"152,996,912",0.021493,"416,807"
0.021381,"Jun 06, 2018",0.021404,0.020444,"147,828,160",0.020780,"536,253"
0.020782,"Jun 05, 2018",0.020819,0.019683,"142,738,368",0.020065,"290,601"
0.020057,"Jun 04, 2018",0.020876,0.019893,"147,609,472",0.020750,"476,782"
0.020746,"Jun 03, 2018",0.021012,0.020680,"148,538,976",0.020881,"381,070"
0.020874,"Jun 02, 2018",0.021205,0.020601,"147,858,416",0.020786,"338,666"
0.020829,"Jun 01, 2018",0.021437,0.020278,"150,303,424",0.021130,"526,594"
0.021173,"May 31, 2018",0.022328,0.021097,"156,108,736",0.021946,"739,997"
0.022084,"May 30, 2018",0.023104,0.021851,"161,399,168",0.022698,"767,240"
0.022694,"May 29, 2018",0.023004,0.020516,"152,792,112",0.021512,"1,008,490"
0.021481,"May 28, 2018",0.022585,0.020297,"159,645,952",0.022505,"1,096,020"
0.022657,"May 27, 2018",0.023688,0.021125,"151,611,952",0.021398,"1,499,870"
0.021419,"May 26, 2018",0.022250,0.020297,"145,108,032",0.020505,"683,150"
0.020540,"May 25, 2018",0.020540,0.019663,"142,550,240",0.020168,"582,228"
0.020182,"May 24, 2018",0.020422,0.018839,"137,983,360",0.019546,"538,841"
0.019616,"May 23, 2018",0.021347,0.018997,"149,068,544",0.021142,"698,504"
0.021147,"May 22, 2018",0.022852,0.021147,"160,068,464",0.022730,"626,090"
0.022894,"May 21, 2018",0.023651,0.022586,"165,660,288",0.023553,"641,853"
0.023619,"May 20, 2018",0.023691,0.022755,"162,138,288",0.023081,"530,975"
0.023066,"May 19, 2018",0.023354,0.022545,"161,800,304",0.023061,"565,646"
0.023072,"May 18, 2018",0.023072,0.022006,"156,423,984",0.022323,"596,594"
0.022308,"May 17, 2018",0.024147,0.022196,"165,335,856",0.023624,"642,641"
0.023526,"May 16, 2018",0.023818,0.022240,"160,924,336",0.023022,"917,845"
0.023080,"May 15, 2018",0.024278,0.022887,"166,601,712",0.023865,"810,626"
0.023933,"May 14, 2018",0.024677,0.022980,"172,058,864",0.024677,"773,161"
0.024641,"May 13, 2018",0.024826,0.023820,"170,836,992",0.024533,"881,699"
0.024503,"May 12, 2018",0.025534,0.023702,"170,026,240",0.024447,"820,688"
0.024398,"May 11, 2018",0.028005,0.024164,"194,525,616",0.028005,"1,189,360"
0.027929,"May 10, 2018",0.029715,0.027929,"196,175,824",0.028282,"1,186,480"
0.028317,"May 09, 2018",0.028487,0.026927,"192,780,656",0.027826,"928,361"
0.027795,"May 08, 2018",0.029207,0.027409,"197,689,664",0.028569,"1,348,780"
0.028530,"May 07, 2018",0.029557,0.027447,"202,592,224",0.029314,"1,342,000"
0.029244,"May 06, 2018",0.031443,0.027096,"214,025,328",0.031009,"1,983,790"
0.031055,"May 05, 2018",0.033742,0.030972,"222,957,184",0.032344,"2,242,240"
0.032436,"May 04, 2018",0.035959,0.032150,"247,553,824",0.035959,"3,159,700"
0.036093,"May 03, 2018",0.036357,0.026725,"185,131,696",0.026926,"6,988,140"
0.026990,"May 02, 2018",0.027233,0.024808,"171,559,088",0.024985,"1,574,310"
0.025231,"May 01, 2018",0.025300,0.023870,"168,951,280",0.024639,"1,350,740"
0.024727,"Apr 30, 2018",0.025195,0.024227,"170,006,784",0.024824,"1,167,860"
0.024807,"Apr 29, 2018",0.025807,0.024450,"173,171,248",0.025320,"1,173,670"
0.025336,"Apr 28, 2018",0.025836,0.024528,"168,317,184",0.024641,"1,020,250"
0.024710,"Apr 27, 2018",0.025946,0.024698,"173,834,272",0.025482,"1,248,960"
0.025412,"Apr 26, 2018",0.025506,0.023973,"168,343,632",0.024710,"1,250,750"
0.024415,"Apr 25, 2018",0.028702,0.023923,"195,284,256",0.028702,"1,756,690"
0.028993,"Apr 24, 2018",0.029174,0.023213,"158,423,296",0.023315,"2,570,210"
0.023298,"Apr 23, 2018",0.023939,0.022574,"160,611,056",0.023667,"1,333,550"
0.023675,"Apr 22, 2018",0.024555,0.023523,"166,409,584",0.024555,"1,204,610"
0.024553,"Apr 21, 2018",0.025415,0.024088,"168,989,648",0.024968,"1,082,690"
0.024997,"Apr 20, 2018",0.025053,0.022713,"154,148,992",0.022806,"1,442,440"
0.022842,"Apr 19, 2018",0.023177,0.022435,"153,791,200",0.022783,"1,081,030"
0.022869,"Apr 18, 2018",0.023001,0.021575,"146,597,936",0.021748,"1,048,250"
0.021620,"Apr 17, 2018",0.023087,0.021402,"152,738,400",0.022691,"1,215,500"
0.022661,"Apr 16, 2018",0.024891,0.022343,"166,268,336",0.024737,"1,299,610"
0.024757,"Apr 15, 2018",0.025375,0.024274,"163,271,808",0.024325,"932,927"
0.024343,"Apr 14, 2018",0.025528,0.024102,"166,136,960",0.024785,"686,463"
0.024801,"Apr 13, 2018",0.026020,0.023216,"159,671,200",0.023854,"1,391,240"
0.023709,"Apr 12, 2018",0.024050,0.020606,"141,354,560",0.021149,"1,099,220"
0.021286,"Apr 11, 2018",0.021458,0.020850,"142,073,552",0.021284,"703,780"
0.021279,"Apr 10, 2018",0.021451,0.020948,"142,995,360",0.021451,"714,890"
0.021428,"Apr 09, 2018",0.023142,0.020989,"147,836,832",0.022209,"730,789"
0.022118,"Apr 08, 2018",0.022883,0.021894,"149,960,512",0.022558,"693,588"
0.022538,"Apr 07, 2018",0.023310,0.022029,"147,490,960",0.022217,"993,600"
0.022432,"Apr 06, 2018",0.023839,0.019091,"132,190,080",0.019941,"1,808,400"
0.020033,"Apr 05, 2018",0.020357,0.019456,"132,876,784",0.020073,"780,076"
0.020072,"Apr 04, 2018",0.023832,0.019756,"153,193,280",0.023174,"1,059,610"
0.023244,"Apr 03, 2018",0.023307,0.019026,"128,254,792",0.019429,"1,516,220"
0.019424,"Apr 02, 2018",0.020235,0.019162,"128,337,848",0.019468,"713,055"
0.019495,"Apr 01, 2018",0.020883,0.018838,"135,416,000",0.020572,"554,849"
0.020559,"Mar 31, 2018",0.021828,0.020144,"134,651,824",0.020485,"637,296"
0.020414,"Mar 30, 2018",0.021659,0.018219,"131,858,808",0.020086,"1,083,550"
0.020181,"Mar 29, 2018",0.025180,0.019730,"164,606,032",0.025108,"3,362,840"
0.025017,"Mar 28, 2018",0.025871,0.024341,"160,151,600",0.024464,"3,114,590"
0.024437,"Mar 27, 2018",0.026274,0.023859,"171,290,848",0.026203,"2,319,340"
