date,open,high,low,close,volume,marketcap
"Oct 12, 2019",2.62,2.74,2.56,2.58,"271,565","55,439,709"
"Oct 11, 2019",2.79,2.85,2.47,2.62,"388,329","56,248,406"
"Oct 10, 2019",2.76,2.87,2.66,2.79,"378,206","59,873,458"
"Oct 09, 2019",2.73,2.88,2.55,2.76,"400,863","59,202,503"
"Oct 08, 2019",2.82,2.86,2.71,2.73,"320,741","58,412,383"
"Oct 07, 2019",2.69,2.84,2.41,2.83,"410,285","60,444,821"
"Oct 06, 2019",2.68,3.02,2.47,2.69,"334,913","57,561,142"
"Oct 05, 2019",2.88,2.89,2.41,2.68,"352,708","57,182,429"
"Oct 04, 2019",2.53,3.07,2.37,2.88,"409,325","61,481,943"
"Oct 03, 2019",2.91,2.92,2.45,2.53,"371,333","53,778,087"
"Oct 02, 2019",2.99,3.14,2.75,2.91,"346,659","61,818,000"
"Oct 01, 2019",3.00,3.25,2.86,2.99,"458,612","62,938,463"
"Sep 30, 2019",3.08,3.23,2.84,3.00,"391,224","63,088,536"
"Sep 29, 2019",3.32,3.33,2.96,3.08,"354,740","64,653,194"
"Sep 28, 2019",3.35,3.36,2.92,3.31,"390,406","69,558,327"
"Sep 27, 2019",3.30,3.37,3.02,3.35,"429,029","70,224,982"
"Sep 26, 2019",3.35,3.42,3.09,3.30,"400,183","69,046,022"
"Sep 25, 2019",3.44,3.55,2.95,3.36,"352,444","70,352,667"
"Sep 24, 2019",3.81,4.43,3.15,3.44,"623,573","71,795,291"
"Sep 23, 2019",3.49,3.90,3.49,3.83,"490,522","79,948,537"
"Sep 22, 2019",3.42,3.58,3.34,3.49,"455,964","72,729,362"
"Sep 21, 2019",3.12,3.41,3.05,3.41,"464,031","71,083,774"
"Sep 20, 2019",3.07,3.39,2.97,3.12,"430,602","64,846,829"
"Sep 19, 2019",3.08,3.08,2.82,3.07,"355,800","63,224,102"
"Sep 18, 2019",3.01,3.09,2.89,3.08,"412,041","63,278,330"
"Sep 17, 2019",3.03,3.15,2.68,3.01,"451,232","61,868,802"
"Sep 16, 2019",3.00,3.09,2.95,3.03,"455,691","62,154,318"
"Sep 15, 2019",2.97,3.01,2.65,3.01,"340,247","61,613,117"
"Sep 14, 2019",2.95,3.07,2.67,2.97,"376,368","60,922,742"
"Sep 13, 2019",3.04,3.16,2.90,2.95,"461,268","60,406,019"
"Sep 12, 2019",2.97,3.20,2.91,3.04,"359,988","62,102,741"
"Sep 11, 2019",2.81,3.18,2.76,2.97,"335,826","60,623,657"
"Sep 10, 2019",3.40,3.52,2.81,2.81,"503,716","57,358,901"
"Sep 09, 2019",3.87,3.87,3.27,3.41,"432,865","69,410,362"
"Sep 08, 2019",3.77,4.19,3.64,3.87,"516,984","78,638,299"
"Sep 07, 2019",3.32,4.18,3.26,3.77,"537,297","76,573,982"
"Sep 06, 2019",4.06,4.42,3.25,3.32,"396,088","67,365,471"
"Sep 05, 2019",4.26,4.78,4.06,4.06,"558,451","82,350,887"
"Sep 04, 2019",5.10,5.10,4.14,4.26,"382,314","86,206,656"
"Sep 03, 2019",5.11,5.32,4.73,5.10,"467,603","103,116,018"
"Sep 02, 2019",5.22,5.26,4.44,5.13,"649,822","103,715,290"
"Sep 01, 2019",5.21,5.27,5.13,5.22,"513,820","105,401,895"
"Aug 31, 2019",5.40,5.51,5.17,5.21,"627,700","105,072,028"
"Aug 30, 2019",5.48,5.54,5.37,5.40,"549,573","108,691,409"
"Aug 29, 2019",5.79,5.83,5.35,5.48,"567,609","110,272,161"
"Aug 28, 2019",5.96,6.14,5.60,5.79,"650,042","116,327,523"
"Aug 27, 2019",6.33,6.33,5.87,5.96,"779,072","119,505,209"
"Aug 26, 2019",6.08,6.37,5.95,6.33,"820,776","126,818,958"
"Aug 25, 2019",6.24,6.31,5.98,6.07,"537,374","121,486,554"
"Aug 24, 2019",6.24,6.25,6.00,6.24,"831,515","124,749,266"
"Aug 23, 2019",6.21,6.39,6.04,6.25,"805,528","124,676,523"
"Aug 22, 2019",6.27,6.30,5.89,6.21,"636,178","123,769,533"
"Aug 21, 2019",6.84,6.87,6.11,6.27,"679,369","124,833,674"
"Aug 20, 2019",6.94,6.96,6.49,6.84,"796,786","136,095,191"
"Aug 19, 2019",6.28,6.94,6.12,6.94,"793,461","137,968,543"
"Aug 18, 2019",6.05,6.44,5.98,6.27,"780,187","124,538,488"
"Aug 17, 2019",6.36,6.43,5.98,6.05,"753,037","119,968,531"
"Aug 16, 2019",6.28,6.42,5.88,6.36,"719,436","125,990,919"
"Aug 15, 2019",6.44,6.51,5.80,6.28,"796,864","123,097,432"
"Aug 14, 2019",6.87,6.87,6.38,6.44,"844,115","125,957,345"
"Aug 13, 2019",7.30,7.33,6.86,6.87,"868,182","134,251,631"
"Aug 12, 2019",7.08,7.41,7.01,7.30,"845,439","142,538,615"
"Aug 11, 2019",6.77,7.08,6.75,7.08,"869,392","138,001,097"
"Aug 10, 2019",7.10,7.46,6.77,6.77,"897,424","131,896,118"
"Aug 09, 2019",6.92,7.14,6.73,7.10,"726,592","138,083,400"
"Aug 08, 2019",7.12,7.15,6.72,6.92,"914,161","134,577,630"
"Aug 07, 2019",6.77,7.20,6.76,7.12,"841,201","138,287,056"
"Aug 06, 2019",7.27,7.40,6.67,6.77,"750,895","131,291,903"
"Aug 05, 2019",6.85,7.43,6.82,7.28,"1,015,211","141,007,047"
"Aug 04, 2019",7.19,7.20,6.82,6.85,"974,813","132,453,890"
"Aug 03, 2019",6.55,7.33,6.53,7.19,"1,136,672","137,528,568"
"Aug 02, 2019",5.91,6.58,5.88,6.55,"968,174","125,121,579"
"Aug 01, 2019",5.42,5.92,5.30,5.91,"945,714","112,681,942"
"Jul 31, 2019",5.16,5.42,4.99,5.42,"760,066","103,156,446"
"Jul 30, 2019",4.98,5.23,4.93,5.16,"782,084","98,088,552"
"Jul 29, 2019",5.12,5.20,4.96,4.98,"561,677","94,454,421"
"Jul 28, 2019",4.98,5.14,4.91,5.12,"644,832","96,963,947"
"Jul 27, 2019",5.05,5.37,4.86,4.98,"669,532","94,140,577"
"Jul 26, 2019",4.85,5.14,4.61,5.05,"733,832","95,361,752"
"Jul 25, 2019",4.55,4.89,4.45,4.85,"599,127","90,521,693"
"Jul 24, 2019",4.70,4.70,4.38,4.55,"579,103","84,787,234"
"Jul 23, 2019",5.17,5.30,4.60,4.70,"758,880","87,455,358"
"Jul 22, 2019",5.51,5.53,5.09,5.17,"760,440","96,139,236"
"Jul 21, 2019",5.56,5.73,5.27,5.51,"534,590","102,269,457"
"Jul 20, 2019",5.77,5.86,5.49,5.56,"657,775","103,081,093"
"Jul 19, 2019",5.92,5.94,5.40,5.77,"687,303","106,769,859"
