date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.061921,0.064628,0.061859,0.063471,"1,932,143","49,295,441"
"Oct 11, 2019",0.063665,0.064100,0.060732,0.061941,"1,953,896","48,107,177"
"Oct 10, 2019",0.064747,0.065451,0.063121,0.063687,"2,214,820","49,462,796"
"Oct 09, 2019",0.066587,0.066669,0.063007,0.064707,"3,798,968","50,255,387"
"Oct 08, 2019",0.064893,0.066585,0.062924,0.066585,"4,032,141","51,713,378"
"Oct 07, 2019",0.061217,0.065622,0.059511,0.064775,"4,499,518","50,308,076"
"Oct 06, 2019",0.066265,0.067276,0.060914,0.061236,"9,876,469","47,559,611"
"Oct 05, 2019",0.064342,0.067692,0.063583,0.066273,"4,889,387","51,471,124"
"Oct 04, 2019",0.060240,0.068008,0.060240,0.064342,"11,526,288","49,971,707"
"Oct 03, 2019",0.057964,0.061450,0.057627,0.060240,"5,294,779","46,785,975"
"Oct 02, 2019",0.057933,0.058083,0.056646,0.057965,"19,122,198","45,018,742"
"Oct 01, 2019",0.057142,0.059630,0.057056,0.057933,"2,410,167","44,994,105"
"Sep 30, 2019",0.055704,0.057704,0.053766,0.057167,"3,036,696","44,399,334"
"Sep 29, 2019",0.056910,0.058349,0.054483,0.055710,"3,123,356","43,267,433"
"Sep 28, 2019",0.054490,0.059138,0.054278,0.056896,"12,726,788","44,188,812"
"Sep 27, 2019",0.052557,0.054571,0.051428,0.054503,"6,062,903","42,330,325"
"Sep 26, 2019",0.056413,0.056976,0.049509,0.052596,"3,438,601","40,848,910"
"Sep 25, 2019",0.055490,0.057372,0.052883,0.056413,"3,442,165","43,813,145"
"Sep 24, 2019",0.066776,0.067130,0.054529,0.055465,"4,237,756","43,077,564"
"Sep 23, 2019",0.068246,0.068547,0.066255,0.066768,"3,305,110","51,855,698"
"Sep 22, 2019",0.070419,0.070419,0.067912,0.068238,"3,428,986","52,997,214"
"Sep 21, 2019",0.071826,0.071924,0.069865,0.070398,"2,380,681","54,674,952"
"Sep 20, 2019",0.071098,0.072637,0.070369,0.071837,"2,636,319","55,769,915"
"Sep 19, 2019",0.073746,0.073925,0.068425,0.071076,"3,737,535","55,178,960"
"Sep 18, 2019",0.071425,0.075563,0.070885,0.073722,"4,213,671","57,233,350"
"Sep 17, 2019",0.069635,0.072350,0.069251,0.071438,"2,784,308","55,460,568"
"Sep 16, 2019",0.072620,0.073145,0.067753,0.069629,"2,660,773","54,055,678"
"Sep 15, 2019",0.071001,0.073213,0.070844,0.072570,"2,193,139","56,338,809"
"Sep 14, 2019",0.069173,0.071022,0.069154,0.071001,"2,137,203","55,120,859"
"Sep 13, 2019",0.070562,0.071136,0.068997,0.069170,"2,322,537","53,699,186"
"Sep 12, 2019",0.073215,0.073612,0.069617,0.070569,"3,507,899","54,785,776"
"Sep 11, 2019",0.074929,0.075662,0.071307,0.073200,"4,196,877","56,828,456"
"Sep 10, 2019",0.077896,0.078585,0.074700,0.074986,"3,894,529","58,214,495"
"Sep 09, 2019",0.082735,0.082927,0.076482,0.077978,"4,490,158","60,537,441"
"Sep 08, 2019",0.080361,0.083468,0.080159,0.082720,"4,334,475","64,218,654"
"Sep 07, 2019",0.080692,0.082370,0.077852,0.080468,"4,341,984","62,470,928"
"Sep 06, 2019",0.082723,0.085592,0.079697,0.080596,"6,469,375","62,569,804"
"Sep 05, 2019",0.081246,0.089216,0.081246,0.082723,"9,350,581","64,221,172"
"Sep 04, 2019",0.075651,0.085637,0.075439,0.081240,"9,567,145","63,069,838"
"Sep 03, 2019",0.079000,0.079000,0.073855,0.075595,"6,297,595","58,687,517"
"Sep 02, 2019",0.070701,0.083652,0.070019,0.079049,"19,750,354","61,364,140"
"Sep 01, 2019",0.066242,0.074398,0.066242,0.070736,"8,768,205","54,910,704"
"Aug 31, 2019",0.063989,0.069348,0.063633,0.066231,"4,336,292","51,413,561"
"Aug 30, 2019",0.063423,0.065428,0.062493,0.063960,"3,323,651","49,650,739"
"Aug 29, 2019",0.066663,0.066697,0.060853,0.063423,"3,264,018","49,234,262"
"Aug 28, 2019",0.070694,0.075423,0.064379,0.066584,"5,946,641","51,687,535"
"Aug 27, 2019",0.067075,0.071446,0.066768,0.070689,"3,728,167","54,874,351"
"Aug 26, 2019",0.067470,0.070050,0.066248,0.066997,"2,989,166","52,008,649"
"Aug 25, 2019",0.072401,0.074177,0.067019,0.067500,"4,304,856","52,398,573"
"Aug 24, 2019",0.071884,0.078141,0.071181,0.072401,"8,370,829","56,203,562"
"Aug 23, 2019",0.069929,0.074832,0.068554,0.071892,"8,567,233","55,808,229"
"Aug 22, 2019",0.063840,0.072302,0.062609,0.069929,"6,857,624","54,284,079"
"Aug 21, 2019",0.065731,0.065731,0.061226,0.063840,"4,027,620","49,557,817"
"Aug 20, 2019",0.065697,0.066750,0.063885,0.065731,"2,836,747","51,025,652"
"Aug 19, 2019",0.064299,0.066452,0.061965,0.065700,"3,039,114","51,001,823"
"Aug 18, 2019",0.063975,0.065437,0.061469,0.064274,"4,252,181","49,894,345"
"Aug 17, 2019",0.061785,0.068599,0.059849,0.064383,"5,968,680","49,978,898"
"Aug 16, 2019",0.060000,0.063355,0.058155,0.061763,"3,724,065","47,945,452"
"Aug 15, 2019",0.060251,0.060531,0.056912,0.060120,"1,973,975","46,670,099"
"Aug 14, 2019",0.068053,0.068280,0.059933,0.060186,"2,866,997","46,718,313"
"Aug 13, 2019",0.071473,0.071509,0.066952,0.068053,"2,808,404","52,817,804"
"Aug 12, 2019",0.071062,0.075739,0.070128,0.071467,"4,576,840","55,468,226"
"Aug 11, 2019",0.069903,0.076459,0.067407,0.071223,"8,819,175","55,278,696"
"Aug 10, 2019",0.060968,0.073531,0.060368,0.069863,"5,199,360","54,222,758"
"Aug 09, 2019",0.068419,0.068419,0.060746,0.060968,"2,716,154","47,319,243"
"Aug 08, 2019",0.069521,0.070213,0.067564,0.068357,"2,553,722","53,050,317"
"Aug 07, 2019",0.072370,0.074672,0.069453,0.069499,"2,366,992","53,937,087"
"Aug 06, 2019",0.078257,0.078379,0.071711,0.072414,"3,165,428","56,199,098"
"Aug 05, 2019",0.079895,0.081095,0.077048,0.078152,"2,797,240","60,652,482"
"Aug 04, 2019",0.082877,0.083075,0.079668,0.079906,"2,023,715","62,013,685"
"Aug 03, 2019",0.083328,0.083954,0.082221,0.082919,"1,414,143","64,352,049"
"Aug 02, 2019",0.084419,0.084958,0.082160,0.083304,"2,226,204","64,651,123"
"Aug 01, 2019",0.087128,0.087128,0.082702,0.084431,"2,288,104","65,525,633"
"Jul 31, 2019",0.089403,0.092428,0.085213,0.087016,"4,491,102","67,531,308"
"Jul 30, 2019",0.083357,0.091660,0.082893,0.089286,"5,549,379","69,293,436"
"Jul 29, 2019",0.084988,0.085165,0.082554,0.083435,"1,828,119","64,752,452"
"Jul 28, 2019",0.084059,0.086036,0.082299,0.084945,"1,832,238","65,924,491"
"Jul 27, 2019",0.090860,0.091777,0.083434,0.084087,"2,694,574","65,258,764"
"Jul 26, 2019",0.087586,0.090924,0.085157,0.090860,"3,465,079","70,515,199"
"Jul 25, 2019",0.086159,0.089330,0.085987,0.087617,"2,221,313","67,997,757"
"Jul 24, 2019",0.086049,0.087585,0.083303,0.086112,"2,324,586","66,830,288"
"Jul 23, 2019",0.090404,0.093368,0.084644,0.086049,"3,216,366","66,780,814"
"Jul 22, 2019",0.088216,0.091746,0.086695,0.090373,"3,334,702","70,132,501"
"Jul 21, 2019",0.090257,0.090803,0.085724,0.088189,"2,214,561","68,437,980"
"Jul 20, 2019",0.089185,0.092791,0.087539,0.090595,"3,527,015","70,305,106"
"Jul 19, 2019",0.089480,0.091136,0.084906,0.089176,"3,570,576","69,203,826"
"Jul 18, 2019",0.084671,0.089600,0.081723,0.089480,"5,961,275","69,439,792"
"Jul 17, 2019",0.082415,0.088777,0.078051,0.084624,"5,729,038","65,671,537"
"Jul 16, 2019",0.101978,0.103261,0.081297,0.082610,"5,549,195","64,108,119"
"Jul 15, 2019",0.105211,0.108920,0.096701,0.102151,"6,220,898","79,236,251"
"Jul 14, 2019",0.102007,0.115945,0.100320,0.105282,"12,444,124","81,665,148"
"Jul 13, 2019",0.104990,0.105090,0.099273,0.101984,"1,844,237","79,107,089"
"Jul 12, 2019",0.099193,0.105712,0.096239,0.104958,"4,504,373","81,414,163"
"Jul 11, 2019",0.112281,0.113168,0.097645,0.099355,"4,834,319","77,067,694"
"Jul 10, 2019",0.122970,0.123059,0.111561,0.112204,"7,428,199","87,034,013"
