close,date,high,low,marketcap,open,volume
9.41,"Oct 14, 2018",9.65,9.39,"997,284,973",9.47,"113,477,000"
9.48,"Oct 13, 2018",9.58,9.41,"995,800,576",9.46,"114,944,000"
9.46,"Oct 12, 2018",9.62,9.14,"961,810,381",9.14,"195,087,000"
9.17,"Oct 11, 2018",10.82,9.12,"1,138,372,993",10.82,"255,593,000"
10.83,"Oct 10, 2018",10.91,10.72,"1,143,530,484",10.87,"175,735,000"
10.89,"Oct 09, 2018",10.98,10.84,"1,154,003,870",10.98,"157,706,000"
10.95,"Oct 08, 2018",11.01,10.82,"1,147,366,939",10.92,"159,584,000"
10.90,"Oct 07, 2018",10.95,10.68,"1,149,539,590",10.94,"152,882,000"
10.92,"Oct 06, 2018",11.05,10.88,"1,161,413,447",11.05,"146,455,000"
11.05,"Oct 05, 2018",11.10,10.97,"1,160,649,556",11.05,"147,212,000"
11.05,"Oct 04, 2018",11.19,11.02,"1,168,362,767",11.13,"132,819,000"
11.12,"Oct 03, 2018",11.16,10.89,"1,170,474,586",11.15,"160,819,000"
11.17,"Oct 02, 2018",11.34,11.15,"1,175,606,030",11.20,"148,728,000"
11.21,"Oct 01, 2018",11.36,11.13,"1,186,469,908",11.31,"178,803,000"
11.33,"Sep 30, 2018",11.41,11.18,"1,194,327,254",11.38,"197,595,000"
11.40,"Sep 29, 2018",11.46,11.07,"1,179,685,546",11.25,"155,294,000"
11.26,"Sep 28, 2018",11.57,11.17,"1,195,923,384",11.40,"157,811,000"
11.42,"Sep 27, 2018",11.48,10.83,"1,153,896,114",11.01,"175,910,000"
10.99,"Sep 26, 2018",11.31,10.88,"1,159,423,230",11.06,"154,050,000"
11.09,"Sep 25, 2018",11.27,10.51,"1,159,201,769",11.06,"183,283,000"
11.05,"Sep 24, 2018",11.59,11.03,"1,213,888,773",11.59,"145,599,000"
11.60,"Sep 23, 2018",11.73,11.36,"1,197,746,281",11.44,"162,975,000"
11.41,"Sep 22, 2018",11.81,11.24,"1,222,522,174",11.67,"167,522,000"
11.67,"Sep 21, 2018",11.75,11.06,"1,170,588,277",11.18,"247,448,000"
11.17,"Sep 20, 2018",11.18,10.67,"1,130,036,958",10.80,"169,241,000"
10.79,"Sep 19, 2018",11.00,10.39,"1,109,858,870",10.61,"177,159,000"
10.60,"Sep 18, 2018",10.80,10.29,"1,078,436,060",10.31,"165,477,000"
10.34,"Sep 17, 2018",11.34,10.16,"1,172,962,381",11.21,"164,247,000"
11.22,"Sep 16, 2018",11.32,11.04,"1,182,051,795",11.30,"153,507,000"
11.37,"Sep 15, 2018",11.55,10.94,"1,145,753,308",10.96,"156,127,000"
11.00,"Sep 14, 2018",11.34,10.96,"1,168,189,996",11.18,"193,196,000"
11.13,"Sep 13, 2018",11.30,10.74,"1,122,751,211",10.74,"192,363,000"
10.69,"Sep 12, 2018",11.38,10.28,"1,180,814,819",11.30,"195,188,000"
11.32,"Sep 11, 2018",11.53,11.03,"1,189,023,337",11.38,"182,031,000"
11.32,"Sep 10, 2018",11.42,11.06,"1,178,951,729",11.29,"169,260,000"
11.24,"Sep 09, 2018",11.64,10.96,"1,149,233,852",11.01,"177,693,000"
11.02,"Sep 08, 2018",11.94,10.79,"1,220,742,635",11.70,"168,330,000"
11.70,"Sep 07, 2018",12.17,11.59,"1,248,634,461",11.97,"179,172,000"
