date,open,high,low,close,volume,marketcap
"Oct 12, 2019",182.53,186.30,179.98,180.83,"7,494,328,840","19,551,368,532"
"Oct 11, 2019",191.80,195.32,181.66,182.57,"9,128,522,970","19,737,401,838"
"Oct 10, 2019",193.19,193.90,188.31,191.66,"8,375,913,276","20,717,535,747"
"Oct 09, 2019",182.04,194.30,180.67,193.29,"9,088,122,101","20,891,536,595"
"Oct 08, 2019",181.11,184.36,179.13,182.02,"7,466,282,780","19,670,825,764"
"Oct 07, 2019",172.94,182.36,171.53,181.19,"7,844,316,834","19,578,142,143"
"Oct 06, 2019",176.36,177.36,171.30,173.06,"5,852,890,674","18,697,637,484"
"Oct 05, 2019",176.95,177.71,173.07,176.35,"5,837,211,771","19,050,956,367"
"Oct 04, 2019",175.24,178.55,173.56,176.99,"6,248,928,449","19,116,991,692"
"Oct 03, 2019",180.70,180.80,172.60,175.20,"6,381,403,725","18,921,747,814"
"Oct 02, 2019",177.22,180.83,175.33,180.71,"6,335,595,250","19,514,521,236"
"Oct 01, 2019",180.21,185.05,175.81,177.34,"7,676,276,225","19,148,222,892"
"Sep 30, 2019",170.46,179.87,167.04,179.87,"7,552,915,148","19,419,149,343"
"Sep 29, 2019",174.61,175.21,167.00,170.50,"6,497,088,199","18,405,401,315"
"Sep 28, 2019",174.68,175.78,170.77,174.57,"6,895,423,445","18,842,313,324"
"Sep 27, 2019",166.65,175.61,163.21,174.71,"7,909,313,625","18,854,855,889"
"Sep 26, 2019",170.76,171.69,157.13,166.73,"7,848,286,154","17,991,000,062"
"Sep 25, 2019",168.13,174.72,164.91,170.89,"9,766,632,018","18,438,188,568"
"Sep 24, 2019",201.84,203.50,162.73,168.11,"11,757,739,233","18,135,747,380"
"Sep 23, 2019",211.71,211.84,201.89,201.92,"7,494,673,136","21,780,534,855"
"Sep 22, 2019",215.49,216.09,207.64,211.55,"7,812,854,576","22,815,755,536"
"Sep 21, 2019",217.90,220.96,215.00,215.52,"7,743,309,778","23,241,121,351"
"Sep 20, 2019",221.07,221.60,215.16,218.05,"8,027,974,273","23,511,410,671"
"Sep 19, 2019",211.25,222.87,204.69,221.28,"10,620,070,913","23,856,751,722"
"Sep 18, 2019",208.05,216.71,208.05,211.39,"9,194,634,557","22,787,891,774"
"Sep 17, 2019",197.11,213.73,196.72,208.61,"10,232,590,812","22,484,889,435"
"Sep 16, 2019",189.69,198.20,189.69,197.11,"8,242,029,488","21,243,167,877"
"Sep 15, 2019",188.07,190.40,186.45,189.79,"6,222,874,780","20,451,239,362"
"Sep 14, 2019",181.32,188.45,180.37,188.11,"6,500,686,511","20,267,272,633"
"Sep 13, 2019",180.98,181.50,178.58,181.11,"5,955,041,237","19,511,050,764"
"Sep 12, 2019",178.80,182.00,177.85,181.02,"5,838,605,477","19,498,542,852"
"Sep 11, 2019",179.84,181.76,176.50,178.73,"7,157,139,035","19,249,367,782"
"Sep 10, 2019",181.21,184.06,178.12,179.79,"6,291,476,772","19,361,276,593"
"Sep 09, 2019",181.36,184.15,177.42,181.15,"7,232,938,985","19,505,534,124"
"Sep 08, 2019",178.28,182.98,178.14,181.36,"6,472,677,266","19,525,276,831"
"Sep 07, 2019",169.96,180.85,169.44,178.26,"6,791,531,342","19,189,873,689"
"Sep 06, 2019",174.17,177.72,168.34,169.96,"6,797,611,878","18,293,376,881"
"Sep 05, 2019",175.97,176.16,171.75,174.22,"5,589,476,516","18,749,645,579"
"Sep 04, 2019",179.49,180.14,175.33,175.99,"5,938,120,494","18,938,360,723"
"Sep 03, 2019",178.36,182.35,175.97,179.50,"6,962,728,938","19,313,265,198"
"Sep 02, 2019",171.70,180.15,170.45,178.35,"6,503,447,137","19,186,913,439"
"Sep 01, 2019",172.46,173.70,169.53,171.63,"5,554,799,576","18,461,846,968"
"Aug 31, 2019",168.89,174.32,167.80,172.47,"5,830,212,249","18,549,906,272"
"Aug 30, 2019",169.49,170.77,167.07,168.83,"5,776,520,220","18,156,660,601"
"Aug 29, 2019",173.96,174.00,167.17,169.52,"7,129,569,083","18,227,677,831"
