date,open,high,low,close,volume,marketcap
"Oct 12, 2019",3.28,3.52,3.27,3.42,"40,724","33,605,106"
"Oct 11, 2019",3.49,3.49,3.23,3.28,"102,424","32,237,338"
"Oct 10, 2019",3.20,3.60,3.16,3.49,"212,929","34,265,042"
"Oct 09, 2019",3.18,3.46,3.12,3.20,"201,785","31,395,989"
"Oct 08, 2019",3.77,3.79,3.05,3.18,"288,231","31,280,021"
"Oct 07, 2019",3.83,3.85,3.69,3.77,"67,905","37,058,086"
"Oct 06, 2019",3.88,4.13,3.75,3.83,"145,945","37,641,808"
"Oct 05, 2019",3.68,4.00,3.53,3.88,"138,035","38,133,429"
"Oct 04, 2019",3.66,3.71,3.41,3.68,"168,676","36,166,232"
"Oct 03, 2019",3.37,3.69,3.22,3.66,"45,938","35,956,816"
"Oct 02, 2019",3.45,3.48,3.25,3.37,"40,913","33,160,527"
"Oct 01, 2019",3.19,3.58,3.17,3.45,"66,563","33,966,927"
"Sep 30, 2019",3.19,3.26,3.02,3.19,"15,364","31,435,892"
"Sep 29, 2019",3.20,3.37,3.13,3.19,"33,144","31,420,433"
"Sep 28, 2019",3.22,3.25,3.07,3.20,"27,951","31,487,414"
"Sep 27, 2019",3.22,3.50,3.09,3.23,"113,145","31,771,165"
"Sep 26, 2019",2.93,3.67,2.83,3.23,"302,625","31,849,472"
"Sep 25, 2019",2.79,3.02,2.64,2.93,"192,891","28,890,860"
"Sep 24, 2019",3.34,3.35,2.66,2.79,"107,771","27,502,129"
"Sep 23, 2019",3.37,3.82,3.24,3.34,"301,654","32,866,231"
"Sep 22, 2019",3.16,3.41,3.14,3.37,"42,578","33,202,479"
"Sep 21, 2019",3.30,3.30,3.14,3.16,"11,744","31,133,687"
"Sep 20, 2019",3.28,3.32,3.18,3.30,"27,201","32,456,452"
"Sep 19, 2019",3.11,3.35,3.06,3.27,"98,923","32,211,910"
"Sep 18, 2019",3.06,3.17,3.06,3.11,"65,954","30,600,647"
"Sep 17, 2019",3.12,3.27,2.91,3.06,"171,088","30,151,007"
"Sep 16, 2019",3.14,3.26,2.95,3.12,"68,413","30,702,450"
"Sep 15, 2019",3.06,3.26,3.03,3.14,"63,871","30,855,452"
"Sep 14, 2019",3.04,3.46,3.01,3.06,"265,875","30,103,924"
"Sep 13, 2019",3.26,3.32,2.96,3.04,"89,786","29,938,502"
"Sep 12, 2019",3.17,3.36,2.98,3.26,"114,838","32,068,859"
"Sep 11, 2019",3.30,3.34,3.06,3.16,"132,682","31,129,230"
"Sep 10, 2019",3.47,3.51,3.24,3.30,"46,383","32,470,580"
"Sep 09, 2019",3.53,3.71,3.43,3.47,"19,916","34,177,687"
"Sep 08, 2019",3.55,3.69,3.47,3.53,"28,988","34,706,580"
"Sep 07, 2019",3.49,3.56,3.35,3.56,"62,362","34,981,860"
"Sep 06, 2019",3.75,3.89,3.46,3.49,"92,046","34,370,943"
"Sep 05, 2019",3.45,3.82,3.36,3.75,"39,274","36,925,492"
"Sep 04, 2019",3.34,3.52,3.24,3.45,"27,467","33,924,210"
"Sep 03, 2019",3.24,3.91,3.21,3.34,"135,053","32,857,816"
"Sep 02, 2019",3.27,3.29,3.07,3.24,"61,220","31,854,640"
"Sep 01, 2019",3.29,3.92,3.14,3.27,"168,370","31,808,587"
"Aug 31, 2019",3.42,3.42,3.05,3.32,"46,797","32,250,301"
"Aug 30, 2019",3.28,3.45,3.26,3.42,"20,751","33,185,397"
"Aug 29, 2019",3.90,3.90,3.24,3.28,"95,502","31,847,416"
"Aug 28, 2019",3.87,3.96,3.16,3.68,"95,884","35,693,698"
"Aug 27, 2019",4.03,4.04,3.85,3.87,"19,827","37,570,535"
"Aug 26, 2019",4.20,4.33,3.94,4.03,"43,536","39,140,623"
"Aug 25, 2019",4.06,4.36,4.02,4.20,"68,008","40,724,838"
"Aug 24, 2019",3.80,4.44,3.74,4.06,"248,775","39,416,707"
"Aug 23, 2019",3.55,3.85,3.32,3.80,"77,736","36,846,185"
"Aug 22, 2019",3.09,3.79,2.99,3.55,"194,936","34,426,071"
"Aug 21, 2019",3.24,3.25,3.00,3.09,"36,341","30,021,344"
"Aug 20, 2019",3.32,3.42,3.22,3.24,"30,662","31,433,483"
"Aug 19, 2019",3.23,3.43,3.18,3.32,"72,525","32,183,798"
"Aug 18, 2019",3.19,3.42,2.98,3.23,"168,248","31,328,640"
"Aug 17, 2019",3.15,3.23,3.08,3.19,"15,044","30,909,823"
"Aug 16, 2019",3.22,3.31,3.08,3.15,"41,908","30,569,077"
"Aug 15, 2019",3.04,3.30,2.99,3.22,"79,910","31,225,867"
"Aug 14, 2019",3.20,3.43,3.03,3.04,"144,965","29,447,796"
"Aug 13, 2019",3.29,3.67,3.15,3.20,"232,681","31,027,955"
"Aug 12, 2019",3.49,3.81,3.24,3.29,"212,414","31,913,511"
"Aug 11, 2019",3.54,3.65,3.51,3.52,"36,475","34,125,202"
"Aug 10, 2019",3.74,3.99,3.48,3.54,"236,376","34,308,667"
"Aug 09, 2019",3.83,4.38,3.58,3.74,"318,317","36,229,004"
"Aug 08, 2019",3.84,4.20,3.65,3.83,"320,150","37,109,751"
"Aug 07, 2019",4.03,4.06,3.75,3.84,"147,819","37,244,958"
"Aug 06, 2019",4.08,4.17,3.93,4.03,"90,817","39,019,456"
"Aug 05, 2019",4.14,4.39,3.94,4.09,"181,587","39,591,529"
"Aug 04, 2019",4.16,4.33,3.99,4.14,"121,651","40,069,699"
"Aug 03, 2019",4.00,4.19,4.00,4.16,"44,428","40,263,928"
"Aug 02, 2019",4.10,4.48,3.94,4.00,"222,437","38,777,939"
"Aug 01, 2019",4.05,4.31,3.82,4.10,"171,498","39,685,239"
"Jul 31, 2019",3.93,4.31,3.89,4.05,"209,594","39,208,398"
"Jul 30, 2019",3.95,4.17,3.86,3.93,"137,464","38,068,951"
"Jul 29, 2019",4.04,4.13,3.91,3.95,"27,013","38,209,359"
"Jul 28, 2019",3.97,4.19,3.89,4.04,"159,660","39,105,280"
"Jul 27, 2019",3.98,4.34,3.76,3.97,"238,572","38,415,980"
"Jul 26, 2019",3.99,4.20,3.80,3.98,"264,445","38,478,885"
"Jul 25, 2019",4.13,4.39,3.98,3.99,"165,649","38,645,954"
"Jul 24, 2019",4.19,4.20,4.05,4.13,"61,287","39,988,848"
"Jul 23, 2019",4.14,4.44,3.89,4.19,"382,676","40,558,372"
"Jul 22, 2019",4.23,4.37,4.11,4.14,"95,676","40,034,691"
"Jul 21, 2019",4.38,4.57,4.10,4.23,"92,842","40,926,928"
"Jul 20, 2019",4.26,4.49,4.06,4.38,"137,381","42,364,794"
"Jul 19, 2019",4.25,4.35,3.93,4.26,"154,587","41,181,471"
"Jul 18, 2019",4.21,4.46,3.91,4.25,"114,630","41,128,602"
"Jul 17, 2019",4.29,4.42,3.78,4.21,"480,866","40,687,611"
"Jul 16, 2019",4.26,4.87,3.84,4.30,"323,384","41,578,370"
"Jul 15, 2019",4.34,4.50,3.87,4.26,"131,618","41,168,939"
"Jul 14, 2019",4.68,4.96,4.32,4.34,"261,300","41,912,858"
"Jul 13, 2019",4.42,4.82,4.18,4.68,"248,094","45,193,005"
"Jul 12, 2019",4.34,4.81,4.31,4.42,"148,994","42,671,806"
"Jul 11, 2019",4.41,4.98,3.97,4.34,"476,373","41,909,662"
"Jul 10, 2019",4.61,4.76,4.20,4.41,"186,752","42,615,859"
"Jul 09, 2019",4.70,4.92,4.38,4.61,"284,804","44,545,617"
"Jul 08, 2019",4.58,5.01,4.19,4.69,"698,413","45,319,537"
"Jul 07, 2019",4.77,4.98,4.52,4.53,"247,159","43,738,558"
"Jul 06, 2019",4.98,5.30,4.64,4.77,"257,430","46,022,893"
"Jul 05, 2019",5.13,5.38,4.86,4.98,"151,218","48,036,295"
"Jul 04, 2019",5.41,5.50,5.03,5.13,"125,440","49,489,073"
"Jul 03, 2019",5.18,5.65,5.07,5.41,"325,444","52,222,269"
"Jul 02, 2019",5.67,5.70,4.84,5.18,"543,009","49,990,955"
"Jul 01, 2019",5.28,5.77,5.11,5.67,"254,322","54,664,384"
"Jun 30, 2019",5.62,5.91,5.20,5.28,"230,079","50,907,341"
"Jun 29, 2019",5.61,5.72,5.25,5.63,"271,261","54,272,915"
"Jun 28, 2019",5.51,5.98,5.25,5.60,"338,433","54,034,427"
"Jun 27, 2019",5.69,6.14,4.87,5.51,"623,971","53,162,418"
"Jun 26, 2019",5.80,6.33,5.03,5.64,"649,701","54,349,879"
"Jun 25, 2019",6.01,6.19,5.68,5.80,"231,877","55,933,063"
"Jun 24, 2019",5.67,6.55,5.55,6.00,"217,292","57,889,795"
"Jun 23, 2019",5.75,6.59,5.63,5.67,"214,679","54,645,357"
"Jun 22, 2019",5.76,6.15,5.23,5.74,"509,603","55,378,369"
"Jun 21, 2019",5.63,6.03,5.47,5.76,"616,787","55,540,244"
"Jun 20, 2019",6.07,6.39,4.71,5.62,"2,513,912","54,180,681"
"Jun 19, 2019",5.90,6.69,5.88,6.07,"411,959","58,516,838"
"Jun 18, 2019",5.81,6.52,5.73,5.90,"391,779","56,823,356"
"Jun 17, 2019",5.76,6.09,5.66,5.81,"275,356","55,957,560"
"Jun 16, 2019",5.76,6.18,5.64,5.75,"648,370","55,428,410"
"Jun 15, 2019",5.89,6.28,5.74,5.76,"483,838","55,444,392"
"Jun 14, 2019",5.85,6.60,5.50,5.90,"540,738","56,797,989"
"Jun 13, 2019",5.88,6.02,5.82,5.85,"224,698","56,325,233"
"Jun 12, 2019",5.71,6.64,5.69,5.88,"502,972","56,600,390"
"Jun 11, 2019",5.94,5.96,5.51,5.71,"300,058","55,009,225"
"Jun 10, 2019",5.65,6.16,5.60,5.93,"392,614","57,111,049"
"Jun 09, 2019",5.80,6.24,5.53,5.65,"461,490","54,345,073"
"Jun 08, 2019",6.57,7.22,5.60,5.80,"2,166,189","55,863,661"
"Jun 07, 2019",6.29,7.03,6.15,6.57,"974,069","63,274,085"
"Jun 06, 2019",7.05,7.36,4.37,6.28,"1,984,727","60,420,074"
"Jun 05, 2019",7.04,7.34,6.86,7.05,"161,387","67,834,262"
"Jun 04, 2019",7.71,7.71,6.87,7.03,"184,629","67,643,344"
"Jun 03, 2019",8.17,8.35,7.65,7.72,"180,429","74,257,685"
"Jun 02, 2019",8.12,8.51,7.97,8.16,"571,394","78,523,357"
"Jun 01, 2019",8.21,8.31,7.87,8.12,"241,624","78,098,789"
"May 31, 2019",8.00,8.52,7.85,8.19,"370,944","77,610,394"
"May 30, 2019",7.82,8.81,7.81,8.00,"277,563","75,830,777"
"May 29, 2019",8.24,8.70,7.75,7.82,"369,034","74,130,854"
"May 28, 2019",8.64,8.69,8.05,8.24,"313,261","78,100,187"
"May 27, 2019",8.40,8.86,8.33,8.69,"192,861","82,361,133"
"May 26, 2019",8.12,8.60,8.07,8.39,"373,154","79,540,449"
"May 25, 2019",8.79,8.86,8.05,8.12,"110,274","76,982,093"
"May 24, 2019",8.41,9.20,8.24,8.79,"199,376","83,267,105"
"May 23, 2019",8.05,8.92,7.93,8.41,"134,821","79,674,141"
"May 22, 2019",8.48,8.82,7.96,8.05,"96,300","76,283,348"
"May 21, 2019",8.51,8.78,8.18,8.48,"214,959","80,324,502"
"May 20, 2019",9.05,9.05,8.22,8.51,"104,246","80,634,238"
"May 19, 2019",8.42,9.37,8.41,9.05,"176,850","85,714,712"
"May 18, 2019",9.33,9.45,8.15,8.42,"178,228","79,727,222"
"May 17, 2019",8.99,9.33,7.58,9.33,"751,667","88,302,194"
"May 16, 2019",9.31,10.45,8.90,8.99,"567,292","85,109,070"
"May 15, 2019",9.16,9.88,8.93,9.33,"735,899","88,293,181"
"May 14, 2019",10.60,10.96,6.41,9.16,"3,918,473","86,738,733"
"May 13, 2019",9.26,11.91,5.85,10.58,"5,520,837","100,097,861"
"May 12, 2019",10.87,10.94,9.16,9.26,"323,257","87,672,446"
"May 11, 2019",9.00,11.12,8.95,10.86,"476,546","102,721,249"
"May 10, 2019",8.78,9.22,8.71,9.00,"85,924","85,158,098"
"May 09, 2019",8.79,8.96,8.54,8.78,"237,492","83,085,799"
"May 08, 2019",8.74,8.89,8.63,8.79,"105,419","83,107,304"
"May 07, 2019",8.89,9.27,8.74,8.75,"318,030","82,753,277"
"May 06, 2019",8.99,9.33,8.81,8.89,"88,137","84,101,507"
"May 05, 2019",9.22,9.25,8.91,8.99,"82,998","85,027,476"
"May 04, 2019",9.33,9.54,8.94,9.23,"97,174","87,223,769"
"May 03, 2019",9.01,9.58,8.90,9.33,"176,182","88,175,099"
"May 02, 2019",8.88,9.17,8.63,9.01,"103,334","85,208,821"
"May 01, 2019",8.47,8.99,8.46,8.88,"58,114","83,929,029"
"Apr 30, 2019",8.34,8.51,8.24,8.47,"60,536","80,016,141"
"Apr 29, 2019",8.40,8.46,8.23,8.34,"56,984","78,829,914"
"Apr 28, 2019",8.43,8.54,8.20,8.40,"66,670","79,326,573"
"Apr 27, 2019",8.42,8.58,8.27,8.42,"11,332","79,584,249"
"Apr 26, 2019",8.41,8.61,8.22,8.41,"57,387","79,487,651"
"Apr 25, 2019",8.81,8.99,8.20,8.38,"109,747","79,195,028"
"Apr 24, 2019",9.13,9.13,8.60,8.81,"187,052","83,222,144"
"Apr 23, 2019",9.44,9.64,8.94,9.13,"319,518","86,195,026"
"Apr 22, 2019",9.48,9.97,9.21,9.44,"329,368","89,107,146"
"Apr 21, 2019",9.03,9.69,9.01,9.48,"204,973","89,511,165"
"Apr 20, 2019",9.02,9.14,8.88,9.03,"134,150","85,213,196"
"Apr 19, 2019",9.19,9.22,8.80,9.02,"162,969","85,125,331"
"Apr 18, 2019",9.02,9.42,8.97,9.19,"154,830","86,772,775"
"Apr 17, 2019",8.96,9.12,8.68,9.02,"156,899","85,097,995"
"Apr 16, 2019",8.65,9.00,8.59,8.96,"145,593","84,541,181"
"Apr 15, 2019",8.92,9.42,8.57,8.65,"315,356","81,598,086"
"Apr 14, 2019",8.64,9.00,8.56,8.92,"60,857","84,139,996"
"Apr 13, 2019",8.59,8.77,8.39,8.64,"101,155","81,534,855"
"Apr 12, 2019",8.09,8.78,7.90,8.59,"189,949","80,997,359"
"Apr 11, 2019",8.88,8.93,8.02,8.09,"221,645","76,286,127"
"Apr 10, 2019",8.89,9.25,8.77,8.88,"79,063","83,708,543"
