close,date,high,low,marketcap,open,volume
0.014218,"Oct 14, 2018",0.014595,0.014026,"73,575,277",0.014204,"991,119"
0.014146,"Oct 13, 2018",0.014418,0.013933,"73,026,726",0.014098,"802,338"
0.014041,"Oct 12, 2018",0.014551,0.013488,"70,582,746",0.013626,"3,590,790"
0.013643,"Oct 11, 2018",0.016081,0.013263,"82,472,979",0.015922,"4,426,760"
0.015978,"Oct 10, 2018",0.016042,0.015234,"80,348,176",0.015512,"2,023,260"
0.015557,"Oct 09, 2018",0.016157,0.015418,"82,999,190",0.016024,"858,160"
0.016026,"Oct 08, 2018",0.016199,0.015503,"82,224,944",0.015874,"594,164"
0.015780,"Oct 07, 2018",0.015924,0.015191,"80,077,911",0.015460,"462,947"
0.015466,"Oct 06, 2018",0.015953,0.015208,"79,430,260",0.015852,"499,979"
0.015834,"Oct 05, 2018",0.015933,0.015213,"78,307,486",0.015628,"1,005,720"
0.015602,"Oct 04, 2018",0.015938,0.015227,"76,855,087",0.015338,"561,636"
0.015269,"Oct 03, 2018",0.015993,0.015110,"79,842,966",0.015934,"1,094,650"
0.015876,"Oct 02, 2018",0.020525,0.015180,"76,067,406",0.015180,"11,762,400"
0.015164,"Oct 01, 2018",0.015366,0.014707,"75,163,552",0.015000,"688,752"
0.014960,"Sep 30, 2018",0.016357,0.014569,"80,865,873",0.016138,"1,264,620"
0.016101,"Sep 29, 2018",0.016424,0.015585,"80,436,918",0.016053,"355,249"
0.016008,"Sep 28, 2018",0.016952,0.015840,"83,924,261",0.016748,"571,972"
0.016733,"Sep 27, 2018",0.016883,0.015970,"81,493,126",0.016263,"1,040,170"
0.016256,"Sep 26, 2018",0.017156,0.015975,"80,552,774",0.016076,"1,075,740"
0.016077,"Sep 25, 2018",0.017072,0.015669,"83,424,820",0.016649,"1,079,370"
0.016657,"Sep 24, 2018",0.018173,0.016593,"89,379,186",0.017837,"734,305"
0.017735,"Sep 23, 2018",0.017838,0.017144,"88,431,226",0.017648,"893,573"
0.017604,"Sep 22, 2018",0.018709,0.016921,"92,687,570",0.018497,"765,153"
0.018515,"Sep 21, 2018",0.018864,0.017427,"90,311,138",0.018023,"1,510,860"
0.018061,"Sep 20, 2018",0.018839,0.016314,"82,125,690",0.016390,"5,007,590"
0.016351,"Sep 19, 2018",0.016360,0.014871,"77,383,723",0.015443,"1,791,730"
0.015508,"Sep 18, 2018",0.016872,0.015253,"80,522,785",0.016070,"2,282,420"
0.016215,"Sep 17, 2018",0.017142,0.015008,"78,978,793",0.015762,"3,762,600"
0.015717,"Sep 16, 2018",0.015941,0.013948,"72,747,327",0.014518,"1,836,720"
0.014446,"Sep 15, 2018",0.014618,0.013669,"70,565,651",0.014083,"490,233"
0.014143,"Sep 14, 2018",0.015135,0.013990,"71,477,588",0.014265,"639,826"
0.014283,"Sep 13, 2018",0.014438,0.012484,"62,716,911",0.012516,"725,382"
0.012471,"Sep 12, 2018",0.013442,0.011537,"66,842,802",0.013340,"881,623"
0.013396,"Sep 11, 2018",0.014148,0.012980,"70,709,363",0.014111,"465,086"
0.014065,"Sep 10, 2018",0.014547,0.013890,"70,014,577",0.013973,"250,298"
0.013952,"Sep 09, 2018",0.014705,0.013534,"71,226,785",0.014214,"337,529"
0.014268,"Sep 08, 2018",0.015759,0.013945,"75,349,740",0.015037,"578,564"
0.014966,"Sep 07, 2018",0.015859,0.014880,"78,016,684",0.015570,"503,766"
0.015606,"Sep 06, 2018",0.015623,0.014494,"76,828,384",0.015332,"462,740"
0.015726,"Sep 05, 2018",0.018813,0.015726,"92,876,721",0.018535,"942,579"
0.018525,"Sep 04, 2018",0.019097,0.017733,"90,358,272",0.018032,"779,154"
0.018075,"Sep 03, 2018",0.018422,0.017727,"90,971,749",0.018155,"353,172"
0.018154,"Sep 02, 2018",0.018516,0.017891,"90,970,386",0.018155,"411,576"
0.018148,"Sep 01, 2018",0.018766,0.017705,"89,180,383",0.017798,"523,697"
0.017809,"Aug 31, 2018",0.018023,0.016961,"87,237,742",0.017410,"419,679"
0.017481,"Aug 30, 2018",0.018422,0.016858,"92,186,010",0.018397,"495,306"
0.018456,"Aug 29, 2018",0.019173,0.018184,"94,333,913",0.018826,"638,377"
0.018929,"Aug 28, 2018",0.019089,0.017868,"91,314,277",0.018223,"733,158"
0.018296,"Aug 27, 2018",0.018545,0.016803,"85,162,350",0.016996,"926,420"
0.017094,"Aug 26, 2018",0.017198,0.016430,"85,422,156",0.017047,"206,078"
0.016982,"Aug 25, 2018",0.017606,0.016716,"86,993,644",0.017361,"450,804"
0.017366,"Aug 24, 2018",0.017397,0.016209,"83,539,192",0.016672,"425,447"
0.016677,"Aug 23, 2018",0.017214,0.016394,"85,020,921",0.016967,"809,311"
0.016889,"Aug 22, 2018",0.018939,0.016635,"89,649,808",0.017891,"1,493,450"
0.017867,"Aug 21, 2018",0.018398,0.017009,"90,878,844",0.018136,"1,348,170"
0.018213,"Aug 20, 2018",0.020091,0.018213,"99,694,513",0.019896,"896,443"
0.019740,"Aug 19, 2018",0.019804,0.018788,"96,906,720",0.019339,"333,788"
0.019333,"Aug 18, 2018",0.020858,0.018380,"101,851,787",0.020326,"944,325"
0.020240,"Aug 17, 2018",0.020268,0.018058,"90,864,331",0.018134,"1,549,010"
0.018088,"Aug 16, 2018",0.019453,0.016890,"85,006,669",0.016965,"2,326,240"
0.016876,"Aug 15, 2018",0.017226,0.015258,"76,979,268",0.015362,"1,234,370"
0.015276,"Aug 14, 2018",0.016941,0.013817,"84,887,135",0.016941,"1,647,680"
0.016908,"Aug 13, 2018",0.018586,0.016585,"91,781,247",0.018316,"1,385,870"
0.018264,"Aug 12, 2018",0.018461,0.017528,"89,130,310",0.017788,"1,454,540"
0.017819,"Aug 11, 2018",0.018172,0.016544,"89,203,334",0.017802,"1,305,760"
0.017786,"Aug 10, 2018",0.019830,0.017514,"99,197,741",0.019797,"1,966,000"
0.019778,"Aug 09, 2018",0.020015,0.018120,"91,087,614",0.018178,"1,311,880"
0.018172,"Aug 08, 2018",0.020407,0.017850,"102,256,074",0.020407,"1,299,290"
0.020393,"Aug 07, 2018",0.021486,0.020165,"105,037,353",0.020962,"1,074,730"
0.021000,"Aug 06, 2018",0.022451,0.020817,"111,382,014",0.022228,"1,043,510"
0.022195,"Aug 05, 2018",0.022244,0.020996,"107,327,973",0.021419,"1,236,830"
0.021423,"Aug 04, 2018",0.022957,0.021057,"112,209,031",0.022393,"1,190,150"
