close,date,high,low,marketcap,open,volume
1.51,"Oct 14, 2018",1.67,1.45,"89,180,546",1.49,"5,589,510"
1.49,"Oct 13, 2018",1.62,1.36,"83,341,677",1.39,"8,665,890"
1.39,"Oct 12, 2018",1.43,1.25,"75,513,411",1.26,"2,598,140"
1.27,"Oct 11, 2018",1.50,1.26,"89,737,129",1.50,"1,229,630"
1.50,"Oct 10, 2018",1.61,1.42,"90,184,064",1.50,"5,232,750"
1.50,"Oct 09, 2018",1.54,1.38,"85,744,665",1.43,"3,039,220"
1.43,"Oct 08, 2018",1.45,1.35,"82,036,285",1.37,"1,044,910"
1.36,"Oct 07, 2018",1.39,1.31,"81,124,892",1.35,"825,638"
1.35,"Oct 06, 2018",1.44,1.33,"86,138,062",1.44,"803,090"
1.44,"Oct 05, 2018",1.45,1.33,"80,153,396",1.34,"1,065,380"
1.33,"Oct 04, 2018",1.41,1.28,"76,928,337",1.28,"1,376,410"
1.28,"Oct 03, 2018",1.31,1.25,"78,836,374",1.31,"735,652"
1.31,"Oct 02, 2018",1.36,1.30,"80,592,349",1.34,"844,225"
1.35,"Oct 01, 2018",1.38,1.32,"81,904,049",1.37,"577,855"
1.37,"Sep 30, 2018",1.42,1.35,"81,873,722",1.36,"1,536,040"
1.36,"Sep 29, 2018",1.45,1.34,"85,811,105",1.43,"4,912,520"
1.43,"Sep 28, 2018",1.63,1.41,"97,051,342",1.62,"4,726,410"
1.62,"Sep 27, 2018",1.66,1.27,"77,819,695",1.30,"5,291,470"
1.30,"Sep 26, 2018",1.31,1.23,"76,198,962",1.27,"1,589,060"
1.25,"Sep 25, 2018",1.27,1.18,"73,468,616",1.22,"3,250,870"
1.22,"Sep 24, 2018",1.32,1.21,"77,361,624",1.29,"4,711,040"
1.29,"Sep 23, 2018",1.29,1.23,"77,017,672",1.28,"4,813,910"
1.28,"Sep 22, 2018",1.28,1.15,"72,111,576",1.20,"4,131,300"
1.20,"Sep 21, 2018",1.21,1.10,"66,201,718",1.10,"7,106,530"
1.10,"Sep 20, 2018",1.11,1.05,"63,457,925",1.06,"5,559,600"
1.06,"Sep 19, 2018",1.08,1.01,"62,387,524",1.04,"4,594,540"
1.04,"Sep 18, 2018",1.04,0.973890,"58,445,495",0.974092,"3,074,130"
0.978136,"Sep 17, 2018",1.09,0.959922,"64,501,491",1.08,"1,900,380"
1.07,"Sep 16, 2018",1.08,1.03,"64,445,379",1.07,"1,486,480"
1.07,"Sep 15, 2018",1.11,1.06,"63,759,291",1.06,"1,103,090"
1.06,"Sep 14, 2018",1.10,1.04,"64,281,979",1.07,"1,344,810"
1.07,"Sep 13, 2018",1.08,1.01,"60,429,525",1.01,"1,569,760"
1.01,"Sep 12, 2018",1.09,0.970491,"65,045,564",1.08,"1,003,460"
1.08,"Sep 11, 2018",1.14,1.08,"68,177,068",1.14,"728,237"
1.14,"Sep 10, 2018",1.31,1.11,"66,493,227",1.11,"606,095"
1.11,"Sep 09, 2018",1.14,1.08,"66,930,435",1.12,"532,786"
1.12,"Sep 08, 2018",1.19,1.11,"69,504,282",1.16,"572,186"
1.16,"Sep 07, 2018",1.24,1.15,"71,483,946",1.19,"783,443"
1.19,"Sep 06, 2018",1.29,1.15,"77,664,614",1.29,"2,497,790"
1.30,"Sep 05, 2018",1.50,1.30,"89,773,185",1.50,"1,618,120"
1.50,"Sep 04, 2018",1.52,1.48,"89,012,640",1.48,"1,329,040"
1.48,"Sep 03, 2018",1.51,1.46,"88,195,961",1.47,"1,663,610"
1.47,"Sep 02, 2018",1.52,1.46,"90,717,974",1.51,"1,354,070"
1.51,"Sep 01, 2018",1.53,1.45,"87,211,561",1.45,"1,637,380"
1.45,"Aug 31, 2018",1.46,1.42,"85,566,967",1.43,"1,285,420"
1.43,"Aug 30, 2018",1.49,1.39,"88,504,765",1.48,"1,368,650"
1.47,"Aug 29, 2018",1.54,1.46,"90,365,281",1.51,"1,227,040"
1.51,"Aug 28, 2018",1.51,1.41,"86,499,310",1.44,"1,006,380"
1.44,"Aug 27, 2018",1.44,1.38,"83,563,728",1.39,"2,735,900"
1.39,"Aug 26, 2018",1.43,1.33,"85,044,000",1.42,"5,289,730"
1.42,"Aug 25, 2018",1.44,1.37,"83,664,501",1.39,"3,859,990"
1.40,"Aug 24, 2018",1.40,1.33,"80,203,779",1.34,"2,222,640"
1.34,"Aug 23, 2018",1.42,1.31,"84,833,035",1.41,"4,083,000"
1.32,"Aug 22, 2018",1.46,1.29,"83,283,048",1.39,"6,928,670"
1.39,"Aug 21, 2018",1.49,1.36,"88,046,257",1.47,"1,774,030"
1.47,"Aug 20, 2018",1.59,1.46,"92,393,417",1.54,"1,344,060"
1.54,"Aug 19, 2018",1.57,1.51,"91,422,043",1.52,"1,051,620"
1.52,"Aug 18, 2018",1.71,1.48,"98,208,690",1.64,"1,314,660"
1.63,"Aug 17, 2018",1.63,1.45,"86,969,440",1.45,"1,383,890"
1.45,"Aug 16, 2018",1.48,1.40,"84,165,652",1.40,"835,521"
1.41,"Aug 15, 2018",1.45,1.31,"78,538,263",1.31,"1,136,900"
1.30,"Aug 14, 2018",1.46,1.24,"87,776,055",1.46,"1,129,290"
1.46,"Aug 13, 2018",1.68,1.46,"97,938,588",1.63,"1,202,520"
1.63,"Aug 12, 2018",1.67,1.62,"97,728,796",1.63,"826,523"
1.63,"Aug 11, 2018",1.72,1.56,"103,064,096",1.72,"997,803"
1.72,"Aug 10, 2018",1.86,1.70,"110,323,298",1.84,"1,379,100"
1.84,"Aug 09, 2018",1.91,1.78,"113,743,207",1.90,"1,781,990"
1.89,"Aug 08, 2018",2.24,1.89,"134,106,874",2.24,"2,206,370"
2.24,"Aug 07, 2018",2.35,2.23,"137,959,285",2.30,"1,965,770"
2.30,"Aug 06, 2018",2.40,2.28,"141,520,500",2.36,"1,657,820"
2.36,"Aug 05, 2018",2.38,2.32,"141,251,893",2.35,"1,340,500"
2.35,"Aug 04, 2018",2.60,2.33,"153,082,423",2.55,"960,902"
2.55,"Aug 03, 2018",2.74,2.36,"154,223,957",2.57,"8,194,590"
2.57,"Aug 02, 2018",2.66,2.55,"155,819,678",2.60,"9,628,680"
2.60,"Aug 01, 2018",2.62,2.41,"156,043,282",2.60,"8,823,980"
2.61,"Jul 31, 2018",2.75,2.51,"164,780,774",2.75,"27,161,000"
2.74,"Jul 30, 2018",2.77,2.65,"164,842,801",2.75,"54,450,500"
2.75,"Jul 29, 2018",2.79,2.70,"162,144,592",2.70,"42,134,100"
2.69,"Jul 28, 2018",2.91,2.69,"174,765,600",2.91,"24,938,400"
2.92,"Jul 27, 2018",3.21,2.66,"164,215,792",2.74,"21,485,600"
2.73,"Jul 26, 2018",3.34,2.63,"178,653,008",2.98,"11,506,800"
3.19,"Jul 25, 2018",3.58,2.94,"192,120,000",3.20,"14,126,300"
3.20,"Jul 24, 2018",3.56,3.07,"198,553,200",3.31,"15,674,600"
3.31,"Jul 23, 2018",3.59,3.16,"190,772,992",3.18,"14,801,000"
3.21,"Jul 22, 2018",3.39,3.13,"188,916,000",3.15,"11,396,900"
3.15,"Jul 21, 2018",3.28,3.07,"186,121,200",3.10,"11,547,200"
3.10,"Jul 20, 2018",3.24,3.10,"191,533,792",3.19,"22,634,500"
3.19,"Jul 19, 2018",3.58,2.94,"193,756,800",3.23,"11,776,200"
3.20,"Jul 18, 2018",3.44,2.87,"184,114,192",3.07,"11,710,900"
3.07,"Jul 17, 2018",3.19,2.84,"171,345,600",2.86,"19,998,000"
2.86,"Jul 16, 2018",2.89,2.57,"156,054,592",2.60,"9,719,590"
2.61,"Jul 15, 2018",2.90,2.44,"153,744,000",2.56,"10,616,000"
2.56,"Jul 14, 2018",2.60,2.44,"153,911,408",2.57,"8,751,780"
2.55,"Jul 13, 2018",2.55,2.41,"146,100,000",2.43,"10,128,000"
2.44,"Jul 12, 2018",2.55,2.43,"152,583,008",2.54,"9,531,480"
2.53,"Jul 11, 2018",2.61,2.31,"138,784,208",2.31,"11,019,900"
2.31,"Jul 10, 2018",3.12,2.31,"163,968,608",2.73,"886,179"
2.72,"Jul 09, 2018",2.74,2.46,"159,537,008",2.66,"8,547,470"
2.66,"Jul 08, 2018",3.14,2.61,"158,152,800",2.64,"9,327,310"
2.64,"Jul 07, 2018",3.06,2.57,"171,251,408",2.85,"8,472,540"
2.85,"Jul 06, 2018",2.99,2.83,"170,328,592",2.84,"10,316,900"
2.83,"Jul 05, 2018",3.01,2.83,"170,857,808",2.85,"8,682,030"
2.85,"Jul 04, 2018",3.05,2.63,"170,175,008",2.84,"9,614,410"
2.84,"Jul 03, 2018",3.00,2.60,"165,212,400",2.75,"9,749,630"
2.74,"Jul 02, 2018",2.77,2.71,"163,488,000",2.72,"9,191,210"
2.73,"Jul 01, 2018",2.75,2.51,"151,636,208",2.53,"20,136,300"
2.53,"Jun 30, 2018",2.71,2.45,"146,844,000",2.45,"296,149"
2.45,"Jun 29, 2018",2.48,2.41,"147,063,008",2.45,"13,604,300"
2.45,"Jun 28, 2018",2.54,2.44,"147,746,688",2.46,"16,019,500"
2.46,"Jun 27, 2018",2.56,2.43,"147,432,624",2.46,"4,069,800"
2.46,"Jun 26, 2018",2.60,2.46,"150,851,040",2.51,"14,468,600"
2.51,"Jun 25, 2018",2.60,2.47,"152,072,432",2.53,"14,029,800"
2.53,"Jun 24, 2018",2.83,2.50,"163,438,576",2.72,"15,269,400"
2.73,"Jun 23, 2018",2.88,2.72,"171,144,032",2.85,"14,609,300"
2.85,"Jun 22, 2018",2.97,2.78,"176,574,640",2.94,"28,428,500"
2.94,"Jun 21, 2018",3.13,2.91,"185,908,736",3.10,"21,027,400"
3.11,"Jun 20, 2018",3.20,3.08,"190,703,168",3.18,"22,123,100"
3.20,"Jun 19, 2018",3.26,3.14,"192,787,120",3.21,"21,602,600"
3.21,"Jun 18, 2018",3.32,3.14,"199,258,544",3.32,"21,072,900"
3.30,"Jun 17, 2018",3.36,3.26,"196,668,896",3.28,"21,346,900"
3.28,"Jun 16, 2018",3.36,3.23,"195,781,696",3.26,"20,089,600"
3.27,"Jun 15, 2018",3.44,3.23,"201,965,952",3.37,"21,191,000"
3.40,"Jun 14, 2018",3.47,3.18,"206,322,704",3.44,"18,069,500"
3.43,"Jun 13, 2018",3.66,3.35,"216,542,192",3.61,"21,080,900"
3.60,"Jun 12, 2018",3.84,3.51,"213,864,608",3.56,"18,257,300"
3.56,"Jun 11, 2018",3.64,3.41,"216,143,264",3.60,"16,772,900"
3.59,"Jun 10, 2018",3.96,3.50,"237,316,880",3.96,"19,663,400"
3.95,"Jun 09, 2018",4.15,3.95,"240,840,848",4.01,"22,967,800"
4.11,"Jun 08, 2018",4.44,3.89,"238,369,008",3.97,"15,719,900"
3.99,"Jun 07, 2018",4.03,3.89,"236,567,552",3.94,"20,115,700"
3.93,"Jun 06, 2018",4.04,3.85,"234,947,440",3.92,"20,945,100"
3.91,"Jun 05, 2018",3.98,3.59,"216,466,560",3.61,"33,959,900"
3.61,"Jun 04, 2018",3.70,3.55,"218,563,696",3.64,"25,684,000"
3.63,"Jun 03, 2018",3.65,3.44,"208,017,584",3.47,"23,306,500"
3.47,"Jun 02, 2018",3.49,3.38,"206,173,904",3.44,"22,044,600"
3.44,"Jun 01, 2018",3.49,3.26,"195,409,712",3.26,"17,418,200"
3.26,"May 31, 2018",3.43,3.21,"206,027,648",3.43,"20,052,300"
3.42,"May 30, 2018",3.64,3.37,"203,785,264",3.40,"19,684,000"
3.39,"May 29, 2018",3.45,2.86,"171,872,176",2.86,"21,715,600"
2.86,"May 28, 2018",3.08,2.64,"169,608,208",2.83,"11,902,700"
2.82,"May 27, 2018",3.25,2.81,"172,117,632",2.87,"15,912,300"
2.88,"May 26, 2018",3.00,2.84,"171,802,848",2.86,"8,165,080"
2.88,"May 25, 2018",3.23,2.82,"188,232,688",3.14,"9,467,420"
3.13,"May 24, 2018",3.13,2.98,"179,372,416",2.99,"11,704,100"
2.98,"May 23, 2018",3.37,2.93,"201,442,128",3.36,"8,489,970"
3.37,"May 22, 2018",3.49,3.33,"209,563,408",3.49,"13,983,300"
3.49,"May 21, 2018",3.59,3.44,"212,785,760",3.55,"16,320,200"
3.53,"May 20, 2018",3.77,3.48,"210,029,520",3.50,"16,259,100"
3.51,"May 19, 2018",3.81,3.47,"217,471,024",3.62,"15,957,500"
3.61,"May 18, 2018",3.64,3.48,"212,931,504",3.55,"13,844,800"
3.57,"May 17, 2018",3.70,3.54,"215,490,464",3.59,"14,058,400"
3.58,"May 16, 2018",3.66,3.47,"218,900,144",3.65,"14,341,000"
3.65,"May 15, 2018",3.81,3.60,"225,186,688",3.75,"12,471,500"
3.77,"May 14, 2018",3.85,3.63,"227,110,048",3.79,"13,576,700"
3.83,"May 13, 2018",3.88,3.68,"226,517,856",3.78,"13,354,400"
3.76,"May 12, 2018",4.21,3.42,"216,762,336",3.61,"15,350,500"
3.61,"May 11, 2018",4.10,3.56,"243,155,312",4.05,"13,467,600"
4.09,"May 10, 2018",4.44,4.05,"248,071,520",4.13,"17,997,400"
4.16,"May 09, 2018",4.17,3.73,"236,482,464",3.94,"15,674,500"
3.94,"May 08, 2018",4.04,3.76,"235,853,424",3.93,"13,495,200"
3.90,"May 07, 2018",4.11,3.81,"246,328,416",4.11,"14,429,600"
4.10,"May 06, 2018",4.48,3.96,"259,859,072",4.33,"15,501,700"
