date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.051058,0.052981,0.050607,0.051733,"3,255,373","50,670,281"
"Oct 11, 2019",0.052441,0.053139,0.050593,0.051057,"2,995,287","50,007,322"
"Oct 10, 2019",0.053195,0.053347,0.050698,0.052439,"4,143,101","51,361,658"
"Oct 09, 2019",0.053027,0.053879,0.050075,0.053226,"3,199,689","52,131,988"
"Oct 08, 2019",0.050074,0.053255,0.050074,0.053014,"4,363,513","51,924,775"
"Oct 07, 2019",0.048552,0.050702,0.047991,0.050045,"3,177,431","49,016,762"
"Oct 06, 2019",0.048630,0.049882,0.047936,0.048634,"2,707,856","47,634,944"
"Oct 05, 2019",0.046605,0.050069,0.046466,0.048669,"3,421,123","47,668,945"
"Oct 04, 2019",0.045938,0.049043,0.045136,0.046641,"3,723,475","45,682,516"
"Oct 03, 2019",0.046203,0.046923,0.044804,0.045912,"2,115,621","44,968,778"
"Oct 02, 2019",0.046186,0.046545,0.045031,0.046164,"2,863,726","45,215,530"
"Oct 01, 2019",0.046952,0.047574,0.045865,0.046289,"2,215,150","45,337,887"
"Sep 30, 2019",0.046080,0.047184,0.044391,0.046996,"3,086,292","45,325,525"
"Sep 29, 2019",0.047855,0.048035,0.044927,0.046151,"2,669,957","44,509,910"
"Sep 28, 2019",0.047524,0.048348,0.046915,0.047713,"2,112,457","46,016,402"
"Sep 27, 2019",0.045313,0.047617,0.044650,0.047437,"3,619,272","45,750,782"
"Sep 26, 2019",0.046887,0.047503,0.042671,0.044948,"2,571,994","43,350,444"
"Sep 25, 2019",0.046602,0.047796,0.043413,0.046951,"3,894,344","45,282,189"
"Sep 24, 2019",0.057104,0.058246,0.046597,0.046694,"3,577,594","45,034,473"
"Sep 23, 2019",0.060571,0.060916,0.056875,0.057341,"2,671,543","55,302,522"
"Sep 22, 2019",0.063063,0.063257,0.059920,0.060608,"2,883,865","58,453,458"
"Sep 21, 2019",0.060696,0.063375,0.060406,0.063088,"4,288,389","60,845,611"
"Sep 20, 2019",0.061869,0.062045,0.059865,0.060660,"3,119,623","58,503,808"
"Sep 19, 2019",0.063190,0.063392,0.058224,0.061889,"2,724,845","59,688,901"
"Sep 18, 2019",0.060605,0.063386,0.060456,0.063075,"2,883,574","60,832,952"
"Sep 17, 2019",0.060893,0.061543,0.058729,0.060603,"2,265,795","58,448,709"
"Sep 16, 2019",0.059993,0.061265,0.059647,0.061044,"1,688,141","58,873,701"
"Sep 15, 2019",0.060309,0.060982,0.059352,0.060172,"1,851,110","58,033,158"
"Sep 14, 2019",0.060369,0.060806,0.058860,0.060180,"1,861,058","58,040,772"
"Sep 13, 2019",0.058340,0.061973,0.058340,0.060436,"3,620,548","58,287,602"
"Sep 12, 2019",0.057055,0.060957,0.056434,0.058608,"2,972,343","56,524,287"
"Sep 11, 2019",0.059747,0.060332,0.056531,0.056996,"2,229,428","54,969,912"
"Sep 10, 2019",0.060499,0.061500,0.059568,0.059608,"2,315,036","57,488,496"
"Sep 09, 2019",0.057833,0.060986,0.057833,0.060504,"2,403,118","58,353,550"
"Sep 08, 2019",0.058838,0.059587,0.057398,0.057735,"1,656,439","55,682,694"
"Sep 07, 2019",0.057421,0.059171,0.056287,0.058905,"2,272,315","56,810,729"
"Sep 06, 2019",0.057905,0.059493,0.056649,0.057394,"1,557,514","55,354,056"
"Sep 05, 2019",0.060207,0.060207,0.057288,0.057925,"1,896,753","55,865,657"
"Sep 04, 2019",0.058210,0.060879,0.058156,0.060141,"2,930,210","58,003,238"
"Sep 03, 2019",0.058877,0.059302,0.056890,0.058141,"2,445,487","56,073,855"
"Sep 02, 2019",0.059473,0.059773,0.056477,0.058691,"1,939,437","56,604,446"
"Sep 01, 2019",0.060759,0.061545,0.057961,0.059520,"1,638,872","57,404,087"
"Aug 31, 2019",0.061958,0.062607,0.059534,0.060733,"2,057,711","58,574,421"
"Aug 30, 2019",0.064767,0.065078,0.059687,0.062031,"3,691,130","59,826,278"
"Aug 29, 2019",0.058298,0.071765,0.058177,0.064657,"19,124,834","62,358,665"
"Aug 28, 2019",0.058546,0.062888,0.057539,0.058274,"3,635,546","56,201,903"
"Aug 27, 2019",0.061830,0.061830,0.057546,0.058398,"1,382,639","56,322,411"
"Aug 26, 2019",0.056157,0.069053,0.055642,0.061610,"6,857,491","59,419,847"
"Aug 25, 2019",0.058043,0.058807,0.055943,0.056098,"1,140,236","54,103,745"
"Aug 24, 2019",0.058188,0.060717,0.057066,0.058172,"1,833,056","56,104,314"
"Aug 23, 2019",0.052649,0.061151,0.052321,0.058187,"5,270,781","56,118,058"
"Aug 22, 2019",0.050861,0.052850,0.050090,0.052649,"1,350,843","50,777,564"
"Aug 21, 2019",0.051212,0.051490,0.048735,0.050782,"852,798","48,977,114"
"Aug 20, 2019",0.052860,0.053213,0.050822,0.051204,"789,257","49,383,560"
"Aug 19, 2019",0.051259,0.058145,0.051249,0.052856,"2,267,343","50,977,232"
"Aug 18, 2019",0.050490,0.054265,0.049080,0.051268,"1,378,782","49,445,111"
"Aug 17, 2019",0.049247,0.054446,0.049230,0.050494,"1,906,363","48,699,258"
"Aug 16, 2019",0.050816,0.050981,0.048283,0.049245,"760,412","47,494,459"
"Aug 15, 2019",0.051095,0.051354,0.047952,0.050826,"942,627","49,019,036"
"Aug 14, 2019",0.056128,0.056474,0.051028,0.051129,"951,793","49,311,673"
"Aug 13, 2019",0.057346,0.057723,0.054935,0.056129,"831,734","54,133,967"
"Aug 12, 2019",0.056042,0.057408,0.055503,0.056981,"645,624","54,955,744"
"Aug 11, 2019",0.055471,0.057486,0.055098,0.056091,"793,685","54,096,710"
"Aug 10, 2019",0.055609,0.056141,0.053439,0.055588,"883,295","53,611,507"
"Aug 09, 2019",0.057583,0.061080,0.054002,0.055609,"2,097,491","53,632,301"
"Aug 08, 2019",0.056006,0.058845,0.055176,0.057404,"807,838","55,362,930"
"Aug 07, 2019",0.055310,0.058439,0.054625,0.055955,"1,093,201","53,965,462"
"Aug 06, 2019",0.059210,0.059612,0.054422,0.055251,"1,187,056","53,286,542"
"Aug 05, 2019",0.059984,0.066888,0.058417,0.059220,"3,306,839","57,114,554"
"Aug 04, 2019",0.060499,0.061919,0.058479,0.059893,"834,980","57,763,438"
"Aug 03, 2019",0.061425,0.062292,0.059388,0.060625,"1,038,246","58,469,579"
"Aug 02, 2019",0.063194,0.064231,0.060645,0.061647,"1,102,876","59,455,059"
"Aug 01, 2019",0.067567,0.068047,0.061531,0.062836,"1,426,583","60,602,451"
"Jul 31, 2019",0.068866,0.069187,0.064566,0.067673,"2,078,758","65,267,244"
"Jul 30, 2019",0.060955,0.073681,0.059580,0.069010,"4,854,013","66,556,678"
"Jul 29, 2019",0.062541,0.063656,0.059275,0.061100,"975,226","58,927,855"
"Jul 28, 2019",0.062320,0.063543,0.060189,0.062584,"772,486","60,359,429"
"Jul 27, 2019",0.063539,0.064872,0.059085,0.062412,"853,249","60,193,204"
"Jul 26, 2019",0.063724,0.064729,0.061901,0.063400,"852,012","61,145,784"
"Jul 25, 2019",0.062246,0.065482,0.062040,0.063732,"1,653,881","61,466,516"
"Jul 24, 2019",0.061691,0.062489,0.058964,0.062106,"1,204,983","59,898,033"
"Jul 23, 2019",0.065366,0.067153,0.061080,0.061422,"1,051,552","59,238,723"
"Jul 22, 2019",0.067509,0.067976,0.063144,0.065481,"1,349,882","63,152,928"
"Jul 21, 2019",0.066394,0.072230,0.065504,0.067528,"2,285,581","65,127,135"
"Jul 20, 2019",0.063050,0.070178,0.062391,0.066440,"2,230,825","64,077,810"
"Jul 19, 2019",0.062125,0.063802,0.059993,0.063160,"900,107","60,914,996"
"Jul 18, 2019",0.058470,0.062437,0.056812,0.062125,"932,626","59,916,766"
"Jul 17, 2019",0.055642,0.060996,0.053988,0.058468,"852,581","56,389,594"
"Jul 16, 2019",0.063008,0.064655,0.055782,0.055782,"1,035,955","53,798,931"
"Jul 15, 2019",0.061663,0.064163,0.057549,0.063061,"990,564","60,818,978"
"Jul 14, 2019",0.072539,0.073823,0.061405,0.061647,"1,051,207","59,455,629"
"Jul 13, 2019",0.075428,0.077163,0.072123,0.072521,"791,638","69,943,207"
"Jul 12, 2019",0.072214,0.076757,0.071121,0.075471,"791,709","72,788,126"
"Jul 11, 2019",0.077076,0.077174,0.069735,0.072235,"2,299,682","69,667,257"
"Jul 10, 2019",0.090765,0.091514,0.076507,0.076956,"2,163,804","74,220,264"
"Jul 09, 2019",0.093651,0.094774,0.090102,0.090741,"1,058,723","87,515,081"
"Jul 08, 2019",0.093816,0.095350,0.092535,0.093661,"1,144,448","90,331,595"
"Jul 07, 2019",0.093739,0.095382,0.092748,0.093793,"724,578","90,458,913"
"Jul 06, 2019",0.091200,0.097014,0.091130,0.093870,"1,574,107","90,533,176"
"Jul 05, 2019",0.092401,0.093390,0.090723,0.091156,"1,031,174","87,914,965"
"Jul 04, 2019",0.096089,0.097106,0.092232,0.092461,"1,204,086","89,173,735"
"Jul 03, 2019",0.093016,0.096494,0.090143,0.096091,"2,468,892","92,675,011"
"Jul 02, 2019",0.093719,0.094257,0.086425,0.092985,"1,447,020","89,679,470"
"Jul 01, 2019",0.094320,0.097042,0.089483,0.093742,"1,680,347","90,409,633"
"Jun 30, 2019",0.100208,0.101144,0.092223,0.094205,"1,832,041","90,855,718"
"Jun 29, 2019",0.097795,0.102425,0.093720,0.100055,"5,842,688","96,498,288"
"Jun 28, 2019",0.087795,0.097841,0.085223,0.097722,"2,051,629","94,248,002"
"Jun 27, 2019",0.099210,0.100371,0.083180,0.087738,"3,072,833","84,618,580"
"Jun 26, 2019",0.096448,0.105457,0.096448,0.099273,"4,556,891","95,744,030"
"Jun 25, 2019",0.096817,0.099083,0.094455,0.096394,"1,948,468","92,967,545"
"Jun 24, 2019",0.098008,0.098976,0.096175,0.096890,"1,315,375","93,445,287"
"Jun 23, 2019",0.099267,0.101549,0.097349,0.097987,"1,794,171","94,422,714"
"Jun 22, 2019",0.095986,0.100847,0.094817,0.099273,"2,718,845","95,661,414"
"Jun 21, 2019",0.094565,0.099443,0.091705,0.095949,"2,344,752","92,458,854"
"Jun 20, 2019",0.096535,0.096584,0.092186,0.094380,"2,001,540","90,946,514"
"Jun 19, 2019",0.094836,0.098693,0.094635,0.096413,"1,511,246","92,906,166"
"Jun 18, 2019",0.098853,0.101293,0.093976,0.094871,"1,653,910","91,419,893"
"Jun 17, 2019",0.100011,0.100884,0.097743,0.098933,"1,449,964","95,334,432"
"Jun 16, 2019",0.099959,0.102652,0.098856,0.100063,"2,458,904","96,422,554"
"Jun 15, 2019",0.100829,0.103204,0.099018,0.099983,"3,144,080","96,345,534"
"Jun 14, 2019",0.103515,0.104184,0.097521,0.100893,"3,995,795","97,222,921"
"Jun 13, 2019",0.101115,0.111458,0.101115,0.103508,"9,756,577","99,742,577"
"Jun 12, 2019",0.103509,0.103881,0.099545,0.101034,"3,466,374","97,358,573"
"Jun 11, 2019",0.095686,0.106003,0.095681,0.103459,"7,706,934","99,695,312"
"Jun 10, 2019",0.088776,0.095780,0.088455,0.095473,"2,851,214","91,999,541"
"Jun 09, 2019",0.097968,0.098341,0.087711,0.088834,"3,071,414","85,602,042"
"Jun 08, 2019",0.091432,0.107052,0.091432,0.097935,"11,588,438","94,372,489"
"Jun 07, 2019",0.086933,0.094142,0.086065,0.091422,"3,391,920","88,096,592"
"Jun 06, 2019",0.087251,0.088427,0.084113,0.087139,"1,510,134","83,969,047"
"Jun 05, 2019",0.084259,0.087581,0.084259,0.087192,"1,685,627","84,020,407"
"Jun 04, 2019",0.091045,0.091213,0.083093,0.084236,"2,579,398","81,171,960"
"Jun 03, 2019",0.097923,0.099647,0.090921,0.091030,"3,461,325","87,718,520"
"Jun 02, 2019",0.094261,0.098351,0.094181,0.097997,"2,098,349","94,432,145"
"Jun 01, 2019",0.097817,0.098189,0.093924,0.094211,"2,089,335","90,784,247"
"May 31, 2019",0.093856,0.098321,0.091017,0.097745,"3,046,371","94,189,646"
"May 30, 2019",0.104813,0.106993,0.093197,0.093863,"4,637,575","90,448,007"
"May 29, 2019",0.101796,0.107588,0.099402,0.104822,"4,313,146","101,009,175"
"May 28, 2019",0.100675,0.103300,0.098764,0.101747,"2,614,893","98,045,817"
"May 27, 2019",0.097923,0.102035,0.097461,0.100750,"2,999,229","97,084,453"
"May 26, 2019",0.096178,0.100411,0.093452,0.097874,"4,858,853","94,313,568"
"May 25, 2019",0.095978,0.100639,0.095393,0.096213,"3,259,314","92,712,580"
"May 24, 2019",0.089498,0.107468,0.088887,0.095978,"11,015,495","92,486,410"
"May 23, 2019",0.088936,0.089522,0.082846,0.089370,"2,434,918","86,119,059"
"May 22, 2019",0.093121,0.098521,0.088874,0.089028,"3,400,935","85,789,551"
"May 21, 2019",0.088831,0.097699,0.087393,0.093160,"4,101,919","89,770,774"
"May 20, 2019",0.092108,0.092108,0.085602,0.088872,"2,001,291","85,639,458"
"May 19, 2019",0.084825,0.092820,0.083920,0.092045,"2,553,363","88,696,227"
"May 18, 2019",0.085635,0.090805,0.084341,0.084837,"2,560,594","81,751,054"
"May 17, 2019",0.093187,0.094528,0.079707,0.085645,"3,567,513","82,528,927"
"May 16, 2019",0.088273,0.118075,0.088151,0.093166,"12,029,655","89,776,609"
"May 15, 2019",0.079068,0.088879,0.078988,0.088416,"2,862,259","85,199,989"
"May 14, 2019",0.071554,0.079174,0.071490,0.079159,"2,170,306","76,279,367"
"May 13, 2019",0.070743,0.074705,0.070236,0.071525,"1,972,548","68,922,787"
"May 12, 2019",0.075315,0.075925,0.069691,0.070743,"1,462,877","68,169,345"
"May 11, 2019",0.069365,0.076757,0.069365,0.075302,"1,580,745","72,563,113"
"May 10, 2019",0.067742,0.071468,0.065322,0.069361,"2,127,354","66,837,340"
"May 09, 2019",0.071857,0.072638,0.067099,0.067876,"1,399,197","65,406,716"
"May 08, 2019",0.072754,0.072754,0.070991,0.071955,"1,220,790","69,337,315"
"May 07, 2019",0.074433,0.075499,0.072207,0.072785,"1,756,200","70,137,145"
"May 06, 2019",0.072506,0.075149,0.070476,0.074535,"1,662,349","71,823,734"
"May 05, 2019",0.073942,0.074484,0.071490,0.072532,"1,136,780","69,893,514"
"May 04, 2019",0.075836,0.076814,0.072713,0.073936,"1,262,376","71,246,672"
"May 03, 2019",0.075464,0.077865,0.075049,0.075836,"1,520,349","73,077,635"
"May 02, 2019",0.075512,0.075905,0.074488,0.075371,"1,202,802","72,629,106"
"May 01, 2019",0.075878,0.077335,0.074137,0.075427,"1,296,751","72,683,327"
"Apr 30, 2019",0.071356,0.076299,0.071356,0.075820,"1,227,518","73,062,061"
"Apr 29, 2019",0.074734,0.075527,0.070667,0.071454,"1,444,069","68,854,822"
"Apr 28, 2019",0.074790,0.076293,0.074057,0.074865,"1,211,048","72,141,404"
"Apr 27, 2019",0.074245,0.075726,0.073160,0.074854,"1,122,993","72,130,694"
"Apr 26, 2019",0.073853,0.074462,0.071544,0.074195,"1,757,108","71,496,071"
"Apr 25, 2019",0.081628,0.082287,0.073628,0.073686,"1,636,955","71,005,622"
"Apr 24, 2019",0.089744,0.089744,0.079885,0.081579,"2,324,291","78,611,463"
"Apr 23, 2019",0.089528,0.093528,0.088920,0.089588,"3,037,341","86,328,745"
"Apr 22, 2019",0.093244,0.094456,0.088464,0.089541,"2,617,004","86,283,419"
"Apr 21, 2019",0.093356,0.098410,0.087258,0.093277,"4,467,313","89,884,221"
"Apr 20, 2019",0.088167,0.094530,0.087967,0.093389,"2,526,204","89,991,543"
"Apr 19, 2019",0.089427,0.090358,0.086971,0.088145,"2,061,285","84,938,587"
"Apr 18, 2019",0.088545,0.091532,0.088384,0.089476,"2,095,822","86,221,145"
"Apr 17, 2019",0.088641,0.089573,0.086533,0.088494,"1,596,837","85,274,990"
