date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.788429,0.798904,0.719940,0.786480,"570,281","226,816,058"
"Oct 11, 2019",0.827358,0.838912,0.775037,0.788686,"403,291","227,452,257"
"Oct 10, 2019",0.820691,0.827171,0.798491,0.826783,"287,365","238,439,114"
"Oct 09, 2019",0.794782,0.824563,0.785012,0.820531,"433,261","236,636,000"
"Oct 08, 2019",0.801156,0.811535,0.752016,0.794782,"420,253","229,210,172"
"Oct 07, 2019",0.778008,0.803346,0.759300,0.801064,"358,583","231,021,925"
"Oct 06, 2019",0.783826,0.791023,0.724253,0.779007,"411,108","224,660,847"
"Oct 05, 2019",0.806734,0.811653,0.732850,0.783747,"441,149","226,027,857"
"Oct 04, 2019",0.809574,0.809937,0.791272,0.806734,"418,502","232,657,175"
"Oct 03, 2019",0.814136,0.826945,0.756398,0.809742,"393,204","233,524,712"
"Oct 02, 2019",0.820780,0.823293,0.725505,0.814341,"382,679","234,850,816"
"Oct 01, 2019",0.771247,0.839800,0.765670,0.820780,"314,979","236,707,933"
"Sep 30, 2019",0.729720,0.772517,0.710043,0.771733,"345,966","222,562,953"
"Sep 29, 2019",0.743974,0.744568,0.716225,0.729720,"401,010","210,446,874"
"Sep 28, 2019",0.750642,0.752090,0.729137,0.743514,"345,941","214,424,937"
"Sep 27, 2019",0.733244,0.755502,0.716802,0.750592,"310,315","216,466,219"
"Sep 26, 2019",0.774934,0.775452,0.707977,0.733293,"297,695","211,477,177"
"Sep 25, 2019",0.780970,0.795870,0.748131,0.774526,"270,333","223,368,556"
"Sep 24, 2019",0.880215,0.891427,0.749601,0.780756,"325,883","225,165,181"
"Sep 23, 2019",0.905298,0.905298,0.872431,0.880815,"401,958","254,021,499"
"Sep 22, 2019",0.906698,0.909703,0.871058,0.905016,"524,442","261,001,041"
"Sep 21, 2019",0.920476,0.922104,0.898941,0.906737,"561,450","261,497,348"
"Sep 20, 2019",0.931853,0.932955,0.909829,0.920644,"490,691","265,508,055"
"Sep 19, 2019",0.926645,0.936626,0.872603,0.930701,"447,704","268,408,337"
"Sep 18, 2019",0.925125,0.932485,0.918700,0.928293,"444,238","267,714,107"
"Sep 17, 2019",0.912826,0.930048,0.907708,0.926787,"414,339","267,279,534"
"Sep 16, 2019",0.934638,0.941953,0.891380,0.913485,"378,721","263,443,334"
"Sep 15, 2019",0.942330,0.948197,0.917234,0.934660,"473,497","269,549,767"
"Sep 14, 2019",0.939184,0.948381,0.926509,0.944976,"487,464","272,524,683"
"Sep 13, 2019",0.941627,0.948170,0.905235,0.939663,"481,422","270,992,432"
"Sep 12, 2019",0.918794,0.947824,0.918420,0.941548,"835,242","271,536,110"
"Sep 11, 2019",0.926780,0.938773,0.895450,0.918794,"666,349","264,974,042"
"Sep 10, 2019",0.952655,0.966180,0.901043,0.926780,"738,424","267,277,086"
"Sep 09, 2019",0.938627,0.953527,0.913621,0.952771,"555,312","274,772,845"
"Sep 08, 2019",0.939555,0.951174,0.914677,0.938627,"563,785","270,693,647"
"Sep 07, 2019",0.906988,0.942566,0.902852,0.940251,"495,308","271,162,173"
"Sep 06, 2019",0.939602,0.957627,0.885741,0.906458,"477,184","261,416,498"
"Sep 05, 2019",0.926454,0.946854,0.918017,0.939602,"561,126","270,975,115"
"Sep 04, 2019",0.955124,0.961238,0.912745,0.926454,"612,141","267,183,105"
"Sep 03, 2019",0.913077,0.956112,0.911406,0.955181,"612,049","275,467,775"
