close,date,high,low,marketcap,open,volume
0.000975,"Oct 14, 2018",0.001028,0.000974,"132,163,450",0.000992,"4,161,190"
0.000995,"Oct 13, 2018",0.001033,0.000983,"136,575,321",0.001025,"3,455,190"
0.001024,"Oct 12, 2018",0.001036,0.000945,"130,409,936",0.000979,"4,422,220"
0.000981,"Oct 11, 2018",0.001153,0.000970,"153,347,799",0.001151,"7,943,810"
0.001153,"Oct 10, 2018",0.001186,0.001126,"157,623,120",0.001183,"4,269,610"
0.001186,"Oct 09, 2018",0.001223,0.001149,"162,427,147",0.001219,"6,491,420"
0.001220,"Oct 08, 2018",0.001241,0.001134,"153,270,739",0.001151,"5,703,240"
0.001148,"Oct 07, 2018",0.001170,0.001125,"152,212,768",0.001143,"3,917,590"
0.001163,"Oct 06, 2018",0.001238,0.001127,"164,089,613",0.001232,"6,052,760"
0.001190,"Oct 05, 2018",0.001300,0.001117,"155,084,565",0.001164,"14,807,200"
0.001122,"Oct 04, 2018",0.001218,0.000972,"134,013,363",0.001006,"14,112,800"
0.001009,"Oct 03, 2018",0.001014,0.000938,"133,585,631",0.001003,"4,888,890"
0.000986,"Oct 02, 2018",0.001037,0.000978,"132,351,161",0.000994,"4,176,170"
0.000997,"Oct 01, 2018",0.001051,0.000968,"132,398,027",0.000994,"3,731,380"
0.001010,"Sep 30, 2018",0.001104,0.000958,"138,595,654",0.001040,"3,591,880"
0.000996,"Sep 29, 2018",0.001056,0.000956,"135,783,332",0.001019,"5,931,010"
0.001027,"Sep 28, 2018",0.001077,0.000998,"141,355,372",0.001061,"2,973,200"
0.001058,"Sep 27, 2018",0.001073,0.000969,"130,753,505",0.000982,"4,159,760"
0.000982,"Sep 26, 2018",0.001015,0.000965,"134,414,313",0.001009,"3,920,420"
0.001007,"Sep 25, 2018",0.001041,0.000964,"136,214,879",0.001023,"3,585,020"
0.001045,"Sep 24, 2018",0.001114,0.001018,"144,789,760",0.001087,"4,386,270"
0.001112,"Sep 23, 2018",0.001158,0.001050,"152,086,175",0.001142,"4,988,480"
0.001109,"Sep 22, 2018",0.001164,0.001027,"146,594,529",0.001100,"6,085,070"
0.001129,"Sep 21, 2018",0.001189,0.001080,"149,181,036",0.001120,"9,442,720"
0.001121,"Sep 20, 2018",0.001152,0.001021,"139,551,270",0.001048,"8,176,610"
0.001048,"Sep 19, 2018",0.001103,0.000985,"143,098,356",0.001074,"3,942,940"
0.001074,"Sep 18, 2018",0.001120,0.000961,"133,086,018",0.000999,"9,066,020"
0.000964,"Sep 17, 2018",0.001145,0.000953,"146,736,196",0.001102,"9,245,660"
0.001102,"Sep 16, 2018",0.001146,0.001055,"152,340,386",0.001144,"6,207,190"
0.001139,"Sep 15, 2018",0.001157,0.001091,"147,929,089",0.001110,"5,612,010"
0.001112,"Sep 14, 2018",0.001233,0.001066,"159,725,926",0.001199,"9,488,270"
0.001230,"Sep 13, 2018",0.001285,0.001160,"154,530,068",0.001160,"8,109,930"
0.001195,"Sep 12, 2018",0.001196,0.001022,"144,978,076",0.001088,"10,018,800"
0.001130,"Sep 11, 2018",0.001193,0.001014,"158,864,414",0.001193,"14,925,800"
0.001191,"Sep 10, 2018",0.001312,0.001148,"166,778,428",0.001252,"8,379,800"
0.001254,"Sep 09, 2018",0.001363,0.001191,"180,463,220",0.001355,"17,618,200"
0.001355,"Sep 08, 2018",0.001538,0.001244,"181,918,356",0.001366,"29,492,300"
0.001364,"Sep 07, 2018",0.001415,0.001100,"153,865,247",0.001155,"30,871,500"
0.001155,"Sep 06, 2018",0.001157,0.000965,"142,377,069",0.001069,"14,159,800"
0.001028,"Sep 05, 2018",0.001317,0.001028,"168,669,639",0.001266,"24,707,800"
0.001260,"Sep 04, 2018",0.001508,0.001260,"185,936,613",0.001396,"27,656,300"
0.001440,"Sep 03, 2018",0.001592,0.001106,"154,182,948",0.001157,"49,747,700"
0.001115,"Sep 02, 2018",0.001204,0.000852,"114,667,467",0.000861,"19,917,600"
0.000883,"Sep 01, 2018",0.000887,0.000798,"107,612,375",0.000808,"5,579,140"
0.000809,"Aug 31, 2018",0.000819,0.000775,"106,618,136",0.000800,"3,883,470"
0.000774,"Aug 30, 2018",0.000835,0.000725,"110,318,831",0.000828,"6,294,330"
0.000827,"Aug 29, 2018",0.000909,0.000791,"114,705,671",0.000861,"8,242,810"
0.000901,"Aug 28, 2018",0.000904,0.000646,"88,556,629",0.000665,"14,794,300"
0.000662,"Aug 27, 2018",0.000664,0.000627,"85,230,078",0.000640,"2,705,080"
0.000639,"Aug 26, 2018",0.000651,0.000600,"82,740,459",0.000621,"3,410,110"
0.000624,"Aug 25, 2018",0.000629,0.000600,"82,239,109",0.000617,"2,964,760"
0.000618,"Aug 24, 2018",0.000618,0.000580,"80,166,281",0.000602,"2,538,860"
0.000602,"Aug 23, 2018",0.000604,0.000544,"73,005,997",0.000548,"1,810,990"
0.000548,"Aug 22, 2018",0.000627,0.000539,"79,349,998",0.000596,"1,884,220"
0.000578,"Aug 21, 2018",0.000611,0.000531,"74,619,635",0.000560,"2,903,400"
0.000564,"Aug 20, 2018",0.000613,0.000535,"79,435,758",0.000596,"1,981,470"
0.000606,"Aug 19, 2018",0.000619,0.000571,"77,332,278",0.000581,"1,001,350"
0.000581,"Aug 18, 2018",0.000646,0.000569,"85,307,844",0.000640,"2,447,220"
0.000637,"Aug 17, 2018",0.000640,0.000541,"74,268,017",0.000558,"3,295,810"
0.000557,"Aug 16, 2018",0.000602,0.000527,"74,618,092",0.000560,"3,505,630"
0.000560,"Aug 15, 2018",0.000624,0.000539,"78,679,213",0.000591,"2,835,370"
0.000563,"Aug 14, 2018",0.000601,0.000509,"80,023,155",0.000601,"4,848,700"
0.000603,"Aug 13, 2018",0.000683,0.000583,"87,864,056",0.000660,"4,149,050"
0.000658,"Aug 12, 2018",0.000677,0.000632,"84,970,742",0.000638,"2,584,280"
