close,date,high,low,marketcap,open,volume
13.30,"Oct 14, 2018",13.70,13.27,"66,104,941",13.42,"303,955"
13.39,"Oct 13, 2018",13.69,13.34,"66,530,620",13.52,"266,669"
13.52,"Oct 12, 2018",13.81,13.31,"66,042,364",13.44,"352,377"
13.55,"Oct 11, 2018",15.73,13.53,"76,992,771",15.70,"596,562"
15.73,"Oct 10, 2018",16.13,15.50,"77,455,721",15.81,"546,891"
15.87,"Oct 09, 2018",16.20,15.67,"78,726,304",16.10,"303,764"
16.09,"Oct 08, 2018",16.27,15.67,"78,555,224",16.08,"475,959"
16.08,"Oct 07, 2018",16.18,15.72,"78,811,175",16.16,"295,817"
16.16,"Oct 06, 2018",16.45,16.03,"79,450,485",16.32,"249,037"
16.31,"Oct 05, 2018",16.40,16.07,"79,208,218",16.29,"272,304"
16.27,"Oct 04, 2018",16.55,16.10,"78,264,756",16.12,"417,971"
16.10,"Oct 03, 2018",16.77,15.99,"81,286,710",16.77,"340,618"
16.75,"Oct 02, 2018",17.11,16.58,"82,352,112",17.01,"479,981"
17.12,"Oct 01, 2018",19.25,16.16,"78,137,593",16.17,"2,384,490"
16.22,"Sep 30, 2018",16.80,16.04,"81,093,546",16.80,"380,626"
16.84,"Sep 29, 2018",16.99,16.12,"80,611,614",16.73,"516,443"
16.63,"Sep 28, 2018",17.05,16.43,"79,267,584",16.47,"558,023"
16.47,"Sep 27, 2018",16.56,15.83,"77,051,883",16.04,"445,645"
16.02,"Sep 26, 2018",16.38,15.78,"76,919,906",16.03,"344,911"
15.98,"Sep 25, 2018",16.64,15.80,"78,480,023",16.38,"673,683"
16.43,"Sep 24, 2018",16.82,15.61,"80,059,904",16.74,"515,554"
16.78,"Sep 23, 2018",16.97,16.01,"76,987,569",16.12,"561,806"
16.09,"Sep 22, 2018",16.41,15.68,"78,033,175",16.36,"334,998"
16.33,"Sep 21, 2018",16.52,15.37,"73,893,653",15.52,"673,884"
15.54,"Sep 20, 2018",15.54,14.92,"72,304,450",15.21,"475,177"
15.14,"Sep 19, 2018",15.54,14.53,"71,248,613",15.01,"631,933"
15.00,"Sep 18, 2018",15.67,14.94,"73,599,534",15.53,"395,514"
15.53,"Sep 17, 2018",16.76,15.04,"74,016,586",15.64,"493,173"
15.62,"Sep 16, 2018",16.45,15.46,"75,711,770",16.02,"240,266"
15.99,"Sep 15, 2018",16.93,15.56,"74,696,291",15.83,"228,665"
15.74,"Sep 14, 2018",16.53,15.30,"76,024,251",16.13,"414,716"
16.10,"Sep 13, 2018",16.42,15.07,"70,880,565",15.07,"602,024"
15.03,"Sep 12, 2018",15.35,14.64,"69,507,384",14.80,"532,096"
14.83,"Sep 11, 2018",15.92,14.79,"72,753,408",15.51,"392,663"
15.49,"Sep 10, 2018",16.28,15.22,"75,897,557",16.21,"525,410"
16.21,"Sep 09, 2018",16.62,15.68,"74,128,345",15.85,"287,497"
15.92,"Sep 08, 2018",17.27,15.66,"78,025,652",16.71,"556,907"
16.82,"Sep 07, 2018",18.40,16.82,"82,305,194",17.65,"655,108"
17.70,"Sep 06, 2018",18.49,15.26,"75,601,058",16.24,"2,223,430"
16.27,"Sep 05, 2018",20.43,16.27,"92,867,067",19.98,"855,294"
19.96,"Sep 04, 2018",20.29,18.85,"88,005,713",18.97,"1,368,420"
18.96,"Sep 03, 2018",19.37,18.01,"85,786,257",18.52,"878,064"
18.46,"Sep 02, 2018",19.54,18.46,"89,571,583",19.36,"762,605"
19.34,"Sep 01, 2018",19.77,18.71,"86,660,933",18.76,"810,450"
18.86,"Aug 31, 2018",19.10,18.28,"85,954,248",18.64,"520,335"
18.62,"Aug 30, 2018",19.25,17.96,"87,353,149",18.97,"545,423"
18.98,"Aug 29, 2018",19.98,18.62,"91,682,814",19.94,"847,554"
20.00,"Aug 28, 2018",20.04,19.24,"91,224,172",19.87,"1,150,650"
19.84,"Aug 27, 2018",19.84,18.91,"88,613,378",19.33,"706,784"
19.25,"Aug 26, 2018",20.07,18.96,"91,824,901",20.07,"622,227"
19.99,"Aug 25, 2018",20.66,19.93,"93,770,175",20.52,"471,376"
20.48,"Aug 24, 2018",20.63,19.72,"91,076,913",19.97,"584,273"
19.90,"Aug 23, 2018",20.30,19.35,"88,253,464",19.38,"524,180"
19.34,"Aug 22, 2018",22.30,19.13,"95,569,173",21.02,"1,378,650"
21.02,"Aug 21, 2018",21.25,18.82,"86,373,202",19.02,"874,953"
19.09,"Aug 20, 2018",20.46,19.02,"91,660,686",20.22,"754,252"
20.20,"Aug 19, 2018",20.42,19.28,"88,336,605",19.52,"328,653"
19.59,"Aug 18, 2018",21.35,19.36,"96,009,498",21.25,"520,673"
21.19,"Aug 17, 2018",21.27,18.69,"84,617,983",18.76,"1,132,390"
18.76,"Aug 16, 2018",19.43,18.15,"82,342,698",18.28,"467,947"
18.33,"Aug 15, 2018",19.81,18.17,"81,948,922",18.22,"619,210"
18.62,"Aug 14, 2018",18.66,16.98,"83,796,810",18.66,"960,221"
18.63,"Aug 13, 2018",20.19,18.62,"88,739,619",19.79,"628,442"
19.73,"Aug 12, 2018",20.21,19.34,"88,854,799",19.85,"403,922"
19.92,"Aug 11, 2018",20.65,18.86,"88,838,736",19.88,"547,926"
19.98,"Aug 10, 2018",21.88,19.70,"96,942,338",21.73,"507,691"
21.69,"Aug 09, 2018",22.02,19.81,"88,244,745",19.81,"1,627,400"
19.78,"Aug 08, 2018",21.58,19.36,"95,969,829",21.58,"611,023"
21.51,"Aug 07, 2018",23.85,21.51,"102,152,627",23.01,"693,675"
23.10,"Aug 06, 2018",23.70,22.59,"100,229,507",22.61,"614,002"
22.55,"Aug 05, 2018",22.73,21.58,"97,000,786",21.92,"607,999"
21.91,"Aug 04, 2018",24.43,21.59,"107,037,043",24.22,"999,574"
24.20,"Aug 03, 2018",24.87,23.53,"109,640,171",24.85,"771,221"
25.04,"Aug 02, 2018",26.46,24.60,"115,387,679",26.20,"814,627"
26.15,"Aug 01, 2018",27.29,25.44,"119,476,377",27.17,"683,785"
27.22,"Jul 31, 2018",30.04,26.36,"123,763,062",28.19,"1,915,410"
28.20,"Jul 30, 2018",29.96,26.50,"130,381,338",29.75,"1,339,060"
29.84,"Jul 29, 2018",30.55,29.48,"133,147,736",30.43,"814,629"
30.37,"Jul 28, 2018",31.99,29.74,"136,418,224",31.23,"1,266,410"
31.17,"Jul 27, 2018",32.66,28.28,"126,032,568",28.90,"2,789,950"
28.89,"Jul 26, 2018",31.13,28.39,"128,216,072",29.44,"1,859,420"
29.50,"Jul 25, 2018",32.45,28.35,"135,414,288",31.15,"4,364,390"
31.77,"Jul 24, 2018",32.17,24.07,"111,448,504",25.68,"7,646,600"
25.58,"Jul 23, 2018",26.38,24.79,"108,985,304",25.15,"1,253,280"
25.19,"Jul 22, 2018",27.41,24.94,"117,593,040",27.18,"1,247,610"
27.17,"Jul 21, 2018",28.83,26.23,"120,333,704",27.86,"1,875,790"
27.84,"Jul 20, 2018",31.16,27.78,"126,345,872",29.30,"4,278,890"
29.18,"Jul 19, 2018",31.95,25.55,"115,720,352",26.88,"5,741,070"
26.95,"Jul 18, 2018",27.48,24.70,"111,852,872",26.03,"2,179,980"
26.00,"Jul 17, 2018",27.59,21.62,"94,906,024",22.12,"2,642,880"
22.13,"Jul 16, 2018",22.13,20.39,"89,752,288",20.95,"1,012,980"
20.93,"Jul 15, 2018",21.07,19.31,"83,338,432",19.49,"799,344"
19.53,"Jul 14, 2018",20.80,19.45,"87,922,624",20.59,"560,573"
20.64,"Jul 13, 2018",21.21,20.29,"87,473,800",20.52,"750,952"
20.63,"Jul 12, 2018",22.05,20.06,"92,948,240",21.85,"717,167"
22.07,"Jul 11, 2018",22.38,20.62,"88,601,304",20.86,"874,635"
20.94,"Jul 10, 2018",24.38,20.60,"97,651,920",23.03,"2,071,370"
23.00,"Jul 09, 2018",25.16,20.81,"93,918,736",22.19,"3,367,180"
22.13,"Jul 08, 2018",23.30,20.85,"88,758,232",21.00,"1,720,300"
20.97,"Jul 07, 2018",21.28,19.81,"84,827,960",20.11,"1,722,210"
20.17,"Jul 06, 2018",20.57,17.69,"76,618,512",18.19,"1,480,960"
18.14,"Jul 05, 2018",19.41,17.82,"78,531,744",18.68,"1,150,280"
18.65,"Jul 04, 2018",19.12,17.54,"75,439,992",17.97,"893,484"
17.88,"Jul 03, 2018",18.52,17.72,"75,539,728",18.03,"783,038"
18.08,"Jul 02, 2018",18.63,16.20,"74,009,832",17.69,"1,625,440"
17.72,"Jul 01, 2018",17.94,17.42,"73,942,272",17.71,"373,463"
17.68,"Jun 30, 2018",17.98,16.29,"67,948,872",16.30,"804,288"
16.32,"Jun 29, 2018",16.46,15.41,"65,959,040",15.85,"475,394"
15.85,"Jun 28, 2018",17.97,15.75,"70,206,376",16.90,"1,068,220"
16.96,"Jun 27, 2018",17.49,16.01,"67,074,892",16.17,"1,182,110"
16.21,"Jun 26, 2018",16.72,16.15,"69,217,336",16.72,"548,308"
16.71,"Jun 25, 2018",17.09,16.10,"68,132,000",16.48,"437,001"
16.52,"Jun 24, 2018",17.35,14.86,"71,484,304",17.32,"603,181"
17.36,"Jun 23, 2018",17.91,17.13,"72,739,104",17.66,"389,081"
17.66,"Jun 22, 2018",18.66,16.31,"76,599,064",18.63,"1,047,850"
18.64,"Jun 21, 2018",19.91,18.53,"81,173,080",19.78,"527,136"
19.83,"Jun 20, 2018",20.14,19.08,"81,109,632",19.79,"619,617"
19.79,"Jun 19, 2018",19.93,19.37,"80,393,232",19.65,"802,083"
19.62,"Jun 18, 2018",19.71,18.42,"78,284,264",19.17,"574,450"
19.24,"Jun 17, 2018",19.68,18.98,"78,267,184",19.20,"606,375"
19.27,"Jun 16, 2018",19.65,18.54,"77,542,184",19.06,"784,662"
19.08,"Jun 15, 2018",21.06,18.86,"79,055,584",19.46,"2,670,630"
19.48,"Jun 14, 2018",20.93,16.95,"70,224,040",17.32,"2,166,810"
