close,date,high,low,marketcap,open,volume
1.80,"Oct 14, 2018",1.88,1.80,"79,001,002",1.81,"796,552"
1.81,"Oct 13, 2018",1.83,1.78,"78,900,551",1.81,"634,998"
1.82,"Oct 12, 2018",1.84,1.69,"79,811,419",1.83,"1,596,670"
1.86,"Oct 11, 2018",2.29,1.83,"99,412,343",2.28,"702,200"
2.29,"Oct 10, 2018",2.30,2.20,"98,284,159",2.26,"651,536"
2.26,"Oct 09, 2018",2.30,2.23,"99,560,857",2.29,"428,079"
2.29,"Oct 08, 2018",2.32,2.25,"99,154,484",2.28,"371,827"
2.28,"Oct 07, 2018",2.31,2.22,"99,302,956",2.28,"688,263"
2.28,"Oct 06, 2018",2.37,2.26,"102,594,561",2.36,"640,510"
2.36,"Oct 05, 2018",2.38,2.32,"102,204,887",2.35,"431,232"
2.35,"Oct 04, 2018",2.43,2.28,"99,333,707",2.28,"916,002"
2.28,"Oct 03, 2018",2.41,2.27,"104,807,663",2.41,"1,761,050"
2.41,"Oct 02, 2018",2.60,2.22,"97,112,106",2.23,"2,550,910"
2.24,"Oct 01, 2018",2.30,2.17,"98,571,067",2.26,"383,300"
2.27,"Sep 30, 2018",2.29,2.23,"98,731,122",2.27,"271,541"
2.27,"Sep 29, 2018",2.28,2.19,"98,244,597",2.26,"307,287"
2.26,"Sep 28, 2018",2.32,2.23,"98,973,725",2.27,"575,338"
2.27,"Sep 27, 2018",2.30,2.21,"96,195,458",2.21,"8,350,760"
2.20,"Sep 26, 2018",3.48,2.14,"138,929,381",3.19,"7,176,980"
3.26,"Sep 25, 2018",3.35,2.08,"96,693,115",2.22,"5,403,990"
2.22,"Sep 24, 2018",2.46,2.17,"100,316,922",2.31,"1,956,020"
2.31,"Sep 23, 2018",2.53,2.24,"101,587,177",2.33,"2,274,010"
2.33,"Sep 22, 2018",2.58,2.27,"108,948,579",2.50,"2,807,140"
2.58,"Sep 21, 2018",2.62,2.19,"110,424,818",2.54,"3,670,290"
2.53,"Sep 20, 2018",2.54,1.98,"92,226,574",2.12,"2,727,720"
2.12,"Sep 19, 2018",2.14,1.95,"91,730,442",2.11,"1,220,780"
2.11,"Sep 18, 2018",2.15,1.97,"88,824,828",2.04,"1,616,270"
2.05,"Sep 17, 2018",2.23,1.97,"95,529,981",2.20,"3,280,170"
2.21,"Sep 16, 2018",2.34,2.14,"98,484,458",2.26,"3,825,920"
2.27,"Sep 15, 2018",2.36,2.17,"94,744,605",2.18,"7,513,130"
2.18,"Sep 14, 2018",2.33,2.15,"98,679,940",2.27,"7,261,390"
2.28,"Sep 13, 2018",2.33,2.11,"94,989,061",2.18,"9,258,090"
2.19,"Sep 12, 2018",2.27,2.04,"96,855,566",2.23,"10,065,500"
2.23,"Sep 11, 2018",2.51,2.15,"106,360,429",2.45,"10,125,100"
2.45,"Sep 10, 2018",2.52,2.39,"104,135,390",2.40,"9,833,350"
2.41,"Sep 09, 2018",2.56,2.32,"104,308,293",2.40,"10,043,600"
2.39,"Sep 08, 2018",2.66,2.33,"111,763,800",2.57,"10,514,600"
2.58,"Sep 07, 2018",2.70,2.54,"116,852,835",2.69,"11,646,300"
2.70,"Sep 06, 2018",2.70,2.51,"115,975,506",2.67,"16,793,300"
2.68,"Sep 05, 2018",3.28,2.68,"140,652,481",3.24,"16,142,700"
3.24,"Sep 04, 2018",3.38,3.20,"139,541,760",3.21,"17,845,100"
3.22,"Sep 03, 2018",3.36,3.20,"144,085,387",3.32,"14,321,600"
3.31,"Sep 02, 2018",3.46,3.25,"146,766,205",3.38,"16,248,900"
3.37,"Sep 01, 2018",3.42,3.11,"138,927,783",3.20,"16,489,000"
3.19,"Aug 31, 2018",3.24,2.98,"131,964,587",3.04,"14,522,700"
3.02,"Aug 30, 2018",3.13,2.95,"133,977,057",3.09,"14,993,300"
3.09,"Aug 29, 2018",3.23,3.00,"137,162,161",3.16,"13,935,800"
3.18,"Aug 28, 2018",3.18,2.90,"126,713,852",2.92,"15,293,500"
2.91,"Aug 27, 2018",2.91,2.75,"121,774,193",2.81,"15,244,900"
2.79,"Aug 26, 2018",2.86,2.72,"123,367,492",2.84,"12,959,300"
2.83,"Aug 25, 2018",2.87,2.75,"121,925,385",2.81,"12,730,600"
2.81,"Aug 24, 2018",2.84,2.71,"121,974,158",2.81,"13,295,900"
2.81,"Aug 23, 2018",2.91,2.71,"123,365,456",2.84,"13,677,300"
2.83,"Aug 22, 2018",3.21,2.77,"133,079,367",3.07,"16,590,300"
3.09,"Aug 21, 2018",3.26,2.86,"124,517,812",2.87,"17,906,500"
2.88,"Aug 20, 2018",3.27,2.86,"140,076,094",3.23,"16,570,300"
3.23,"Aug 19, 2018",3.28,3.00,"134,326,370",3.10,"39,621,400"
3.11,"Aug 18, 2018",3.48,2.93,"146,130,287",3.37,"39,116,200"
3.36,"Aug 17, 2018",3.36,2.77,"120,666,539",2.78,"40,303,600"
2.79,"Aug 16, 2018",2.89,2.71,"118,199,971",2.73,"18,843,400"
2.73,"Aug 15, 2018",2.90,2.69,"116,743,530",2.69,"22,204,400"
2.69,"Aug 14, 2018",2.99,2.47,"129,703,177",2.99,"26,954,400"
2.99,"Aug 13, 2018",3.50,2.96,"150,220,113",3.47,"48,206,600"
3.47,"Aug 12, 2018",3.54,3.37,"147,338,272",3.40,"33,181,600"
3.42,"Aug 11, 2018",3.65,3.27,"158,139,466",3.65,"48,787,700"
3.67,"Aug 10, 2018",4.12,3.57,"175,505,963",4.05,"51,390,900"
4.07,"Aug 09, 2018",4.13,3.74,"168,054,849",3.88,"59,171,500"
3.88,"Aug 08, 2018",4.77,3.61,"206,608,465",4.77,"43,962,500"
4.78,"Aug 07, 2018",5.38,4.78,"229,109,681",5.29,"60,528,600"
5.31,"Aug 06, 2018",5.54,5.09,"222,446,183",5.13,"97,967,300"
5.12,"Aug 05, 2018",5.24,4.77,"208,668,767",4.82,"60,789,600"
4.81,"Aug 04, 2018",5.13,4.72,"216,894,851",5.01,"54,556,600"
5.02,"Aug 03, 2018",5.13,4.68,"209,196,768",4.83,"58,179,400"
4.82,"Aug 02, 2018",5.01,4.72,"206,868,655",4.78,"53,605,300"
4.78,"Aug 01, 2018",4.90,4.66,"211,816,429",4.89,"48,762,100"
4.89,"Jul 31, 2018",5.18,4.80,"224,363,805",5.18,"32,620,800"
5.18,"Jul 30, 2018",5.38,4.99,"231,148,939",5.34,"27,820,500"
5.32,"Jul 29, 2018",5.38,5.17,"231,725,120",5.35,"35,455,100"
5.31,"Jul 28, 2018",5.44,5.22,"232,994,128",5.38,"30,923,600"
5.41,"Jul 27, 2018",5.46,5.08,"229,654,224",5.31,"84,351,800"
5.32,"Jul 26, 2018",5.78,5.25,"246,931,472",5.71,"40,790,600"
5.72,"Jul 25, 2018",5.93,5.61,"249,661,344",5.77,"57,551,800"
5.84,"Jul 24, 2018",5.86,5.56,"245,478,224",5.67,"58,704,000"
5.64,"Jul 23, 2018",5.88,5.63,"245,629,984",5.68,"54,235,500"
5.68,"Jul 22, 2018",5.94,5.47,"244,535,840",5.65,"54,858,900"
5.63,"Jul 21, 2018",5.70,5.31,"237,894,896",5.50,"61,218,900"
5.53,"Jul 20, 2018",5.84,5.37,"250,668,512",5.80,"57,091,000"
5.80,"Jul 19, 2018",6.10,5.62,"259,445,536",6.00,"65,286,100"
