close,date,high,low,marketcap,open,volume
0.616835,"Oct 14, 2018",0.638287,0.612331,"239,320,927",0.617712,"11,520,700"
0.618583,"Oct 13, 2018",0.620138,0.598992,"232,068,362",0.598992,"10,213,000"
0.600053,"Oct 12, 2018",0.621331,0.586310,"230,024,172",0.593716,"11,875,300"
0.601099,"Oct 11, 2018",0.726290,0.595645,"281,387,388",0.726290,"23,016,300"
0.727202,"Oct 10, 2018",0.727202,0.672203,"270,614,501",0.698484,"14,667,400"
0.699270,"Oct 09, 2018",0.705481,0.680638,"271,029,454",0.699555,"11,558,900"
0.698349,"Oct 08, 2018",0.703965,0.671903,"260,939,257",0.673511,"14,319,100"
0.674838,"Oct 07, 2018",0.675964,0.658412,"259,391,976",0.669517,"10,110,100"
0.667425,"Oct 06, 2018",0.687054,0.663169,"265,015,074",0.684031,"9,782,120"
0.683684,"Oct 05, 2018",0.684616,0.662270,"259,767,510",0.670487,"12,192,000"
0.670145,"Oct 04, 2018",0.686492,0.667686,"259,588,588",0.670025,"10,670,400"
0.666897,"Oct 03, 2018",0.689364,0.658329,"266,283,695",0.687306,"13,288,800"
0.692558,"Oct 02, 2018",0.707598,0.669681,"259,455,412",0.669681,"18,707,900"
0.667990,"Oct 01, 2018",0.686483,0.657195,"254,907,234",0.657942,"14,920,100"
0.656138,"Sep 30, 2018",0.661013,0.643421,"254,645,478",0.657266,"9,634,880"
0.657091,"Sep 29, 2018",0.660357,0.632378,"251,355,807",0.648775,"10,751,100"
0.649910,"Sep 28, 2018",0.689105,0.641933,"263,389,001",0.679834,"15,807,000"
0.677373,"Sep 27, 2018",0.684063,0.639424,"249,839,008",0.644860,"13,932,500"
0.645961,"Sep 26, 2018",0.667003,0.617034,"248,328,283",0.640961,"13,225,700"
0.640946,"Sep 25, 2018",0.656361,0.610674,"254,294,977",0.656361,"14,744,200"
0.659676,"Sep 24, 2018",0.725580,0.654060,"273,536,190",0.706025,"19,278,100"
0.704763,"Sep 23, 2018",0.710530,0.673224,"265,578,836",0.685486,"16,785,000"
0.681550,"Sep 22, 2018",0.726171,0.648860,"279,164,553",0.720552,"17,570,400"
0.714739,"Sep 21, 2018",0.721531,0.626183,"249,336,442",0.643563,"30,060,200"
0.642182,"Sep 20, 2018",0.652281,0.592071,"231,035,402",0.596326,"17,326,300"
0.595847,"Sep 19, 2018",0.610918,0.572045,"233,761,958",0.603364,"16,095,500"
0.603323,"Sep 18, 2018",0.612714,0.572880,"226,788,099",0.585363,"15,696,500"
0.586445,"Sep 17, 2018",0.653040,0.579239,"249,383,366",0.643684,"22,656,300"
0.639882,"Sep 16, 2018",0.647367,0.619686,"246,196,526",0.635458,"14,666,500"
0.639137,"Sep 15, 2018",0.669808,0.621134,"241,737,117",0.623948,"19,150,100"
0.625935,"Sep 14, 2018",0.655392,0.607623,"248,195,177",0.640617,"20,207,600"
0.636745,"Sep 13, 2018",0.660162,0.594880,"230,475,057",0.594880,"26,618,700"
0.592637,"Sep 12, 2018",0.597171,0.530302,"224,970,703",0.580672,"16,571,300"
0.580631,"Sep 11, 2018",0.630785,0.561278,"241,873,202",0.624300,"15,918,300"
0.618157,"Sep 10, 2018",0.645931,0.608251,"245,691,443",0.634155,"12,957,000"
0.627519,"Sep 09, 2018",0.680603,0.616336,"247,933,306",0.639941,"17,708,900"
0.637472,"Sep 08, 2018",0.717538,0.624823,"270,223,103",0.697474,"19,615,200"
0.691708,"Sep 07, 2018",0.774963,0.689969,"288,805,435",0.745436,"23,232,300"
0.739583,"Sep 06, 2018",0.771250,0.699112,"294,943,961",0.761281,"28,132,400"
0.766455,"Sep 05, 2018",0.976007,0.764333,"370,510,713",0.956326,"43,275,600"
0.954610,"Sep 04, 2018",0.985064,0.896450,"349,299,507",0.901578,"34,022,600"
0.900889,"Sep 03, 2018",0.933177,0.885830,"360,118,625",0.929503,"25,226,100"
0.924313,"Sep 02, 2018",0.968665,0.902295,"364,536,491",0.940906,"33,358,200"
0.943392,"Sep 01, 2018",0.984088,0.903725,"350,131,422",0.903725,"38,092,500"
0.904235,"Aug 31, 2018",0.923323,0.844667,"335,679,451",0.866423,"40,496,500"
0.865964,"Aug 30, 2018",0.886418,0.796860,"337,460,984",0.871021,"35,118,400"
0.875552,"Aug 29, 2018",0.934117,0.846786,"361,856,467",0.933989,"41,283,600"
0.932399,"Aug 28, 2018",0.960194,0.897636,"359,730,668",0.928502,"44,459,200"
0.912016,"Aug 27, 2018",0.983222,0.867312,"354,096,347",0.913959,"67,465,800"
0.919550,"Aug 26, 2018",0.929260,0.701038,"292,422,584",0.754773,"59,571,200"
0.755967,"Aug 25, 2018",0.768522,0.670552,"263,707,611",0.680656,"24,990,400"
0.675658,"Aug 24, 2018",0.695048,0.636067,"256,547,694",0.662176,"15,019,200"
0.659684,"Aug 23, 2018",0.659684,0.594109,"230,176,399",0.594109,"10,187,900"
0.594010,"Aug 22, 2018",0.693195,0.563195,"249,863,671",0.644924,"19,211,700"
0.645190,"Aug 21, 2018",0.656945,0.605822,"234,714,416",0.605822,"10,819,900"
0.611278,"Aug 20, 2018",0.702960,0.610464,"261,857,492",0.675881,"13,737,500"
0.676745,"Aug 19, 2018",0.690921,0.621846,"245,716,637",0.634220,"13,834,400"
0.632467,"Aug 18, 2018",0.765635,0.596191,"285,538,094",0.737003,"21,793,900"
0.740633,"Aug 17, 2018",0.744492,0.557080,"217,284,688",0.560834,"34,623,400"
0.557604,"Aug 16, 2018",0.573919,0.513472,"201,483,872",0.520051,"13,065,200"
0.522874,"Aug 15, 2018",0.602929,0.520166,"217,082,349",0.560312,"18,353,800"
0.557785,"Aug 14, 2018",0.602187,0.490325,"233,306,177",0.602187,"20,985,800"
0.601415,"Aug 13, 2018",0.717247,0.600850,"270,439,689",0.698033,"15,913,500"
0.695576,"Aug 12, 2018",0.709171,0.663035,"259,369,923",0.669460,"8,433,950"
0.670142,"Aug 11, 2018",0.730367,0.645359,"282,777,961",0.729879,"13,323,500"
0.730515,"Aug 10, 2018",0.820143,0.714263,"311,267,042",0.803412,"11,670,300"
0.808687,"Aug 09, 2018",0.831690,0.736519,"295,504,306",0.762727,"16,517,200"
0.759730,"Aug 08, 2018",0.862490,0.732538,"334,155,633",0.862490,"19,812,200"
0.863618,"Aug 07, 2018",1.01,0.832444,"336,307,804",0.868045,"40,709,800"
0.865187,"Aug 06, 2018",0.960405,0.850386,"358,652,215",0.925718,"12,524,500"
0.925672,"Aug 05, 2018",0.931139,0.869905,"342,972,659",0.885248,"12,694,800"
0.880931,"Aug 04, 2018",0.991830,0.863327,"372,401,775",0.961207,"15,799,600"
0.961473,"Aug 03, 2018",1.01,0.896629,"391,701,089",1.01,"22,627,600"
