close,date,high,low,marketcap,open,volume
1.10,"Oct 14, 2018",1.26,0.994736,"109,497,337",0.994736,"2,352,070"
0.994549,"Oct 13, 2018",1.01,0.990188,"108,986,842",0.990188,"385,897"
0.990520,"Oct 12, 2018",1.03,0.986647,"111,133,300",1.01,"868,215"
1.01,"Oct 11, 2018",1.14,0.998641,"126,002,605",1.14,"2,066,460"
1.14,"Oct 10, 2018",1.20,1.10,"123,496,882",1.12,"3,305,110"
1.13,"Oct 09, 2018",1.14,1.11,"124,454,614",1.13,"429,497"
1.13,"Oct 08, 2018",1.15,1.11,"124,114,684",1.13,"604,235"
1.12,"Oct 07, 2018",1.14,1.11,"123,594,646",1.12,"273,398"
1.12,"Oct 06, 2018",1.16,1.12,"126,734,675",1.15,"381,105"
1.15,"Oct 05, 2018",1.15,1.11,"124,438,633",1.13,"407,993"
1.13,"Oct 04, 2018",1.15,1.10,"122,376,587",1.11,"492,407"
1.12,"Oct 03, 2018",1.14,1.08,"124,286,707",1.13,"450,570"
1.13,"Oct 02, 2018",1.17,1.13,"128,599,770",1.17,"420,532"
1.17,"Oct 01, 2018",1.21,1.15,"131,695,367",1.20,"448,155"
1.20,"Sep 30, 2018",1.20,1.17,"130,474,398",1.19,"408,081"
1.18,"Sep 29, 2018",1.24,1.17,"131,158,091",1.19,"1,335,180"
1.20,"Sep 28, 2018",1.23,1.15,"129,799,415",1.18,"1,075,080"
1.18,"Sep 27, 2018",1.20,1.11,"123,689,948",1.13,"544,388"
1.13,"Sep 26, 2018",1.15,1.10,"123,521,497",1.12,"383,226"
1.13,"Sep 25, 2018",1.35,1.07,"122,768,673",1.12,"704,275"
1.12,"Sep 24, 2018",1.20,1.10,"131,620,202",1.20,"427,562"
1.20,"Sep 23, 2018",1.21,1.15,"126,676,443",1.15,"608,903"
1.15,"Sep 22, 2018",1.18,1.11,"129,315,074",1.18,"476,033"
1.18,"Sep 21, 2018",1.20,1.09,"119,583,724",1.09,"1,582,740"
1.09,"Sep 20, 2018",1.20,1.01,"112,155,636",1.02,"1,886,580"
1.02,"Sep 19, 2018",1.03,0.976258,"111,702,446",1.02,"312,491"
1.02,"Sep 18, 2018",1.04,0.975699,"108,745,940",0.990656,"336,518"
0.989678,"Sep 17, 2018",1.09,0.975937,"118,597,012",1.08,"590,008"
1.08,"Sep 16, 2018",1.08,1.01,"114,409,956",1.04,"420,037"
1.03,"Sep 15, 2018",1.08,0.999366,"110,581,873",1.01,"456,455"
1.01,"Sep 14, 2018",1.06,0.989300,"113,074,279",1.03,"496,299"
1.03,"Sep 13, 2018",1.05,0.946661,"109,726,383",1.00,"1,020,830"
0.996220,"Sep 12, 2018",1.02,0.904247,"111,110,250",1.01,"617,337"
1.01,"Sep 11, 2018",1.09,0.991823,"118,516,488",1.08,"616,896"
1.07,"Sep 10, 2018",1.11,1.06,"116,834,513",1.07,"523,442"
1.06,"Sep 09, 2018",1.11,1.01,"118,768,243",1.08,"777,854"
1.08,"Sep 08, 2018",1.18,1.07,"127,226,291",1.16,"489,250"
1.16,"Sep 07, 2018",1.25,1.12,"135,355,634",1.24,"945,033"
1.24,"Sep 06, 2018",1.30,1.12,"142,101,645",1.30,"2,888,830"
1.29,"Sep 05, 2018",1.58,1.29,"170,682,631",1.56,"1,102,480"
1.56,"Sep 04, 2018",1.65,1.50,"167,674,203",1.53,"2,836,450"
1.53,"Sep 03, 2018",1.59,1.32,"148,538,880",1.36,"2,332,500"
1.35,"Sep 02, 2018",1.40,1.32,"152,789,571",1.40,"852,905"
1.39,"Sep 01, 2018",1.44,1.31,"144,758,478",1.32,"1,073,910"
1.33,"Aug 31, 2018",1.36,1.28,"144,880,818",1.32,"632,406"
1.32,"Aug 30, 2018",1.41,1.26,"145,989,225",1.33,"1,030,790"
1.33,"Aug 29, 2018",1.45,1.26,"139,758,250",1.28,"2,314,490"
1.27,"Aug 28, 2018",1.34,1.22,"133,196,782",1.22,"939,697"
1.22,"Aug 27, 2018",1.22,1.13,"124,414,995",1.14,"841,087"
1.14,"Aug 26, 2018",1.17,1.11,"123,895,440",1.13,"335,742"
1.13,"Aug 25, 2018",1.17,1.11,"123,457,916",1.13,"500,311"
1.13,"Aug 24, 2018",1.15,1.08,"117,997,013",1.08,"469,048"
1.08,"Aug 23, 2018",1.13,1.04,"114,775,474",1.05,"392,018"
1.05,"Aug 22, 2018",1.18,1.04,"121,484,491",1.11,"635,035"
1.11,"Aug 21, 2018",1.13,1.07,"117,712,952",1.08,"340,955"
1.09,"Aug 20, 2018",1.17,1.09,"125,068,501",1.15,"329,009"
1.15,"Aug 19, 2018",1.19,1.09,"122,702,220",1.12,"656,426"
1.13,"Aug 18, 2018",1.24,1.07,"132,549,457",1.21,"743,801"
1.20,"Aug 17, 2018",1.20,1.04,"114,099,408",1.05,"619,224"
1.05,"Aug 16, 2018",1.08,1.03,"116,838,711",1.07,"325,693"
1.08,"Aug 15, 2018",1.12,1.02,"111,557,225",1.02,"812,037"
1.02,"Aug 14, 2018",1.10,0.959393,"120,166,089",1.10,"805,524"
1.10,"Aug 13, 2018",1.26,1.10,"129,209,592",1.19,"661,040"
1.19,"Aug 12, 2018",1.22,1.16,"132,440,856",1.22,"394,245"
1.22,"Aug 11, 2018",1.25,1.16,"130,549,284",1.20,"620,023"
1.20,"Aug 10, 2018",1.35,1.17,"144,370,760",1.33,"467,166"
1.34,"Aug 09, 2018",1.44,1.20,"130,791,271",1.20,"510,899"
1.20,"Aug 08, 2018",1.37,1.19,"149,133,544",1.37,"738,344"
1.37,"Aug 07, 2018",1.52,1.37,"153,690,189",1.41,"644,215"
1.41,"Aug 06, 2018",1.55,1.39,"166,146,023",1.53,"800,407"
1.53,"Aug 05, 2018",1.56,1.34,"148,120,982",1.36,"1,343,570"
1.36,"Aug 04, 2018",1.42,1.32,"154,118,058",1.42,"1,078,190"
1.41,"Aug 03, 2018",1.66,1.17,"133,477,130",1.23,"6,151,460"
1.23,"Aug 02, 2018",1.41,1.22,"149,409,791",1.37,"1,544,580"
