date,open,high,low,close,volume,marketcap
"Oct 12, 2019",1.17,1.18,1.12,1.14,"9,702,119","99,739,277"
"Oct 11, 2019",1.16,1.17,1.13,1.17,"10,854,420","102,487,197"
"Oct 10, 2019",1.15,1.23,1.13,1.16,"10,995,840","102,153,711"
"Oct 09, 2019",1.13,1.17,1.10,1.15,"7,950,732","101,201,234"
"Oct 08, 2019",1.11,1.15,1.10,1.13,"6,171,655","99,118,465"
"Oct 07, 2019",1.07,1.15,1.06,1.11,"7,665,081","97,473,065"
"Oct 06, 2019",1.09,1.10,1.06,1.07,"5,741,262","93,648,911"
"Oct 05, 2019",1.12,1.12,1.08,1.09,"6,127,295","96,071,396"
"Oct 04, 2019",1.14,1.14,1.10,1.12,"6,143,725","98,466,677"
"Oct 03, 2019",1.14,1.17,1.11,1.14,"5,427,448","100,047,335"
"Oct 02, 2019",1.15,1.16,1.13,1.14,"6,581,810","100,207,844"
"Oct 01, 2019",1.11,1.18,1.10,1.15,"7,257,685","101,386,673"
"Sep 30, 2019",1.12,1.12,1.08,1.12,"6,131,641","97,953,655"
"Sep 29, 2019",1.10,1.13,1.09,1.12,"4,943,904","98,049,077"
"Sep 28, 2019",1.11,1.12,1.10,1.11,"5,110,340","97,181,203"
"Sep 27, 2019",1.11,1.11,1.06,1.11,"5,646,803","97,306,699"
"Sep 26, 2019",1.19,1.19,1.06,1.11,"6,272,633","97,454,317"
"Sep 25, 2019",1.12,1.24,1.11,1.19,"9,636,329","104,283,964"
"Sep 24, 2019",1.45,1.47,1.12,1.12,"11,096,131","98,382,129"
"Sep 23, 2019",1.51,1.52,1.44,1.45,"11,212,878","127,899,558"
"Sep 22, 2019",1.52,1.53,1.50,1.51,"11,317,231","133,100,039"
"Sep 21, 2019",1.53,1.54,1.50,1.52,"9,439,482","133,662,848"
"Sep 20, 2019",1.57,1.57,1.50,1.53,"10,164,620","134,727,370"
"Sep 19, 2019",1.62,1.62,1.53,1.56,"11,464,835","137,609,776"
"Sep 18, 2019",1.66,1.69,1.59,1.62,"11,803,758","142,118,359"
"Sep 17, 2019",1.67,1.69,1.58,1.66,"13,994,723","145,660,150"
"Sep 16, 2019",1.76,1.81,1.59,1.67,"18,514,797","147,242,848"
"Sep 15, 2019",1.73,1.77,1.72,1.76,"13,445,153","154,758,849"
"Sep 14, 2019",1.74,1.77,1.71,1.73,"14,204,508","152,410,371"
"Sep 13, 2019",1.74,1.80,1.67,1.74,"15,792,434","153,153,397"
"Sep 12, 2019",1.64,1.76,1.61,1.74,"16,135,099","153,450,677"
"Sep 11, 2019",1.54,1.64,1.53,1.64,"9,498,037","143,974,475"
"Sep 10, 2019",1.55,1.56,1.52,1.54,"10,043,615","135,537,668"
