close,date,high,low,marketcap,open,volume
0.375016,"Oct 14, 2018",0.386233,0.362487,"49,040,436",0.365611,"1,621,010"
0.366008,"Oct 13, 2018",0.369381,0.351634,"47,190,652",0.351821,"1,292,120"
0.351223,"Oct 12, 2018",0.371856,0.349942,"48,321,308",0.360250,"1,537,380"
0.361296,"Oct 11, 2018",0.417320,0.359883,"55,903,253",0.416776,"1,978,860"
0.417179,"Oct 10, 2018",0.417940,0.396765,"54,199,273",0.404072,"2,392,710"
0.404714,"Oct 09, 2018",0.416879,0.396483,"55,497,171",0.413748,"1,909,920"
0.412342,"Oct 08, 2018",0.417732,0.394865,"53,029,523",0.395351,"2,121,610"
0.394216,"Oct 07, 2018",0.395388,0.385399,"51,954,269",0.387335,"1,739,520"
0.387032,"Oct 06, 2018",0.390346,0.383754,"51,533,627",0.384199,"1,512,500"
0.383889,"Oct 05, 2018",0.386536,0.375845,"50,922,579",0.379643,"1,541,940"
0.379109,"Oct 04, 2018",0.386897,0.378254,"51,099,342",0.380961,"1,668,610"
0.380965,"Oct 03, 2018",0.393306,0.375510,"52,655,708",0.392564,"1,585,320"
0.392523,"Oct 02, 2018",0.392748,0.384088,"51,966,932",0.387429,"1,691,960"
0.387399,"Oct 01, 2018",0.393900,0.377977,"52,205,349",0.389207,"2,468,620"
0.390445,"Sep 30, 2018",0.399109,0.378158,"50,988,577",0.380135,"2,779,010"
0.380456,"Sep 29, 2018",0.382163,0.363775,"51,017,183",0.380349,"2,361,770"
0.380905,"Sep 28, 2018",0.388919,0.374643,"50,369,013",0.375516,"2,534,320"
0.375960,"Sep 27, 2018",0.380096,0.362311,"50,115,614",0.373627,"3,032,910"
0.372544,"Sep 26, 2018",0.380279,0.360557,"49,555,705",0.369453,"3,353,740"
0.369159,"Sep 25, 2018",0.378980,0.353276,"50,833,575",0.378980,"9,635,400"
0.378685,"Sep 24, 2018",0.404013,0.377304,"54,084,866",0.403219,"6,703,550"
0.402901,"Sep 23, 2018",0.412935,0.396057,"53,451,791",0.398499,"2,778,730"
0.397941,"Sep 22, 2018",0.419531,0.382568,"55,926,550",0.416949,"3,132,330"
