close,date,high,low,marketcap,open,volume
2.84,"Oct 14, 2018",2.98,2.84,"322,901,212",2.91,"5,369,020"
2.90,"Oct 13, 2018",3.07,2.79,"330,642,839",2.98,"7,313,140"
2.97,"Oct 12, 2018",3.08,2.97,"340,726,214",3.07,"6,520,710"
3.07,"Oct 11, 2018",3.39,3.05,"375,920,350",3.39,"7,332,050"
3.41,"Oct 10, 2018",3.44,3.28,"368,165,794",3.32,"6,832,810"
3.33,"Oct 09, 2018",3.39,3.29,"370,844,148",3.34,"5,025,320"
3.34,"Oct 08, 2018",3.36,3.29,"368,279,178",3.32,"4,027,290"
3.32,"Oct 07, 2018",3.34,3.28,"368,229,831",3.32,"3,582,540"
3.32,"Oct 06, 2018",3.36,3.29,"368,968,906",3.33,"3,536,380"
3.33,"Oct 05, 2018",3.42,3.26,"370,305,281",3.34,"5,910,480"
3.34,"Oct 04, 2018",3.38,3.27,"364,410,733",3.29,"5,573,340"
3.28,"Oct 03, 2018",3.41,3.21,"375,789,393",3.39,"6,034,480"
3.39,"Oct 02, 2018",3.49,3.38,"378,134,106",3.42,"6,551,130"
3.41,"Oct 01, 2018",3.50,3.36,"376,588,592",3.40,"5,471,560"
3.41,"Sep 30, 2018",3.45,3.34,"373,630,148",3.38,"5,704,740"
3.37,"Sep 29, 2018",3.41,3.31,"373,969,170",3.38,"5,498,660"
3.39,"Sep 28, 2018",3.47,3.32,"376,221,276",3.40,"5,330,120"
3.39,"Sep 27, 2018",3.45,3.23,"359,064,152",3.25,"5,658,560"
3.24,"Sep 26, 2018",3.37,3.24,"367,094,572",3.32,"6,798,660"
3.33,"Sep 25, 2018",3.39,3.19,"374,841,245",3.39,"6,524,020"
3.38,"Sep 24, 2018",3.52,3.35,"387,850,193",3.51,"4,059,730"
3.51,"Sep 23, 2018",3.54,3.43,"382,532,884",3.46,"5,335,350"
3.47,"Sep 22, 2018",3.52,3.32,"386,582,871",3.50,"5,748,260"
3.50,"Sep 21, 2018",3.55,3.36,"374,064,883",3.39,"9,578,670"
3.38,"Sep 20, 2018",3.44,3.18,"377,446,706",3.42,"8,895,150"
3.43,"Sep 19, 2018",3.47,3.29,"381,649,134",3.46,"5,349,240"
3.44,"Sep 18, 2018",3.56,3.35,"375,825,236",3.41,"5,796,000"
3.40,"Sep 17, 2018",3.80,3.38,"393,110,116",3.57,"7,248,920"
3.58,"Sep 16, 2018",3.75,3.32,"376,935,350",3.42,"8,749,000"
3.41,"Sep 15, 2018",3.69,3.30,"380,790,454",3.46,"6,179,980"
3.47,"Sep 14, 2018",3.63,3.40,"385,424,696",3.50,"5,486,390"
3.52,"Sep 13, 2018",3.58,3.30,"363,622,071",3.30,"5,937,260"
3.31,"Sep 12, 2018",3.45,3.12,"378,263,625",3.44,"6,157,450"
3.44,"Sep 11, 2018",3.73,3.40,"407,663,324",3.71,"4,825,970"
3.70,"Sep 10, 2018",3.82,3.59,"408,919,697",3.72,"6,449,600"
3.72,"Sep 09, 2018",3.80,3.42,"378,806,134",3.45,"4,967,850"
3.45,"Sep 08, 2018",3.81,3.42,"410,680,443",3.74,"3,841,690"
3.76,"Sep 07, 2018",3.90,3.68,"425,118,058",3.87,"4,844,510"
3.87,"Sep 06, 2018",3.91,3.64,"429,498,317",3.91,"6,428,410"
3.92,"Sep 05, 2018",4.63,3.92,"507,117,744",4.62,"6,540,140"
4.61,"Sep 04, 2018",4.77,4.55,"501,863,863",4.57,"5,796,700"
4.58,"Sep 03, 2018",4.68,4.53,"513,793,595",4.68,"5,855,610"
4.68,"Sep 02, 2018",4.72,4.56,"516,850,851",4.71,"6,912,280"
4.70,"Sep 01, 2018",4.82,4.53,"512,871,197",4.68,"6,267,950"
4.68,"Aug 31, 2018",4.76,4.59,"511,693,877",4.67,"6,770,380"
4.64,"Aug 30, 2018",5.09,4.48,"554,112,415",5.06,"8,248,400"
5.08,"Aug 29, 2018",5.25,4.79,"566,006,681",5.17,"12,942,700"
5.21,"Aug 28, 2018",5.23,4.94,"559,565,330",5.11,"12,160,000"
5.11,"Aug 27, 2018",5.17,4.67,"537,308,742",4.91,"13,251,700"
4.91,"Aug 26, 2018",5.10,4.83,"554,083,921",5.06,"7,580,500"
5.04,"Aug 25, 2018",5.34,5.01,"556,773,555",5.09,"9,498,350"
5.10,"Aug 24, 2018",5.23,4.50,"509,512,014",4.66,"13,733,600"
4.64,"Aug 23, 2018",4.73,3.95,"433,300,722",3.96,"10,587,600"
3.95,"Aug 22, 2018",4.32,3.90,"450,116,667",4.12,"6,849,010"
4.12,"Aug 21, 2018",4.17,3.76,"412,500,293",3.78,"6,227,980"
3.77,"Aug 20, 2018",3.94,3.74,"418,751,806",3.83,"5,604,450"
3.85,"Aug 19, 2018",3.94,3.68,"407,878,685",3.74,"6,491,250"
3.74,"Aug 18, 2018",4.24,3.61,"437,836,441",4.01,"10,387,900"
4.00,"Aug 17, 2018",4.33,3.76,"418,060,853",3.83,"15,319,900"
3.81,"Aug 16, 2018",3.81,3.11,"340,178,070",3.12,"15,346,600"
3.13,"Aug 15, 2018",3.25,2.73,"305,041,472",2.80,"8,292,610"
2.80,"Aug 14, 2018",2.97,2.68,"323,721,072",2.97,"6,499,060"
2.97,"Aug 13, 2018",3.39,2.96,"361,114,396",3.31,"6,399,480"
3.32,"Aug 12, 2018",3.40,3.15,"349,886,004",3.21,"4,899,920"
3.22,"Aug 11, 2018",3.37,3.18,"365,771,645",3.36,"5,803,300"
3.36,"Aug 10, 2018",3.55,3.23,"384,923,156",3.54,"5,678,080"
3.54,"Aug 09, 2018",3.57,3.35,"367,955,697",3.38,"4,976,520"
3.37,"Aug 08, 2018",3.74,3.32,"407,390,796",3.74,"6,066,450"
3.74,"Aug 07, 2018",3.97,3.73,"420,463,865",3.87,"5,612,320"
3.87,"Aug 06, 2018",4.02,3.83,"429,521,867",3.95,"4,403,250"
3.95,"Aug 05, 2018",3.96,3.86,"425,902,822",3.92,"5,568,980"
3.92,"Aug 04, 2018",4.26,3.86,"455,916,987",4.20,"6,094,920"
4.19,"Aug 03, 2018",4.36,4.15,"474,159,330",4.36,"6,519,360"
4.35,"Aug 02, 2018",4.58,4.32,"489,565,973",4.51,"6,739,330"
4.50,"Aug 01, 2018",4.60,4.41,"499,627,048",4.60,"6,193,870"
4.59,"Jul 31, 2018",4.93,4.55,"535,507,040",4.93,"6,840,930"
4.93,"Jul 30, 2018",5.11,4.77,"554,718,930",5.11,"7,360,580"
5.10,"Jul 29, 2018",5.13,4.92,"543,421,952",5.01,"7,426,930"
4.99,"Jul 28, 2018",4.99,4.85,"528,018,080",4.87,"7,299,520"
4.86,"Jul 27, 2018",4.96,4.75,"524,865,600",4.84,"8,075,500"
4.84,"Jul 26, 2018",5.17,4.81,"546,094,080",5.04,"7,253,780"
5.04,"Jul 25, 2018",5.16,4.93,"534,109,728",4.93,"8,064,090"
5.01,"Jul 24, 2018",5.03,4.77,"521,533,312",4.82,"8,695,030"
