close,date,high,low,marketcap,open,volume
0.122882,"Oct 14, 2018",0.129977,0.121127,"75,153,012",0.125970,"6,389,570"
0.127285,"Oct 13, 2018",0.130695,0.121960,"74,612,790",0.125078,"7,449,480"
0.125823,"Oct 12, 2018",0.149823,0.109096,"65,763,043",0.110723,"23,821,600"
0.111071,"Oct 11, 2018",0.133109,0.109199,"79,030,040",0.133109,"9,462,270"
0.136195,"Oct 10, 2018",0.153102,0.113122,"67,103,982",0.113122,"16,223,500"
0.113363,"Oct 09, 2018",0.116585,0.111420,"66,440,741",0.112007,"3,326,300"
0.111889,"Oct 08, 2018",0.112593,0.106400,"66,491,139",0.112093,"2,257,400"
0.111723,"Oct 07, 2018",0.112720,0.108396,"66,558,856",0.112221,"4,846,860"
0.111534,"Oct 06, 2018",0.124828,0.107541,"65,899,602",0.111137,"8,012,770"
0.111063,"Oct 05, 2018",0.111141,0.100502,"60,426,654",0.101916,"6,060,570"
0.101975,"Oct 04, 2018",0.103602,0.099911,"59,726,749",0.100736,"3,710,470"
0.100859,"Oct 03, 2018",0.104853,0.097731,"62,160,259",0.104853,"3,128,310"
0.105003,"Oct 02, 2018",0.108471,0.103947,"62,886,303",0.106081,"4,123,240"
0.106028,"Oct 01, 2018",0.111886,0.099299,"62,805,568",0.105957,"5,619,780"
0.106433,"Sep 30, 2018",0.109105,0.096516,"57,776,726",0.097501,"5,001,540"
0.097577,"Sep 29, 2018",0.100791,0.090151,"56,417,645",0.095225,"3,507,300"
0.095107,"Sep 28, 2018",0.102763,0.093405,"59,615,324",0.100639,"3,842,680"
0.100459,"Sep 27, 2018",0.100982,0.086418,"51,184,236",0.086418,"4,856,760"
0.086452,"Sep 26, 2018",0.088627,0.083668,"50,420,104",0.085130,"3,639,200"
0.085237,"Sep 25, 2018",0.088198,0.079419,"52,212,442",0.088163,"2,803,500"
0.088182,"Sep 24, 2018",0.093915,0.087797,"55,338,377",0.093450,"2,975,030"
0.093443,"Sep 23, 2018",0.094391,0.090152,"53,753,401",0.090774,"3,173,620"
0.090612,"Sep 22, 2018",0.095255,0.088417,"55,281,097",0.093355,"4,914,530"
0.093004,"Sep 21, 2018",0.095613,0.083479,"49,984,087",0.084432,"4,858,100"
0.084521,"Sep 20, 2018",0.084521,0.079924,"47,495,073",0.080242,"3,288,660"
0.080096,"Sep 19, 2018",0.081401,0.076605,"47,502,486",0.080254,"3,125,010"
0.080170,"Sep 18, 2018",0.081130,0.075806,"45,589,843",0.077024,"2,860,570"
0.077145,"Sep 17, 2018",0.083998,0.075690,"48,819,375",0.082492,"3,658,740"
0.082350,"Sep 16, 2018",0.082428,0.079020,"48,085,566",0.081257,"4,834,380"
0.081136,"Sep 15, 2018",0.082636,0.079334,"47,203,122",0.079766,"4,207,960"
