date,open,high,low,close,volume,marketcap
"Oct 12, 2019",3.38,3.64,3.38,3.51,"3,920,910","55,485,053"
"Oct 11, 2019",3.40,3.43,3.29,3.38,"3,022,351","53,422,752"
"Oct 10, 2019",3.51,3.74,3.34,3.41,"6,237,116","53,802,312"
"Oct 09, 2019",3.13,3.71,3.12,3.51,"8,431,464","55,480,567"
"Oct 08, 2019",3.05,3.13,2.96,3.13,"3,680,566","49,467,283"
"Oct 07, 2019",2.91,3.09,2.87,3.05,"5,243,736","48,181,973"
"Oct 06, 2019",2.89,2.94,2.82,2.91,"4,177,540","46,024,967"
"Oct 05, 2019",2.87,2.91,2.82,2.89,"4,178,562","45,665,711"
"Oct 04, 2019",2.87,2.92,2.83,2.88,"4,656,074","45,409,545"
"Oct 03, 2019",2.89,2.91,2.83,2.87,"3,775,598","45,341,301"
"Oct 02, 2019",2.88,2.92,2.85,2.89,"4,337,761","45,695,032"
"Oct 01, 2019",2.85,2.97,2.83,2.88,"4,612,020","45,451,627"
"Sep 30, 2019",2.79,2.86,2.70,2.85,"5,361,972","45,003,671"
"Sep 29, 2019",2.91,2.91,2.76,2.80,"4,411,751","44,160,903"
"Sep 28, 2019",2.90,2.94,2.87,2.91,"4,638,429","45,993,287"
"Sep 27, 2019",2.74,2.91,2.69,2.90,"4,352,118","45,822,253"
"Sep 26, 2019",2.91,2.94,2.65,2.74,"4,747,307","43,253,741"
"Sep 25, 2019",2.76,2.96,2.69,2.91,"5,258,588","46,030,267"
"Sep 24, 2019",3.24,3.30,2.72,2.76,"5,499,167","43,535,097"
"Sep 23, 2019",3.30,3.31,3.24,3.24,"6,189,716","51,154,090"
"Sep 22, 2019",3.29,3.33,3.26,3.30,"5,923,301","52,119,698"
"Sep 21, 2019",3.40,3.41,3.29,3.29,"5,642,137","52,012,961"
"Sep 20, 2019",3.40,3.43,3.36,3.40,"5,588,158","53,710,172"
"Sep 19, 2019",3.39,3.44,3.21,3.40,"4,430,134","53,687,122"
"Sep 18, 2019",3.32,3.48,3.32,3.39,"4,903,858","53,596,443"
"Sep 17, 2019",3.31,3.34,3.28,3.32,"4,118,993","52,431,562"
"Sep 16, 2019",3.34,3.36,3.28,3.31,"3,896,227","52,271,842"
"Sep 15, 2019",3.35,3.36,3.30,3.34,"3,334,724","52,794,862"
"Sep 14, 2019",3.27,3.39,3.26,3.35,"4,315,677","52,926,981"
"Sep 13, 2019",3.25,3.28,3.22,3.27,"3,741,632","51,609,099"
"Sep 12, 2019",3.23,3.27,3.17,3.25,"4,012,191","51,304,998"
"Sep 11, 2019",3.24,3.27,3.19,3.23,"4,355,163","51,019,802"
"Sep 10, 2019",3.23,3.29,3.21,3.24,"3,568,848","51,133,670"
"Sep 09, 2019",3.25,3.28,3.17,3.23,"3,596,178","50,993,534"
"Sep 08, 2019",3.28,3.29,3.15,3.25,"4,102,983","51,276,920"
"Sep 07, 2019",3.18,3.27,3.10,3.23,"5,480,748","51,046,266"
"Sep 06, 2019",3.24,3.29,2.51,3.18,"5,716,058","50,236,176"
"Sep 05, 2019",3.28,3.32,2.80,3.24,"6,395,206","51,115,416"
"Sep 04, 2019",3.33,3.34,3.18,3.28,"6,612,490","51,772,263"
"Sep 03, 2019",3.32,3.39,3.23,3.33,"4,763,388","52,623,713"
"Sep 02, 2019",3.25,3.35,3.18,3.32,"3,787,258","52,399,701"
"Sep 01, 2019",3.32,3.34,3.24,3.25,"3,416,889","51,308,594"
"Aug 31, 2019",3.24,3.34,3.20,3.33,"4,538,794","52,562,506"
