close,date,high,low,marketcap,open,volume
1.18,"Oct 14, 2018",1.23,1.18,"76,026,820",1.22,"117,360"
1.23,"Oct 13, 2018",1.30,1.22,"80,958,043",1.30,"83,999"
1.29,"Oct 12, 2018",1.33,1.25,"81,424,473",1.30,"147,683"
1.33,"Oct 11, 2018",1.60,1.32,"96,985,339",1.55,"230,525"
1.55,"Oct 10, 2018",1.65,1.54,"101,167,510",1.62,"106,259"
1.62,"Oct 09, 2018",1.66,1.54,"99,134,457",1.59,"67,235"
1.59,"Oct 08, 2018",1.64,1.54,"100,308,828",1.61,"585,335"
1.61,"Oct 07, 2018",1.63,1.57,"100,850,309",1.61,"24,730"
1.61,"Oct 06, 2018",1.67,1.60,"100,725,883",1.61,"27,833"
1.61,"Oct 05, 2018",1.66,1.54,"102,043,825",1.63,"56,890"
1.64,"Oct 04, 2018",1.71,1.62,"105,204,763",1.68,"18,049"
1.69,"Oct 03, 2018",1.76,1.65,"108,209,100",1.73,"36,857"
1.74,"Oct 02, 2018",1.83,1.71,"113,808,657",1.82,"25,334"
1.81,"Oct 01, 2018",1.89,1.75,"115,962,689",1.86,"53,142"
1.86,"Sep 30, 2018",1.91,1.78,"112,409,604",1.80,"81,152"
1.80,"Sep 29, 2018",1.81,1.72,"110,019,400",1.76,"36,152"
1.76,"Sep 28, 2018",1.86,1.73,"113,972,228",1.82,"90,033"
1.83,"Sep 27, 2018",1.87,1.73,"112,606,072",1.80,"104,865"
1.80,"Sep 26, 2018",1.88,1.77,"116,764,497",1.87,"101,875"
1.83,"Sep 25, 2018",1.85,1.66,"110,114,205",1.76,"75,408"
1.76,"Sep 24, 2018",1.96,1.76,"122,094,799",1.95,"75,181"
1.95,"Sep 23, 2018",2.00,1.92,"121,565,150",1.95,"139,208"
1.94,"Sep 22, 2018",2.13,1.91,"129,375,792",2.07,"529,308"
2.15,"Sep 21, 2018",2.36,1.84,"114,966,692",1.84,"1,391,140"
1.84,"Sep 20, 2018",1.84,1.68,"104,925,433",1.68,"36,871"
1.68,"Sep 19, 2018",1.82,1.60,"110,319,981",1.77,"61,678"
1.67,"Sep 18, 2018",1.81,1.55,"105,906,732",1.70,"85,201"
1.70,"Sep 17, 2018",2.03,1.65,"121,349,843",1.94,"157,395"
1.94,"Sep 16, 2018",2.11,1.82,"126,871,989",2.03,"153,769"
2.04,"Sep 15, 2018",2.16,1.72,"113,780,332",1.82,"147,341"
1.82,"Sep 14, 2018",1.89,1.63,"106,341,449",1.70,"122,713"
1.70,"Sep 13, 2018",1.76,1.36,"87,680,138",1.40,"174,072"
1.40,"Sep 12, 2018",1.44,1.32,"89,610,680",1.43,"66,860"
1.41,"Sep 11, 2018",1.44,1.30,"81,356,192",1.30,"76,584"
1.30,"Sep 10, 2018",1.44,1.28,"82,305,464",1.32,"49,737"
1.34,"Sep 09, 2018",1.54,1.21,"94,100,007",1.51,"193,801"
1.52,"Sep 08, 2018",1.69,1.50,"100,643,401",1.61,"102,073"
1.59,"Sep 07, 2018",1.86,1.57,"112,650,131",1.80,"126,526"
1.80,"Sep 06, 2018",2.00,1.72,"123,574,413",1.98,"133,641"
2.00,"Sep 05, 2018",2.10,1.95,"122,947,323",1.97,"108,696"
1.99,"Sep 04, 2018",2.05,1.87,"125,375,912",2.01,"90,719"
2.01,"Sep 03, 2018",2.29,1.90,"135,859,684",2.18,"170,029"
2.17,"Sep 02, 2018",2.49,2.13,"143,932,268",2.30,"104,726"
2.30,"Sep 01, 2018",2.35,2.25,"140,849,240",2.25,"50,341"
2.25,"Aug 31, 2018",2.53,2.20,"156,763,711",2.51,"455,074"
2.51,"Aug 30, 2018",2.74,2.42,"168,484,372",2.70,"845,895"
2.68,"Aug 29, 2018",2.89,2.60,"172,953,811",2.77,"1,057,410"
2.82,"Aug 28, 2018",2.89,2.63,"177,875,785",2.85,"1,770,920"
2.83,"Aug 27, 2018",2.83,2.74,"172,929,923",2.77,"433,722"
2.79,"Aug 26, 2018",2.92,2.77,"182,191,504",2.92,"38,489"
2.92,"Aug 25, 2018",2.97,2.87,"184,672,224",2.96,"31,294"
2.96,"Aug 24, 2018",3.03,2.82,"178,553,480",2.86,"117,558"
2.86,"Aug 23, 2018",3.02,2.65,"188,935,596",3.02,"212,072"
3.03,"Aug 22, 2018",3.34,2.86,"200,138,880",3.20,"169,073"
3.21,"Aug 21, 2018",3.39,3.16,"207,852,781",3.33,"131,476"
3.33,"Aug 20, 2018",3.42,3.31,"210,102,757",3.36,"128,196"
3.33,"Aug 19, 2018",3.38,3.27,"205,773,322",3.29,"59,843"
3.30,"Aug 18, 2018",3.42,3.24,"209,933,296",3.36,"74,798"
3.37,"Aug 17, 2018",3.43,3.24,"202,123,875",3.24,"81,062"
3.24,"Aug 16, 2018",3.36,3.18,"207,740,119",3.33,"152,595"
3.32,"Aug 15, 2018",3.46,3.02,"198,749,238",3.18,"235,224"
3.20,"Aug 14, 2018",3.74,3.20,"230,950,357",3.70,"207,319"
3.70,"Aug 13, 2018",4.02,3.64,"239,025,563",3.83,"263,716"
3.81,"Aug 12, 2018",3.97,3.78,"237,722,670",3.81,"148,879"
3.83,"Aug 11, 2018",3.98,3.66,"236,983,767",3.79,"287,232"
3.79,"Aug 10, 2018",4.01,3.70,"249,870,907",4.00,"154,718"
4.01,"Aug 09, 2018",4.10,3.81,"242,191,900",3.88,"113,029"
3.89,"Aug 08, 2018",4.39,3.65,"243,711,239",3.90,"502,659"
3.91,"Aug 07, 2018",4.63,3.80,"284,844,444",4.56,"415,866"
4.57,"Aug 06, 2018",4.92,3.94,"246,173,284",3.94,"881,675"
3.93,"Aug 05, 2018",4.22,3.81,"245,834,734",3.94,"125,522"
3.92,"Aug 04, 2018",4.49,3.73,"232,805,148",3.73,"431,263"
3.86,"Aug 03, 2018",4.08,3.23,"120,630,977",3.36,"386,861"
3.35,"Aug 02, 2018",3.54,3.27,"118,201,169",3.29,"177,827"
3.29,"Aug 01, 2018",3.52,3.19,"120,314,423",3.35,"153,862"
3.35,"Jul 31, 2018",3.73,3.00,"132,472,808",3.69,"610,957"
