close,date,high,low,marketcap,open,volume
0.176854,"Oct 14, 2018",0.192682,0.174912,"84,407,215",0.186514,"756,191"
0.185941,"Oct 13, 2018",0.210281,0.181295,"94,423,904",0.208647,"1,553,490"
0.208757,"Oct 12, 2018",0.209799,0.197156,"89,724,981",0.198264,"608,289"
0.198518,"Oct 11, 2018",0.218118,0.197711,"98,609,225",0.217896,"974,345"
0.218380,"Oct 10, 2018",0.222296,0.213129,"99,949,143",0.220857,"575,936"
0.222052,"Oct 09, 2018",0.234450,0.213057,"105,132,389",0.232310,"910,988"
0.232209,"Oct 08, 2018",0.233680,0.227875,"104,336,757",0.230552,"670,125"
0.229386,"Oct 07, 2018",0.231249,0.227445,"103,962,968",0.229726,"912,332"
0.229303,"Oct 06, 2018",0.234602,0.228077,"104,041,875",0.229900,"662,060"
0.230691,"Oct 05, 2018",0.231194,0.227733,"103,947,843",0.229692,"795,191"
0.229770,"Oct 04, 2018",0.230732,0.224961,"101,901,470",0.225171,"724,857"
0.226804,"Oct 03, 2018",0.241506,0.226045,"109,131,628",0.241147,"754,388"
0.241383,"Oct 02, 2018",0.242622,0.234148,"106,785,194",0.235962,"811,116"
0.236272,"Oct 01, 2018",0.247793,0.230954,"111,693,930",0.246809,"1,341,090"
0.247215,"Sep 30, 2018",0.247971,0.243939,"111,008,259",0.245294,"742,063"
0.245355,"Sep 29, 2018",0.245851,0.240998,"110,251,308",0.243621,"965,213"
0.244117,"Sep 28, 2018",0.251603,0.241678,"112,499,151",0.248588,"1,410,280"
0.248655,"Sep 27, 2018",0.249960,0.238893,"108,365,715",0.239455,"1,074,260"
0.238949,"Sep 26, 2018",0.241934,0.231614,"105,416,212",0.232937,"802,916"
0.233020,"Sep 25, 2018",0.247555,0.231347,"111,785,683",0.247012,"1,367,630"
0.247034,"Sep 24, 2018",0.254347,0.239156,"114,558,903",0.253140,"1,470,550"
0.252579,"Sep 23, 2018",0.266818,0.247171,"119,511,951",0.264084,"1,319,800"
0.264035,"Sep 22, 2018",0.274130,0.260149,"123,486,684",0.272867,"1,052,720"
0.272676,"Sep 21, 2018",0.272827,0.254078,"115,065,803",0.254260,"1,570,950"
0.253830,"Sep 20, 2018",0.256230,0.246261,"115,136,664",0.254416,"1,775,310"
0.254531,"Sep 19, 2018",0.257816,0.239097,"108,845,141",0.240514,"1,297,260"
