close,date,high,low,marketcap,open,volume
643.46,"Oct 14, 2018",658.27,640.62,"468,578,434",643.45,"127,170"
643.31,"Oct 13, 2018",658.63,641.80,"471,239,861",647.11,"114,266"
647.55,"Oct 12, 2018",654.30,635.08,"463,931,493",637.07,"612,373"
637.74,"Oct 11, 2018",684.67,614.79,"497,776,305",683.54,"1,607,590"
684.87,"Oct 10, 2018",740.28,628.01,"537,741,938",738.42,"2,062,310"
739.77,"Oct 09, 2018",785.97,728.85,"550,951,200",756.56,"1,003,590"
752.53,"Oct 08, 2018",778.70,627.49,"456,955,547",627.49,"4,088,190"
622.09,"Oct 07, 2018",641.61,603.32,"464,357,922",637.65,"581,395"
636.08,"Oct 06, 2018",645.96,606.89,"443,230,916",608.64,"1,431,580"
607.09,"Oct 05, 2018",614.63,524.56,"386,588,183",530.86,"1,001,090"
530.86,"Oct 04, 2018",531.77,495.41,"366,707,174",503.56,"1,453,360"
503.24,"Oct 03, 2018",508.70,487.55,"360,967,225",495.68,"1,695,780"
495.50,"Oct 02, 2018",522.43,473.42,"353,278,675",485.12,"1,088,660"
485.64,"Oct 01, 2018",496.01,470.36,"359,444,364",493.59,"205,022"
494.22,"Sep 30, 2018",497.81,472.05,"358,155,165",491.82,"117,395"
491.97,"Sep 29, 2018",492.23,462.61,"347,266,840",476.87,"168,445"
476.87,"Sep 28, 2018",481.30,465.27,"343,504,404",471.70,"410,884"
471.69,"Sep 27, 2018",476.06,438.72,"323,302,439",443.96,"282,318"
443.96,"Sep 26, 2018",461.33,429.82,"324,296,441",445.32,"311,190"
439.90,"Sep 25, 2018",458.69,424.88,"329,815,908",452.90,"696,105"
453.14,"Sep 24, 2018",478.09,448.78,"348,157,790",478.09,"586,175"
476.68,"Sep 23, 2018",500.58,451.01,"335,029,133",460.06,"101,152"
459.97,"Sep 22, 2018",505.11,419.42,"320,236,740",439.75,"95,475"
439.34,"Sep 21, 2018",443.20,415.41,"311,516,963",427.77,"1,132,620"
419.35,"Sep 20, 2018",419.35,387.79,"295,782,839",406.17,"1,599,250"
406.08,"Sep 19, 2018",458.70,397.21,"334,037,665",458.70,"727,736"
436.66,"Sep 18, 2018",438.93,378.25,"279,234,147",383.44,"1,390,880"
383.52,"Sep 17, 2018",423.89,379.07,"304,932,044",418.73,"315,799"
419.24,"Sep 16, 2018",431.42,405.76,"314,172,234",431.42,"175,993"
430.88,"Sep 15, 2018",435.24,405.75,"299,567,143",411.37,"384,915"
412.69,"Sep 14, 2018",418.42,352.52,"257,919,973",354.18,"1,014,920"
354.99,"Sep 13, 2018",357.34,307.27,"224,337,289",308.06,"200,908"
307.83,"Sep 12, 2018",333.37,291.36,"241,662,901",331.85,"438,368"
331.93,"Sep 11, 2018",344.12,328.05,"226,059,835",338.30,"236,833"
