close,date,high,low,marketcap,open,volume
120.25,"Oct 14, 2018",126.04,114.65,"53,796,704",121.24,"86,965"
121.21,"Oct 13, 2018",124.70,115.20,"54,499,019",122.83,"3,621"
122.88,"Oct 12, 2018",124.36,115.72,"51,442,360",115.95,"7,990"
116.05,"Oct 11, 2018",132.90,115.64,"58,920,722",132.80,"27,045"
133.21,"Oct 10, 2018",137.81,129.86,"60,413,142",136.18,"11,695"
136.40,"Oct 09, 2018",136.50,129.44,"59,762,080",134.71,"9,110"
134.56,"Oct 08, 2018",140.61,123.68,"61,003,068",137.50,"30,118"
137.00,"Oct 07, 2018",142.42,132.92,"63,098,965",142.23,"25,551"
141.79,"Oct 06, 2018",142.57,133.71,"62,339,166",140.52,"46,668"
140.26,"Oct 05, 2018",145.00,137.66,"61,127,458",137.78,"12,064"
137.44,"Oct 04, 2018",145.72,137.40,"63,622,016",143.44,"17,815"
143.28,"Oct 03, 2018",145.25,132.29,"64,423,795",145.25,"9,374"
145.18,"Oct 02, 2018",146.97,134.39,"62,123,193",140.06,"15,683"
140.45,"Oct 01, 2018",149.34,139.83,"64,592,887",145.64,"18,707"
146.03,"Sep 30, 2018",150.28,144.50,"65,823,390",148.42,"11,121"
148.48,"Sep 29, 2018",150.06,140.73,"66,547,188",150.06,"38,200"
150.22,"Sep 28, 2018",151.38,142.60,"65,621,870",148.04,"58,778"
148.00,"Sep 27, 2018",149.69,138.06,"65,126,465",146.97,"30,530"
146.84,"Sep 26, 2018",148.72,130.07,"61,454,956",138.70,"74,221"
138.87,"Sep 25, 2018",138.87,124.42,"60,042,493",135.54,"73,409"
135.66,"Sep 24, 2018",145.79,134.66,"64,431,067",145.44,"33,137"
145.39,"Sep 23, 2018",146.44,133.12,"61,314,959",138.41,"13,354"
138.28,"Sep 22, 2018",151.24,129.74,"60,624,503",136.85,"21,654"
136.67,"Sep 21, 2018",148.55,130.91,"58,248,104",131.49,"55,939"
131.47,"Sep 20, 2018",137.82,124.52,"59,324,898",133.92,"31,523"
133.90,"Sep 19, 2018",135.23,123.20,"54,879,206",123.88,"17,319"
123.89,"Sep 18, 2018",137.71,116.78,"56,793,621",128.21,"122,116"
128.23,"Sep 17, 2018",175.47,114.88,"76,280,730",172.20,4
171.92,"Sep 16, 2018",175.01,167.73,"76,115,257",171.83,"14,172"
171.51,"Sep 15, 2018",185.10,165.17,"76,144,369",171.90,"34,813"
172.15,"Sep 14, 2018",189.77,166.02,"76,304,765",172.26,"32,208"
172.54,"Sep 13, 2018",174.00,156.90,"71,572,022",161.57,"43,601"
161.42,"Sep 12, 2018",171.34,152.83,"75,752,166",171.01,"34,250"
171.01,"Sep 11, 2018",177.10,162.32,"74,517,228",168.26,"13,655"
167.99,"Sep 10, 2018",177.36,164.42,"73,114,396",165.09,"18,172"
165.13,"Sep 09, 2018",183.02,154.16,"74,300,635",167.77,"30,263"
168.38,"Sep 08, 2018",183.39,164.26,"77,539,416",175.09,"84,305"
175.00,"Sep 07, 2018",206.75,172.26,"84,404,353",190.59,"117,358"
185.80,"Sep 06, 2018",205.66,185.25,"88,791,610",200.50,"110,467"
204.69,"Sep 05, 2018",230.41,202.76,"99,777,110",225.31,"84,870"
225.36,"Sep 04, 2018",232.04,216.02,"97,171,670",219.42,"153,221"
219.40,"Sep 03, 2018",225.92,216.85,"97,349,699",219.83,"36,180"
219.72,"Sep 02, 2018",227.84,215.81,"99,690,183",225.27,"47,839"
218.37,"Sep 01, 2018",228.92,214.17,"99,791,157",225.66,"110,720"
223.38,"Aug 31, 2018",228.30,219.22,"99,679,034",225.41,"34,670"
225.29,"Aug 30, 2018",236.57,216.12,"103,048,436",233.03,"88,637"
232.90,"Aug 29, 2018",239.12,228.44,"105,159,905",237.81,"29,463"
237.70,"Aug 28, 2018",238.44,224.77,"101,454,797",229.49,"102,437"
229.28,"Aug 27, 2018",229.28,216.34,"98,500,174",222.80,"64,991"
218.22,"Aug 26, 2018",223.96,214.89,"98,737,581",223.34,"10,455"
223.07,"Aug 25, 2018",229.03,216.91,"101,014,983",228.49,"51,602"
228.83,"Aug 24, 2018",228.88,214.98,"96,061,468",217.29,"56,293"
217.18,"Aug 23, 2018",219.01,204.97,"90,988,811",205.82,"84,763"
205.47,"Aug 22, 2018",227.10,201.62,"92,588,094",209.46,"50,028"
209.44,"Aug 21, 2018",228.76,204.94,"91,275,464",206.53,"50,525"
227.61,"Aug 20, 2018",238.84,206.63,"101,577,260",229.84,"44,963"
230.03,"Aug 19, 2018",231.38,219.18,"101,794,472",230.33,"42,241"
225.12,"Aug 18, 2018",248.03,219.98,"106,931,068",242.02,"82,615"
241.06,"Aug 17, 2018",242.84,217.67,"96,387,795",218.16,"40,117"
217.99,"Aug 16, 2018",246.39,208.46,"97,346,948",220.33,"66,397"
220.46,"Aug 15, 2018",244.67,207.06,"101,735,436",230.27,"155,330"
229.83,"Aug 14, 2018",231.93,176.80,"97,305,956",220.24,"103,043"
220.36,"Aug 13, 2018",253.80,220.17,"103,579,505",234.44,"53,377"
234.42,"Aug 12, 2018",259.67,234.05,"105,871,445",239.63,"51,022"
240.47,"Aug 11, 2018",254.47,221.62,"111,921,536",253.33,"72,043"
253.49,"Aug 10, 2018",296.44,244.16,"129,741,899",293.67,"65,784"
293.98,"Aug 09, 2018",300.18,270.84,"119,630,342",270.84,"363,294"
270.24,"Aug 08, 2018",320.77,266.49,"141,648,901",320.77,"322,150"
320.66,"Aug 07, 2018",353.57,308.61,"154,189,770",349.66,"190,002"
349.54,"Aug 06, 2018",376.22,341.84,"157,763,833",357.77,"100,255"
357.12,"Aug 05, 2018",371.89,347.19,"156,615,908",355.25,"65,257"
355.19,"Aug 04, 2018",404.59,345.58,"174,312,596",395.49,"76,305"
394.49,"Aug 03, 2018",403.48,357.94,"167,636,193",380.37,"126,031"
380.23,"Aug 02, 2018",427.40,378.94,"182,982,737",415.19,"106,476"
414.98,"Aug 01, 2018",437.66,393.35,"182,353,417",413.77,"75,688"
413.66,"Jul 31, 2018",472.90,408.80,"208,318,588",472.90,"235,322"
473.25,"Jul 30, 2018",490.50,436.47,"211,033,907",479.11,"109,406"
478.87,"Jul 29, 2018",503.61,454.54,"220,417,920",500.49,"50,219"
498.85,"Jul 28, 2018",542.63,428.11,"188,535,360",428.11,"440,952"
427.42,"Jul 27, 2018",476.53,419.08,"209,764,560",476.38,"84,894"
476.62,"Jul 26, 2018",491.95,443.19,"197,391,136",448.28,"560,503"
448.54,"Jul 25, 2018",472.03,441.56,"199,445,248",454.16,"51,427"
458.92,"Jul 24, 2018",498.35,451.22,"211,640,512",481.98,"133,127"
481.61,"Jul 23, 2018",519.63,480.88,"215,335,760",490.39,"160,817"
490.83,"Jul 22, 2018",503.67,482.25,"212,489,312",483.92,"30,568"
484.07,"Jul 21, 2018",507.20,469.09,"206,170,592",469.53,"46,017"
469.56,"Jul 20, 2018",523.05,469.55,"229,667,712",523.05,"71,703"
522.70,"Jul 19, 2018",532.71,495.85,"230,065,200",523.96,"80,402"
524.20,"Jul 18, 2018",581.20,494.20,"240,376,736",547.45,"71,602"
547.58,"Jul 17, 2018",554.00,499.23,"224,997,456",512.43,"89,637"
513.45,"Jul 16, 2018",557.10,506.02,"232,022,000",528.47,"105,195"
527.88,"Jul 15, 2018",541.60,507.45,"234,337,264",533.86,"47,719"
534.12,"Jul 14, 2018",556.44,473.84,"207,934,816",473.84,"186,873"
474.70,"Jul 13, 2018",580.51,375.30,"186,510,032",425.10,"645,016"
430.88,"Jul 12, 2018",457.74,359.35,"200,819,536",457.74,"304,072"
457.81,"Jul 11, 2018",485.42,422.60,"209,900,288",478.48,"147,284"
478.46,"Jul 10, 2018",522.67,443.73,"209,213,344",476.96,"167,761"
477.31,"Jul 09, 2018",595.48,472.96,"234,448,432",534.53,"256,301"
534.63,"Jul 08, 2018",563.78,486.21,"213,891,952",487.75,"176,960"
488.13,"Jul 07, 2018",554.77,424.83,"201,712,768",460.20,"252,514"
460.60,"Jul 06, 2018",497.18,405.97,"205,541,408",468.97,"180,901"
469.14,"Jul 05, 2018",527.65,461.89,"225,271,456",513.99,"144,308"
512.51,"Jul 04, 2018",552.42,505.67,"241,457,072",550.97,"103,544"
550.90,"Jul 03, 2018",611.03,482.09,"250,600,976",571.86,"196,120"
572.97,"Jul 02, 2018",582.10,519.69,"233,561,520",532.97,"62,152"
532.80,"Jul 01, 2018",545.54,522.93,"237,157,040",541.24,"41,024"
540.92,"Jun 30, 2018",580.99,529.23,"244,196,704",557.33,"14,656"
556.59,"Jun 29, 2018",560.84,489.76,"222,173,344",507.08,"438,400"
506.80,"Jun 28, 2018",519.26,503.89,"227,510,768",519.26,"242,613"
746.13,"Jun 12, 2018",758.81,741.63,"332,117,952",758.81,"485,538"
759.16,"Jun 11, 2018",795.68,736.95,"326,460,576",746.09,"494,021"
745.01,"Jun 10, 2018",877.05,733.35,"383,731,616",877.05,"786,844"
875.84,"Jun 09, 2018",903.58,833.31,"366,902,976",838.63,"426,784"
818.10,"Jun 08, 2018",903.18,770.86,"337,612,448",771.68,"855,384"
771.01,"Jun 07, 2018",804.77,763.63,"334,037,344",763.63,"285,332"
763.05,"Jun 06, 2018",780.91,748.21,"326,452,000",763.81,"374,707"
764.15,"Jun 05, 2018",765.11,667.21,"321,733,856",752.78,"769,890"
752.55,"Jun 04, 2018",797.86,719.07,"331,892,384",776.56,"127,565"
777.12,"Jun 03, 2018",791.52,743.18,"320,972,832",751.08,"50,037"
751.12,"Jun 02, 2018",763.65,728.41,"315,816,096",739.07,"123,209"
739.37,"Jun 01, 2018",768.64,730.05,"318,498,080",745.36,"39,435"
742.23,"May 31, 2018",814.09,727.88,"340,156,192",796.27,"103,495"
796.74,"May 30, 2018",893.98,786.69,"369,643,808",865.43,"77,683"
864.48,"May 29, 2018",885.30,772.29,"342,042,016",800.83,"234,133"
801.06,"May 28, 2018",927.94,795.63,"367,136,800",859.98,"295,837"
857.62,"May 27, 2018",886.66,831.46,"359,328,576",841.69,"372,991"
841.59,"May 26, 2018",893.78,815.02,"363,959,360",852.57,"190,194"
853.36,"May 25, 2018",904.71,797.01,"346,199,360",811.00,"1,463,630"
811.55,"May 24, 2018",823.14,669.53,"299,543,008",701.90,"309,096"
704.26,"May 23, 2018",837.64,692.87,"322,743,904",759.87,"769,740"
761.90,"May 22, 2018",823.38,752.06,"348,802,656",821.61,"258,149"
821.84,"May 21, 2018",875.52,787.96,"370,866,656",873.98,"662,145"
874.14,"May 20, 2018",878.94,819.62,"361,240,928",851.98,"448,372"
850.70,"May 19, 2018",852.92,802.30,"360,052,960",849.75,"316,843"
849.92,"May 18, 2018",883.07,739.91,"320,139,744",755.91,"912,676"
754.29,"May 17, 2018",854.81,746.17,"330,322,048",780.42,"445,995"
782.32,"May 16, 2018",858.18,710.48,"358,035,360",846.39,"788,438"
848.45,"May 15, 2018",964.97,826.31,"391,057,120",924.68,"368,626"
926.06,"May 14, 2018",989.59,839.72,"415,571,424",982.86,"290,637"
984.52,"May 13, 2018",995.92,852.02,"377,543,424",893.23,"984,060"
896.59,"May 12, 2018",936.08,809.28,"370,544,448",877.15,"502,364"
890.22,"May 11, 2018",1060.84,858.66,"434,360,704",1028.77,"522,990"
1028.84,"May 10, 2018",1105.17,1025.06,"444,954,464",1054.75,"567,635"
1057.47,"May 09, 2018",1120.44,1030.82,"466,618,336",1106.99,"634,346"
1115.13,"May 08, 2018",1167.29,1063.19,"453,933,888",1077.98,"555,904"
1075.83,"May 07, 2018",1121.78,1005.52,"465,737,088",1106.67,"431,876"
1105.06,"May 06, 2018",1142.84,1027.65,"480,452,672",1142.84,"751,949"
1144.67,"May 05, 2018",1173.94,1093.68,"466,768,704",1110.39,"385,884"
