date,open,high,low,close,volume,marketcap
"Oct 12, 2019",54.47,55.27,53.74,53.81,"77,422,019","928,522,797"
"Oct 11, 2019",55.94,56.34,54.44,54.48,"64,153,788","940,029,677"
"Oct 10, 2019",57.40,57.60,55.24,55.95,"94,627,887","965,261,774"
"Oct 09, 2019",55.86,57.61,55.22,57.45,"75,137,371","990,966,872"
"Oct 08, 2019",56.55,57.05,55.22,55.87,"71,783,063","963,677,019"
"Oct 07, 2019",55.45,57.22,54.98,56.55,"83,666,858","975,362,936"
"Oct 06, 2019",56.50,56.83,55.13,55.50,"73,400,789","957,040,024"
"Oct 05, 2019",57.60,57.86,55.70,56.50,"79,461,840","974,288,042"
"Oct 04, 2019",56.28,57.99,54.79,57.67,"83,529,372","994,323,596"
"Oct 03, 2019",56.06,56.95,54.46,56.27,"85,119,061","970,144,700"
"Oct 02, 2019",55.84,56.71,54.78,56.06,"75,303,904","966,418,664"
"Oct 01, 2019",56.87,58.19,55.70,55.84,"72,773,127","962,569,246"
"Sep 30, 2019",56.17,57.20,53.91,56.82,"74,691,742","979,256,440"
"Sep 29, 2019",58.00,58.07,54.89,56.16,"63,364,565","967,928,071"
"Sep 28, 2019",58.03,58.27,56.65,57.98,"99,077,632","999,114,430"
"Sep 27, 2019",57.54,58.49,55.88,58.04,"143,938,186","1,000,086,501"
"Sep 26, 2019",59.87,60.20,55.26,57.57,"135,169,851","991,933,619"
"Sep 25, 2019",59.14,61.30,57.88,59.86,"101,072,792","1,031,288,247"
"Sep 24, 2019",68.70,70.32,58.64,59.22,"95,665,012","1,020,031,003"
"Sep 23, 2019",73.18,73.19,68.72,68.72,"82,509,889","1,183,612,640"
"Sep 22, 2019",72.82,74.11,71.45,73.19,"72,664,744","1,260,457,544"
"Sep 21, 2019",74.00,74.01,72.47,72.83,"81,569,539","1,254,110,607"
"Sep 20, 2019",76.09,77.72,72.92,74.01,"96,275,560","1,274,297,482"
"Sep 19, 2019",81.76,81.76,72.99,76.03,"102,437,633","1,308,947,290"
"Sep 18, 2019",74.20,82.01,74.00,81.77,"133,480,584","1,407,616,896"
"Sep 17, 2019",75.34,75.47,73.84,74.28,"91,576,290","1,278,694,194"
"Sep 16, 2019",75.70,76.46,72.04,75.35,"100,063,838","1,296,842,627"
"Sep 15, 2019",76.07,76.30,74.23,75.69,"57,294,722","1,302,670,693"
"Sep 14, 2019",76.83,76.98,73.94,76.04,"76,842,770","1,308,504,093"
"Sep 13, 2019",75.16,76.91,72.93,76.91,"85,283,907","1,323,399,134"
"Sep 12, 2019",74.39,75.49,72.08,75.13,"83,013,460","1,292,619,735"
"Sep 11, 2019",72.29,74.41,70.16,74.36,"71,687,582","1,279,276,461"
"Sep 10, 2019",75.17,75.98,71.77,72.23,"74,484,010","1,242,478,097"
"Sep 09, 2019",77.40,77.51,74.62,75.15,"57,047,927","1,292,522,716"
"Sep 08, 2019",78.44,79.55,76.79,77.38,"58,161,503","1,330,742,273"
