close,date,high,low,marketcap,open,volume
1.81,"Oct 14, 2018",1.87,1.81,"246,192,873",1.85,"2,137,370"
1.84,"Oct 13, 2018",1.89,1.82,"250,392,304",1.88,"2,033,460"
1.87,"Oct 12, 2018",1.91,1.76,"237,500,005",1.78,"2,988,930"
1.80,"Oct 11, 2018",2.16,1.76,"287,395,347",2.16,"7,994,340"
2.17,"Oct 10, 2018",2.19,2.11,"288,711,531",2.17,"3,339,100"
2.18,"Oct 09, 2018",2.23,2.15,"296,017,418",2.22,"2,379,860"
2.22,"Oct 08, 2018",2.24,2.13,"287,315,512",2.16,"3,412,750"
2.15,"Oct 07, 2018",2.18,2.11,"288,581,755",2.17,"1,471,170"
2.16,"Oct 06, 2018",2.22,2.14,"292,935,964",2.20,"2,080,280"
2.20,"Oct 05, 2018",2.21,2.16,"289,023,438",2.17,"2,247,670"
2.18,"Oct 04, 2018",2.23,2.16,"289,312,344",2.17,"2,994,850"
2.17,"Oct 03, 2018",2.18,2.07,"288,764,680",2.17,"4,048,960"
2.17,"Oct 02, 2018",2.26,2.17,"299,828,697",2.25,"2,789,360"
2.26,"Oct 01, 2018",2.32,2.18,"297,067,950",2.23,"4,488,030"
2.24,"Sep 30, 2018",2.27,2.20,"295,700,078",2.22,"3,399,510"
2.23,"Sep 29, 2018",2.27,2.17,"302,343,616",2.27,"9,375,090"
2.27,"Sep 28, 2018",2.38,2.24,"312,812,633",2.35,"9,256,420"
2.34,"Sep 27, 2018",2.38,2.20,"296,047,344",2.22,"9,294,940"
2.22,"Sep 26, 2018",2.34,2.17,"299,942,016",2.25,"11,663,700"
2.23,"Sep 25, 2018",2.24,2.07,"295,096,692",2.21,"11,931,900"
2.25,"Sep 24, 2018",2.43,2.22,"319,863,289",2.40,"12,236,600"
2.40,"Sep 23, 2018",2.46,2.34,"318,866,509",2.39,"11,474,900"
2.39,"Sep 22, 2018",2.62,2.32,"343,301,851",2.58,"14,555,300"
2.58,"Sep 21, 2018",2.68,2.49,"343,791,727",2.58,"18,733,700"
2.58,"Sep 20, 2018",2.65,2.30,"306,802,726",2.30,"19,894,500"
2.30,"Sep 19, 2018",2.39,2.17,"315,160,638",2.37,"14,434,000"
2.38,"Sep 18, 2018",2.44,2.16,"287,601,844",2.16,"15,786,700"
2.18,"Sep 17, 2018",2.65,2.12,"330,368,745",2.48,"23,731,300"
2.47,"Sep 16, 2018",2.58,2.36,"331,667,361",2.49,"16,890,700"
2.49,"Sep 15, 2018",2.74,2.47,"339,136,571",2.55,"26,965,800"
2.57,"Sep 14, 2018",2.76,2.29,"322,004,478",2.42,"40,858,600"
2.41,"Sep 13, 2018",2.51,1.98,"272,328,771",2.04,"42,119,100"
2.05,"Sep 12, 2018",2.05,1.62,"235,674,232",1.77,"15,693,700"
1.77,"Sep 11, 2018",2.03,1.70,"259,680,393",1.95,"12,907,300"
