date,open,high,low,close,volume,marketcap
"Oct 12, 2019",1.08,1.17,1.07,1.14,"2,512,691","41,177,527"
"Oct 11, 2019",1.02,1.10,0.972296,1.08,"2,501,067","39,001,823"
"Oct 10, 2019",1.14,1.15,0.969395,1.03,"2,391,232","37,119,235"
"Oct 09, 2019",1.10,1.23,1.07,1.14,"2,682,871","41,313,757"
"Oct 08, 2019",1.11,1.13,1.03,1.10,"2,648,877","39,914,371"
"Oct 07, 2019",1.12,1.13,1.08,1.10,"2,313,381","39,980,051"
"Oct 06, 2019",1.14,1.15,1.11,1.12,"2,269,296","40,391,624"
"Oct 05, 2019",1.12,1.16,1.02,1.14,"2,771,746","41,208,523"
"Oct 04, 2019",1.22,1.22,1.11,1.12,"2,380,992","40,606,933"
"Oct 03, 2019",1.23,1.24,1.18,1.22,"2,406,278","44,108,274"
"Oct 02, 2019",1.22,1.23,1.15,1.23,"2,694,711","44,655,011"
"Oct 01, 2019",1.24,1.45,1.19,1.22,"2,486,365","44,194,749"
"Sep 30, 2019",1.20,1.27,1.17,1.23,"2,306,987","44,582,468"
"Sep 29, 2019",1.27,1.29,1.14,1.20,"2,178,777","43,506,961"
"Sep 28, 2019",1.35,1.36,1.26,1.27,"2,427,784","46,076,528"
"Sep 27, 2019",1.29,1.37,1.27,1.35,"2,524,687","48,873,041"
"Sep 26, 2019",1.38,1.39,1.22,1.29,"2,301,582","46,663,855"
"Sep 25, 2019",1.30,1.39,1.16,1.38,"3,538,309","49,820,012"
"Sep 24, 2019",1.53,1.58,1.23,1.30,"2,447,193","47,118,427"
"Sep 23, 2019",1.64,1.64,1.52,1.53,"2,613,485","55,346,217"
"Sep 22, 2019",1.70,1.70,1.60,1.64,"2,725,366","59,353,405"
"Sep 21, 2019",1.69,1.74,1.67,1.70,"2,972,992","61,491,343"
"Sep 20, 2019",1.89,1.89,1.64,1.68,"3,073,932","60,867,183"
"Sep 19, 2019",1.76,1.93,1.65,1.89,"3,164,282","68,387,022"
"Sep 18, 2019",1.51,1.76,1.50,1.75,"2,529,400","63,524,942"
"Sep 17, 2019",1.45,1.60,1.40,1.52,"2,461,423","54,872,827"
"Sep 16, 2019",1.38,1.51,1.38,1.46,"2,115,554","52,931,181"
"Sep 15, 2019",1.47,1.51,1.20,1.38,"3,812,702","50,108,765"
"Sep 14, 2019",1.77,1.77,1.43,1.46,"2,898,871","52,825,847"
"Sep 13, 2019",1.72,1.87,1.68,1.76,"2,892,091","63,843,859"
"Sep 12, 2019",1.82,1.86,1.67,1.72,"2,354,436","62,112,137"
"Sep 11, 2019",2.04,2.07,1.61,1.82,"3,140,176","66,017,617"
"Sep 10, 2019",2.29,2.37,2.00,2.04,"2,146,547","73,742,088"
"Sep 09, 2019",2.24,2.42,2.13,2.29,"3,502,934","82,815,669"
"Sep 08, 2019",2.19,2.26,2.16,2.24,"3,456,322","81,181,512"
"Sep 07, 2019",2.06,2.23,2.05,2.19,"3,907,496","79,411,794"
"Sep 06, 2019",2.15,2.20,2.02,2.06,"3,831,698","74,720,338"
"Sep 05, 2019",2.14,2.18,2.07,2.15,"3,068,406","77,857,662"
"Sep 04, 2019",2.24,2.27,2.12,2.14,"3,025,846","77,585,648"
"Sep 03, 2019",2.27,2.30,2.16,2.25,"3,541,780","81,461,379"
"Sep 02, 2019",2.29,2.34,2.16,2.26,"3,626,348","81,833,413"
"Sep 01, 2019",2.25,2.37,2.22,2.29,"3,292,702","82,993,893"
"Aug 31, 2019",2.22,2.28,2.09,2.26,"3,321,617","81,708,140"
"Aug 30, 2019",2.31,2.32,2.17,2.20,"2,888,784","79,786,356"
"Aug 29, 2019",2.11,2.32,2.06,2.31,"3,287,856","83,440,455"
"Aug 28, 2019",2.20,2.30,2.07,2.12,"3,068,147","76,589,806"
"Aug 27, 2019",2.38,2.52,2.15,2.21,"3,279,912","79,935,720"
"Aug 26, 2019",2.43,2.59,2.37,2.38,"3,359,809","86,095,833"
"Aug 25, 2019",2.55,2.55,2.37,2.43,"3,364,395","87,928,792"
"Aug 24, 2019",2.49,2.56,2.39,2.55,"4,200,923","92,466,517"
"Aug 23, 2019",2.44,2.58,2.39,2.50,"3,688,137","90,572,036"
"Aug 22, 2019",2.43,2.58,2.36,2.44,"3,557,838","88,142,412"
"Aug 21, 2019",2.56,2.60,2.37,2.43,"3,686,340","87,821,768"
"Aug 20, 2019",2.66,2.70,2.42,2.56,"1,631,142","92,642,706"
"Aug 19, 2019",2.60,2.70,2.55,2.66,"1,602,974","96,176,602"
"Aug 18, 2019",2.66,2.75,2.52,2.61,"1,463,064","94,623,987"
"Aug 17, 2019",2.72,2.75,2.48,2.66,"1,462,141","96,232,938"
"Aug 16, 2019",2.71,2.82,2.49,2.72,"1,558,535","98,289,375"
"Aug 15, 2019",2.37,2.77,2.17,2.71,"1,675,849","98,067,578"
"Aug 14, 2019",2.52,2.52,2.29,2.37,"1,244,446","85,648,393"
"Aug 13, 2019",2.67,2.72,2.42,2.52,"1,997,710","91,375,220"
