close,date,high,low,marketcap,open,volume
1.91,"Oct 14, 2018",1.95,1.84,"84,230,283",1.85,"3,596,850"
1.85,"Oct 13, 2018",1.89,1.83,"84,469,959",1.86,"3,008,650"
1.86,"Oct 12, 2018",1.91,1.70,"77,600,321",1.71,"7,990,020"
1.71,"Oct 11, 2018",1.97,1.71,"89,024,001",1.96,"6,825,880"
1.97,"Oct 10, 2018",2.10,1.95,"90,354,297",1.99,"8,204,580"
1.99,"Oct 09, 2018",2.10,1.75,"79,970,619",1.76,"15,203,400"
1.75,"Oct 08, 2018",1.78,1.70,"77,448,182",1.70,"3,749,950"
1.70,"Oct 07, 2018",1.71,1.65,"77,839,108",1.71,"2,960,190"
1.71,"Oct 06, 2018",1.78,1.69,"80,788,637",1.78,"2,834,180"
1.78,"Oct 05, 2018",1.79,1.65,"75,836,103",1.67,"3,517,170"
1.66,"Oct 04, 2018",1.68,1.63,"74,905,607",1.65,"2,822,080"
1.64,"Oct 03, 2018",1.72,1.61,"78,315,798",1.72,"3,401,150"
1.73,"Oct 02, 2018",1.77,1.70,"79,849,262",1.75,"4,198,670"
1.76,"Oct 01, 2018",1.85,1.67,"77,588,111",1.71,"8,708,490"
1.70,"Sep 30, 2018",1.85,1.42,"65,133,297",1.43,"13,628,800"
1.43,"Sep 29, 2018",1.45,1.38,"63,815,216",1.40,"3,147,110"
1.40,"Sep 28, 2018",1.46,1.39,"64,680,407",1.42,"4,054,430"
1.42,"Sep 27, 2018",1.43,1.35,"62,801,737",1.38,"3,479,230"
1.38,"Sep 26, 2018",1.43,1.34,"63,500,124",1.40,"3,502,970"
1.40,"Sep 25, 2018",1.40,1.30,"63,569,931",1.40,"3,227,210"
1.39,"Sep 24, 2018",1.46,1.37,"66,264,390",1.46,"3,070,960"
1.45,"Sep 23, 2018",1.50,1.42,"65,594,057",1.44,"3,173,870"
1.44,"Sep 22, 2018",1.58,1.39,"70,425,744",1.55,"4,301,720"
1.54,"Sep 21, 2018",1.54,1.41,"64,434,656",1.42,"4,823,170"
1.42,"Sep 20, 2018",1.42,1.32,"60,331,665",1.33,"3,533,140"
1.33,"Sep 19, 2018",1.35,1.29,"60,656,569",1.33,"2,836,060"
1.33,"Sep 18, 2018",1.36,1.27,"58,518,088",1.29,"2,959,040"
1.28,"Sep 17, 2018",1.41,1.26,"63,022,566",1.39,"3,161,700"
1.37,"Sep 16, 2018",1.42,1.35,"64,132,391",1.41,"2,624,300"
1.40,"Sep 15, 2018",1.43,1.37,"63,714,866",1.40,"3,079,720"
1.40,"Sep 14, 2018",1.47,1.32,"66,413,431",1.46,"3,621,840"
1.46,"Sep 13, 2018",1.47,1.33,"60,466,788",1.33,"3,980,850"
1.33,"Sep 12, 2018",1.37,1.16,"60,523,171",1.33,"3,451,680"
1.33,"Sep 11, 2018",1.51,1.28,"67,525,904",1.48,"3,516,630"
1.49,"Sep 10, 2018",1.50,1.45,"66,963,010",1.47,"6,081,330"
1.47,"Sep 09, 2018",1.53,1.44,"66,349,829",1.46,"5,489,400"
1.47,"Sep 08, 2018",1.61,1.44,"70,419,126",1.55,"6,083,100"
1.55,"Sep 07, 2018",1.68,1.51,"73,564,251",1.62,"4,230,900"
1.62,"Sep 06, 2018",1.65,1.49,"72,260,739",1.59,"5,052,690"
1.61,"Sep 05, 2018",2.05,1.59,"90,629,615",1.99,"6,557,270"
1.99,"Sep 04, 2018",2.06,1.92,"87,691,124",1.93,"4,904,990"
1.93,"Sep 03, 2018",2.07,1.91,"94,068,999",2.07,"5,363,710"
2.06,"Sep 02, 2018",2.11,1.94,"92,427,039",2.03,"8,059,330"
2.02,"Sep 01, 2018",2.12,1.89,"86,178,418",1.89,"8,382,300"
1.89,"Aug 31, 2018",1.93,1.79,"82,988,480",1.82,"6,052,940"
1.83,"Aug 30, 2018",1.94,1.75,"87,798,633",1.93,"6,027,990"
1.93,"Aug 29, 2018",2.02,1.85,"90,948,645",2.00,"9,039,740"
2.04,"Aug 28, 2018",2.08,1.88,"87,770,548",1.93,"8,394,750"
1.92,"Aug 27, 2018",1.92,1.76,"81,861,493",1.80,"7,187,830"
1.80,"Aug 26, 2018",1.85,1.71,"83,487,626",1.83,"6,878,060"
1.84,"Aug 25, 2018",1.91,1.72,"82,388,062",1.81,"7,139,230"
1.81,"Aug 24, 2018",1.85,1.73,"81,870,638",1.80,"7,444,050"
1.80,"Aug 23, 2018",1.98,1.62,"87,763,046",1.93,"12,600,300"
1.92,"Aug 22, 2018",2.21,1.81,"86,455,374",1.90,"16,846,800"
1.89,"Aug 21, 2018",1.97,1.78,"83,729,136",1.84,"9,967,350"
1.83,"Aug 20, 2018",2.15,1.83,"91,342,625",2.01,"17,470,800"
2.01,"Aug 19, 2018",2.01,1.68,"79,837,746",1.75,"14,643,700"
1.76,"Aug 18, 2018",2.28,1.56,"93,535,882",2.06,"23,934,400"
2.02,"Aug 17, 2018",2.09,1.32,"59,987,006",1.32,"22,637,400"
1.32,"Aug 16, 2018",1.37,1.12,"52,127,933",1.15,"9,420,290"
1.18,"Aug 15, 2018",1.27,1.13,"52,255,116",1.15,"10,966,900"
1.15,"Aug 14, 2018",1.20,1.05,"54,357,272",1.19,"11,023,000"
1.20,"Aug 13, 2018",1.46,1.20,"64,841,528",1.43,"12,512,300"
1.42,"Aug 12, 2018",1.45,1.39,"63,709,507",1.40,"12,830,400"
1.42,"Aug 11, 2018",1.59,1.37,"72,480,347",1.59,"15,164,800"
1.60,"Aug 10, 2018",1.86,1.59,"83,284,339",1.83,"14,586,800"
1.83,"Aug 09, 2018",1.90,1.69,"77,443,268",1.70,"14,135,900"
1.67,"Aug 08, 2018",2.08,1.64,"92,533,458",2.03,"12,260,500"
2.04,"Aug 07, 2018",2.29,2.03,"99,209,605",2.18,"9,383,020"
2.18,"Aug 06, 2018",2.33,2.16,"104,305,703",2.29,"14,606,600"
2.29,"Aug 05, 2018",2.36,2.09,"96,150,576",2.11,"16,397,800"
2.11,"Aug 04, 2018",2.30,2.09,"98,497,344",2.16,"15,534,700"
2.17,"Aug 03, 2018",2.36,2.04,"104,928,250",2.31,"17,640,800"
2.31,"Aug 02, 2018",2.63,2.27,"118,302,740",2.60,"17,888,100"
2.60,"Aug 01, 2018",2.73,2.50,"121,678,402",2.67,"17,622,800"
2.68,"Jul 31, 2018",2.88,2.55,"130,984,138",2.88,"20,258,300"
2.88,"Jul 30, 2018",3.17,2.83,"141,117,340",3.10,"14,898,900"
3.10,"Jul 29, 2018",3.25,3.07,"147,071,936",3.23,"18,267,900"
3.22,"Jul 28, 2018",3.26,3.20,"147,847,696",3.25,"18,152,700"
3.24,"Jul 27, 2018",3.36,3.22,"150,322,912",3.30,"19,702,700"
3.30,"Jul 26, 2018",3.71,3.29,"156,561,872",3.44,"23,247,000"
3.44,"Jul 25, 2018",3.55,3.34,"153,856,432",3.38,"21,363,100"
3.41,"Jul 24, 2018",3.50,3.31,"151,367,584",3.33,"20,877,300"
3.33,"Jul 23, 2018",3.59,3.30,"159,591,248",3.51,"18,128,400"
3.51,"Jul 22, 2018",3.61,3.49,"160,835,232",3.53,"17,540,500"
3.54,"Jul 21, 2018",3.56,3.30,"152,575,152",3.35,"17,565,900"
3.35,"Jul 20, 2018",3.77,3.35,"157,239,360",3.46,"18,261,800"
3.52,"Jul 19, 2018",3.77,3.34,"162,083,280",3.56,"19,806,800"
3.55,"Jul 18, 2018",3.93,3.51,"175,250,080",3.85,"24,234,700"
3.77,"Jul 17, 2018",3.94,3.41,"164,066,176",3.61,"25,074,000"
3.60,"Jul 16, 2018",3.77,3.33,"152,056,896",3.34,"21,691,800"
3.34,"Jul 15, 2018",3.41,3.05,"139,636,304",3.07,"26,959,900"
3.11,"Jul 14, 2018",3.22,3.03,"142,511,456",3.13,"24,384,100"
3.12,"Jul 13, 2018",3.39,3.06,"151,463,136",3.33,"25,108,400"
3.26,"Jul 12, 2018",3.51,3.09,"156,854,880",3.45,"27,838,200"
3.45,"Jul 11, 2018",3.90,3.36,"176,664,672",3.88,"24,045,000"
3.85,"Jul 10, 2018",4.39,3.81,"199,942,016",4.39,"30,176,700"
4.34,"Jul 09, 2018",4.74,4.34,"207,622,864",4.56,"29,061,300"
4.58,"Jul 08, 2018",4.68,4.50,"211,764,288",4.65,"28,776,200"
4.69,"Jul 07, 2018",4.70,4.42,"207,657,904",4.56,"30,171,400"
4.55,"Jul 06, 2018",4.68,4.34,"210,872,032",4.63,"26,188,300"
4.57,"Jul 05, 2018",4.94,4.53,"218,928,720",4.81,"32,203,600"
4.79,"Jul 04, 2018",5.16,4.71,"220,435,216",4.84,"29,380,900"
4.84,"Jul 03, 2018",5.34,4.77,"233,798,112",5.14,"26,710,600"
5.15,"Jul 02, 2018",5.30,4.75,"227,857,184",5.01,"27,910,000"
