date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.003008,0.003059,0.002984,0.003015,"3,251,120","36,019,827"
"Oct 11, 2019",0.003013,0.003038,0.002942,0.003004,"3,240,671","35,893,035"
"Oct 10, 2019",0.003118,0.003118,0.002971,0.003005,"3,268,708","35,910,697"
"Oct 09, 2019",0.002966,0.003836,0.002933,0.003119,"3,710,856","37,271,354"
"Oct 08, 2019",0.002791,0.002993,0.002781,0.002966,"3,002,864","35,435,189"
"Oct 07, 2019",0.002686,0.002815,0.002656,0.002795,"2,267,717","33,390,301"
"Oct 06, 2019",0.002664,0.002720,0.002638,0.002683,"2,204,895","32,054,469"
"Oct 05, 2019",0.002696,0.002722,0.002624,0.002668,"2,038,898","31,879,610"
"Oct 04, 2019",0.002748,0.002753,0.002654,0.002696,"2,057,778","32,213,575"
"Oct 03, 2019",0.002809,0.002815,0.002710,0.002758,"2,114,650","32,950,079"
"Oct 02, 2019",0.002837,0.002854,0.002758,0.002799,"2,274,853","33,441,335"
"Oct 01, 2019",0.002878,0.002959,0.002792,0.002837,"2,335,719","33,895,355"
"Sep 30, 2019",0.002940,0.002956,0.002756,0.002869,"2,936,238","34,275,695"
"Sep 29, 2019",0.002655,0.003004,0.002647,0.002940,"2,970,036","35,124,983"
"Sep 28, 2019",0.002498,0.002661,0.002484,0.002650,"2,463,354","31,663,186"
"Sep 27, 2019",0.002422,0.002519,0.002370,0.002495,"2,512,280","29,809,860"
"Sep 26, 2019",0.002469,0.002542,0.002321,0.002422,"2,512,313","28,935,028"
"Sep 25, 2019",0.002424,0.002538,0.002225,0.002468,"3,197,201","29,491,905"
"Sep 24, 2019",0.002672,0.002708,0.002344,0.002433,"1,993,673","29,072,614"
"Sep 23, 2019",0.002763,0.002797,0.002663,0.002686,"2,128,276","32,099,178"
"Sep 22, 2019",0.002752,0.002784,0.002678,0.002749,"2,063,073","32,840,496"
"Sep 21, 2019",0.002823,0.002856,0.002740,0.002750,"2,047,992","32,857,088"
