close,date,high,low,marketcap,open,volume
0.060835,"Oct 14, 2018",0.062818,0.060019,"60,523,823",0.060584,"1,169,170"
0.060683,"Oct 13, 2018",0.063003,0.060261,"62,067,856",0.062130,"1,193,520"
0.061479,"Oct 12, 2018",0.063011,0.059187,"60,129,732",0.060190,"1,381,150"
0.060296,"Oct 11, 2018",0.066368,0.059503,"66,060,693",0.066127,"1,273,430"
0.066268,"Oct 10, 2018",0.067133,0.065145,"67,065,828",0.067133,"1,141,780"
0.066801,"Oct 09, 2018",0.068110,0.065885,"67,799,125",0.067867,"796,499"
0.067701,"Oct 08, 2018",0.068265,0.065326,"67,149,414",0.067217,"1,098,570"
0.067514,"Oct 07, 2018",0.067564,0.065384,"66,763,726",0.066831,"1,662,320"
0.067127,"Oct 06, 2018",0.068330,0.065407,"68,034,075",0.068102,"1,392,650"
0.067848,"Oct 05, 2018",0.068128,0.065244,"65,906,255",0.065972,"1,332,860"
0.066215,"Oct 04, 2018",0.067445,0.063686,"65,216,634",0.065282,"1,489,890"
0.064610,"Oct 03, 2018",0.067825,0.063417,"67,757,548",0.067825,"1,300,050"
0.067048,"Oct 02, 2018",0.071404,0.066313,"67,269,971",0.067337,"1,311,260"
0.067675,"Oct 01, 2018",0.069556,0.067020,"68,624,717",0.068693,"1,319,430"
0.069127,"Sep 30, 2018",0.070071,0.067780,"69,328,137",0.069398,"1,357,000"
0.069229,"Sep 29, 2018",0.069943,0.067865,"69,381,237",0.069451,"1,222,320"
0.069747,"Sep 28, 2018",0.071781,0.069257,"70,065,461",0.070136,"1,225,690"
0.070720,"Sep 27, 2018",0.071415,0.068045,"69,245,548",0.069315,"1,309,100"
0.069373,"Sep 26, 2018",0.070065,0.066939,"68,859,979",0.068929,"1,607,600"
0.069026,"Sep 25, 2018",0.072109,0.067946,"71,451,789",0.071523,"1,602,080"
0.071551,"Sep 24, 2018",0.075071,0.070511,"73,604,252",0.073678,"1,614,250"
0.073599,"Sep 23, 2018",0.075678,0.072051,"72,424,814",0.072497,"1,937,250"
0.072274,"Sep 22, 2018",0.075628,0.070856,"73,898,204",0.073972,"2,104,570"
0.073528,"Sep 21, 2018",0.073866,0.068363,"68,984,875",0.069054,"2,121,870"
0.068682,"Sep 20, 2018",0.068682,0.065698,"65,706,422",0.065772,"1,825,400"
0.065948,"Sep 19, 2018",0.066610,0.063136,"65,504,252",0.065570,"2,030,490"
0.065393,"Sep 18, 2018",0.068558,0.061720,"62,169,983",0.062232,"2,305,010"
0.062147,"Sep 17, 2018",0.065441,0.061823,"63,959,170",0.064023,"2,064,200"
0.063936,"Sep 16, 2018",0.066000,0.063218,"65,933,772",0.066000,"2,089,770"
0.065518,"Sep 15, 2018",0.066383,0.064479,"65,424,357",0.065490,"1,723,300"
0.065283,"Sep 14, 2018",0.069322,0.062329,"62,878,837",0.062942,"2,198,870"
0.063032,"Sep 13, 2018",0.063354,0.060682,"60,620,926",0.060682,"1,950,850"
